POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
1,Chris Gayle,117,57,205.26,7,12,PBKS,M. Chinnaswamy Stadium,06 May 2015
2,David Miller,89,44,202.27,2,9,SRH,Rajiv Gandhi Intl. Cricket Stadium,11 May 2015
3,Brendon McCullum,100,56,178.57,7,9,SRH,Chidambaram,11 April 2015
4,Chris Gayle,96,56,171.42,7,7,KKR,Eden Gardens,11 April 2015
5,Harbhajan Singh,64,24,266.66,5,6,PBKS,Wankhede Stadium,12 April 2015
6,Suresh Raina,62,32,193.75,4,6,RCB,M. Chinnaswamy Stadium,22 April 2015
7,JP Duminy,78,50,156,3,6,MI,Arun Jaitley Stadium,23 April 2015
8,Kieron Pollard,41,17,241.17,1,5,CSK,Wankhede Stadium,19 May 2015
9,Suryakumar Yadav,46,20,230,1,5,MI,Eden Gardens,08 April 2015
10,Eoin Morgan,63,28,225,4,5,RR,Brabourne Stadium,07 May 2015
11,Kieron Pollard,64,30,213.33,4,5,CSK,Wankhede Stadium,17 April 2015
12,Kieron Pollard,70,34,205.88,7,5,RR,Narendra Modi Stadium,14 April 2015
13,David Miller,54,30,180,1,5,RR,Narendra Modi Stadium,21 April 2015
14,Shane Watson,104,59,176.27,9,5,KKR,Brabourne Stadium,16 May 2015
15,Moises Henriques,74,46,160.86,1,5,DC,Shaheed Veer Narayan Singh International Cricket Stadium,09 May 2015
16,David Warner,81,52,155.76,6,5,PBKS,Rajiv Gandhi Intl. Cricket Stadium,11 May 2015
17,Shreyas Iyer,60,40,150,3,5,SRH,ACA-VDCA Stadium,18 April 2015
18,Shreyas Iyer,83,56,148.21,7,5,MI,Arun Jaitley Stadium,23 April 2015
19,Lendl Simmons,65,51,127.45,3,5,CSK,Wankhede Stadium,19 May 2015
20,Rohit Sharma,42,15,280,3,4,RCB,M. Chinnaswamy Stadium,19 April 2015
21,Moises Henriques,57,22,259.09,5,4,RCB,Rajiv Gandhi Intl. Cricket Stadium,15 May 2015
22,Andre Russell,51,21,242.85,5,4,PBKS,Eden Gardens,09 May 2015
23,AB de Villiers,133,59,225.42,19,4,MI,Wankhede Stadium,10 May 2015
24,Deepak Hooda,54,25,216,3,4,DC,Arun Jaitley Stadium,12 April 2015
25,David Warner,57,27,211.11,6,4,RCB,M. Chinnaswamy Stadium,13 April 2015
26,Dwayne Smith,62,30,206.66,8,4,MI,Wankhede Stadium,17 April 2015
27,AB de Villiers,47,24,195.83,3,4,PBKS,M. Chinnaswamy Stadium,06 May 2015
28,MS Dhoni,53,29,182.75,4,4,SRH,Chidambaram,11 April 2015
29,AB de Villiers,66,38,173.68,4,4,RR,Maharashtra Cricket Association's International Stadium,20 May 2015
30,Andre Russell,55,32,171.87,4,4,CSK,Eden Gardens,30 April 2015
31,David Warner,91,55,165.45,9,4,KKR,ACA-VDCA Stadium,22 April 2015
32,Virat Kohli,82,50,164,6,4,MI,Wankhede Stadium,10 May 2015
33,Shane Watson,73,47,155.31,6,4,CSK,Narendra Modi Stadium,19 April 2015
34,Chris Gayle,62,40,155,6,4,DC,Arun Jaitley Stadium,26 April 2015
35,Rohit Sharma,98,65,150.76,12,4,KKR,Eden Gardens,08 April 2015
36,Brendon McCullum,81,61,132.78,7,4,RR,Chidambaram,10 May 2015
37,AB de Villiers,41,11,372.72,5,3,MI,M. Chinnaswamy Stadium,19 April 2015
38,Chris Gayle,35,10,350,4,3,SRH,Rajiv Gandhi Intl. Cricket Stadium,15 May 2015
39,Chris Morris,34,11,309.09,2,3,SRH,Brabourne Stadium,07 May 2015
40,Brendon McCullum,32,12,266.66,3,3,KKR,Eden Gardens,30 April 2015
41,Andre Russell,45,17,264.7,5,3,RCB,M. Chinnaswamy Stadium,02 May 2015
42,Hardik Pandya,21,8,262.5,0,3,CSK,Chidambaram,08 May 2015
43,Mandeep Singh,45,18,250,4,3,KKR,M. Chinnaswamy Stadium,02 May 2015
44,Chris Gayle,21,9,233.33,0,3,KKR,M. Chinnaswamy Stadium,02 May 2015
45,Virat Kohli,44,19,231.57,3,3,SRH,Rajiv Gandhi Intl. Cricket Stadium,15 May 2015
46,Sanju Samson,21,10,210,0,3,SRH,Brabourne Stadium,07 May 2015
47,Kieron Pollard,36,18,200,2,3,CSK,Eden Gardens,24 May 2015
48,Deepak Hooda,30,15,200,1,3,PBKS,Maharashtra Cricket Association's International Stadium,10 April 2015
49,Ambati Rayudu,53,27,196.29,4,3,RR,Wankhede Stadium,01 May 2015
50,Glenn Maxwell,43,22,195.45,4,3,KKR,Eden Gardens,09 May 2015
51,George Bailey,61,32,190.62,4,3,MI,Wankhede Stadium,12 April 2015
52,Kieron Pollard,26,14,185.71,0,3,DC,Wankhede Stadium,05 May 2015
53,Ambati Rayudu,29,16,181.25,1,3,CSK,Wankhede Stadium,17 April 2015
54,Ambati Rayudu,34,19,178.94,1,3,CSK,Chidambaram,08 May 2015
55,Quinton de Kock,69,39,176.92,9,3,RCB,M. Chinnaswamy Stadium,17 May 2015
56,Yusuf Pathan,42,24,175,3,3,DC,Eden Gardens,07 May 2015
57,Virat Kohli,34,20,170,2,3,KKR,M. Chinnaswamy Stadium,02 May 2015
58,Ajinkya Rahane,91,54,168.51,9,3,DC,Brabourne Stadium,03 May 2015
59,Manish Pandey,40,24,166.66,2,3,MI,Eden Gardens,08 April 2015
60,Sanju Samson,76,46,165.21,7,3,MI,Wankhede Stadium,01 May 2015
61,Parthiv Patel,59,36,163.88,5,3,PBKS,IS Bindra Stadium,03 May 2015
62,Shaun Marsh,65,40,162.5,5,3,RR,Narendra Modi Stadium,21 April 2015
63,Karn Sharma,32,20,160,0,3,KKR,Eden Gardens,04 May 2015
64,JP Duminy,67,43,155.81,4,3,RCB,M. Chinnaswamy Stadium,17 May 2015
65,Suresh Raina,23,15,153.33,0,3,SRH,Rajiv Gandhi Intl. Cricket Stadium,02 May 2015
66,Yusuf Pathan,29,19,152.63,1,3,PBKS,Eden Gardens,09 May 2015
67,Lendl Simmons,68,45,151.11,8,3,CSK,Eden Gardens,24 May 2015
68,Brendon McCullum,66,44,150,8,3,PBKS,Chidambaram,25 April 2015
69,Ambati Rayudu,36,24,150,0,3,CSK,Eden Gardens,24 May 2015
70,JP Duminy,56,39,143.58,3,3,RR,Brabourne Stadium,03 May 2015
71,James Faulkner,46,33,139.39,2,3,PBKS,Maharashtra Cricket Association's International Stadium,10 April 2015
72,Wriddhiman Saha,39,28,139.28,0,3,DC,Maharashtra Cricket Association's International Stadium,15 April 2015
73,Yuvraj Singh,54,39,138.46,5,3,PBKS,Maharashtra Cricket Association's International Stadium,15 April 2015
74,Ravi Bopara,41,30,136.66,1,3,DC,ACA-VDCA Stadium,18 April 2015
75,Shreyas Iyer,54,40,135,4,3,PBKS,Arun Jaitley Stadium,01 May 2015
76,Virat Kohli,62,46,134.78,1,3,RR,Narendra Modi Stadium,24 April 2015
77,Dwayne Smith,39,29,134.48,3,3,RCB,M. Chinnaswamy Stadium,22 April 2015
78,Corey Anderson,55,41,134.14,4,3,KKR,Eden Gardens,08 April 2015
