POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
1,AB de Villiers,129,52,248.07,10,12,GL,M. Chinnaswamy Stadium,14 May 2016
2,Chris Morris,82,32,256.25,4,8,GL,Arun Jaitley Stadium,27 April 2016
3,Chris Gayle,73,32,228.12,4,8,PBKS,M. Chinnaswamy Stadium,18 May 2016
4,Virat Kohli,113,50,226,12,8,PBKS,M. Chinnaswamy Stadium,18 May 2016
5,Chris Gayle,76,38,200,4,8,SRH,M. Chinnaswamy Stadium,29 May 2016
6,Virat Kohli,109,55,198.18,5,8,GL,M. Chinnaswamy Stadium,14 May 2016
7,Virat Kohli,108,58,186.2,8,7,RPS,M. Chinnaswamy Stadium,07 May 2016
8,Kieron Pollard,51,17,300,2,6,KKR,Wankhede Stadium,28 April 2016
9,Krunal Pandya,86,37,232.43,7,6,DC,ACA-VDCA Stadium,15 May 2016
10,AB de Villiers,82,42,195.23,7,6,SRH,M. Chinnaswamy Stadium,12 April 2016
11,Dwayne Smith,73,41,178.04,5,6,RCB,M. Chinnaswamy Stadium,24 May 2016
12,David Warner,58,25,232,4,5,RCB,M. Chinnaswamy Stadium,12 April 2016
13,MS Dhoni,64,32,200,4,5,PBKS,ACA-VDCA Stadium,21 May 2016
14,Steve Smith,101,54,187.03,8,5,GL,Maharashtra Cricket Association's International Stadium,29 April 2016
15,David Warner,92,50,184,9,5,RCB,Rajiv Gandhi Intl. Cricket Stadium,30 April 2016
16,AB de Villiers,79,47,168.08,5,5,GL,M. Chinnaswamy Stadium,24 May 2016
17,Ben Cutting,39,15,260,3,4,RCB,M. Chinnaswamy Stadium,29 May 2016
18,Andre Russell,36,17,211.76,1,4,MI,Eden Gardens,13 April 2016
19,Nitish Rana,70,36,194.44,7,4,GL,Green Park,21 May 2016
20,AB de Villiers,83,46,180.43,6,4,RPS,Maharashtra Cricket Association's International Stadium,22 April 2016
21,Ambati Rayudu,65,37,175.67,4,4,PBKS,IS Bindra Stadium,25 April 2016
22,Andre Russell,39,24,162.5,1,4,RCB,M. Chinnaswamy Stadium,02 May 2016
23,Glenn Maxwell,68,42,161.9,6,4,KKR,Eden Gardens,04 May 2016
24,Faf du Plessis,69,43,160.46,5,4,GL,Saurashtra Cricket Association Stadium,14 April 2016
25,Chris Gayle,49,31,158.06,5,4,KKR,Eden Gardens,16 May 2016
26,David Warner,90,59,152.54,7,4,MI,Rajiv Gandhi Intl. Cricket Stadium,18 April 2016
27,Shakib Al Hasan,66,49,134.69,4,4,GL,Eden Gardens,08 May 2016
28,KL Rahul,68,53,128.3,3,4,MI,M. Chinnaswamy Stadium,11 May 2016
29,Carlos Brathwaite,34,11,309.09,3,3,KKR,Arun Jaitley Stadium,30 April 2016
30,Jos Buttler,29,11,263.63,1,3,RCB,M. Chinnaswamy Stadium,11 May 2016
31,Thisara Perera,34,13,261.53,3,3,RCB,Maharashtra Cricket Association's International Stadium,22 April 2016
32,Carlos Brathwaite,20,8,250,0,3,RPS,Arun Jaitley Stadium,05 May 2016
33,Mitchell McClenaghan,20,8,250,0,3,KKR,Eden Gardens,13 April 2016
34,Bipul Sharma,27,11,245.45,0,3,GL,Arun Jaitley Stadium,27 May 2016
35,Shane Watson,19,8,237.5,0,3,SRH,M. Chinnaswamy Stadium,12 April 2016
36,Moises Henriques,31,14,221.42,1,3,RCB,Rajiv Gandhi Intl. Cricket Stadium,30 April 2016
37,Quinton de Kock,108,51,211.76,15,3,RCB,M. Chinnaswamy Stadium,17 April 2016
38,Axar Patel,36,17,211.76,1,3,SRH,Rajiv Gandhi Intl. Cricket Stadium,23 April 2016
39,Yusuf Pathan,60,29,206.89,6,3,RCB,M. Chinnaswamy Stadium,02 May 2016
40,Yusuf Pathan,37,18,205.55,4,3,RPS,Eden Gardens,14 May 2016
41,Kieron Pollard,39,19,205.26,4,3,RCB,Wankhede Stadium,20 April 2016
42,Andre Russell,39,19,205.26,2,3,RCB,Eden Gardens,16 May 2016
43,Steve Smith,45,23,195.65,4,3,MI,Maharashtra Cricket Association's International Stadium,01 May 2016
44,David Warner,59,31,190.32,7,3,PBKS,Rajiv Gandhi Intl. Cricket Stadium,23 April 2016
45,AB de Villiers,59,31,190.32,5,3,KKR,Eden Gardens,16 May 2016
46,Jos Buttler,41,22,186.36,3,3,KKR,Eden Gardens,13 April 2016
47,David Warner,69,38,181.57,8,3,RCB,M. Chinnaswamy Stadium,29 May 2016
48,Manish Pandey,52,29,179.31,3,3,MI,Eden Gardens,13 April 2016
49,Ashish Reddy,32,18,177.77,2,3,RCB,M. Chinnaswamy Stadium,12 April 2016
50,Dwayne Smith,53,30,176.66,5,3,DC,Arun Jaitley Stadium,27 April 2016
51,Krunal Pandya,49,28,175,3,3,SRH,Rajiv Gandhi Intl. Cricket Stadium,18 April 2016
52,Yuvraj Singh,42,24,175,3,3,PBKS,IS Bindra Stadium,15 May 2016
53,Shane Watson,33,19,173.68,2,3,DC,M. Chinnaswamy Stadium,17 April 2016
54,Gurkeerat Mann Singh,51,30,170,3,3,RPS,ACA-VDCA Stadium,21 May 2016
55,Shikhar Dhawan,51,30,170,4,3,KKR,Eden Gardens,22 May 2016
56,Brendon McCullum,60,36,166.66,6,3,DC,Arun Jaitley Stadium,27 April 2016
57,Virat Kohli,79,48,164.58,7,3,DC,M. Chinnaswamy Stadium,17 April 2016
58,David Warner,93,58,160.34,11,3,GL,Arun Jaitley Stadium,27 May 2016
59,Manish Pandey,48,30,160,2,3,SRH,Eden Gardens,22 May 2016
60,Brendon McCullum,49,31,158.06,3,3,RPS,Saurashtra Cricket Association Stadium,14 April 2016
61,Ajinkya Rahane,66,42,157.14,7,3,MI,Wankhede Stadium,09 April 2016
62,Rishabh Pant,39,26,150,2,3,SRH,Rajiv Gandhi Intl. Cricket Stadium,12 May 2016
63,Rohit Sharma,31,21,147.61,1,3,DC,ACA-VDCA Stadium,15 May 2016
64,Virat Kohli,75,51,147.05,7,3,SRH,M. Chinnaswamy Stadium,12 April 2016
65,Virat Kohli,75,51,147.05,5,3,KKR,Eden Gardens,16 May 2016
66,KL Rahul,51,35,145.71,4,3,GL,Saurashtra Cricket Association Stadium,24 April 2016
67,Murali Vijay,59,41,143.9,4,3,RPS,ACA-VDCA Stadium,21 May 2016
68,Rohit Sharma,85,60,141.66,8,3,RPS,Maharashtra Cricket Association's International Stadium,01 May 2016
69,Rohit Sharma,62,44,140.9,4,3,RCB,Wankhede Stadium,20 April 2016
70,Karun Nair,83,59,140.67,8,3,SRH,Shaheed Veer Narayan Singh International Cricket Stadium,20 May 2016
71,Kieron Pollard,27,20,135,0,3,PBKS,ACA-VDCA Stadium,13 May 2016
72,Ajinkya Rahane,67,52,128.84,4,3,KKR,Maharashtra Cricket Association's International Stadium,24 April 2016
73,Martin Guptill,48,42,114.28,2,3,DC,ACA-VDCA Stadium,15 May 2016
74,Faf du Plessis,34,33,103.03,1,3,MI,Wankhede Stadium,09 April 2016
75,Nitish Rana,25,28,89.28,0,3,PBKS,ACA-VDCA Stadium,13 May 2016
76,Stuart Binny,16,4,400,1,2,KKR,M. Chinnaswamy Stadium,02 May 2016
77,Sarfaraz Khan,35,10,350,5,2,SRH,M. Chinnaswamy Stadium,12 April 2016
78,Axar Patel,16,5,320,0,2,DC,IS Bindra Stadium,07 May 2016
79,Axar Patel,21,7,300,1,2,KKR,Eden Gardens,04 May 2016
80,Aaron Finch,29,10,290,3,2,KKR,Eden Gardens,08 May 2016
81,Deepak Hooda,14,5,280,0,2,RPS,ACA-VDCA Stadium,10 May 2016
82,Thisara Perera,14,5,280,0,2,DC,Arun Jaitley Stadium,05 May 2016
83,Shane Watson,36,13,276.92,5,2,RPS,M. Chinnaswamy Stadium,07 May 2016
84,Bipul Sharma,14,6,233.33,0,2,KKR,Arun Jaitley Stadium,25 May 2016
85,Glenn Maxwell,32,14,228.57,3,2,RPS,IS Bindra Stadium,17 April 2016
86,Tim Southee,25,11,227.27,1,2,GL,Wankhede Stadium,16 April 2016
87,Suresh Raina,20,9,222.22,1,2,PBKS,IS Bindra Stadium,11 April 2016
88,Krunal Pandya,36,17,211.76,4,2,DC,Arun Jaitley Stadium,23 April 2016
89,Eklavya Dwivedi,19,9,211.11,1,2,RCB,M. Chinnaswamy Stadium,24 May 2016
90,Jos Buttler,28,14,200,2,2,RCB,Wankhede Stadium,20 April 2016
91,Suresh Raina,20,10,200,1,2,SRH,Rajiv Gandhi Intl. Cricket Stadium,06 May 2016
92,Brendon McCullum,43,22,195.45,5,2,RPS,Maharashtra Cricket Association's International Stadium,29 April 2016
93,Sachin Baby,25,13,192.3,2,2,MI,M. Chinnaswamy Stadium,11 May 2016
94,Chris Morris,38,20,190,4,2,RPS,ACA-VDCA Stadium,17 May 2016
95,Kieron Pollard,35,19,184.21,3,2,RCB,M. Chinnaswamy Stadium,11 May 2016
96,AB de Villiers,64,35,182.85,5,2,PBKS,IS Bindra Stadium,09 May 2016
97,Robin Uthappa,36,20,180,1,2,MI,Wankhede Stadium,28 April 2016
98,Albie Morkel,16,9,177.77,0,2,KKR,Maharashtra Cricket Association's International Stadium,24 April 2016
99,David Miller,30,17,176.47,1,2,MI,IS Bindra Stadium,25 April 2016
100,Rohit Sharma,30,17,176.47,4,2,GL,Green Park,21 May 2016
101,Brendon McCullum,42,24,175,5,2,RCB,Saurashtra Cricket Association Stadium,24 April 2016
102,Quinton de Kock,52,30,173.33,6,2,PBKS,IS Bindra Stadium,07 May 2016
103,Rishabh Pant,69,40,172.5,9,2,GL,Saurashtra Cricket Association Stadium,03 May 2016
104,Hashim Amla,96,56,171.42,14,2,SRH,IS Bindra Stadium,15 May 2016
105,Yuvraj Singh,39,23,169.56,3,2,MI,ACA-VDCA Stadium,08 May 2016
106,MS Dhoni,30,18,166.66,2,2,GL,Maharashtra Cricket Association's International Stadium,29 April 2016
107,Kedar Jadhav,25,15,166.66,0,2,SRH,Rajiv Gandhi Intl. Cricket Stadium,30 April 2016
108,Manan Vohra,38,23,165.21,4,2,GL,IS Bindra Stadium,11 April 2016
109,Yuvraj Singh,38,23,165.21,4,2,RCB,M. Chinnaswamy Stadium,29 May 2016
110,KL Rahul,23,14,164.28,2,2,MI,Wankhede Stadium,20 April 2016
111,Ben Cutting,18,11,163.63,0,2,PBKS,IS Bindra Stadium,15 May 2016
112,KL Rahul,52,32,162.5,6,2,KKR,M. Chinnaswamy Stadium,02 May 2016
113,Deepak Hooda,21,13,161.53,0,2,KKR,Arun Jaitley Stadium,25 May 2016
114,Suresh Raina,58,36,161.11,8,2,MI,Green Park,21 May 2016
115,Dwayne Smith,37,23,160.86,4,2,MI,Green Park,21 May 2016
116,Sam Billings,24,15,160,1,2,RPS,Arun Jaitley Stadium,05 May 2016
117,Sam Billings,54,34,158.82,3,2,KKR,Arun Jaitley Stadium,30 April 2016
118,Yuvraj Singh,19,12,158.33,1,2,KKR,Eden Gardens,22 May 2016
119,JP Duminy,49,31,158.06,3,2,MI,Arun Jaitley Stadium,23 April 2016
120,Aaron Finch,50,32,156.25,7,2,SRH,Arun Jaitley Stadium,27 May 2016
121,Sarfaraz Khan,28,18,155.55,2,2,MI,Wankhede Stadium,20 April 2016
122,Rohit Sharma,84,54,155.55,10,2,KKR,Eden Gardens,13 April 2016
123,Andre Russell,17,11,154.54,0,2,RPS,Maharashtra Cricket Association's International Stadium,24 April 2016
124,Virat Kohli,54,35,154.28,5,2,SRH,M. Chinnaswamy Stadium,29 May 2016
125,Travis Head,37,24,154.16,2,2,MI,Wankhede Stadium,20 April 2016
126,Ajinkya Rahane,74,48,154.16,8,2,RCB,M. Chinnaswamy Stadium,07 May 2016
127,Yusuf Pathan,52,34,152.94,3,2,SRH,Eden Gardens,22 May 2016
128,Dwayne Smith,32,21,152.38,3,2,RCB,Saurashtra Cricket Association Stadium,24 April 2016
