,Player,Ov,Runs,Wkts,Maid,Dots,SR,Against,Venue,Match Date
1656,Shardul Thakur,4,18,2,0,14,12,KKR,Eden Gardens,14-Apr-19
1657,Ravindra Jadeja,4,18,0,0,14,0,MI,Chidambaram,07-May-19
1658,Jasprit Bumrah,4,20,3,0,14,8,RCB,M. Chinnaswamy Stadium,28-Mar-19
1659,Hardik Pandya,4,20,3,0,14,8,CSK,Wankhede Stadium,03-Apr-19
1660,Piyush Chawla,4,20,3,0,14,8,RR,Eden Gardens,25-Apr-19
1661,Ishant Sharma,4,21,1,1,14,24,KKR,Eden Gardens,12-Apr-19
1662,Jofra Archer,4,22,1,0,14,24,MI,Sawai Mansingh Stadium,20-Apr-19
1663,Khaleel Ahmed,4,22,1,0,14,24,CSK,Rajiv Gandhi Intl. Cricket Stadium,17-Apr-19
1664,Jasprit Bumrah,4,22,0,1,14,0,RCB,Wankhede Stadium,15-Apr-19
1665,Bhuvneshwar Kumar,4,22,0,0,14,0,RR,Sawai Mansingh Stadium,27-Apr-19
1666,Harbhajan Singh,4,25,1,0,14,24,MI,Chidambaram,07-May-19
1667,Deepak Chahar,4,28,0,0,14,0,PBKS,IS Bindra Stadium,05-May-19
1668,Rahul Chahar,4,14,2,0,13,12,CSK,Chidambaram,07-May-19
1669,Jasprit Bumrah,4,14,2,0,13,12,CSK,Rajiv Gandhi Intl. Cricket Stadium,12-May-19
1670,Rahul Chahar,4,14,1,0,13,24,CSK,Rajiv Gandhi Intl. Cricket Stadium,12-May-19
1671,Jofra Archer,4,17,2,1,13,12,CSK,Chidambaram,31-Mar-19
1672,Rashid Khan,4,17,2,0,13,12,CSK,Rajiv Gandhi Intl. Cricket Stadium,17-Apr-19
1673,Jofra Archer,4,17,0,0,13,0,PBKS,Sawai Mansingh Stadium,25-Mar-19
1674,Jasprit Bumrah,4,18,2,0,13,12,DC,Arun Jaitley Stadium,18-Apr-19
1675,Rashid Khan,4,18,1,0,13,24,DC,Arun Jaitley Stadium,04-Apr-19
1676,Mitchell McClenaghan,4,19,0,1,13,0,KKR,Wankhede Stadium,05-May-19
1677,Piyush Chawla,4,19,0,0,13,0,RR,Sawai Mansingh Stadium,07-Apr-19
1678,Sandeep Sharma,3.5,19,3,0,13,7.66,RCB,Rajiv Gandhi Intl. Cricket Stadium,31-Mar-19
1679,Harbhajan Singh,4,20,3,0,13,8,RCB,Chidambaram,23-Mar-19
1680,Imran Tahir,4,20,2,0,13,12,SRH,Rajiv Gandhi Intl. Cricket Stadium,17-Apr-19
1681,Mohammad Shami,4,21,3,0,13,8,MI,Wankhede Stadium,10-Apr-19
1682,Rahul Chahar,4,21,2,0,13,12,SRH,Rajiv Gandhi Intl. Cricket Stadium,06-Apr-19
1683,Shreyas Gopal,4,21,2,0,13,12,DC,Arun Jaitley Stadium,04-May-19
1684,Krunal Pandya,4,21,1,0,13,24,CSK,Chidambaram,07-May-19
1685,Sunil Narine,4,22,0,0,13,0,RR,Sawai Mansingh Stadium,07-Apr-19
1686,Kagiso Rabada,4,23,2,0,13,12,PBKS,Arun Jaitley Stadium,20-Apr-19
1687,Harbhajan Singh,4,23,0,0,13,0,MI,Chidambaram,26-Apr-19
1688,Navdeep Saini,4,23,0,0,13,0,PBKS,IS Bindra Stadium,13-Apr-19
1689,Navdeep Saini,4,24,2,0,13,12,DC,M. Chinnaswamy Stadium,07-Apr-19
1690,Yuzvendra Chahal,4,27,2,0,13,12,MI,Wankhede Stadium,15-Apr-19
1691,Rashid Khan,4,27,1,0,13,24,MI,Rajiv Gandhi Intl. Cricket Stadium,06-Apr-19
1692,Khaleel Ahmed,4,30,3,0,13,8,DC,Rajiv Gandhi Intl. Cricket Stadium,14-Apr-19
1693,Marcus Stoinis,4,32,1,0,13,24,KKR,Eden Gardens,19-Apr-19
1694,Lasith Malinga,4,34,3,0,13,8,CSK,Wankhede Stadium,03-Apr-19
1695,Ishant Sharma,4,34,2,0,13,12,MI,Wankhede Stadium,24-Mar-19
1696,Bhuvneshwar Kumar,4,34,1,0,13,24,MI,Rajiv Gandhi Intl. Cricket Stadium,06-Apr-19
1697,Mohammed Siraj,4,38,0,0,13,0,KKR,Eden Gardens,19-Apr-19
1698,Krunal Pandya,3,7,2,0,12,9,CSK,Chidambaram,26-Apr-19
1699,Mohammad Nabi,4,13,1,0,12,24,MI,Rajiv Gandhi Intl. Cricket Stadium,06-Apr-19
1700,Jasprit Bumrah,3,10,2,0,12,9,CSK,Chidambaram,26-Apr-19
1701,Rahul Tewatia,3,10,1,0,12,18,SRH,Arun Jaitley Stadium,04-Apr-19
1702,Imran Tahir,3.2,12,4,0,12,5,DC,Chidambaram,01-May-19
1703,Axar Patel,4,16,0,0,12,0,RR,Arun Jaitley Stadium,04-May-19
1704,Kuldeep Yadav,4,16,0,0,12,0,CSK,Chidambaram,09-Apr-19
1705,Deepak Chahar,4,17,0,0,12,0,RCB,Chidambaram,23-Mar-19
1706,Moeen Ali,4,18,2,0,12,12,MI,Wankhede Stadium,15-Apr-19
1707,Jofra Archer,3,14,0,0,12,0,KKR,Sawai Mansingh Stadium,07-Apr-19
1708,Deepak Chahar,4,19,2,1,12,12,RR,Chidambaram,31-Mar-19
1709,Sunil Narine,4,19,2,1,12,12,CSK,Eden Gardens,14-Apr-19
1710,Deepak Chahar,4,20,1,0,12,24,DC,Arun Jaitley Stadium,26-Mar-19
1711,Rashid Khan,4,21,3,0,12,8,PBKS,Rajiv Gandhi Intl. Cricket Stadium,29-Apr-19
1712,Bhuvneshwar Kumar,4,21,0,0,12,0,CSK,Rajiv Gandhi Intl. Cricket Stadium,17-Apr-19
1713,Jasprit Bumrah,4,23,2,0,12,12,RR,Wankhede Stadium,13-Apr-19
1714,Rashid Khan,4,23,1,0,12,24,KKR,Rajiv Gandhi Intl. Cricket Stadium,21-Apr-19
1715,Prasidh Krishna,4,23,0,0,12,0,CSK,Chidambaram,09-Apr-19
1716,Bhuvneshwar Kumar,4,24,2,0,12,12,RCB,M. Chinnaswamy Stadium,04-May-19
1717,Mitchell McClenaghan,4,24,0,0,12,0,CSK,Rajiv Gandhi Intl. Cricket Stadium,12-May-19
1718,Jasprit Bumrah,3.4,23,0,0,12,0,PBKS,IS Bindra Stadium,30-Mar-19
1719,Khaleel Ahmed,4,26,0,0,12,0,CSK,Chidambaram,23-Apr-19
1720,Mohammad Shami,4,27,2,0,12,12,DC,IS Bindra Stadium,01-Apr-19
1721,Jasprit Bumrah,4,27,0,0,12,0,CSK,Wankhede Stadium,03-Apr-19
1722,Rahul Chahar,4,27,0,0,12,0,PBKS,Wankhede Stadium,10-Apr-19
1723,Jofra Archer,4,28,0,0,12,0,KKR,Eden Gardens,25-Apr-19
1724,Sandeep Lamichhane,4,29,1,0,12,24,KKR,Arun Jaitley Stadium,30-Mar-19
1725,Ishant Sharma,4,29,1,0,12,24,RR,Sawai Mansingh Stadium,22-Apr-19
1726,Mohammad Shami,4,30,1,0,12,24,SRH,IS Bindra Stadium,08-Apr-19
1727,Jasprit Bumrah,4,31,2,0,12,12,KKR,Wankhede Stadium,05-May-19
1728,Navdeep Saini,4,31,1,0,12,24,KKR,Eden Gardens,19-Apr-19
1729,Navdeep Saini,4,34,2,0,12,12,KKR,M. Chinnaswamy Stadium,05-Apr-19
1730,Bhuvneshwar Kumar,4,34,0,0,12,0,PBKS,Rajiv Gandhi Intl. Cricket Stadium,29-Apr-19
1731,Bhuvneshwar Kumar,4,35,2,0,12,12,KKR,Rajiv Gandhi Intl. Cricket Stadium,21-Apr-19
1732,Navdeep Saini,4,35,0,0,12,0,RR,Sawai Mansingh Stadium,02-Apr-19
1733,Dhawal Kulkarni,4,37,1,0,12,24,CSK,Chidambaram,31-Mar-19
1734,Ishant Sharma,4,38,3,0,12,8,RR,Arun Jaitley Stadium,04-May-19
1735,Sandeep Lamichhane,4,40,3,0,12,8,PBKS,Arun Jaitley Stadium,20-Apr-19
1736,Dale Steyn,4,40,2,0,12,12,KKR,Eden Gardens,19-Apr-19
1737,Navdeep Saini,4,40,0,0,12,0,MI,M. Chinnaswamy Stadium,28-Mar-19
1738,Bhuvneshwar Kumar,4,42,2,0,12,12,DC,ACA-VDCA Stadium,08-May-19
1739,Krunal Pandya,4,14,0,0,11,0,KKR,Wankhede Stadium,05-May-19
1740,Amit Mishra,4,17,3,0,11,8,RR,Arun Jaitley Stadium,04-May-19
1741,Yuzvendra Chahal,4,17,2,0,11,12,RR,Sawai Mansingh Stadium,02-Apr-19
1742,Dhawal Kulkarni,3,14,1,1,11,18,CSK,Sawai Mansingh Stadium,11-Apr-19
1743,Dwayne Bravo,4,19,2,0,11,12,DC,ACA-VDCA Stadium,10-May-19
1744,Jofra Archer,4,19,1,1,11,24,CSK,Sawai Mansingh Stadium,11-Apr-19
1745,Trent Boult,4,20,1,0,11,24,CSK,ACA-VDCA Stadium,10-May-19
1746,Mohammad Shami,4,21,1,0,11,24,DC,Arun Jaitley Stadium,20-Apr-19
1747,Rashid Khan,4,21,0,0,11,0,MI,Wankhede Stadium,02-May-19
1748,Siddarth Kaul,3,16,0,0,11,0,RCB,Rajiv Gandhi Intl. Cricket Stadium,31-Mar-19
1749,Rashid Khan,4,22,1,0,11,24,DC,Rajiv Gandhi Intl. Cricket Stadium,14-Apr-19
1750,Kagiso Rabada,3.5,22,4,0,11,5.75,SRH,Rajiv Gandhi Intl. Cricket Stadium,14-Apr-19
1751,Murugan Ashwin,4,25,2,0,11,12,MI,IS Bindra Stadium,30-Mar-19
1752,Mitchell Santner,4,25,1,0,11,24,RR,Sawai Mansingh Stadium,11-Apr-19
1753,Mohammed Siraj,4,25,1,0,11,24,RR,Sawai Mansingh Stadium,02-Apr-19
1754,Bhuvneshwar Kumar,4,25,0,0,11,0,PBKS,IS Bindra Stadium,08-Apr-19
1755,Umesh Yadav,4,26,2,0,11,12,MI,M. Chinnaswamy Stadium,28-Mar-19
1756,Bhuvneshwar Kumar,4,27,2,0,11,12,DC,Arun Jaitley Stadium,04-Apr-19
1757,Jagadeesha Suchith,4,28,2,0,11,12,CSK,Chidambaram,01-May-19
1758,Jason Behrendorff,4,28,1,0,11,24,SRH,Rajiv Gandhi Intl. Cricket Stadium,06-Apr-19
1759,Ishant Sharma,4,29,0,0,11,0,PBKS,Arun Jaitley Stadium,20-Apr-19
1760,Sandeep Warrier,4,29,0,0,11,0,MI,Eden Gardens,28-Apr-19
1761,Deepak Chahar,4,30,1,0,11,24,SRH,Chidambaram,23-Apr-19
1762,Prasidh Krishna,4,30,0,0,11,0,CSK,Eden Gardens,14-Apr-19
1763,Mujeeb Ur Rahman,4,31,2,0,11,12,RR,Sawai Mansingh Stadium,25-Mar-19
1764,Ishant Sharma,4,31,0,0,11,0,RCB,M. Chinnaswamy Stadium,07-Apr-19
1765,Kagiso Rabada,4,32,2,0,11,12,PBKS,IS Bindra Stadium,01-Apr-19
1766,Ish Sodhi,3.1,26,3,1,11,6.33,DC,Arun Jaitley Stadium,04-May-19
1767,Deepak Chahar,4,33,2,0,11,12,RR,Sawai Mansingh Stadium,11-Apr-19
1768,Lasith Malinga,4,35,3,0,11,8,KKR,Wankhede Stadium,05-May-19
1769,Umesh Yadav,4,36,3,0,11,8,PBKS,M. Chinnaswamy Stadium,24-Apr-19
1770,Hardus Viljoen,4,36,1,0,11,24,KKR,Eden Gardens,27-Mar-19
1771,Yuzvendra Chahal,4,36,0,0,11,0,DC,M. Chinnaswamy Stadium,07-Apr-19
1772,Dhawal Kulkarni,4,37,1,0,11,24,PBKS,IS Bindra Stadium,16-Apr-19
1773,Trent Boult,4,37,0,0,11,0,CSK,Chidambaram,01-May-19
1774,Mohammed Siraj,4,38,2,0,11,12,MI,M. Chinnaswamy Stadium,28-Mar-19
1775,Umesh Yadav,4,47,2,0,11,12,CSK,M. Chinnaswamy Stadium,21-Apr-19
1776,Ravichandran Ashwin,4,15,1,0,10,24,RCB,M. Chinnaswamy Stadium,24-Apr-19
1777,Amit Mishra,4,16,1,0,10,24,SRH,ACA-VDCA Stadium,08-May-19
1778,Keemo Paul,4,17,3,0,10,8,SRH,Rajiv Gandhi Intl. Cricket Stadium,14-Apr-19
1779,Harbhajan Singh,4,17,2,1,10,12,PBKS,Chidambaram,06-Apr-19
1780,Axar Patel,4,18,1,0,10,24,SRH,Arun Jaitley Stadium,04-Apr-19
1781,Moeen Ali,4,19,1,0,10,24,PBKS,IS Bindra Stadium,13-Apr-19
1782,Krishnappa Gowtham,4,19,0,0,10,0,RCB,Sawai Mansingh Stadium,02-Apr-19
1783,Rashid Khan,4,7,3,0,17,8,DC,Dubai International Stadium,27-Oct-20
1784,Jasprit Bumrah,4,14,4,1,17,6,DC,Dubai International Stadium,05-Nov-20
1785,Trent Boult,4,18,4,1,17,6,CSK,Sharjah Cricket Stadium,23-Oct-20
1786,Deepak Chahar,4,18,2,1,17,12,RR,Zayed Cricket Stadium,19-Oct-20
1787,Mohammed Siraj,4,8,3,2,16,8,KKR,Zayed Cricket Stadium,21-Oct-20
1788,T Natarajan,4,11,1,0,16,24,RCB,Sharjah Cricket Stadium,31-Oct-20
1789,Rashid Khan,4,12,0,0,16,0,CSK,Dubai International Stadium,02-Oct-20
1790,Pat Cummins,4,17,3,0,16,8,DC,Zayed Cricket Stadium,24-Oct-20
1791,Navdeep Saini,4,18,0,0,16,0,CSK,Dubai International Stadium,10-Oct-20
1792,Trent Boult,4,21,3,0,16,8,DC,Dubai International Stadium,31-Oct-20
1793,Jofra Archer,4,21,2,0,16,12,SRH,Dubai International Stadium,22-Oct-20
1794,Jasprit Bumrah,4,14,3,1,15,8,RCB,Zayed Cricket Stadium,28-Oct-20
1795,Rashid Khan,4,14,2,0,15,12,PBKS,Dubai International Stadium,24-Oct-20
1796,Mohammad Shami,4,15,3,0,15,8,DC,Dubai International Stadium,20-Sep-20
1797,Chris Morris,4,16,0,1,15,0,KKR,Zayed Cricket Stadium,21-Oct-20
1798,Jasprit Bumrah,4,17,3,0,15,8,DC,Dubai International Stadium,31-Oct-20
1799,Jofra Archer,4,18,1,0,15,24,RCB,Zayed Cricket Stadium,03-Oct-20
1800,Jofra Archer,4,19,1,0,15,24,KKR,Dubai International Stadium,01-Nov-20
1801,Arshdeep Singh,4,25,1,1,15,24,KKR,Zayed Cricket Stadium,10-Oct-20
1802,Adam Zampa,4,12,1,0,14,24,SRH,Zayed Cricket Stadium,06-Nov-20
1803,Ravi Bishnoi,4,13,1,0,14,24,SRH,Dubai International Stadium,24-Oct-20
1804,Washington Sundar,4,14,1,1,14,24,KKR,Zayed Cricket Stadium,21-Oct-20
1805,Shivam Mavi,4,15,2,1,14,12,RR,Dubai International Stadium,01-Nov-20
1806,Lockie Ferguson,4,17,1,0,14,24,RCB,Zayed Cricket Stadium,21-Oct-20
1807,Jofra Archer,4,18,2,0,14,12,KKR,Dubai International Stadium,30-Sep-20
1808,Chris Morris,4,19,3,0,14,8,CSK,Dubai International Stadium,10-Oct-20
1809,Jofra Archer,4,19,3,0,14,8,DC,Dubai International Stadium,14-Oct-20
1810,Josh Hazlewood,4,19,1,0,14,24,RR,Zayed Cricket Stadium,19-Oct-20
1811,Jasprit Bumrah,4,20,4,0,14,6,RR,Zayed Cricket Stadium,06-Oct-20
1812,Sheldon Cottrell,4,20,1,1,14,24,MI,Zayed Cricket Stadium,01-Oct-20
1813,Navdeep Saini,4,21,0,0,14,0,PBKS,Sharjah Cricket Stadium,15-Oct-20
1814,Nathan Coulter-Nile,4,25,1,0,14,24,CSK,Sharjah Cricket Stadium,23-Oct-20
1815,Jofra Archer,4,25,1,0,14,24,SRH,Dubai International Stadium,11-Oct-20
1816,Mohammed Siraj,4,28,2,0,14,12,SRH,Zayed Cricket Stadium,06-Nov-20
1817,Jasprit Bumrah,4,32,2,0,14,12,KKR,Zayed Cricket Stadium,23-Sep-20
1818,Sandeep Sharma,4,34,3,0,14,8,MI,Sharjah Cricket Stadium,03-Nov-20
1819,Rashid Khan,4,12,3,1,13,8,PBKS,Dubai International Stadium,08-Oct-20
1820,Washington Sundar,4,12,1,0,13,24,MI,Dubai International Stadium,28-Sep-20
1821,Yuzvendra Chahal,4,12,1,0,13,24,KKR,Sharjah Cricket Stadium,12-Oct-20
1822,Rashid Khan,4,14,3,0,13,8,DC,Zayed Cricket Stadium,29-Sep-20
1823,Lockie Ferguson,4,15,3,0,13,8,SRH,Zayed Cricket Stadium,18-Oct-20
1824,Yuzvendra Chahal,4,15,2,0,13,12,KKR,Zayed Cricket Stadium,21-Oct-20
1825,Rahul Chahar,4,18,2,0,13,12,KKR,Zayed Cricket Stadium,16-Oct-20
1826,Jasprit Bumrah,4,18,2,0,13,12,PBKS,Zayed Cricket Stadium,01-Oct-20
1827,Sandeep Sharma,4,19,2,0,13,12,CSK,Dubai International Stadium,13-Oct-20
1828,Varun Chakaravarthy,4,20,2,0,13,12,CSK,Dubai International Stadium,29-Oct-20
1829,Shivam Mavi,4,20,2,0,13,12,RR,Dubai International Stadium,30-Sep-20
1830,Vijay Shankar,4,20,1,0,13,24,KKR,Zayed Cricket Stadium,18-Oct-20
1831,Rahul Chahar,4,22,2,0,13,12,CSK,Sharjah Cricket Stadium,23-Oct-20
1832,Anrich Nortje,4,22,2,0,13,12,RCB,Dubai International Stadium,05-Oct-20
1833,Sheldon Cottrell,4,24,2,0,13,12,DC,Dubai International Stadium,20-Sep-20
1834,Rashid Khan,4,24,1,0,13,24,RCB,Sharjah Cricket Stadium,31-Oct-20
1835,James Pattinson,4,25,2,0,13,12,KKR,Zayed Cricket Stadium,23-Sep-20
1836,Bhuvneshwar Kumar,4,25,2,0,13,12,DC,Zayed Cricket Stadium,29-Sep-20
1837,Jasprit Bumrah,4,25,2,0,13,12,CSK,Sharjah Cricket Stadium,23-Oct-20
1838,Anrich Nortje,4,25,1,0,13,24,RR,Sharjah Cricket Stadium,09-Oct-20
1839,Jofra Archer,4,26,2,0,13,12,PBKS,Zayed Cricket Stadium,30-Oct-20
1840,Jofra Archer,4,26,1,0,13,24,CSK,Sharjah Cricket Stadium,22-Sep-20
1841,Murugan Ashwin,4,27,1,0,13,24,KKR,Sharjah Cricket Stadium,26-Oct-20
1842,Kagiso Rabada,4,28,2,0,13,12,MI,Zayed Cricket Stadium,11-Oct-20
1843,Shardul Thakur,4,28,2,0,13,12,KKR,Zayed Cricket Stadium,07-Oct-20
1844,Pat Cummins,4,28,1,0,13,24,SRH,Zayed Cricket Stadium,18-Oct-20
1845,Trent Boult,4,30,2,1,13,12,KKR,Zayed Cricket Stadium,23-Sep-20
1846,Pat Cummins,4,31,0,0,13,0,PBKS,Sharjah Cricket Stadium,26-Oct-20
1847,Pat Cummins,4,34,4,0,13,6,RR,Dubai International Stadium,01-Nov-20
1848,Mohammad Shami,4,35,3,0,13,8,KKR,Sharjah Cricket Stadium,26-Oct-20
1849,Shreyas Gopal,4,14,1,0,12,24,CSK,Zayed Cricket Stadium,19-Oct-20
1850,Chris Jordan,4,17,3,0,12,8,SRH,Dubai International Stadium,24-Oct-20
1851,Pat Cummins,3,13,1,0,12,18,RR,Dubai International Stadium,30-Sep-20
1852,Anrich Nortje,4,21,2,0,12,12,CSK,Dubai International Stadium,25-Sep-20
1853,Jasprit Bumrah,4,22,1,0,12,24,KKR,Zayed Cricket Stadium,16-Oct-20
1854,Chris Morris,4,22,0,0,12,0,PBKS,Sharjah Cricket Stadium,15-Oct-20
1855,Sheldon Cottrell,3,17,2,0,12,9,RCB,Dubai International Stadium,24-Sep-20
1856,Jasprit Bumrah,4,24,3,0,12,8,PBKS,Dubai International Stadium,18-Oct-20
1857,Kamlesh Nagarkoti,4,24,1,0,12,24,RR,Dubai International Stadium,01-Nov-20
1858,Chris Morris,4,26,4,0,12,6,RR,Dubai International Stadium,17-Oct-20
1859,Trent Boult,4,26,2,0,12,12,RR,Zayed Cricket Stadium,06-Oct-20
1860,Murugan Ashwin,4,27,1,0,12,24,SRH,Dubai International Stadium,24-Oct-20
1861,Nathan Coulter-Nile,4,27,0,0,12,0,SRH,Sharjah Cricket Stadium,03-Nov-20
1862,Trent Boult,3.2,23,1,0,12,20,CSK,Zayed Cricket Stadium,19-Sep-20
1863,Mohammad Shami,4,28,2,0,12,12,DC,Dubai International Stadium,20-Oct-20
1864,Kagiso Rabada,4,29,4,0,12,6,SRH,Zayed Cricket Stadium,08-Nov-20
1865,Prasidh Krishna,4,29,3,0,12,8,PBKS,Zayed Cricket Stadium,10-Oct-20
1866,Mohammad Shami,4,29,0,0,12,0,CSK,Zayed Cricket Stadium,01-Nov-20
1867,Trent Boult,4,30,3,0,12,8,DC,Dubai International Stadium,10-Nov-20
1868,Mohammad Shami,4,30,2,0,12,12,MI,Dubai International Stadium,18-Oct-20
1869,Ravi Bishnoi,4,32,3,0,12,8,RCB,Dubai International Stadium,24-Sep-20
1870,Kagiso Rabada,4,33,1,1,12,24,CSK,Sharjah Cricket Stadium,17-Oct-20
1871,Ravi Bishnoi,4,34,0,0,12,0,RR,Sharjah Cricket Stadium,27-Sep-20
1872,Varun Aaron,4,47,0,0,12,0,PBKS,Zayed Cricket Stadium,30-Oct-20
1873,Axar Patel,4,14,1,0,11,24,PBKS,Dubai International Stadium,20-Sep-20
1874,Axar Patel,4,16,0,0,11,0,MI,Dubai International Stadium,10-Nov-20
1875,Yuzvendra Chahal,4,18,3,0,11,8,SRH,Dubai International Stadium,21-Sep-20
1876,Rahul Tewatia,4,18,1,0,11,24,CSK,Zayed Cricket Stadium,19-Oct-20
1877,Ravichandran Ashwin,4,18,0,0,11,0,MI,Dubai International Stadium,31-Oct-20
1878,Shahbaz Nadeem,4,19,2,0,11,12,MI,Sharjah Cricket Stadium,03-Nov-20
1879,Pat Cummins,4,19,1,0,11,24,SRH,Zayed Cricket Stadium,26-Sep-20
1880,Ravi Bishnoi,4,20,2,1,11,12,KKR,Sharjah Cricket Stadium,26-Oct-20
1881,Rahul Tewatia,4,20,1,0,11,24,DC,Sharjah Cricket Stadium,09-Oct-20
1882,Jofra Archer,4,20,1,0,11,24,CSK,Zayed Cricket Stadium,19-Oct-20
1883,Kagiso Rabada,4,21,2,0,11,12,SRH,Zayed Cricket Stadium,29-Sep-20
1884,Piyush Chawla,4,21,1,0,11,24,MI,Zayed Cricket Stadium,19-Sep-20
1885,Krunal Pandya,4,22,1,0,11,24,DC,Dubai International Stadium,05-Nov-20
1886,Rashid Khan,4,22,1,0,11,24,MI,Sharjah Cricket Stadium,04-Oct-20
1887,Rashid Khan,4,22,0,0,11,0,RCB,Zayed Cricket Stadium,06-Nov-20
1888,Krunal Pandya,4,23,0,0,11,0,KKR,Zayed Cricket Stadium,16-Oct-20
1889,Jofra Archer,4,24,3,0,11,8,DC,Sharjah Cricket Stadium,09-Oct-20
1890,Sam Curran,3,18,1,0,11,18,SRH,Dubai International Stadium,13-Oct-20
1891,Rahul Tewatia,4,25,3,0,11,8,KKR,Dubai International Stadium,01-Nov-20
1892,Chris Jordan,4,25,2,0,11,12,KKR,Sharjah Cricket Stadium,26-Oct-20
1893,Pat Cummins,4,25,0,0,11,0,CSK,Zayed Cricket Stadium,07-Oct-20
1894,Bhuvneshwar Kumar,4,25,0,0,11,0,RCB,Dubai International Stadium,21-Sep-20
1895,T Natarajan,3.5,24,2,0,11,11.5,PBKS,Dubai International Stadium,08-Oct-20
1896,Kagiso Rabada,4,26,3,0,11,8,CSK,Dubai International Stadium,25-Sep-20
1897,T Natarajan,4,26,2,0,11,12,DC,Dubai International Stadium,27-Oct-20
1898,Rahul Chahar,4,26,2,0,11,12,KKR,Zayed Cricket Stadium,23-Sep-20
1899,Sandeep Sharma,4,27,2,0,11,12,DC,Dubai International Stadium,27-Oct-20
1900,Trent Boult,4,28,2,0,11,12,SRH,Sharjah Cricket Stadium,04-Oct-20
1901,Shreyas Gopal,4,28,2,0,11,12,MI,Zayed Cricket Stadium,06-Oct-20
1902,Anrich Nortje,4,28,0,0,11,0,MI,Zayed Cricket Stadium,11-Oct-20
1903,Varun Chakaravarthy,4,28,0,0,11,0,RCB,Zayed Cricket Stadium,21-Oct-20
1904,Ravichandran Ashwin,4,29,3,0,11,8,MI,Dubai International Stadium,05-Nov-20
1905,Andre Russell,4,29,2,0,11,12,DC,Sharjah Cricket Stadium,03-Oct-20
1906,T Natarajan,4,29,0,0,11,0,MI,Sharjah Cricket Stadium,04-Oct-20
1907,Mohammad Shami,4,30,1,0,11,24,KKR,Zayed Cricket Stadium,10-Oct-20
1908,Navdeep Saini,3,23,1,0,11,18,KKR,Zayed Cricket Stadium,21-Oct-20
1909,Jofra Archer,4,31,2,0,11,12,MI,Zayed Cricket Stadium,25-Oct-20
1910,Deepak Chahar,4,31,2,0,11,12,SRH,Dubai International Stadium,02-Oct-20
1911,Anrich Nortje,4,33,3,0,11,8,RCB,Zayed Cricket Stadium,02-Nov-20
1912,Jason Holder,4,33,3,0,11,8,RR,Dubai International Stadium,22-Oct-20
1913,Anrich Nortje,4,33,3,0,11,8,KKR,Sharjah Cricket Stadium,03-Oct-20
1914,Anrich Nortje,4,33,0,0,11,0,PBKS,Dubai International Stadium,20-Sep-20
1915,Mohammed Siraj,4,34,2,0,11,12,DC,Dubai International Stadium,05-Oct-20
1916,Mohammad Shami,4,34,1,0,11,24,SRH,Dubai International Stadium,24-Oct-20
1917,Jofra Archer,4,34,1,0,11,24,MI,Zayed Cricket Stadium,06-Oct-20
1918,Deepak Chahar,4,34,0,0,11,0,MI,Sharjah Cricket Stadium,23-Oct-20
1919,Kartik Tyagi,4,35,1,0,11,24,CSK,Zayed Cricket Stadium,19-Oct-20
1920,Anrich Nortje,4,37,1,0,11,24,SRH,Dubai International Stadium,27-Oct-20
1921,Pat Cummins,4,38,0,0,11,0,RCB,Sharjah Cricket Stadium,12-Oct-20
1922,Lungi Ngidi,4,39,3,0,11,8,PBKS,Zayed Cricket Stadium,01-Nov-20
1923,Deepak Chahar,3,10,1,0,10,18,RCB,Dubai International Stadium,10-Oct-20
1924,Chris Morris,4,17,2,0,10,12,KKR,Sharjah Cricket Stadium,12-Oct-20
1925,Ravichandran Ashwin,4,17,1,0,10,24,RR,Dubai International Stadium,14-Oct-20
1926,Axar Patel,4,18,2,0,10,12,RCB,Dubai International Stadium,05-Oct-20
1927,Deepak Chahar,4,18,2,1,10,12,DC,Sharjah Cricket Stadium,17-Oct-20
1928,Ravichandran Ashwin,4,18,1,0,10,24,RCB,Zayed Cricket Stadium,02-Nov-20
1929,Axar Patel,4,18,1,0,10,24,CSK,Dubai International Stadium,25-Sep-20
1930,Mohammad Shami,3,14,1,0,10,18,RCB,Dubai International Stadium,24-Sep-20
1931,Washington Sundar,4,20,0,0,10,0,MI,Zayed Cricket Stadium,28-Oct-20
1932,Varun Chakaravarthy,4,23,1,0,10,24,MI,Zayed Cricket Stadium,16-Oct-20
1933,Deepak Chahar,4,13,4,1,18,6,PBKS,Wankhede Stadium,16-Apr-21
1934,Jasprit Bumrah,4,14,2,0,18,12,RR,Sharjah Cricket Stadium,05-Oct-21
1935,Chris Morris,4,23,4,0,18,6,KKR,Wankhede Stadium,24-Apr-21
1936,Shardul Thakur,4,11,1,0,17,24,RCB,Wankhede Stadium,25-Apr-21
1937,Mohammad Shami,4,14,2,1,17,12,SRH,Sharjah Cricket Stadium,25-Sep-21
1938,Lockie Ferguson,4,18,3,0,17,8,RR,Sharjah Cricket Stadium,07-Oct-21
1939,Shivam Mavi,4,19,1,0,17,24,RR,Wankhede Stadium,24-Apr-21
1940,Mohammad Shami,4,25,1,0,17,24,KKR,Narendra Modi Stadium,26-Apr-21
1941,Yuzvendra Chahal,4,11,3,1,16,8,MI,Dubai International Stadium,26-Sep-21
1942,Nathan Coulter-Nile,4,14,4,0,16,6,RR,Sharjah Cricket Stadium,05-Oct-21
