,Player,Ov,Runs,Wkts,Maid,Dots,SR,Against,Venue,Match Date
1441,Yuzvendra Chahal,4,19,1,0,10,24,DC,M. Chinnaswamy Stadium,08-Apr-17
1442,Jaydev Unadkat,4,19,1,0,10,24,RCB,Maharashtra Cricket Association's International Stadium,29-Apr-17
1443,Nathan Coulter-Nile,4,20,3,0,10,8,SRH,M. Chinnaswamy Stadium,17-May-17
1444,Pawan Negi,3,15,2,0,10,9,KKR,Eden Gardens,23-Apr-17
1445,Dan Christian,4,20,1,0,10,24,SRH,Maharashtra Cricket Association's International Stadium,22-Apr-17
1446,Sreenath Aravind,4,21,0,0,10,0,MI,M. Chinnaswamy Stadium,14-Apr-17
1447,Shahbaz Nadeem,4,23,1,0,10,24,RPS,Maharashtra Cricket Association's International Stadium,11-Apr-17
1448,Umesh Yadav,4,23,1,0,10,24,RPS,Eden Gardens,03-May-17
1449,Jaydev Unadkat,4,24,1,0,10,24,MI,Wankhede Stadium,16-May-17
1450,Mohit Sharma,4,25,2,0,10,12,SRH,Rajiv Gandhi Intl. Cricket Stadium,17-Apr-17
1451,Dan Christian,4,25,1,0,10,24,RCB,Maharashtra Cricket Association's International Stadium,29-Apr-17
1452,Chris Morris,4,26,4,0,10,6,SRH,Rajiv Gandhi Intl. Cricket Stadium,19-Apr-17
1453,Aniket Choudhary,2.5,19,1,1,10,17,KKR,M. Chinnaswamy Stadium,07-May-17
1454,Jaydev Unadkat,4,29,2,0,10,12,DC,Arun Jaitley Stadium,12-May-17
1455,Dhawal Kulkarni,4,30,1,0,10,24,DC,Green Park,10-May-17
1456,Karn Sharma,4,30,1,0,10,24,RPS,Wankhede Stadium,16-May-17
1457,Umesh Yadav,4,30,0,0,10,0,SRH,Rajiv Gandhi Intl. Cricket Stadium,30-Apr-17
1458,Jasprit Bumrah,4,31,2,0,10,12,GL,Saurashtra Cricket Association Stadium,29-Apr-17
1459,Tymal Mills,4,31,1,0,10,24,SRH,Rajiv Gandhi Intl. Cricket Stadium,05-Apr-17
1460,Ravindra Jadeja,4,31,0,0,10,0,DC,Green Park,10-May-17
1461,Mohammed Siraj,4,32,4,0,10,6,GL,Green Park,13-May-17
1462,Ben Stokes,4,32,0,0,10,0,PBKS,Holkar Cricket Stadium,08-Apr-17
1463,Lasith Malinga,4,33,2,0,10,12,GL,Saurashtra Cricket Association Stadium,29-Apr-17
1464,Trent Boult,4,33,1,0,10,24,SRH,Eden Gardens,15-Apr-17
1465,Samuel Badree,4,33,1,0,10,24,KKR,Eden Gardens,23-Apr-17
1466,Chris Morris,4,33,0,0,10,0,MI,Wankhede Stadium,22-Apr-17
1467,Rashid Khan,4,34,3,0,10,8,GL,Green Park,13-May-17
1468,Basil Thampi,4,34,1,0,10,24,RCB,M. Chinnaswamy Stadium,27-Apr-17
1469,Shardul Thakur,4,35,3,0,10,8,RCB,M. Chinnaswamy Stadium,16-Apr-17
1470,Kuldeep Yadav,4,35,1,0,10,24,RPS,Eden Gardens,03-May-17
1471,Adam Milne,4,35,0,0,10,0,RPS,Maharashtra Cricket Association's International Stadium,29-Apr-17
1472,Mohammad Shami,4,36,1,0,10,24,GL,Green Park,10-May-17
1473,Ben Stokes,4,36,1,0,10,24,MI,Maharashtra Cricket Association's International Stadium,06-Apr-17
1474,Trent Boult,4,36,0,0,10,0,PBKS,Eden Gardens,13-Apr-17
1475,Pradeep Sangwan,4,37,0,0,10,0,SRH,Green Park,13-May-17
1476,Pradeep Sangwan,4,38,2,0,10,12,RPS,Maharashtra Cricket Association's International Stadium,01-May-17
1477,Ben Cutting,3.4,35,0,0,10,0,RCB,Rajiv Gandhi Intl. Cricket Stadium,05-Apr-17
1478,Tim Southee,4,39,2,1,10,12,KKR,Eden Gardens,13-May-17
1479,James Faulkner,4,39,2,0,10,12,DC,Green Park,10-May-17
1480,Sandeep Sharma,4,41,1,0,10,24,DC,Arun Jaitley Stadium,15-Apr-17
1481,Mitchell McClenaghan,4,46,2,0,10,12,PBKS,Holkar Cricket Stadium,20-Apr-17
1482,Mohit Sharma,4,47,0,0,10,0,RCB,Holkar Cricket Stadium,10-Apr-17
1483,Rashid Khan,4,13,1,0,18,24,MI,Rajiv Gandhi Intl. Cricket Stadium,12-Apr-18
1484,Ankit Rajpoot,4,19,2,1,18,12,CSK,Maharashtra Cricket Association's International Stadium,20-May-18
1485,Ankit Rajpoot,4,14,5,0,17,4.8,SRH,Rajiv Gandhi Intl. Cricket Stadium,26-Apr-18
1486,Deepak Chahar,4,15,3,1,17,8,SRH,Rajiv Gandhi Intl. Cricket Stadium,22-Apr-18
1487,Lungi Ngidi,4,10,4,1,16,6,PBKS,Maharashtra Cricket Association's International Stadium,20-May-18
1488,Rashid Khan,4,11,2,1,16,12,MI,Wankhede Stadium,24-Apr-18
1489,Bhuvneshwar Kumar,4,17,0,1,16,0,CSK,Wankhede Stadium,27-May-18
1490,Andrew Tye,4,16,4,0,15,6,MI,Wankhede Stadium,16-May-18
1491,Billy Stanlake,4,21,2,0,15,12,KKR,Eden Gardens,14-Apr-18
1492,Umesh Yadav,4,23,3,0,15,8,PBKS,Holkar Cricket Stadium,14-May-18
1493,Ankit Rajpoot,4,23,2,0,15,12,DC,Arun Jaitley Stadium,23-Apr-18
1494,Lungi Ngidi,4,24,1,0,15,24,RCB,Maharashtra Cricket Association's International Stadium,05-May-18
1495,Chris Woakes,4,36,3,0,15,8,KKR,Eden Gardens,08-Apr-18
1496,Rashid Khan,4,11,2,0,14,12,CSK,Wankhede Stadium,22-May-18
1497,Sandeep Sharma,3,9,1,0,14,18,MI,Wankhede Stadium,24-Apr-18
1498,Ravindra Jadeja,4,13,1,0,14,24,SRH,Wankhede Stadium,22-May-18
1499,Ben Stokes,4,15,3,1,14,8,KKR,Eden Gardens,15-May-18
1500,Sandeep Sharma,4,15,1,0,14,24,RR,Sawai Mansingh Stadium,29-Apr-18
1501,Jofra Archer,4,16,2,0,14,12,MI,Wankhede Stadium,13-May-18
1502,Deepak Chahar,4,16,1,0,14,24,SRH,Maharashtra Cricket Association's International Stadium,13-May-18
1503,Shardul Thakur,4,22,1,0,14,24,RR,Sawai Mansingh Stadium,11-May-18
1504,Yuzvendra Chahal,4,23,0,0,14,0,MI,M. Chinnaswamy Stadium,01-May-18
1505,Tim Southee,4,25,2,0,14,12,MI,M. Chinnaswamy Stadium,01-May-18
1506,Sandeep Sharma,4,17,2,0,13,12,PBKS,Rajiv Gandhi Intl. Cricket Stadium,26-Apr-18
1507,Kuldeep Yadav,4,18,1,0,13,24,RR,Eden Gardens,23-May-18
1508,Amit Mishra,4,19,3,0,13,8,MI,Arun Jaitley Stadium,20-May-18
1509,Hardik Pandya,4,19,2,0,13,12,KKR,Wankhede Stadium,06-May-18
1510,Umesh Yadav,3,15,2,0,13,9,CSK,Maharashtra Cricket Association's International Stadium,05-May-18
1511,Jofra Archer,4,22,3,0,13,8,MI,Sawai Mansingh Stadium,22-Apr-18
1512,Siddarth Kaul,4,23,3,0,13,8,MI,Wankhede Stadium,24-Apr-18
1513,Umesh Yadav,4,23,3,0,13,8,PBKS,M. Chinnaswamy Stadium,13-Apr-18
1514,Sandeep Sharma,4,25,2,0,13,12,MI,Rajiv Gandhi Intl. Cricket Stadium,12-Apr-18
1515,Bhuvneshwar Kumar,4,26,3,0,13,8,KKR,Eden Gardens,14-Apr-18
1516,Siddarth Kaul,4,26,2,0,13,12,KKR,Rajiv Gandhi Intl. Cricket Stadium,19-May-18
1517,Umesh Yadav,4,27,2,0,13,12,KKR,Eden Gardens,08-Apr-18
1518,Trent Boult,4,29,2,1,13,12,KKR,Eden Gardens,16-Apr-18
1519,Mitchell McClenaghan,4,34,1,0,13,24,RCB,M. Chinnaswamy Stadium,01-May-18
1520,Billy Stanlake,4,42,2,0,13,12,MI,Rajiv Gandhi Intl. Cricket Stadium,12-Apr-18
1521,Ish Sodhi,4,14,1,0,12,24,PBKS,Sawai Mansingh Stadium,08-May-18
1522,Krunal Pandya,3.1,12,2,0,12,9.5,KKR,Eden Gardens,09-May-18
1523,Liam Plunkett,4,17,3,0,12,8,PBKS,Arun Jaitley Stadium,23-Apr-18
1524,Bhuvneshwar Kumar,3.1,14,1,0,12,19,CSK,Wankhede Stadium,22-May-18
1525,Deepak Chahar,3,14,1,0,12,18,MI,Wankhede Stadium,07-Apr-18
1526,Rashid Khan,4,19,3,0,12,8,KKR,Eden Gardens,25-May-18
1527,Mustafizur Rahman,3.4,18,1,0,12,22,SRH,Wankhede Stadium,24-Apr-18
