,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
951,Shakib Al Hasan,10,9,31,243,5,Jan-14,48.6,7.83,37.2,0,0
952,Imran Tahir,4,4,16,138,5,Mar-24,27.6,8.62,19.2,0,0
953,Pravin Tambe,7,7,16,143,5,02-Dec,28.6,8.93,19.2,0,0
954,Mohammad Shami,8,8,25.1,244,5,Feb-34,48.8,9.69,30.2,0,0
955,Mitchell Marsh,3,3,9,45,4,Feb-14,11.25,5,13.5,0,0
956,Brad Hogg,5,5,16,142,4,Mar-19,35.5,8.87,24,0,0
957,Vinay Kumar,3,3,9,64,3,Feb-17,21.33,7.11,18,0,0
958,Deepak Hooda,17,6,13,97,3,Feb-16,32.33,7.46,26,0,0
959,Nathan Coulter-Nile,4,4,15,114,3,Feb-25,38,7.6,30,0,0
960,Pradeep Sahu,5,5,17.3,146,3,Feb-18,48.66,8.34,35,0,0
961,Bipul Sharma,7,6,14,121,3,01-Oct,40.33,8.64,28,0,0
962,Ankit Rajpoot,4,4,11,98,3,Jan-14,32.66,8.9,22,0,0
963,Hardik Pandya,11,10,16.4,153,3,01-Jul,51,9.18,33.33,0,0
964,Tabraiz Shamsi,4,4,16,147,3,Jan-21,49,9.18,32,0,0
965,RP Singh,4,4,12,111,3,Jan-23,37,9.25,24,0,0
966,KC Cariappa,5,5,17,159,3,Feb-16,53,9.35,34,0,0
967,Ishant Sharma,4,4,15,148,3,Feb-36,49.33,9.86,30,0,0
968,Sachin Baby,11,2,1.4,8,2,02-Apr,4,4.8,5,0,0
969,John Hastings,2,2,6.4,37,2,02-Jun,18.5,5.55,20,0,0
970,Chris Gayle,10,4,10,63,2,02-Nov,31.5,6.3,30,0,0
971,Jayant Yadav,5,5,17,125,2,Jan-23,62.5,7.35,51,0,0
972,Scott Boland,2,2,7,54,2,Feb-31,27,7.71,21,0,0
973,Gurkeerat Mann Singh,7,3,4,31,2,Feb-15,15.5,7.75,12,0,0
974,JP Duminy,10,5,7,55,2,01-Apr,27.5,7.85,21,0,0
975,Jason Holder,4,4,13,103,2,Feb-33,51.5,7.92,39,0,0
976,Rishi Dhawan,2,2,7,56,2,Jan-21,28,8,21,0,0
