,Player,Ov,Runs,Wkts,Dots,Econ,SR,Against,Venue,Match Date
1759,Jofra Archer,4,22,1,14,5.5,24,MI,Sawai Mansingh Stadium,20-Apr-19
1760,Rahul Chahar,2,11,0,5,5.5,0,CSK,Wankhede Stadium,03-Apr-19
1761,Jasprit Bumrah,4,22,0,14,5.5,0,RCB,Wankhede Stadium,15-Apr-19
1762,Bhuvneshwar Kumar,4,22,0,14,5.5,0,RR,Sawai Mansingh Stadium,27-Apr-19
1763,Sunil Narine,4,22,0,13,5.5,0,RR,Sawai Mansingh Stadium,07-Apr-19
1764,Ravindra Jadeja,4,22,0,8,5.5,0,SRH,Rajiv Gandhi Intl. Cricket Stadium,17-Apr-19
1765,Mohammad Shami,3,17,2,8,5.66,9,CSK,IS Bindra Stadium,05-May-19
1766,Andre Russell,3,17,1,8,5.66,18,RCB,Eden Gardens,19-Apr-19
1767,Ishant Sharma,3,17,0,5,5.66,0,MI,Arun Jaitley Stadium,18-Apr-19
1768,Kagiso Rabada,3.5,22,4,11,5.73,5.75,SRH,Rajiv Gandhi Intl. Cricket Stadium,14-Apr-19
1769,Ravichandran Ashwin,4,23,3,10,5.75,8,CSK,Chidambaram,06-Apr-19
1770,Jasprit Bumrah,4,23,2,12,5.75,12,RR,Wankhede Stadium,13-Apr-19
1771,Kagiso Rabada,4,23,2,13,5.75,12,PBKS,Arun Jaitley Stadium,20-Apr-19
1772,Kagiso Rabada,4,23,2,10,5.75,12,MI,Wankhede Stadium,24-Mar-19
1773,Imran Tahir,4,23,2,8,5.75,12,RR,Chidambaram,31-Mar-19
1774,Rashid Khan,4,23,1,12,5.75,24,KKR,Rajiv Gandhi Intl. Cricket Stadium,21-Apr-19
1775,Ravindra Jadeja,4,23,1,8,5.75,24,DC,Arun Jaitley Stadium,26-Mar-19
1776,Harbhajan Singh,4,23,0,13,5.75,0,MI,Chidambaram,26-Apr-19
1777,Murugan Ashwin,4,23,0,8,5.75,0,CSK,Chidambaram,06-Apr-19
1778,Navdeep Saini,4,23,0,13,5.75,0,PBKS,IS Bindra Stadium,13-Apr-19
1779,Ravichandran Ashwin,4,23,0,7,5.75,0,CSK,IS Bindra Stadium,05-May-19
1780,Prasidh Krishna,4,23,0,12,5.75,0,CSK,Chidambaram,09-Apr-19
1781,Bhuvneshwar Kumar,4,24,2,12,6,12,RCB,M. Chinnaswamy Stadium,04-May-19
1782,Ravichandran Ashwin,4,24,2,6,6,12,RR,IS Bindra Stadium,16-Apr-19
1783,Navdeep Saini,4,24,2,13,6,12,DC,M. Chinnaswamy Stadium,07-Apr-19
1784,Yuzvendra Chahal,4,24,1,10,6,24,SRH,M. Chinnaswamy Stadium,04-May-19
1785,Navdeep Saini,4,24,1,15,6,24,CSK,M. Chinnaswamy Stadium,21-Apr-19
1786,Rashid Khan,4,24,1,10,6,24,RR,Rajiv Gandhi Intl. Cricket Stadium,29-Mar-19
1787,Murugan Ashwin,4,24,1,6,6,24,RR,IS Bindra Stadium,16-Apr-19
1788,Yuzvendra Chahal,4,24,1,8,6,24,KKR,M. Chinnaswamy Stadium,05-Apr-19
1789,Amit Mishra,3,18,1,7,6,18,MI,Arun Jaitley Stadium,18-Apr-19
1790,Yuzvendra Chahal,4,24,1,7,6,24,CSK,M. Chinnaswamy Stadium,21-Apr-19
