,Player,Ov,Runs,Wkts,Dots,Econ,SR,Against,Venue,Match Date
1968,Jasprit Bumrah,4,14,1,12,3.5,24,SRH,Chidambaram,17-Apr-21
1969,Varun Chakaravarthy,4,14,1,16,3.5,24,RR,Sharjah Cricket Stadium,07-Oct-21
1970,Arshdeep Singh,2,7,1,8,3.5,12,CSK,Wankhede Stadium,16-Apr-21
1971,Avesh Khan,4,15,3,16,3.75,8,MI,Sharjah Cricket Stadium,02-Oct-21
1972,Jaydev Unadkat,4,15,3,15,3.75,8,DC,Wankhede Stadium,15-Apr-21
1973,Jasprit Bumrah,4,15,1,12,3.75,24,RR,Arun Jaitley Stadium,29-Apr-21
1974,Imran Tahir,4,16,2,14,4,12,RCB,Wankhede Stadium,25-Apr-21
1975,Yuzvendra Chahal,4,16,2,8,4,12,KKR,Sharjah Cricket Stadium,11-Oct-21
1976,Sam Curran,3,12,1,12,4,18,PBKS,Wankhede Stadium,16-Apr-21
1977,Moises Henriques,3,12,0,9,4,0,MI,Chidambaram,23-Apr-21
1978,Harshal Patel,4,17,2,7,4.25,12,KKR,Chidambaram,18-Apr-21
1979,Ravi Bishnoi,4,17,2,10,4.25,12,RCB,Narendra Modi Stadium,30-Apr-21
1980,Dwayne Bravo,4,17,2,10,4.25,12,SRH,Sharjah Cricket Stadium,30-Sep-21
1981,Trent Boult,4,17,1,16,4.25,24,RCB,Dubai International Stadium,26-Sep-21
1982,Rashid Khan,4,17,1,11,4.25,24,PBKS,Chidambaram,21-Apr-21
1983,Rashid Khan,4,17,1,11,4.25,24,PBKS,Sharjah Cricket Stadium,25-Sep-21
1984,Lalit Yadav,4,17,1,7,4.25,24,MI,Chidambaram,20-Apr-21
1985,Avesh Khan,3,13,3,9,4.33,6,KKR,Sharjah Cricket Stadium,28-Sep-21
1986,Lalit Yadav,3,13,2,6,4.33,9,KKR,Narendra Modi Stadium,29-Apr-21
1987,Axar Patel,3,13,0,10,4.33,0,KKR,Sharjah Cricket Stadium,28-Sep-21
1988,Lockie Ferguson,4,18,3,17,4.5,8,RR,Sharjah Cricket Stadium,07-Oct-21
1989,Sunil Narine,4,18,2,10,4.5,12,DC,Sharjah Cricket Stadium,28-Sep-21
1990,Rashid Khan,4,18,2,10,4.5,12,RCB,Chidambaram,14-Apr-21
1991,Axar Patel,4,18,2,6,4.5,12,CSK,Dubai International Stadium,04-Oct-21
1992,Anrich Nortje,4,18,2,12,4.5,12,RR,Zayed Cricket Stadium,25-Sep-21
1993,Yuzvendra Chahal,4,18,2,11,4.5,12,RR,Dubai International Stadium,29-Sep-21
1994,Kieron Pollard,2,9,0,3,4.5,0,RR,Sharjah Cricket Stadium,05-Oct-21
1995,Abhishek Sharma,2,9,0,6,4.5,0,CSK,Sharjah Cricket Stadium,30-Sep-21
1996,Siddarth Kaul,3.4,17,1,11,4.63,22,KKR,Dubai International Stadium,03-Oct-21
1997,Dan Christian,3,14,2,8,4.66,9,SRH,Zayed Cricket Stadium,06-Oct-21
1998,Ravindra Jadeja,3,14,1,5,4.66,18,SRH,Sharjah Cricket Stadium,30-Sep-21
1999,Ravichandran Ashwin,3,14,0,5,4.66,0,RR,Wankhede Stadium,15-Apr-21
2000,Jason Holder,4,19,3,9,4.75,8,PBKS,Sharjah Cricket Stadium,25-Sep-21
2001,Harpreet Brar,4,19,3,15,4.75,8,RCB,Narendra Modi Stadium,30-Apr-21
2002,Rahul Chahar,4,19,3,13,4.75,8,SRH,Chidambaram,17-Apr-21
2003,Deepak Chahar,4,19,2,13,4.75,12,MI,Dubai International Stadium,19-Sep-21
2004,Mohammed Siraj,4,19,2,10,4.75,12,KKR,Sharjah Cricket Stadium,11-Oct-21
2005,Harshal Patel,4,19,2,10,4.75,12,KKR,Sharjah Cricket Stadium,11-Oct-21
2006,Nathan Coulter-Nile,4,19,1,12,4.75,24,DC,Sharjah Cricket Stadium,02-Oct-21
2007,Shivam Mavi,4,19,1,17,4.75,24,RR,Wankhede Stadium,24-Apr-21
2008,Rahul Chahar,4,19,1,8,4.75,24,PBKS,Chidambaram,23-Apr-21
2009,Anrich Nortje,4,19,1,15,4.75,24,MI,Sharjah Cricket Stadium,02-Oct-21
2010,Ravi Bishnoi,4,19,0,9,4.75,0,KKR,Narendra Modi Stadium,26-Apr-21
2011,Ravindra Jadeja,4,19,0,14,4.75,0,PBKS,Wankhede Stadium,16-Apr-21
2012,Nathan Coulter-Nile,4,19,0,10,4.75,0,PBKS,Zayed Cricket Stadium,28-Sep-21
2013,Mustafizur Rahman,4,20,3,12,5,8,SRH,Arun Jaitley Stadium,02-May-21
2014,Shahbaz Ahmed,2,10,2,2,5,6,RR,Dubai International Stadium,29-Sep-21
2015,Shardul Thakur,4,20,2,10,5,12,KKR,Zayed Cricket Stadium,26-Sep-21
2016,Lockie Ferguson,2,10,2,6,5,6,DC,Sharjah Cricket Stadium,28-Sep-21
2017,Shakib Al Hasan,4,20,1,10,5,24,SRH,Dubai International Stadium,03-Oct-21
2018,Dwayne Bravo,2,10,1,6,5,12,PBKS,Wankhede Stadium,16-Apr-21
2019,Mohammed Siraj,3,15,1,12,5,18,MI,Dubai International Stadium,26-Sep-21
2020,Deepak Hooda,3,15,1,9,5,18,MI,Chidambaram,23-Apr-21
2021,Sunil Narine,4,20,1,10,5,24,MI,Zayed Cricket Stadium,23-Sep-21
2022,Sandeep Sharma,4,20,1,12,5,24,PBKS,Sharjah Cricket Stadium,25-Sep-21
2023,Ravichandran Ashwin,4,20,1,14,5,24,RR,Zayed Cricket Stadium,25-Sep-21
2024,Nathan Ellis,4,20,1,13,5,24,MI,Zayed Cricket Stadium,28-Sep-21
2025,Ravichandran Ashwin,4,20,1,8,5,24,CSK,Dubai International Stadium,04-Oct-21
2026,Sunil Narine,4,20,0,12,5,0,RCB,Zayed Cricket Stadium,20-Sep-21
2027,Kieron Pollard,2,10,0,5,5,0,SRH,Chidambaram,17-Apr-21
2028,Jayant Yadav,4,20,0,16,5,0,PBKS,Chidambaram,23-Apr-21
2029,Yuzvendra Chahal,2,10,0,5,5,0,DC,Narendra Modi Stadium,27-Apr-21
2030,Sunil Narine,4,20,0,11,5,0,RR,Wankhede Stadium,24-Apr-21
2031,Varun Chakaravarthy,4,20,0,7,5,0,RCB,Sharjah Cricket Stadium,11-Oct-21
2032,Bhuvneshwar Kumar,4,20,0,14,5,0,KKR,Dubai International Stadium,03-Oct-21
2033,Sunil Narine,4,21,4,11,5.25,6,RCB,Sharjah Cricket Stadium,11-Oct-21
2034,Mohammad Shami,4,21,3,13,5.25,8,RR,Dubai International Stadium,21-Sep-21
2035,Axar Patel,4,21,3,8,5.25,8,MI,Sharjah Cricket Stadium,02-Oct-21
2036,Khaleel Ahmed,4,21,3,9,5.25,8,PBKS,Chidambaram,21-Apr-21
2037,Mohammad Shami,4,21,2,7,5.25,12,MI,Chidambaram,23-Apr-21
2038,Mohammad Shami,4,21,2,11,5.25,12,CSK,Wankhede Stadium,16-Apr-21
2039,Ravi Bishnoi,4,21,2,10,5.25,12,MI,Chidambaram,23-Apr-21
2040,Adam Milne,4,21,2,14,5.25,12,CSK,Dubai International Stadium,19-Sep-21
2041,Axar Patel,4,21,2,9,5.25,12,SRH,Dubai International Stadium,22-Sep-21
2042,Ravindra Jadeja,4,21,1,5,5.25,24,KKR,Zayed Cricket Stadium,26-Sep-21
2043,Axar Patel,4,21,1,11,5.25,24,PBKS,Narendra Modi Stadium,02-May-21
2044,Umran Malik,4,21,1,11,5.25,24,RCB,Zayed Cricket Stadium,06-Oct-21
2045,Jagadeesha Suchith,4,21,0,9,5.25,0,DC,Chidambaram,25-Apr-21
2046,Kagiso Rabada,4,21,0,12,5.25,0,CSK,Dubai International Stadium,04-Oct-21
2047,Shahbaz Ahmed,4,21,0,7,5.25,0,SRH,Zayed Cricket Stadium,06-Oct-21
2048,Bhuvneshwar Kumar,3,16,1,7,5.33,18,PBKS,Chidambaram,21-Apr-21
2049,Moeen Ali,3,16,0,8,5.33,0,DC,Dubai International Stadium,04-Oct-21
2050,Moeen Ali,3,16,0,4,5.33,0,MI,Dubai International Stadium,19-Sep-21
2051,Harshal Patel,3.1,17,4,10,5.36,4.75,MI,Dubai International Stadium,26-Sep-21
2052,Sunil Narine,4,22,2,10,5.5,12,PBKS,Narendra Modi Stadium,26-Apr-21
2053,Ravi Bishnoi,4,22,2,9,5.5,12,KKR,Dubai International Stadium,01-Oct-21
2054,Mustafizur Rahman,4,22,2,6,5.5,12,DC,Zayed Cricket Stadium,25-Sep-21
2055,Chris Woakes,4,22,2,13,5.5,12,RR,Wankhede Stadium,15-Apr-21
2056,Mohammad Shami,4,22,1,14,5.5,24,CSK,Dubai International Stadium,07-Oct-21
2057,Mustafizur Rahman,4,22,1,13,5.5,24,KKR,Wankhede Stadium,24-Apr-21
2058,Shahbaz Ahmed,2,11,1,2,5.5,12,PBKS,Narendra Modi Stadium,30-Apr-21
2059,Arshdeep Singh,4,22,1,9,5.5,24,SRH,Sharjah Cricket Stadium,25-Sep-21
2060,Fabian Allen,4,22,1,13,5.5,24,SRH,Chidambaram,21-Apr-21
2061,Varun Chakaravarthy,4,22,1,9,5.5,24,CSK,Zayed Cricket Stadium,26-Sep-21
2062,Avesh Khan,4,22,1,9,5.5,24,KKR,Sharjah Cricket Stadium,13-Oct-21
2063,Rashid Khan,4,22,0,11,5.5,0,MI,Chidambaram,17-Apr-21
2064,Deepak Hooda,4,22,0,12,5.5,0,SRH,Chidambaram,21-Apr-21
2065,Harpreet Brar,4,22,0,12,5.5,0,CSK,Dubai International Stadium,07-Oct-21
2066,Varun Chakaravarthy,4,22,0,9,5.5,0,MI,Zayed Cricket Stadium,23-Sep-21
2067,Rahul Chahar,4,22,0,10,5.5,0,CSK,Dubai International Stadium,19-Sep-21
2068,Murugan Ashwin,4,22,0,7,5.5,0,SRH,Chidambaram,21-Apr-21
2069,Mohammed Siraj,4,22,0,12,5.5,0,MI,Chidambaram,09-Apr-21
2070,Deepak Hooda,2,11,0,3,5.5,0,DC,Narendra Modi Stadium,02-May-21
2071,Ravi Bishnoi,3,17,2,8,5.66,9,MI,Zayed Cricket Stadium,28-Sep-21
2072,Moeen Ali,3,17,1,6,5.66,18,PBKS,Wankhede Stadium,16-Apr-21
2073,Harpreet Brar,3,17,1,4,5.66,18,RR,Dubai International Stadium,21-Sep-21
2074,Rahul Tewatia,3,17,1,6,5.66,18,DC,Zayed Cricket Stadium,25-Sep-21
2075,Mohammed Siraj,3,17,0,11,5.66,0,KKR,Chidambaram,18-Apr-21
2076,Mohammed Siraj,3,17,0,11,5.66,0,SRH,Zayed Cricket Stadium,06-Oct-21
2077,Riley Meredith,3.4,21,0,14,5.72,0,CSK,Wankhede Stadium,16-Apr-21
2078,Chris Morris,4,23,4,18,5.75,6,KKR,Wankhede Stadium,24-Apr-21
2079,Avesh Khan,4,23,2,11,5.75,12,CSK,Wankhede Stadium,10-Apr-21
2080,Glenn Maxwell,4,23,2,8,5.75,12,MI,Dubai International Stadium,26-Sep-21
2081,Kagiso Rabada,4,23,2,13,5.75,12,KKR,Sharjah Cricket Stadium,13-Oct-21
2082,Rashid Khan,4,23,1,13,5.75,24,KKR,Dubai International Stadium,03-Oct-21
2083,Shakib Al Hasan,4,23,1,4,5.75,24,MI,Chidambaram,13-Apr-21
2084,Chetan Sakariya,4,23,1,12,5.75,24,KKR,Sharjah Cricket Stadium,07-Oct-21
2085,Mohammad Shami,4,23,1,10,5.75,24,KKR,Dubai International Stadium,01-Oct-21
2086,Trent Boult,4,23,0,13,5.75,0,DC,Chidambaram,20-Apr-21
2087,Amit Mishra,4,24,4,11,6,6,MI,Chidambaram,20-Apr-21
2088,Pat Cummins,4,24,3,15,6,8,DC,Narendra Modi Stadium,29-Apr-21
2089,Josh Hazlewood,4,24,3,13,6,8,SRH,Sharjah Cricket Stadium,30-Sep-21
2090,Ravi Bishnoi,4,24,3,10,6,8,SRH,Sharjah Cricket Stadium,25-Sep-21
2091,Dwayne Bravo,4,24,3,10,6,8,RCB,Sharjah Cricket Stadium,24-Sep-21
2092,Jasprit Bumrah,4,24,2,11,6,12,PBKS,Zayed Cricket Stadium,28-Sep-21
2093,Anrich Nortje,4,24,2,9,6,12,RCB,Dubai International Stadium,08-Oct-21
2094,Sam Curran,4,24,2,14,6,12,RR,Wankhede Stadium,19-Apr-21
2095,Chris Woakes,3,18,2,11,6,9,CSK,Wankhede Stadium,10-Apr-21
2096,Kieron Pollard,2,12,2,4,6,6,CSK,Arun Jaitley Stadium,01-May-21
2097,Lockie Ferguson,4,24,2,11,6,12,RCB,Zayed Cricket Stadium,20-Sep-21
2098,Abhishek Sharma,4,24,2,10,6,12,PBKS,Chidambaram,21-Apr-21
2099,Rashid Khan,4,24,2,10,6,12,KKR,Chidambaram,11-Apr-21
