,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
407,Rohit Sharma,14,5,280,3,0,RR,Vidarbha Cricket Association Stadium,05-Apr-10
408,Adam Gilchrist,14,4,350,2,1,RCB,M. Chinnaswamy Stadium,08-Apr-10
409,Saurabh Tiwary,14,6,233.33,0,2,DEC,Brabourne Stadium,03-Apr-10
410,Rohit Sharma,14,5,280,1,1,MI,DY Patil Stadium,28-Mar-10
411,Virender Sehwag,14,5,280,1,1,CSK,Arun Jaitley Stadium,19-Mar-10
412,Chris Gayle,14,5,280,2,1,DC,Eden Gardens,07-Apr-10
413,Yusuf Pathan,14,4,350,0,2,DEC,Narendra Modi Stadium,26-Mar-10
414,Graeme Smith,14,6,233.33,3,0,MI,Brabourne Stadium,13-Mar-10
415,Chris Gayle,14,7,200,3,0,PBKS,IS Bindra Stadium,27-Mar-10
416,Shikhar Dhawan,13,6,216.66,0,2,CSK,Brabourne Stadium,25-Mar-10
417,Harbhajan Singh,13,5,260,0,2,CSK,Chidambaram,06-Apr-10
418,Faiz Fazal,13,6,216.66,3,0,KKR,Narendra Modi Stadium,20-Mar-10
419,Laxmi Ratan Shukla,13,4,325,0,2,CSK,Chidambaram,13-Apr-10
420,David Warner,13,6,216.66,0,1,RCB,M. Chinnaswamy Stadium,25-Mar-10
421,Murali Vijay,13,5,260,1,1,DC,Arun Jaitley Stadium,19-Mar-10
422,Matthew Hayden,13,5,260,1,1,RR,Chidambaram,03-Apr-10
423,Murali Vijay,13,4,325,0,2,RR,Chidambaram,03-Apr-10
424,Andrew Symonds,13,6,216.66,3,0,RR,Narendra Modi Stadium,26-Mar-10
425,Andrew Symonds,13,4,325,1,1,RCB,M. Chinnaswamy Stadium,08-Apr-10
426,Jacques Kallis,13,4,325,1,1,KKR,Eden Gardens,14-Mar-10
427,Dinesh Karthik,13,5,260,3,0,RR,Arun Jaitley Stadium,31-Mar-10
428,Murali Vijay,13,6,216.66,1,1,DEC,DY Patil Stadium,22-Apr-10
429,Mohnish Mishra,13,5,260,1,1,DC,Arun Jaitley Stadium,18-Apr-10
430,Rohit Sharma,13,4,325,3,0,RCB,Vidarbha Cricket Association Stadium,12-Apr-10
431,Rajat Bhatia,13,3,433.33,0,2,CSK,Arun Jaitley Stadium,19-Mar-10
