,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
638,Shaun Marsh,18,6,300,3,1,RR,IS Bindra Stadium,05-May-12
639,Andrew McDonald,18,5,360,3,1,DC,M. Chinnaswamy Stadium,07-Apr-12
640,Cameron White,18,5,360,1,2,PWI,Maharashtra Cricket Association's International Stadium,26-Apr-12
641,Faf du Plessis,18,6,300,1,2,DEC,ACA-VDCA Stadium,07-Apr-12
642,Shikhar Dhawan,17,5,340,1,2,MI,ACA-VDCA Stadium,09-Apr-12
643,MS Dhoni,17,5,340,2,1,KKR,Eden Gardens,14-May-12
644,Faf du Plessis,17,4,425,1,2,RCB,Chidambaram,12-Apr-12
645,Dan Christian,17,5,340,0,2,PBKS,IS Bindra Stadium,13-May-12
646,Owais Shah,17,4,425,1,2,RCB,M. Chinnaswamy Stadium,15-Apr-12
647,Ambati Rayudu,17,4,425,1,2,RCB,M. Chinnaswamy Stadium,14-May-12
648,Suresh Raina,17,4,425,1,2,DEC,Chidambaram,04-May-12
649,Virender Sehwag,17,4,425,1,2,PWI,Arun Jaitley Stadium,21-Apr-12
650,James Franklin,17,4,425,1,2,PBKS,Wankhede Stadium,22-Apr-12
651,AB de Villiers,17,4,425,1,2,PWI,M. Chinnaswamy Stadium,17-Apr-12
652,Manvinder Bisla,17,5,340,4,0,CSK,Chidambaram,27-May-12
653,Ravindra Jadeja,17,5,340,1,2,DEC,ACA-VDCA Stadium,07-Apr-12
654,Brad Hodge,17,6,283.33,1,2,KKR,Sawai Mansingh Stadium,08-Apr-12
655,Chris Gayle,17,4,425,1,2,PWI,M. Chinnaswamy Stadium,17-Apr-12
656,Cameron White,17,5,340,1,2,CSK,Chidambaram,04-May-12
657,Chris Gayle,17,5,340,2,1,PBKS,M. Chinnaswamy Stadium,02-May-12
658,Mandeep Singh,16,6,266.66,2,1,DEC,Rajiv Gandhi Intl. Cricket Stadium,08-May-12
659,Gurkeerat Mann Singh,16,4,400,2,1,DEC,IS Bindra Stadium,13-May-12
660,Rohit Sharma,16,5,320,2,1,KKR,Eden Gardens,12-May-12
661,Anustup Majumdar,16,6,266.66,0,2,RR,Maharashtra Cricket Association's International Stadium,08-May-12
662,Virender Sehwag,16,5,320,2,1,KKR,Arun Jaitley Stadium,07-May-12
663,Kevin Pietersen,16,6,266.66,1,2,DEC,Arun Jaitley Stadium,19-Apr-12
664,Ajinkya Rahane,16,6,266.66,4,0,PBKS,Sawai Mansingh Stadium,06-Apr-12
665,Stuart Binny,16,5,320,2,1,CSK,Sawai Mansingh Stadium,10-May-12
666,Yogesh Nagar,16,5,320,1,2,RR,Arun Jaitley Stadium,29-Apr-12
667,Suresh Raina,16,5,320,2,1,KKR,Chidambaram,27-May-12
668,Shane Watson,16,6,266.66,1,2,PWI,Maharashtra Cricket Association's International Stadium,08-May-12
669,Irfan Pathan,16,5,320,0,2,KKR,Eden Gardens,05-Apr-12
670,Brad Hodge,16,4,400,4,0,DEC,Sawai Mansingh Stadium,17-Apr-12
671,David Hussey,16,5,320,1,2,RCB,M. Chinnaswamy Stadium,02-May-12
672,Daniel Harris,16,5,320,1,2,RCB,M. Chinnaswamy Stadium,06-May-12
673,Mayank Agarwal,16,5,320,1,2,RR,M. Chinnaswamy Stadium,15-Apr-12
674,Ross Taylor,15,5,300,0,2,CSK,Chidambaram,25-May-12
675,Gautam Gambhir,15,5,300,2,1,RCB,M. Chinnaswamy Stadium,10-Apr-12
676,Shane Watson,15,4,375,2,1,PBKS,IS Bindra Stadium,05-May-12
677,Shikhar Dhawan,15,5,300,2,1,DC,Rajiv Gandhi Intl. Cricket Stadium,10-May-12
678,Mahela Jayawardena,15,6,250,3,0,MI,Arun Jaitley Stadium,27-Apr-12
679,Kieron Pollard,15,5,300,2,1,RR,Wankhede Stadium,11-Apr-12
680,MS Dhoni,15,6,250,1,1,MI,Wankhede Stadium,06-May-12
681,Harbhajan Singh,15,4,375,2,1,DC,Wankhede Stadium,16-Apr-12
682,Robin Peterson,15,4,375,2,1,PBKS,IS Bindra Stadium,25-Apr-12
683,Jesse Ryder,15,6,250,3,0,CSK,Maharashtra Cricket Association's International Stadium,14-Apr-12
684,Kieron Pollard,15,4,375,0,2,RCB,Wankhede Stadium,09-May-12
685,Shakib Al Hasan,15,5,300,0,2,PWI,Maharashtra Cricket Association's International Stadium,19-May-12
686,Piyush Chawla,15,6,250,2,1,PWI,Maharashtra Cricket Association's International Stadium,08-Apr-12
687,Subramaniam Badrinath,15,6,250,3,0,PWI,Chidambaram,19-Apr-12
688,Shaun Marsh,15,5,300,1,1,MI,Wankhede Stadium,22-Apr-12
689,David Warner,15,5,300,0,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,10-May-12
690,Richard Levi,15,5,300,2,1,CSK,Chidambaram,04-Apr-12
691,Shikhar Dhawan,15,4,375,2,1,DC,Rajiv Gandhi Intl. Cricket Stadium,10-May-12
692,Virat Kohli,15,4,375,0,2,CSK,Chidambaram,12-Apr-12
693,Cameron White,15,5,300,2,1,RCB,M. Chinnaswamy Stadium,06-May-12
694,Naman Ojha,15,5,300,0,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,10-May-12
695,Shane Watson,15,5,300,2,1,PWI,Maharashtra Cricket Association's International Stadium,08-May-12
696,AB de Villiers,15,4,375,2,1,DC,M. Chinnaswamy Stadium,07-Apr-12
697,Dwayne Smith,15,4,375,2,1,CSK,Wankhede Stadium,06-May-12
698,AB de Villiers,15,4,375,2,1,DEC,M. Chinnaswamy Stadium,06-May-12
699,Gautam Gambhir,15,5,300,2,1,DC,Arun Jaitley Stadium,07-May-12
700,Kevin Pietersen,15,5,300,2,1,MI,Arun Jaitley Stadium,27-Apr-12
701,Rohit Sharma,15,5,300,2,1,KKR,Eden Gardens,12-May-12
702,Shaun Marsh,15,4,375,2,1,CSK,Chidambaram,28-Apr-12
703,Bharat Chipli,14,5,280,2,1,DC,Arun Jaitley Stadium,19-Apr-12
704,James Franklin,14,4,350,0,2,PBKS,Wankhede Stadium,22-Apr-12
705,Rohit Sharma,14,6,233.33,2,1,KKR,Eden Gardens,12-May-12
706,Dwayne Bravo,14,4,350,0,2,DEC,ACA-VDCA Stadium,07-Apr-12
707,Shane Watson,14,5,280,2,1,PWI,Sawai Mansingh Stadium,13-May-12
708,Chris Gayle,14,4,350,0,2,DC,Arun Jaitley Stadium,17-May-12
709,Rahul Dravid,14,5,280,3,0,PBKS,IS Bindra Stadium,05-May-12
710,Irfan Pathan,14,5,280,3,0,PBKS,Arun Jaitley Stadium,15-May-12
711,David Warner,14,5,280,1,1,KKR,Arun Jaitley Stadium,07-May-12
712,Kieron Pollard,14,3,466.66,2,1,RCB,M. Chinnaswamy Stadium,14-May-12
713,Chris Gayle,14,5,280,2,1,PBKS,IS Bindra Stadium,20-Apr-12
714,Dwayne Smith,14,4,350,0,2,RR,Sawai Mansingh Stadium,20-May-12
715,Ankit Sharma,14,4,350,0,2,CSK,ACA-VDCA Stadium,07-Apr-12
716,Dwayne Smith,14,6,233.33,2,1,CSK,M. Chinnaswamy Stadium,23-May-12
717,James Franklin,14,6,233.33,2,1,PWI,Maharashtra Cricket Association's International Stadium,03-May-12
718,Gautam Gambhir,14,5,280,2,0,PBKS,IS Bindra Stadium,18-Apr-12
719,MS Dhoni,14,4,350,0,2,DC,Chidambaram,25-May-12
720,Rohit Sharma,14,3,466.66,0,2,DEC,ACA-VDCA Stadium,09-Apr-12
721,Bipul Sharma,14,6,233.33,1,1,PWI,Maharashtra Cricket Association's International Stadium,08-Apr-12
722,Mandeep Singh,14,6,233.33,3,0,MI,IS Bindra Stadium,25-Apr-12
723,Yusuf Pathan,14,3,466.66,2,1,DC,Maharashtra Cricket Association's International Stadium,22-May-12
724,Sachin Tendulkar,14,6,233.33,2,1,CSK,Wankhede Stadium,06-May-12
725,JP Duminy,14,5,280,1,1,RCB,Rajiv Gandhi Intl. Cricket Stadium,20-May-12
726,MS Dhoni,14,5,280,1,1,RCB,Chidambaram,12-Apr-12
727,Ambati Rayudu,14,4,350,0,2,DC,Arun Jaitley Stadium,27-Apr-12
728,Murali Vijay,14,6,233.33,2,1,KKR,Eden Gardens,14-May-12
729,Shikhar Dhawan,14,4,350,0,2,DC,Rajiv Gandhi Intl. Cricket Stadium,10-May-12
730,Suresh Raina,14,4,350,0,2,PBKS,HPCA Stadium,17-May-12
731,Richard Levi,14,4,350,2,1,RR,Wankhede Stadium,11-Apr-12
732,Manvinder Bisla,14,5,280,0,2,CSK,Chidambaram,27-May-12
733,Ajinkya Rahane,13,4,325,3,0,DC,Sawai Mansingh Stadium,01-May-12
734,Suresh Raina,13,5,260,0,1,KKR,Chidambaram,27-May-12
735,Sourav Ganguly,13,5,260,3,0,CSK,Chidambaram,19-Apr-12
736,Akshath Reddy,13,6,216.66,1,1,RR,Rajiv Gandhi Intl. Cricket Stadium,18-May-12
737,Owais Shah,13,4,325,1,1,KKR,Sawai Mansingh Stadium,08-Apr-12
738,Siddharth Chitnis,13,4,325,3,0,DC,HPCA Stadium,19-May-12
739,David Hussey,13,4,325,1,1,MI,IS Bindra Stadium,25-Apr-12
740,Michael Hussey,13,5,260,1,1,KKR,Chidambaram,27-May-12
741,Ashok Menaria,13,3,433.33,0,2,PBKS,IS Bindra Stadium,05-May-12
742,AB de Villiers,13,5,260,0,2,RR,Sawai Mansingh Stadium,23-Apr-12
743,Laxmi Ratan Shukla,13,6,216.66,1,1,DC,Eden Gardens,05-Apr-12
744,Steve Smith,13,4,325,0,2,PBKS,Maharashtra Cricket Association's International Stadium,08-Apr-12
745,Mayank Agarwal,13,5,260,0,2,CSK,Chidambaram,12-Apr-12
746,Gautam Gambhir,13,5,260,1,1,PBKS,IS Bindra Stadium,18-Apr-12
747,Chris Gayle,13,6,216.66,3,0,KKR,Eden Gardens,28-Apr-12
748,Tillakaratne Dilshan,13,4,325,3,0,PWI,Maharashtra Cricket Association's International Stadium,11-May-12
749,Naman Ojha,13,3,433.33,0,2,PBKS,Arun Jaitley Stadium,15-May-12
750,Chris Gayle,28,6,466.66,1,4,PWI,M. Chinnaswamy Stadium,23-Apr-13
751,Chris Gayle,28,5,560,1,4,PWI,M. Chinnaswamy Stadium,23-Apr-13
752,Chris Gayle,26,5,520,2,3,PWI,M. Chinnaswamy Stadium,23-Apr-13
753,AB de Villiers,26,6,433.33,3,2,PWI,Maharashtra Cricket Association's International Stadium,02-May-13
754,Rohit Sharma,26,6,433.33,2,3,PBKS,Wankhede Stadium,29-Apr-13
755,David Miller,25,6,416.66,3,2,RCB,IS Bindra Stadium,06-May-13
756,Virat Kohli,23,6,383.33,2,2,DC,Arun Jaitley Stadium,10-May-13
757,Suresh Raina,23,6,383.33,4,1,SRH,Rajiv Gandhi Intl. Cricket Stadium,08-May-13
758,Dinesh Karthik,23,7,328.57,1,3,RCB,M. Chinnaswamy Stadium,04-Apr-13
759,Vinay Kumar,22,6,366.66,0,3,RR,Sawai Mansingh Stadium,29-Apr-13
760,Kieron Pollard,22,4,550,1,3,SRH,Wankhede Stadium,13-May-13
761,Chris Gayle,21,5,420,0,3,PBKS,M. Chinnaswamy Stadium,14-May-13
762,Ambati Rayudu,21,5,420,2,2,DC,Wankhede Stadium,09-Apr-13
763,Chris Gayle,20,7,285.71,5,0,PWI,M. Chinnaswamy Stadium,23-Apr-13
764,Sachin Tendulkar,20,6,333.33,5,0,KKR,Wankhede Stadium,07-May-13
765,AB de Villiers,20,6,333.33,2,1,CSK,Chidambaram,13-Apr-13
766,Eoin Morgan,20,6,333.33,3,1,SRH,Eden Gardens,14-Apr-13
767,Yusuf Pathan,19,5,380,3,1,MI,Eden Gardens,24-Apr-13
768,Thisara Perera,19,4,475,0,3,PBKS,Rajiv Gandhi Intl. Cricket Stadium,19-Apr-13
769,Virat Kohli,19,6,316.66,1,2,SRH,M. Chinnaswamy Stadium,09-Apr-13
770,Azhar Mahmood,19,6,316.66,3,1,MI,HPCA Stadium,18-May-13
771,Shane Watson,19,5,380,3,1,SRH,Sawai Mansingh Stadium,27-Apr-13
772,Robin Uthappa,19,6,316.66,1,2,RR,Maharashtra Cricket Association's International Stadium,11-Apr-13
773,Kieron Pollard,19,6,316.66,0,3,SRH,Wankhede Stadium,13-May-13
774,Chris Gayle,19,5,380,0,3,CSK,M. Chinnaswamy Stadium,18-May-13
775,Rohit Sharma,19,4,475,0,3,DC,Wankhede Stadium,09-Apr-13
776,Parthiv Patel,18,6,300,4,0,MI,Wankhede Stadium,13-May-13
777,Stuart Binny,18,5,360,1,2,DC,Arun Jaitley Stadium,06-Apr-13
778,Luke Wright,18,5,360,2,1,PBKS,IS Bindra Stadium,21-Apr-13
779,Murali Vijay,18,6,300,0,3,SRH,Rajiv Gandhi Intl. Cricket Stadium,08-May-13
780,Ben Rohrer,18,5,360,1,2,PBKS,HPCA Stadium,16-May-13
781,Manpreet Gony,17,4,425,1,2,KKR,IS Bindra Stadium,16-Apr-13
782,Adam Gilchrist,17,5,340,1,2,DC,HPCA Stadium,16-May-13
783,Azhar Mahmood,17,4,425,1,2,MI,HPCA Stadium,18-May-13
784,Virat Kohli,17,4,425,1,2,DC,Arun Jaitley Stadium,10-May-13
785,Rohit Sharma,17,6,283.33,0,2,PWI,Wankhede Stadium,13-Apr-13
786,AB de Villiers,17,5,340,2,1,PBKS,IS Bindra Stadium,06-May-13
787,Rajagopal Sathish,17,4,425,1,2,SRH,IS Bindra Stadium,11-May-13
788,Chris Gayle,17,7,242.85,1,2,KKR,M. Chinnaswamy Stadium,11-Apr-13
789,Kieron Pollard,17,5,340,0,2,RCB,Wankhede Stadium,27-Apr-13
790,David Miller,17,5,340,1,2,DC,HPCA Stadium,16-May-13
791,Chris Gayle,17,5,340,1,2,PWI,M. Chinnaswamy Stadium,23-Apr-13
792,Ajinkya Rahane,17,5,340,2,1,PWI,Sawai Mansingh Stadium,05-May-13
793,Gurkeerat Mann Singh,17,4,425,1,2,KKR,Eden Gardens,26-Apr-13
794,Aaron Finch,17,5,340,1,2,DC,Maharashtra Cricket Association's International Stadium,19-May-13
795,Ryan ten Doeschate,17,6,283.33,2,1,PWI,Maharashtra Cricket Association's International Stadium,09-May-13
796,Brad Hodge,17,5,340,1,2,SRH,Arun Jaitley Stadium,22-May-13
797,Shaun Marsh,17,4,425,1,2,CSK,Chidambaram,02-May-13
798,MS Dhoni,16,6,266.66,1,2,MI,Eden Gardens,26-May-13
799,Sachin Tendulkar,16,6,266.66,4,0,PWI,Wankhede Stadium,13-Apr-13
800,Parthiv Patel,16,6,266.66,2,1,CSK,Rajiv Gandhi Intl. Cricket Stadium,08-May-13
801,Brad Hodge,16,6,266.66,4,0,MI,Wankhede Stadium,15-May-13
802,David Hussey,16,5,320,2,1,MI,Wankhede Stadium,29-Apr-13
803,Shane Watson,16,6,266.66,4,0,CSK,Sawai Mansingh Stadium,12-May-13
804,Virat Kohli,16,6,266.66,1,2,CSK,M. Chinnaswamy Stadium,18-May-13
805,Ashish Reddy,16,6,266.66,2,1,CSK,Chidambaram,25-Apr-13
806,Dale Steyn,16,6,266.66,2,1,RR,Sawai Mansingh Stadium,27-Apr-13
807,Dwayne Smith,16,5,320,1,2,RCB,Wankhede Stadium,27-Apr-13
808,Dwayne Smith,16,6,266.66,3,0,CSK,Arun Jaitley Stadium,21-May-13
809,Manvinder Bisla,16,5,320,4,0,CSK,Chidambaram,28-Apr-13
810,AB de Villiers,16,4,400,1,2,PWI,M. Chinnaswamy Stadium,23-Apr-13
811,Manan Vohra,16,4,400,4,0,PWI,Maharashtra Cricket Association's International Stadium,07-Apr-13
812,Luke Wright,16,4,400,4,0,PBKS,IS Bindra Stadium,21-Apr-13
813,Sachin Tendulkar,16,6,266.66,4,0,RCB,Wankhede Stadium,27-Apr-13
814,Darren Sammy,15,4,375,0,2,KKR,Rajiv Gandhi Intl. Cricket Stadium,19-May-13
815,Luke Wright,15,4,375,2,1,DC,Maharashtra Cricket Association's International Stadium,19-May-13
816,David Miller,15,5,300,2,1,RCB,IS Bindra Stadium,06-May-13
817,Chris Gayle,15,4,375,2,1,MI,M. Chinnaswamy Stadium,04-Apr-13
818,Harbhajan Singh,15,5,300,3,0,RCB,Wankhede Stadium,27-Apr-13
819,David Miller,15,4,375,0,2,PWI,IS Bindra Stadium,21-Apr-13
820,Rajagopal Sathish,15,5,300,2,1,RCB,IS Bindra Stadium,06-May-13
821,Virat Kohli,15,5,300,2,1,CSK,M. Chinnaswamy Stadium,18-May-13
822,Chris Gayle,15,5,300,2,1,MI,M. Chinnaswamy Stadium,04-Apr-13
823,Shane Watson,15,5,300,0,2,CSK,Chidambaram,22-Apr-13
824,Chris Gayle,15,6,250,2,1,RR,Sawai Mansingh Stadium,29-Apr-13
825,MS Dhoni,15,4,375,2,1,MI,Chidambaram,06-Apr-13
826,Dinesh Karthik,15,5,300,2,1,DC,Wankhede Stadium,09-Apr-13
827,Dwayne Smith,15,5,300,0,2,CSK,Arun Jaitley Stadium,21-May-13
828,Shane Watson,15,4,375,2,1,SRH,Sawai Mansingh Stadium,27-Apr-13
829,Kieron Pollard,15,5,300,2,1,RCB,Wankhede Stadium,27-Apr-13
830,David Miller,15,5,300,1,1,RCB,IS Bindra Stadium,06-May-13
831,Thisara Perera,15,6,250,1,1,PWI,Rajiv Gandhi Intl. Cricket Stadium,05-Apr-13
832,Glenn Maxwell,15,5,300,0,2,RR,Wankhede Stadium,15-May-13
833,Shane Watson,15,5,300,1,1,CSK,Chidambaram,22-Apr-13
834,Brett Lee,15,5,300,0,2,DC,Shaheed Veer Narayan Singh International Cricket Stadium,01-May-13
835,Virat Kohli,15,5,300,3,0,SRH,M. Chinnaswamy Stadium,09-Apr-13
836,Chris Gayle,15,5,300,2,1,MI,M. Chinnaswamy Stadium,04-Apr-13
837,Rohit Sharma,14,4,350,0,2,PWI,Wankhede Stadium,13-Apr-13
838,Aaron Finch,14,5,280,3,0,DC,Shaheed Veer Narayan Singh International Cricket Stadium,28-Apr-13
839,Dwayne Bravo,14,6,233.33,3,0,RR,Sawai Mansingh Stadium,12-May-13
840,Rajat Bhatia,14,4,350,0,2,PBKS,IS Bindra Stadium,16-Apr-13
841,Angelo Mathews,14,4,350,0,2,RCB,Maharashtra Cricket Association's International Stadium,02-May-13
842,Yusuf Pathan,14,5,280,2,1,PWI,JSCA Stadium,15-May-13
843,Brad Hodge,14,5,280,0,2,RCB,Sawai Mansingh Stadium,29-Apr-13
844,Manpreet Gony,14,6,233.33,1,1,KKR,IS Bindra Stadium,16-Apr-13
845,Dinesh Karthik,14,5,280,2,1,CSK,Wankhede Stadium,05-May-13
846,Adam Gilchrist,14,6,233.33,2,1,PWI,Maharashtra Cricket Association's International Stadium,07-Apr-13
847,MS Dhoni,14,5,280,1,1,DC,Chidambaram,14-May-13
848,Dinesh Karthik,14,5,280,3,0,DC,Wankhede Stadium,09-Apr-13
849,Stuart Binny,14,5,280,1,1,DC,Arun Jaitley Stadium,06-Apr-13
850,Michael Hussey,14,6,233.33,3,0,KKR,Chidambaram,28-Apr-13
851,Shane Watson,14,4,350,2,1,SRH,Sawai Mansingh Stadium,27-Apr-13
852,Virat Kohli,14,5,280,3,0,PWI,Maharashtra Cricket Association's International Stadium,02-May-13
853,Murali Vijay,14,4,350,0,2,RCB,M. Chinnaswamy Stadium,18-May-13
854,Suresh Raina,14,4,350,0,2,PBKS,Chidambaram,02-May-13
855,Dwayne Smith,14,5,280,0,2,KKR,Eden Gardens,24-Apr-13
856,Angelo Mathews,14,5,280,0,2,KKR,Maharashtra Cricket Association's International Stadium,09-May-13
857,Wriddhiman Saha,14,6,233.33,2,1,KKR,Chidambaram,28-Apr-13
858,Manvinder Bisla,14,4,350,2,1,CSK,Chidambaram,28-Apr-13
859,Sanju Samson,14,4,350,0,2,RCB,Sawai Mansingh Stadium,29-Apr-13
860,MS Dhoni,14,4,350,2,1,SRH,Chidambaram,25-Apr-13
861,David Warner,14,4,350,0,2,PWI,Shaheed Veer Narayan Singh International Cricket Stadium,28-Apr-13
862,Rohit Sharma,13,5,260,0,2,DC,Arun Jaitley Stadium,21-Apr-13
863,David Hussey,13,6,216.66,2,0,RR,Sawai Mansingh Stadium,14-Apr-13
864,Suresh Raina,13,5,260,2,0,SRH,Rajiv Gandhi Intl. Cricket Stadium,08-May-13
865,Morne Morkel,13,4,325,0,2,PBKS,HPCA Stadium,16-May-13
866,Stuart Binny,13,6,216.66,1,1,RCB,M. Chinnaswamy Stadium,20-Apr-13
867,Rohit Sharma,13,5,260,0,2,KKR,Eden Gardens,24-Apr-13
868,Mitchell Marsh,13,5,260,0,2,RR,Sawai Mansingh Stadium,05-May-13
869,Thisara Perera,13,5,260,1,1,PBKS,IS Bindra Stadium,11-May-13
870,Azhar Mahmood,13,6,216.66,3,0,RCB,M. Chinnaswamy Stadium,14-May-13
871,Shane Watson,13,3,433.33,0,2,CSK,Sawai Mansingh Stadium,12-May-13
872,Virat Kohli,13,4,325,1,1,SRH,M. Chinnaswamy Stadium,09-Apr-13
873,Michael Hussey,13,5,260,3,0,RR,Chidambaram,22-Apr-13
874,Piyush Chawla,13,4,325,0,2,SRH,Rajiv Gandhi Intl. Cricket Stadium,19-Apr-13
875,Shaun Marsh,13,5,260,3,0,MI,HPCA Stadium,18-May-13
876,Yuvraj Singh,13,3,433.33,0,2,RCB,Maharashtra Cricket Association's International Stadium,02-May-13
877,Thisara Perera,13,4,325,1,1,KKR,Eden Gardens,14-Apr-13
878,Ben Rohrer,13,4,325,3,0,RCB,Arun Jaitley Stadium,10-May-13
879,Yuvraj Singh,13,4,325,0,2,MI,Maharashtra Cricket Association's International Stadium,11-May-13
880,Irfan Pathan,13,5,260,1,1,RCB,M. Chinnaswamy Stadium,16-Apr-13
881,Kieron Pollard,13,4,325,0,2,CSK,Arun Jaitley Stadium,21-May-13
882,David Miller,13,4,325,0,2,MI,Wankhede Stadium,29-Apr-13
883,Mandeep Singh,13,5,260,3,0,DC,Arun Jaitley Stadium,23-Apr-13
884,Virat Kohli,13,4,325,1,1,PBKS,M. Chinnaswamy Stadium,14-May-13
885,Cheteshwar Pujara,13,5,260,3,0,PBKS,IS Bindra Stadium,06-May-13
886,Dwayne Smith,13,3,433.33,0,2,CSK,Arun Jaitley Stadium,21-May-13
887,MS Dhoni,13,3,433.33,0,2,SRH,Chidambaram,25-Apr-13
888,Robin Uthappa,13,4,325,0,2,KKR,JSCA Stadium,15-May-13
889,Yuvraj Singh,13,5,260,0,2,PBKS,IS Bindra Stadium,21-Apr-13
890,Ambati Rayudu,13,5,260,1,1,RR,Eden Gardens,24-May-13
891,MS Dhoni,13,5,260,1,1,PWI,Maharashtra Cricket Association's International Stadium,30-Apr-13
892,MS Dhoni,13,4,325,1,1,DC,Chidambaram,14-May-13
893,Virat Kohli,13,3,433.33,0,2,KKR,M. Chinnaswamy Stadium,11-Apr-13
894,Virender Sehwag,13,5,260,1,1,MI,Arun Jaitley Stadium,21-Apr-13
895,Dwayne Smith,13,4,325,1,1,KKR,Eden Gardens,24-Apr-13
896,Shane Watson,13,5,260,1,1,CSK,Chidambaram,22-Apr-13
897,Shane Watson,13,3,433.33,0,2,MI,Wankhede Stadium,15-May-13
898,Stuart Binny,13,5,260,1,1,PWI,Sawai Mansingh Stadium,05-May-13
899,Adam Gilchrist,13,3,433.33,0,2,RCB,M. Chinnaswamy Stadium,14-May-13
900,Suresh Raina,32,7,457.14,5,2,PBKS,Wankhede Stadium,30-May-14
901,Yusuf Pathan,26,6,433.33,3,2,SRH,Eden Gardens,24-May-14
902,David Miller,26,5,520,0,4,RR,Sharjah Cricket Stadium,20-Apr-14
903,Kieron Pollard,26,6,433.33,1,3,SRH,Dubai International Stadium,30-Apr-14
904,MS Dhoni,24,6,400,2,2,SRH,JSCA Stadium,22-May-14
905,Rohit Sharma,24,6,400,1,3,RCB,Wankhede Stadium,06-May-14
906,Yuvraj Singh,24,6,400,0,4,DC,M. Chinnaswamy Stadium,13-May-14
907,Shakib Al Hasan,24,6,400,1,3,RCB,Eden Gardens,22-May-14
908,Shikhar Dhawan,23,7,328.57,4,1,PBKS,Rajiv Gandhi Intl. Cricket Stadium,14-May-14
909,Naman Ojha,23,5,460,2,2,PBKS,Rajiv Gandhi Intl. Cricket Stadium,14-May-14
910,AB de Villiers,22,5,440,1,3,SRH,M. Chinnaswamy Stadium,04-May-14
911,Brad Hodge,22,6,366.66,2,2,PBKS,IS Bindra Stadium,23-May-14
912,George Bailey,21,5,420,2,2,SRH,Rajiv Gandhi Intl. Cricket Stadium,14-May-14
913,Steve Smith,21,6,350,2,2,RCB,M. Chinnaswamy Stadium,11-May-14
914,Yusuf Pathan,21,5,420,2,2,SRH,Eden Gardens,24-May-14
915,Glenn Maxwell,21,6,350,2,2,CSK,Barabati Stadium,07-May-14
916,Dwayne Smith,20,5,400,0,3,SRH,JSCA Stadium,22-May-14
917,Chris Gayle,20,6,333.33,2,2,PBKS,Dubai International Stadium,28-Apr-14
918,JP Duminy,20,6,333.33,1,2,KKR,Dubai International Stadium,19-Apr-14
919,Chris Gayle,20,4,500,2,2,MI,Wankhede Stadium,06-May-14
920,David Warner,20,7,285.71,5,0,CSK,JSCA Stadium,22-May-14
921,Yuvraj Singh,19,5,380,0,3,DC,M. Chinnaswamy Stadium,13-May-14
922,James Faulkner,19,5,380,1,2,RCB,M. Chinnaswamy Stadium,11-May-14
923,Jacques Kallis,19,5,380,1,2,MI,Zayed Cricket Stadium,16-Apr-14
924,Glenn Maxwell,19,5,380,3,1,CSK,Zayed Cricket Stadium,18-Apr-14
925,Glenn Maxwell,19,5,380,0,3,CSK,Barabati Stadium,07-May-14
926,Yusuf Pathan,19,6,316.66,0,3,CSK,JSCA Stadium,02-May-14
927,Virat Kohli,19,6,316.66,1,2,SRH,Rajiv Gandhi Intl. Cricket Stadium,20-May-14
928,David Miller,19,5,380,1,2,RCB,M. Chinnaswamy Stadium,09-May-14
929,Kieron Pollard,19,6,316.66,2,1,PBKS,Wankhede Stadium,03-May-14
930,Glenn Maxwell,19,4,475,0,3,SRH,Sharjah Cricket Stadium,22-Apr-14
931,Corey Anderson,19,5,380,3,1,PBKS,Wankhede Stadium,03-May-14
932,Yuvraj Singh,18,6,300,1,2,KKR,Eden Gardens,22-May-14
933,Robin Uthappa,18,5,360,3,1,PBKS,Barabati Stadium,11-May-14
934,Kevin Pietersen,18,6,300,2,1,PBKS,Arun Jaitley Stadium,19-May-14
935,Shane Watson,18,4,450,1,2,CSK,JSCA Stadium,13-May-14
936,AB de Villiers,18,5,360,1,2,SRH,M. Chinnaswamy Stadium,04-May-14
937,Suresh Raina,18,6,300,3,1,PBKS,Wankhede Stadium,30-May-14
938,Dwayne Smith,18,6,300,0,3,DC,Arun Jaitley Stadium,05-May-14
939,Aaron Finch,18,4,450,3,1,DC,Dubai International Stadium,25-Apr-14
940,Karun Nair,18,5,360,3,1,MI,Wankhede Stadium,25-May-14
941,Glenn Maxwell,18,5,360,0,3,SRH,Rajiv Gandhi Intl. Cricket Stadium,14-May-14
942,Shane Watson,18,5,360,1,2,KKR,Narendra Modi Stadium,05-May-14
943,James Faulkner,18,5,360,2,1,RCB,M. Chinnaswamy Stadium,11-May-14
944,James Faulkner,18,5,360,1,2,PBKS,IS Bindra Stadium,23-May-14
945,George Bailey,18,4,450,1,2,CSK,Barabati Stadium,07-May-14
946,David Warner,17,4,425,1,2,PBKS,Rajiv Gandhi Intl. Cricket Stadium,14-May-14
947,MS Dhoni,17,5,340,1,2,RCB,M. Chinnaswamy Stadium,24-May-14
948,Manish Pandey,17,5,340,1,2,PBKS,M. Chinnaswamy Stadium,01-Jun-14
949,Glenn Maxwell,17,5,340,1,2,RCB,M. Chinnaswamy Stadium,09-May-14
