,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
2018,Rahul Tripathi,53,29,182.75,5,2,SRH,Chidambaram,11-Apr-21
2019,Shimron Hetmyer,28,16,175,5,0,RR,Zayed Cricket Stadium,25-Sep-21
2020,Moeen Ali,58,36,161.11,5,5,MI,Arun Jaitley Stadium,01-May-21
2021,Evin Lewis,58,37,156.75,5,3,RCB,Dubai International Stadium,29-Sep-21
2022,Yashasvi Jaiswal,36,23,156.52,5,1,SRH,Dubai International Stadium,27-Sep-21
2023,Venkatesh Iyer,50,32,156.25,5,3,CSK,Dubai International Stadium,15-Oct-21
2024,Sanju Samson,42,27,155.55,5,0,MI,Arun Jaitley Stadium,29-Apr-21
2025,Rohit Sharma,43,28,153.57,5,1,RCB,Dubai International Stadium,26-Sep-21
2026,Glenn Maxwell,59,41,143.9,5,3,SRH,Chidambaram,14-Apr-21
2027,Shivam Dube,46,32,143.75,5,2,RCB,Wankhede Stadium,22-Apr-21
2028,Ruturaj Gaikwad,70,50,140,5,2,DC,Dubai International Stadium,10-Oct-21
2029,Devdutt Padikkal,70,50,140,5,3,CSK,Sharjah Cricket Stadium,24-Sep-21
2030,Jos Buttler,49,35,140,5,2,CSK,Wankhede Stadium,19-Apr-21
2031,Shubman Gill,33,24,137.5,5,1,MI,Chidambaram,13-Apr-21
2032,Jonny Bairstow,55,40,137.5,5,3,KKR,Chidambaram,11-Apr-21
2033,Manish Pandey,61,46,132.6,5,1,CSK,Arun Jaitley Stadium,28-Apr-21
2034,Yashasvi Jaiswal,22,17,129.41,5,0,KKR,Wankhede Stadium,24-Apr-21
2035,Ambati Rayudu,55,43,127.9,5,2,DC,Dubai International Stadium,04-Oct-21
2036,Saurabh Tiwary,50,40,125,5,0,CSK,Dubai International Stadium,19-Sep-21
2037,Rahul Tripathi,25,20,125,5,0,RCB,Chidambaram,18-Apr-21
2038,Kane Williamson,51,41,124.39,5,1,RR,Dubai International Stadium,27-Sep-21
2039,Chris Gayle,43,35,122.85,5,2,MI,Chidambaram,23-Apr-21
2040,Rahul Tewatia,44,36,122.22,5,2,KKR,Sharjah Cricket Stadium,07-Oct-21
2041,Faf du Plessis,50,41,121.95,5,1,RCB,Wankhede Stadium,25-Apr-21
2042,Rohit Sharma,63,52,121.15,5,2,PBKS,Chidambaram,23-Apr-21
2043,Shikhar Dhawan,24,20,120,5,0,KKR,Sharjah Cricket Stadium,28-Sep-21
2044,Virat Kohli,39,33,118.18,5,0,KKR,Sharjah Cricket Stadium,11-Oct-21
2045,Jason Roy,44,38,115.78,5,0,RCB,Zayed Cricket Stadium,06-Oct-21
2046,Shikhar Dhawan,45,42,107.14,5,1,MI,Chidambaram,20-Apr-21
2047,Quinton de Kock,40,39,102.56,5,0,SRH,Chidambaram,17-Apr-21
2048,Ambati Rayudu,72,27,266.66,4,7,MI,Arun Jaitley Stadium,01-May-21
2049,Kane Williamson,26,10,260,4,1,CSK,Arun Jaitley Stadium,28-Apr-21
2050,Deepak Hooda,64,28,228.57,4,6,RR,Wankhede Stadium,12-Apr-21
2051,Sam Curran,34,15,226.66,4,2,DC,Wankhede Stadium,10-Apr-21
2052,Devdutt Padikkal,34,15,226.66,4,2,CSK,Wankhede Stadium,25-Apr-21
2053,Ravindra Jadeja,62,28,221.42,4,5,RCB,Wankhede Stadium,25-Apr-21
2054,Ravindra Jadeja,32,15,213.33,4,1,RR,Zayed Cricket Stadium,02-Oct-21
2055,Abhishek Sharma,33,16,206.25,4,1,MI,Zayed Cricket Stadium,08-Oct-21
2056,Faf du Plessis,33,17,194.11,4,2,RR,Wankhede Stadium,19-Apr-21
2057,Pat Cummins,66,34,194.11,4,6,CSK,Wankhede Stadium,21-Apr-21
2058,AB de Villiers,48,27,177.77,4,2,MI,Chidambaram,09-Apr-21
2059,Venkatesh Iyer,53,30,176.66,4,3,MI,Zayed Cricket Stadium,23-Sep-21
2060,Rahul Tewatia,40,23,173.91,4,2,RCB,Wankhede Stadium,22-Apr-21
2061,Dinesh Karthik,40,24,166.66,4,2,CSK,Wankhede Stadium,21-Apr-21
2062,Shubman Gill,29,18,161.11,4,0,RCB,Sharjah Cricket Stadium,11-Oct-21
2063,Suryakumar Yadav,24,15,160,4,0,DC,Chidambaram,20-Apr-21
2064,Riyan Parag,25,16,156.25,4,0,RCB,Wankhede Stadium,22-Apr-21
2065,Prithvi Shaw,48,31,154.83,4,2,RCB,Dubai International Stadium,08-Oct-21
2066,Shivam Dube,64,42,152.38,4,4,CSK,Zayed Cricket Stadium,02-Oct-21
2067,Moeen Ali,36,24,150,4,2,DC,Wankhede Stadium,10-Apr-21
2068,KL Rahul,49,33,148.48,4,2,RR,Dubai International Stadium,21-Sep-21
2069,Ruturaj Gaikwad,38,26,146.15,4,1,RCB,Sharjah Cricket Stadium,24-Sep-21
2070,Rohit Sharma,35,24,145.83,4,1,CSK,Arun Jaitley Stadium,01-May-21
2071,Sanju Samson,48,33,145.45,4,2,SRH,Arun Jaitley Stadium,02-May-21
2072,Jonny Bairstow,30,21,142.85,4,1,RR,Arun Jaitley Stadium,02-May-21
2073,Chris Gayle,40,28,142.85,4,2,RR,Wankhede Stadium,12-Apr-21
2074,Chris Lynn,49,35,140,4,3,RCB,Chidambaram,09-Apr-21
2075,Rishabh Pant,37,27,137.03,4,1,SRH,Chidambaram,25-Apr-21
2076,Rahul Tripathi,45,33,136.36,4,1,CSK,Zayed Cricket Stadium,26-Sep-21
2077,Quinton de Kock,38,28,135.71,4,1,CSK,Arun Jaitley Stadium,01-May-21
2078,Suryakumar Yadav,31,23,134.78,4,1,RCB,Chidambaram,09-Apr-21
2079,Venkatesh Iyer,55,41,134.14,4,3,DC,Sharjah Cricket Stadium,13-Oct-21
2080,Hardik Pandya,40,30,133.33,4,2,PBKS,Zayed Cricket Stadium,28-Sep-21
2081,Ruturaj Gaikwad,33,25,132,4,1,RCB,Wankhede Stadium,25-Apr-21
2082,Quinton de Kock,55,42,130.95,4,3,KKR,Zayed Cricket Stadium,23-Sep-21
2083,Shahrukh Khan,47,36,130.55,4,2,CSK,Wankhede Stadium,16-Apr-21
2084,Devdutt Padikkal,22,17,129.41,4,0,RR,Dubai International Stadium,29-Sep-21
2085,Shubman Gill,56,44,127.27,4,2,RR,Sharjah Cricket Stadium,07-Oct-21
2086,Mayank Agarwal,25,20,125,4,1,MI,Chidambaram,23-Apr-21
2087,Virat Kohli,25,20,125,4,0,RR,Dubai International Stadium,29-Sep-21
2088,Kane Williamson,26,21,123.8,4,0,KKR,Dubai International Stadium,03-Oct-21
2089,KL Rahul,67,55,121.81,4,2,KKR,Dubai International Stadium,01-Oct-21
2090,Ruturaj Gaikwad,45,38,118.42,4,2,SRH,Sharjah Cricket Stadium,30-Sep-21
2091,Eoin Morgan,47,40,117.5,4,2,PBKS,Narendra Modi Stadium,26-Apr-21
2092,Sanju Samson,28,24,116.66,4,0,CSK,Zayed Cricket Stadium,02-Oct-21
2093,Steve Smith,39,34,114.7,4,0,KKR,Sharjah Cricket Stadium,28-Sep-21
2094,Steve Smith,33,29,113.79,4,0,MI,Chidambaram,20-Apr-21
2095,Virat Kohli,33,29,113.79,4,0,MI,Chidambaram,09-Apr-21
2096,Virat Kohli,33,29,113.79,4,0,SRH,Chidambaram,14-Apr-21
2097,Rohit Sharma,33,30,110,4,0,KKR,Zayed Cricket Stadium,23-Sep-21
2098,Kane Williamson,31,29,106.89,4,0,RCB,Zayed Cricket Stadium,06-Oct-21
2099,Devdutt Padikkal,40,38,105.26,4,2,PBKS,Sharjah Cricket Stadium,03-Oct-21
