,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date
213,Venugopal Rao,4,35,1,24,CSK,Kingsmead,27-Apr-09
214,Kamran Khan,4,35,1,24,DC,Supersport Park,28-Apr-09
215,Dale Steyn,4,35,1,24,CSK,St George's Park,20-Apr-09
216,Anureet Singh,4,35,2,12,RR,Newlands,23-Apr-09
217,Shadab Jakati,4,35,2,12,RR,De Beers Diamond Oval,09-May-09
218,Irfan Pathan,4,35,3,8,RCB,Kingsmead,24-Apr-09
219,Praveen Kumar,3.4,35,1,22,CSK,Kingsmead,14-May-09
220,Siddharth Trivedi,3,35,0,0,CSK,Supersport Park,30-Apr-09
221,Kamran Khan,2.4,35,0,0,CSK,Supersport Park,30-Apr-09
222,Amit Mishra,4.1,34,3,8.33,RR,Supersport Park,28-Apr-09
223,Zaheer Khan,4,34,0,0,CSK,Newlands,18-Apr-09
224,Ashok Dinda,4,34,1,24,PBKS,Kingsmead,21-Apr-09
225,Ryan Harris,4,34,1,24,RCB,New Wanderers Stadium,24-May-09
226,Sanath Jayasuriya,4,34,2,12,CSK,Newlands,18-Apr-09
227,Dwayne Bravo,4,34,3,8,DEC,Kingsmead,25-Apr-09
228,Yusuf Pathan,4,34,3,8,DEC,De Beers Diamond Oval,11-May-09
229,Muttiah Muralitharan,4,33,0,0,RR,Supersport Park,30-Apr-09
230,Venugopal Rao,4,33,0,0,MI,Kingsmead,25-Apr-09
231,Yusuf Abdulla,4,33,1,24,KKR,St George's Park,03-May-09
232,RP Singh,4,33,2,12,DC,Supersport Park,22-May-09
233,Vinay Kumar,4,33,2,12,KKR,Supersport Park,12-May-09
234,Amit Mishra,4,33,3,8,RR,OUTsurance Oval,17-May-09
235,Siddharth Trivedi,3,33,1,18,DEC,De Beers Diamond Oval,11-May-09
236,Ramesh Powar,3,33,1,18,RR,Kingsmead,05-May-09
237,Anil Kumble,4,32,0,0,MI,St George's Park,10-May-09
238,Zaheer Khan,4,32,0,0,DEC,Kingsmead,25-Apr-09
239,Vinay Kumar,4,32,0,0,MI,New Wanderers Stadium,03-May-09
240,Johan Botha,4,32,0,0,MI,Kingsmead,14-May-09
241,Amit Mishra,4,32,1,24,DEC,Supersport Park,30-Apr-09
242,Albie Morkel,4,32,1,24,DC,New Wanderers Stadium,02-May-09
243,Lasith Malinga,4,32,1,24,PBKS,Supersport Park,12-May-09
244,Lakshmipathy Balaji,4,32,1,24,RCB,Kingsmead,14-May-09
245,Chetanya Nanda,4,32,1,24,RCB,St George's Park,10-May-09
246,Roelof van der Merwe,4,32,1,24,DEC,Supersport Park,21-May-09
247,Piyush Chawla,4,32,1,24,MI,Supersport Park,12-May-09
248,Moises Henriques,4,32,1,24,PBKS,Kingsmead,21-Apr-09
249,Thilan Thushara,4,32,1,24,MI,Newlands,18-Apr-09
250,Manpreet Gony,4,32,2,12,MI,Newlands,18-Apr-09
251,Shane Warne,4,32,2,12,DC,Supersport Park,28-Apr-09
252,Irfan Pathan,4,32,2,12,CSK,Kingsmead,20-May-09
253,Scott Styris,4,32,2,12,KKR,Newlands,19-Apr-09
254,Pragyan Ojha,4,32,2,12,RCB,Supersport Park,21-May-09
255,Dillon du Preez,4,32,3,8,MI,New Wanderers Stadium,03-May-09
256,Scott Styris,4,32,3,8,RCB,Newlands,22-Apr-09
257,Dwayne Bravo,3,32,0,0,RCB,New Wanderers Stadium,03-May-09
258,Jaskaran Singh,3,32,0,0,RCB,Supersport Park,21-May-09
259,RP Singh,3,32,1,18,CSK,Kingsmead,27-Apr-09
260,Balachandra Akhil,3,32,1,18,KKR,Supersport Park,12-May-09
261,Brett Lee,4,31,0,0,DEC,New Wanderers Stadium,17-May-09
262,Praveen Kumar,4,31,0,0,RR,Supersport Park,07-May-09
263,Ryan Harris,4,31,0,0,PBKS,New Wanderers Stadium,17-May-09
264,Albie Morkel,4,31,1,24,MI,St George's Park,16-May-09
265,Sanath Jayasuriya,4,31,1,24,DEC,Supersport Park,06-May-09
266,Roelof van der Merwe,4,31,1,24,DC,New Wanderers Stadium,19-May-09
267,Harbhajan Singh,4,31,1,24,RR,Kingsmead,14-May-09
268,Pankaj Singh,4,31,2,12,DC,St George's Park,26-Apr-09
269,Kevin Pietersen,4,31,2,12,DEC,Newlands,22-Apr-09
270,Zaheer Khan,4,31,3,8,KKR,Buffalo Park,01-May-09
271,Yusuf Abdulla,4,31,4,6,RCB,Kingsmead,24-Apr-09
272,Chris Gayle,3.5,31,0,0,RCB,Kingsmead,29-Apr-09
273,Shoaib Ahmed,3,31,0,0,CSK,Kingsmead,27-Apr-09
274,Dwayne Bravo,3,31,2,9,KKR,St George's Park,27-Apr-09
275,Angelo Mathews,2.2,31,0,0,RCB,Supersport Park,12-May-09
276,Anil Kumble,4,30,0,0,CSK,New Wanderers Stadium,23-May-09
277,Yusuf Pathan,4,30,0,0,PBKS,Newlands,26-Apr-09
278,Andrew Symonds,4,30,0,0,RR,De Beers Diamond Oval,11-May-09
279,Jacob Oram,4,30,1,24,MI,Newlands,18-Apr-09
280,Lasith Malinga,4,30,1,24,DC,Buffalo Park,08-May-09
281,Tyron Henderson,4,30,1,24,RCB,Newlands,18-Apr-09
282,Vinay Kumar,4,30,1,24,MI,St George's Park,10-May-09
283,Vinay Kumar,4,30,2,12,DEC,New Wanderers Stadium,24-May-09
284,Piyush Chawla,4,30,2,12,RR,Kingsmead,05-May-09
285,Praveen Kumar,4,30,3,8,DC,New Wanderers Stadium,19-May-09
286,RP Singh,3.1,30,0,0,KKR,New Wanderers Stadium,16-May-09
287,KP Appanna,3,30,1,18,KKR,Kingsmead,29-Apr-09
288,Dwayne Bravo,3,30,1,18,RR,Kingsmead,14-May-09
289,Vinay Kumar,3,30,2,9,CSK,Kingsmead,14-May-09
290,Dimitri Mascarenhas,4,29,0,0,PBKS,Newlands,26-Apr-09
291,Piyush Chawla,4,29,0,0,RCB,Kingsmead,01-May-09
292,Dhawal Kulkarni,4,29,0,0,RR,Kingsmead,14-May-09
293,Ishant Sharma,4,29,1,24,KKR,St George's Park,27-Apr-09
294,Ajit Agarkar,4,29,1,24,PBKS,St George's Park,03-May-09
295,Ishant Sharma,4,29,1,24,MI,St George's Park,27-Apr-09
296,Dimitri Mascarenhas,4,29,1,24,KKR,Newlands,23-Apr-09
297,Shadab Jakati,4,29,1,24,RCB,New Wanderers Stadium,23-May-09
298,Ashok Dinda,4,29,1,24,CSK,Supersport Park,18-May-09
299,Roelof van der Merwe,4,29,1,24,CSK,Kingsmead,14-May-09
300,Albie Morkel,4,56,2,12,RR,Chidambaram,03-Apr-10
301,Pankaj Singh,4,54,0,0,MI,M. Chinnaswamy Stadium,17-Apr-10
302,Shaun Tait,4,53,1,24,DC,Arun Jaitley Stadium,31-Mar-10
303,Muttiah Muralitharan,4,52,1,24,RR,Chidambaram,03-Apr-10
304,Shanthakumaran Sreesanth,4,51,0,0,DEC,Barabati Stadium,19-Mar-10
305,RP Singh,4,51,1,24,PBKS,HPCA Stadium,16-Apr-10
306,Rajagopal Sathish,3,51,1,18,RR,Brabourne Stadium,13-Mar-10
307,MF Maharoof,4,50,2,12,MI,Arun Jaitley Stadium,17-Mar-10
308,Shalabh Srivastava,4,49,1,24,RR,IS Bindra Stadium,24-Mar-10
309,Lakshmipathy Balaji,4,49,1,24,RCB,M. Chinnaswamy Stadium,23-Mar-10
310,Sumit Narwal,3,49,0,0,CSK,Narendra Modi Stadium,28-Mar-10
311,Brett Lee,4,48,0,0,RCB,IS Bindra Stadium,02-Apr-10
312,Kemar Roach,4,48,0,0,KKR,Eden Gardens,01-Apr-10
313,Albie Morkel,4,48,1,24,PBKS,HPCA Stadium,18-Apr-10
314,Lakshmipathy Balaji,4,47,1,24,MI,Brabourne Stadium,25-Mar-10
315,Muttiah Muralitharan,4,47,1,24,KKR,Chidambaram,13-Apr-10
316,Shane Watson,4,47,2,12,CSK,Chidambaram,03-Apr-10
317,Ishant Sharma,4,46,0,0,RCB,M. Chinnaswamy Stadium,10-Apr-10
318,Pradeep Sangwan,4,46,0,0,CSK,Arun Jaitley Stadium,19-Mar-10
319,Ali Murtaza,4,46,1,24,RR,Brabourne Stadium,13-Mar-10
320,Shaun Tait,4,46,1,24,MI,Brabourne Stadium,13-Mar-10
321,Albie Morkel,4,46,2,12,RR,Narendra Modi Stadium,28-Mar-10
322,Sudeep Tyagi,4,45,0,0,RR,Chidambaram,03-Apr-10
323,Zaheer Khan,4,45,0,0,CSK,Brabourne Stadium,25-Mar-10
324,Irfan Pathan,4,45,0,0,RR,IS Bindra Stadium,24-Mar-10
325,Praveen Kumar,4,45,0,0,DC,M. Chinnaswamy Stadium,25-Mar-10
326,Jacques Kallis,4,45,1,24,PBKS,IS Bindra Stadium,02-Apr-10
327,Kieron Pollard,4,45,1,24,CSK,DY Patil Stadium,25-Apr-10
328,Shaun Tait,4,44,0,0,CSK,Chidambaram,03-Apr-10
329,Yusuf Pathan,4,44,0,0,CSK,Chidambaram,03-Apr-10
330,Ajantha Mendis,4,44,0,0,RCB,M. Chinnaswamy Stadium,10-Apr-10
331,Amit Mishra,4,44,1,24,MI,Arun Jaitley Stadium,17-Mar-10
332,Sarabjit Ladda,4,44,2,12,MI,Arun Jaitley Stadium,17-Mar-10
333,Shadab Jakati,4,44,2,12,DEC,DY Patil Stadium,22-Apr-10
334,Harbhajan Singh,4,44,2,12,RCB,DY Patil Stadium,21-Apr-10
335,Ishant Sharma,4,44,2,12,MI,Brabourne Stadium,22-Mar-10
336,Irfan Pathan,3.4,44,0,0,CSK,HPCA Stadium,18-Apr-10
337,Ryan McLaren,4,43,0,0,RR,Brabourne Stadium,13-Mar-10
338,Joginder Sharma,4,43,1,24,DC,Arun Jaitley Stadium,19-Mar-10
339,Juan Theron,4,43,1,24,CSK,HPCA Stadium,18-Apr-10
340,Praveen Kumar,4,43,1,24,PBKS,M. Chinnaswamy Stadium,16-Mar-10
341,RP Singh,4,43,1,24,PBKS,Barabati Stadium,19-Mar-10
342,Munaf Patel,4,43,1,24,PBKS,IS Bindra Stadium,24-Mar-10
343,Dale Steyn,4,43,2,12,MI,DY Patil Stadium,21-Apr-10
344,Angelo Mathews,3,43,0,0,DC,Eden Gardens,07-Apr-10
345,Ravi Bopara,3,43,1,18,KKR,Eden Gardens,04-Apr-10
346,Dwayne Bravo,4,42,0,0,CSK,Brabourne Stadium,25-Mar-10
347,Andrew McDonald,4,42,1,24,MI,Brabourne Stadium,13-Apr-10
348,Dale Steyn,4,42,1,24,DC,M. Chinnaswamy Stadium,25-Mar-10
349,Rahul Sharma,4,42,2,12,DC,Barabati Stadium,21-Mar-10
350,Aditya Dole,4,42,2,12,DEC,Vidarbha Cricket Association Stadium,05-Apr-10
351,Irfan Pathan,4,42,2,12,KKR,IS Bindra Stadium,27-Mar-10
352,Andrew McDonald,4,42,2,12,RCB,M. Chinnaswamy Stadium,25-Mar-10
353,Praveen Kumar,3,42,0,0,CSK,Chidambaram,31-Mar-10
354,Shane Warne,3,42,0,0,PBKS,Sawai Mansingh Stadium,07-Apr-10
355,Shanthakumaran Sreesanth,3,42,0,0,RCB,M. Chinnaswamy Stadium,16-Mar-10
356,Albie Morkel,4,41,0,0,DEC,Chidambaram,14-Mar-10
357,Amit Mishra,4,41,0,0,KKR,Eden Gardens,07-Apr-10
358,Lasith Malinga,4,41,0,0,CSK,Brabourne Stadium,25-Mar-10
359,Murali Kartik,4,41,1,24,PBKS,Eden Gardens,04-Apr-10
360,Pradeep Sangwan,4,41,1,24,MI,Arun Jaitley Stadium,17-Mar-10
361,Amit Uniyal,4,41,2,12,MI,Brabourne Stadium,13-Mar-10
362,Harmeet Singh Bansal,4,41,2,12,DC,Arun Jaitley Stadium,18-Apr-10
363,Jacques Kallis,4,41,2,12,MI,M. Chinnaswamy Stadium,17-Apr-10
364,Sumit Narwal,2,41,0,0,CSK,Chidambaram,03-Apr-10
365,Andrew Symonds,4,40,0,0,MI,DY Patil Stadium,28-Mar-10
366,Albie Morkel,4,40,0,0,RCB,Chidambaram,31-Mar-10
367,Anil Kumble,4,40,0,0,PBKS,M. Chinnaswamy Stadium,16-Mar-10
368,Jacques Kallis,4,40,0,0,DEC,Vidarbha Cricket Association Stadium,12-Apr-10
369,Ravichandran Ashwin,4,40,0,0,RCB,M. Chinnaswamy Stadium,23-Mar-10
370,Daniel Vettori,4,40,1,24,RCB,Arun Jaitley Stadium,04-Apr-10
371,Dhawal Kulkarni,4,40,1,24,RR,Sawai Mansingh Stadium,11-Apr-10
372,Ravichandran Ashwin,4,40,1,24,DC,Arun Jaitley Stadium,19-Mar-10
373,Ryan Harris,4,40,1,24,MI,Brabourne Stadium,03-Apr-10
374,Vinay Kumar,4,40,4,6,CSK,M. Chinnaswamy Stadium,23-Mar-10
375,Shanthakumaran Sreesanth,3,40,0,0,RR,Sawai Mansingh Stadium,07-Apr-10
376,Shane Watson,3,40,0,0,DEC,Vidarbha Cricket Association Stadium,05-Apr-10
377,Pragyan Ojha,3,40,1,18,RR,Narendra Modi Stadium,26-Mar-10
378,Doug Bollinger,4,39,0,0,PBKS,HPCA Stadium,18-Apr-10
379,Brett Lee,4,39,0,0,KKR,IS Bindra Stadium,27-Mar-10
380,Doug Bollinger,4,39,1,24,MI,Chidambaram,06-Apr-10
381,Jacques Kallis,4,39,1,24,PBKS,M. Chinnaswamy Stadium,16-Mar-10
382,Shane Warne,4,39,1,24,PBKS,IS Bindra Stadium,24-Mar-10
383,Shalabh Srivastava,4,39,1,24,DEC,Barabati Stadium,19-Mar-10
384,Dirk Nannes,4,39,1,24,DEC,Barabati Stadium,21-Mar-10
385,Vinay Kumar,3.2,39,1,20,DEC,M. Chinnaswamy Stadium,08-Apr-10
386,Manpreet Gony,3,39,0,0,RCB,Chidambaram,31-Mar-10
387,Abhimanyu Mithun,3,39,1,18,DC,Arun Jaitley Stadium,04-Apr-10
388,Sudeep Tyagi,1.5,39,0,0,DEC,Chidambaram,14-Mar-10
389,Dale Steyn,4,38,0,0,DEC,M. Chinnaswamy Stadium,08-Apr-10
390,Brett Lee,4,38,0,0,MI,IS Bindra Stadium,09-Apr-10
391,Ryan McLaren,4,38,0,0,KKR,Brabourne Stadium,22-Mar-10
392,RP Singh,4,38,0,0,RCB,M. Chinnaswamy Stadium,08-Apr-10
393,Dale Steyn,4,38,0,0,KKR,Eden Gardens,14-Mar-10
394,Anil Kumble,4,38,1,24,MI,M. Chinnaswamy Stadium,17-Apr-10
395,Ishant Sharma,4,38,1,24,CSK,Eden Gardens,16-Mar-10
396,Anil Kumble,4,38,1,24,DEC,M. Chinnaswamy Stadium,08-Apr-10
397,Umesh Yadav,4,38,1,24,CSK,Arun Jaitley Stadium,19-Mar-10
398,Chris Gayle,4,38,1,24,DC,Arun Jaitley Stadium,29-Mar-10
399,Pragyan Ojha,4,38,2,12,KKR,Eden Gardens,01-Apr-10
400,Praveen Kumar,4,37,0,0,PBKS,IS Bindra Stadium,02-Apr-10
401,Mitchell Marsh,4,37,1,24,RCB,M. Chinnaswamy Stadium,08-Apr-10
402,Praveen Kumar,4,37,1,24,DEC,M. Chinnaswamy Stadium,08-Apr-10
403,Praveen Kumar,4,37,1,24,MI,Brabourne Stadium,20-Mar-10
404,Sarabjit Ladda,4,37,1,24,RR,Arun Jaitley Stadium,31-Mar-10
405,Laxmi Ratan Shukla,4,37,1,24,CSK,Eden Gardens,16-Mar-10
406,MF Maharoof,4,37,2,12,PBKS,IS Bindra Stadium,13-Mar-10
407,Ryan Harris,4,37,2,12,RCB,M. Chinnaswamy Stadium,08-Apr-10
408,Andrew McDonald,4,37,2,12,KKR,Arun Jaitley Stadium,29-Mar-10
409,Shane Watson,4,37,3,8,MI,Sawai Mansingh Stadium,11-Apr-10
410,Shadab Jakati,3,37,0,0,RR,Chidambaram,03-Apr-10
411,Praveen Kumar,3,37,0,0,KKR,M. Chinnaswamy Stadium,10-Apr-10
412,Bipul Sharma,3,37,1,18,RCB,M. Chinnaswamy Stadium,16-Mar-10
413,Pragyan Ojha,3,37,1,18,RR,Vidarbha Cricket Association Stadium,05-Apr-10
414,Umesh Yadav,4,36,0,0,DEC,Barabati Stadium,21-Mar-10
415,Lasith Malinga,4,36,0,0,CSK,Chidambaram,06-Apr-10
416,Dwayne Bravo,4,36,0,0,KKR,Brabourne Stadium,22-Mar-10
417,Shalabh Srivastava,4,36,0,0,DEC,HPCA Stadium,16-Apr-10
418,Jacques Kallis,4,36,0,0,DC,M. Chinnaswamy Stadium,25-Mar-10
419,Lakshmipathy Balaji,4,36,0,0,DEC,Chidambaram,14-Mar-10
420,Juan Theron,4,36,1,24,KKR,Eden Gardens,04-Apr-10
421,Ajit Agarkar,4,36,1,24,DC,Eden Gardens,07-Apr-10
422,Dale Steyn,4,36,1,24,PBKS,M. Chinnaswamy Stadium,16-Mar-10
423,Irfan Pathan,4,36,1,24,KKR,Eden Gardens,04-Apr-10
424,Pragyan Ojha,4,36,1,24,DC,Barabati Stadium,21-Mar-10
425,Vinay Kumar,4,36,1,24,RR,Sawai Mansingh Stadium,14-Apr-10
426,Lasith Malinga,4,36,2,12,PBKS,IS Bindra Stadium,09-Apr-10
427,Aditya Dole,4,36,2,12,PBKS,Sawai Mansingh Stadium,07-Apr-10
428,Sumit Narwal,4,36,3,8,DC,Arun Jaitley Stadium,31-Mar-10
429,Zaheer Khan,3.2,36,0,0,PBKS,IS Bindra Stadium,09-Apr-10
430,Irfan Pathan,3.1,36,1,19,RCB,IS Bindra Stadium,02-Apr-10
431,Yusuf Abdulla,2.5,36,0,0,RCB,M. Chinnaswamy Stadium,16-Mar-10
432,Dirk Nannes,4,35,0,0,MI,Arun Jaitley Stadium,17-Mar-10
433,Vinay Kumar,4,35,0,0,DC,Arun Jaitley Stadium,04-Apr-10
434,Siddharth Trivedi,4,35,0,0,DC,Arun Jaitley Stadium,31-Mar-10
435,RP Singh,4,35,1,24,KKR,DY Patil Stadium,12-Mar-10
436,Piyush Chawla,4,35,1,24,KKR,IS Bindra Stadium,27-Mar-10
437,Harbhajan Singh,4,35,1,24,RCB,Brabourne Stadium,20-Mar-10
438,Moises Henriques,4,35,1,24,DEC,Barabati Stadium,21-Mar-10
439,Jacques Kallis,4,35,1,24,MI,Brabourne Stadium,20-Mar-10
440,Jaskaran Singh,4,35,1,24,KKR,DY Patil Stadium,12-Mar-10
441,Siddharth Trivedi,4,35,1,24,MI,Sawai Mansingh Stadium,11-Apr-10
442,Pradeep Sangwan,4,35,2,12,MI,Brabourne Stadium,13-Apr-10
443,Sumit Narwal,4,35,2,12,DEC,Narendra Modi Stadium,26-Mar-10
444,Dwayne Bravo,3.1,35,0,0,RCB,Brabourne Stadium,20-Mar-10
445,Siddharth Trivedi,3,35,0,0,DEC,Narendra Modi Stadium,26-Mar-10
446,Shalabh Srivastava,3,35,0,0,KKR,Eden Gardens,04-Apr-10
447,Ajit Agarkar,3,35,0,0,PBKS,Eden Gardens,04-Apr-10
448,Irfan Pathan,3,35,1,18,DEC,HPCA Stadium,16-Apr-10
449,Chris Gayle,3,35,1,18,CSK,Chidambaram,13-Apr-10
450,Siddharth Trivedi,4,59,0,0,PBKS,IS Bindra Stadium,21-Apr-11
451,Zaheer Khan,4,53,0,0,KKR,Eden Gardens,22-Apr-11
452,Alfonso Thomas,4,53,1,24,MI,DY Patil Stadium,04-May-11
453,Amit Mishra,4,53,1,24,DC,Rajiv Gandhi Intl. Cricket Stadium,05-May-11
454,Lakshmipathy Balaji,3,51,1,18,MI,Eden Gardens,22-May-11
455,Johan van der Wath,4,50,0,0,PBKS,HPCA Stadium,17-May-11
456,Shane Warne,4,50,1,24,PBKS,IS Bindra Stadium,21-Apr-11
457,Morne Morkel,4,49,1,24,MI,Wankhede Stadium,07-May-11
458,Ajit Agarkar,4,49,1,24,CSK,Chidambaram,12-May-11
459,Johan van der Wath,4,49,2,12,CSK,Chidambaram,16-Apr-11
460,Vinay Kumar,4,48,0,0,MI,Wankhede Stadium,15-Apr-11
461,Piyush Chawla,4,48,0,0,DEC,HPCA Stadium,21-May-11
462,Ryan Harris,4,48,0,0,DC,Arun Jaitley Stadium,23-Apr-11
463,Dan Christian,4,48,0,0,MI,Rajiv Gandhi Intl. Cricket Stadium,24-Apr-11
464,Charl Langeveldt,4,48,2,12,PBKS,HPCA Stadium,17-May-11
465,Shane Watson,4,47,0,0,CSK,Sawai Mansingh Stadium,09-May-11
466,Ajit Agarkar,4,47,2,12,PBKS,Arun Jaitley Stadium,23-Apr-11
467,Kamran Khan,3,47,0,0,RCB,M. Chinnaswamy Stadium,29-Apr-11
468,Shalabh Srivastava,4,46,0,0,DC,Arun Jaitley Stadium,23-Apr-11
469,James Hopes,4,45,1,24,MI,Wankhede Stadium,07-May-11
470,Praveen Kumar,4,45,1,24,DC,Arun Jaitley Stadium,23-Apr-11
471,RP Singh,4,44,1,24,KKR,Jawaharlal Nehru Stadium,05-May-11
472,Pragyan Ojha,3.5,44,0,0,RR,Rajiv Gandhi Intl. Cricket Stadium,09-Apr-11
473,P Parameswaran,2.1,44,0,0,RCB,M. Chinnaswamy Stadium,08-May-11
474,James Hopes,4,43,1,24,PBKS,Arun Jaitley Stadium,23-Apr-11
475,Lakshmipathy Balaji,4,43,1,24,RCB,Eden Gardens,22-Apr-11
476,Kieron Pollard,3,43,0,0,KTK,Wankhede Stadium,15-Apr-11
477,Brett Lee,4,42,0,0,KTK,Jawaharlal Nehru Stadium,05-May-11
478,Johan Botha,4,42,0,0,RCB,Sawai Mansingh Stadium,11-May-11
479,Lasith Malinga,4,42,0,0,RR,Wankhede Stadium,20-May-11
480,Morne Morkel,4,42,1,24,KKR,Arun Jaitley Stadium,28-Apr-11
481,Ryan Harris,4,42,1,24,KTK,Holkar Cricket Stadium,13-May-11
482,Ashok Dinda,4,42,2,12,PWI,DY Patil Stadium,17-Apr-11
483,Lasith Malinga,4,42,2,12,KTK,Wankhede Stadium,15-Apr-11
484,Muttiah Muralitharan,3.5,42,1,23,PWI,DY Patil Stadium,13-Apr-11
485,Daniel Vettori,3.4,42,0,0,CSK,Wankhede Stadium,24-May-11
486,Ishant Sharma,4,41,0,0,CSK,Chidambaram,01-May-11
487,Murali Kartik,4,41,0,0,RR,Sawai Mansingh Stadium,01-May-11
488,Roelof van der Merwe,4,41,1,24,RR,Sawai Mansingh Stadium,12-Apr-11
489,Amit Mishra,4,41,1,24,RCB,Rajiv Gandhi Intl. Cricket Stadium,14-Apr-11
490,Vinay Kumar,4,41,1,24,DC,Jawaharlal Nehru Stadium,30-Apr-11
491,Harbhajan Singh,4,40,0,0,RCB,Chidambaram,27-May-11
492,Albie Morkel,4,40,0,0,RCB,Wankhede Stadium,24-May-11
493,Ryan McLaren,4,40,1,24,RCB,M. Chinnaswamy Stadium,06-May-11
494,Irfan Pathan,4,40,1,24,CSK,Chidambaram,12-May-11
495,Amit Singh,4,40,1,24,CSK,Sawai Mansingh Stadium,09-May-11
496,Munaf Patel,4,40,1,24,CSK,Wankhede Stadium,22-Apr-11
497,Shaun Tait,4,40,2,12,DC,Sawai Mansingh Stadium,12-Apr-11
498,Aavishkar Salvi,4,40,2,12,PBKS,HPCA Stadium,15-May-11
499,Dale Steyn,4,39,0,0,MI,Rajiv Gandhi Intl. Cricket Stadium,24-Apr-11
500,Dan Christian,4,39,1,24,KKR,Rajiv Gandhi Intl. Cricket Stadium,03-May-11
501,Suresh Raina,4,39,1,24,RCB,Chidambaram,28-May-11
502,Ishant Sharma,4,39,1,24,MI,Rajiv Gandhi Intl. Cricket Stadium,24-Apr-11
503,Shalabh Srivastava,4,39,2,12,DC,HPCA Stadium,15-May-11
504,Shahbaz Nadeem,4,39,2,12,PWI,DY Patil Stadium,17-Apr-11
505,Love Ablish,3,39,0,0,RCB,M. Chinnaswamy Stadium,06-May-11
506,Syed Mohammad,3,39,1,18,CSK,Chidambaram,28-May-11
507,Sreenath Aravind,3,39,2,9,CSK,Chidambaram,28-May-11
508,Irfan Pathan,4,38,0,0,KTK,Arun Jaitley Stadium,02-May-11
509,Thisara Perera,4,38,0,0,MI,Wankhede Stadium,15-Apr-11
510,Suresh Raina,4,38,0,0,RCB,M. Chinnaswamy Stadium,22-May-11
511,Doug Bollinger,4,38,1,24,DC,Chidambaram,12-May-11
512,Doug Bollinger,4,38,1,24,KTK,Chidambaram,18-May-11
513,Wayne Parnell,4,38,1,24,DEC,Rajiv Gandhi Intl. Cricket Stadium,10-May-11
514,Dan Christian,4,38,2,12,DC,Arun Jaitley Stadium,19-Apr-11
515,Lakshmipathy Balaji,4,38,2,12,DC,Arun Jaitley Stadium,28-Apr-11
516,Ryan Harris,4,38,3,8,RCB,M. Chinnaswamy Stadium,06-May-11
517,Albie Morkel,4,38,3,8,DEC,Chidambaram,01-May-11
518,Shanthakumaran Sreesanth,3.5,38,0,0,PBKS,Holkar Cricket Stadium,13-May-11
519,Shrikant Wagh,3,38,0,0,DC,DY Patil Stadium,17-Apr-11
520,Tim Southee,3,38,0,0,KTK,Jawaharlal Nehru Stadium,18-Apr-11
521,Albie Morkel,3,38,1,18,PBKS,IS Bindra Stadium,13-Apr-11
522,Munaf Patel,4,37,0,0,DEC,Wankhede Stadium,14-May-11
523,Umesh Yadav,4,37,0,0,RCB,Arun Jaitley Stadium,26-Apr-11
524,Ravichandran Ashwin,4,37,0,0,PBKS,IS Bindra Stadium,13-Apr-11
525,Morne Morkel,4,37,0,0,DEC,Rajiv Gandhi Intl. Cricket Stadium,05-May-11
526,Brett Lee,4,37,0,0,MI,Eden Gardens,22-May-11
527,Ali Murtaza,4,37,0,0,KTK,Wankhede Stadium,15-Apr-11
528,Ishant Sharma,4,37,0,0,KKR,Rajiv Gandhi Intl. Cricket Stadium,03-May-11
529,Praveen Kumar,4,37,0,0,RCB,M. Chinnaswamy Stadium,06-May-11
530,Shadab Jakati,4,37,1,24,RCB,Wankhede Stadium,24-May-11
531,Brett Lee,4,37,1,24,MI,Wankhede Stadium,25-May-11
532,Praveen Kumar,4,37,2,12,CSK,IS Bindra Stadium,13-Apr-11
533,Piyush Chawla,4,37,2,12,MI,Wankhede Stadium,02-May-11
534,Piyush Chawla,4,37,2,12,RCB,M. Chinnaswamy Stadium,06-May-11
535,Abhimanyu Mithun,4,37,2,12,DC,Arun Jaitley Stadium,26-Apr-11
536,Siddharth Trivedi,3.4,37,1,22,CSK,Chidambaram,04-May-11
537,Sreenath Aravind,3,37,2,9,KKR,Eden Gardens,22-Apr-11
538,Bhargav Bhatt,4,36,0,0,KTK,Holkar Cricket Stadium,13-May-11
539,Zaheer Khan,4,36,0,0,MI,M. Chinnaswamy Stadium,12-Apr-11
540,Sreenath Aravind,4,36,0,0,PBKS,HPCA Stadium,17-May-11
541,Johan Botha,4,36,0,0,DC,Sawai Mansingh Stadium,12-Apr-11
542,Umesh Yadav,4,36,0,0,PWI,DY Patil Stadium,17-Apr-11
543,Kieron Pollard,4,36,1,24,PWI,DY Patil Stadium,04-May-11
544,Dwayne Bravo,4,36,1,24,KTK,Chidambaram,18-May-11
545,Piyush Chawla,4,36,1,24,DC,Arun Jaitley Stadium,23-Apr-11
546,James Hopes,4,36,1,24,DEC,Arun Jaitley Stadium,19-Apr-11
547,Ravichandran Ashwin,4,36,1,24,RR,Chidambaram,04-May-11
548,Dwayne Bravo,4,36,1,24,RR,Sawai Mansingh Stadium,09-May-11
549,Siddharth Trivedi,4,36,1,24,DC,Sawai Mansingh Stadium,12-Apr-11
550,Varun Aaron,4,36,1,24,PBKS,Arun Jaitley Stadium,23-Apr-11
551,Jaydev Unadkat,4,36,2,12,DEC,Eden Gardens,11-Apr-11
552,Ashok Dinda,3.3,36,1,21,RCB,Arun Jaitley Stadium,26-Apr-11
