,Player,Runs,BF,4s,6s,Against,Venue,Match Date
1031,Shikhar Dhawan,50,38,5,1,KKR,Rajiv Gandhi Intl. Cricket Stadium,19-May-18
1032,Chris Gayle,104,39,1,11,SRH,IS Bindra Stadium,19-Apr-18
1033,Kane Williamson,54,39,3,2,PBKS,IS Bindra Stadium,19-Apr-18
1034,Suresh Raina,54,39,5,2,SRH,Rajiv Gandhi Intl. Cricket Stadium,22-Apr-18
1035,Ambati Rayudu,82,40,3,8,RCB,M. Chinnaswamy Stadium,25-Apr-18
1036,Virat Kohli,92,41,7,4,MI,Wankhede Stadium,17-Apr-18
1037,Shreyas Iyer,57,41,5,1,PBKS,Arun Jaitley Stadium,23-Apr-18
1038,Hardik Pandya,50,41,5,1,RCB,M. Chinnaswamy Stadium,01-May-18
1039,Ajinkya Rahane,65,42,5,1,SRH,Sawai Mansingh Stadium,29-Apr-18
1040,Chris Lynn,62,42,7,1,RCB,M. Chinnaswamy Stadium,29-Apr-18
1041,Kane Williamson,50,43,4,1,KKR,Eden Gardens,14-Apr-18
1042,KL Rahul,84,44,7,3,RR,Holkar Cricket Stadium,06-May-18
1043,Suresh Raina,61,45,4,2,PBKS,Maharashtra Cricket Association's International Stadium,20-May-18
1044,KL Rahul,95,48,11,2,RR,Sawai Mansingh Stadium,08-May-18
1045,Manish Pandey,54,48,3,1,PBKS,Rajiv Gandhi Intl. Cricket Stadium,26-Apr-18
1046,Hardik Pandya,91,17,6,9,KKR,Eden Gardens,28-Apr-19
1047,Rishabh Pant,78,18,7,7,MI,Wankhede Stadium,24-Mar-19
1048,KL Rahul,71,19,7,5,CSK,IS Bindra Stadium,05-May-19
1049,Andre Russell,65,21,2,9,RCB,Eden Gardens,19-Apr-19
1050,Kieron Pollard,83,22,3,10,PBKS,Wankhede Stadium,10-Apr-19
1051,Andre Russell,62,23,4,6,DC,Arun Jaitley Stadium,30-Mar-19
1052,Sam Curran,55,23,7,2,KKR,IS Bindra Stadium,03-May-19
1053,Moeen Ali,66,24,5,6,KKR,Eden Gardens,19-Apr-19
1054,David Warner,50,24,10,0,CSK,Rajiv Gandhi Intl. Cricket Stadium,17-Apr-19
1055,Manish Pandey,83,25,7,3,CSK,Chidambaram,23-Apr-19
1056,Chris Gayle,69,25,6,5,DC,Arun Jaitley Stadium,20-Apr-19
1057,Shikhar Dhawan,54,25,8,2,RR,Sawai Mansingh Stadium,22-Apr-19
1058,Rishabh Pant,78,26,6,4,RR,Sawai Mansingh Stadium,22-Apr-19
1059,David Warner,69,26,9,2,RR,Rajiv Gandhi Intl. Cricket Stadium,29-Mar-19
1060,Manish Pandey,61,27,9,0,RR,Sawai Mansingh Stadium,27-Apr-19
1061,Chris Lynn,54,27,8,2,MI,Eden Gardens,28-Apr-19
1062,Jonny Bairstow,114,28,12,7,RCB,Rajiv Gandhi Intl. Cricket Stadium,31-Mar-19
1063,Chris Gayle,99,28,10,5,RCB,IS Bindra Stadium,13-Apr-19
1064,Jonny Bairstow,80,28,7,4,KKR,Rajiv Gandhi Intl. Cricket Stadium,21-Apr-19
1065,David Warner,67,28,3,5,KKR,Rajiv Gandhi Intl. Cricket Stadium,21-Apr-19
1066,AB de Villiers,63,28,5,4,KKR,M. Chinnaswamy Stadium,05-Apr-19
1067,Nitish Rana,63,28,2,7,PBKS,Eden Gardens,27-Mar-19
1068,Mayank Agarwal,58,28,6,1,KKR,Eden Gardens,27-Mar-19
1069,Jos Buttler,89,29,8,7,MI,Wankhede Stadium,13-Apr-19
1070,Jos Buttler,69,29,10,2,PBKS,Sawai Mansingh Stadium,25-Mar-19
1071,Parthiv Patel,67,29,9,1,RR,Sawai Mansingh Stadium,02-Apr-19
1072,Prithvi Shaw,99,30,12,3,KKR,Arun Jaitley Stadium,30-Mar-19
1073,Andre Russell,80,30,6,8,MI,Eden Gardens,28-Apr-19
1074,David Warner,85,31,9,3,KKR,Eden Gardens,24-Mar-19
1075,Virat Kohli,84,31,9,2,KKR,M. Chinnaswamy Stadium,05-Apr-19
1076,AB de Villiers,70,31,4,6,MI,M. Chinnaswamy Stadium,28-Mar-19
1077,Chris Gayle,63,31,3,7,MI,Wankhede Stadium,10-Apr-19
1078,Prithvi Shaw,56,31,6,2,SRH,ACA-VDCA Stadium,08-May-19
1079,Shane Watson,50,31,3,4,DC,ACA-VDCA Stadium,10-May-19
1080,Chris Lynn,50,31,6,3,RR,Sawai Mansingh Stadium,07-Apr-19
1081,Moeen Ali,50,31,1,5,MI,Wankhede Stadium,15-Apr-19
1082,Steve Smith,50,31,8,0,DC,Sawai Mansingh Stadium,22-Apr-19
1083,Ajinkya Rahane,105,32,11,3,DC,Sawai Mansingh Stadium,22-Apr-19
1084,David Warner,100,32,5,5,RCB,Rajiv Gandhi Intl. Cricket Stadium,31-Mar-19
1085,Shikhar Dhawan,97,32,11,2,KKR,Eden Gardens,12-Apr-19
1086,Shubman Gill,76,32,6,4,MI,Eden Gardens,28-Apr-19
1087,Shimron Hetmyer,75,32,4,6,SRH,M. Chinnaswamy Stadium,04-May-19
1088,Nitish Rana,85,33,9,5,RCB,Eden Gardens,19-Apr-19
1089,Chris Gayle,79,33,8,4,RR,Sawai Mansingh Stadium,25-Mar-19
1090,Faf du Plessis,54,33,2,4,PBKS,Chidambaram,06-Apr-19
1091,Yuvraj Singh,53,33,5,3,DC,Wankhede Stadium,24-Mar-19
1092,Sanju Samson,102,34,10,4,SRH,Rajiv Gandhi Intl. Cricket Stadium,29-Mar-19
1093,Quinton de Kock,81,34,6,4,RR,Wankhede Stadium,13-Apr-19
1094,KL Rahul,71,34,7,1,SRH,IS Bindra Stadium,08-Apr-19
1095,Quinton de Kock,65,34,6,2,RR,Sawai Mansingh Stadium,20-Apr-19
1096,Shubman Gill,65,34,7,2,DC,Eden Gardens,12-Apr-19
1097,Suresh Raina,59,34,8,1,DC,Chidambaram,01-May-19
1098,Suresh Raina,53,34,5,2,PBKS,IS Bindra Stadium,05-May-19
1099,Shreyas Iyer,52,34,2,3,RCB,Arun Jaitley Stadium,28-Apr-19
1100,Dinesh Karthik,97,35,7,9,RR,Eden Gardens,25-Apr-19
1101,Shane Watson,96,35,9,6,SRH,Chidambaram,23-Apr-19
1102,MS Dhoni,84,35,5,7,RCB,M. Chinnaswamy Stadium,21-Apr-19
1103,AB de Villiers,82,35,3,7,PBKS,M. Chinnaswamy Stadium,24-Apr-19
1104,Nitish Rana,68,35,8,3,SRH,Eden Gardens,24-Mar-19
1105,Quinton de Kock,60,35,6,2,PBKS,IS Bindra Stadium,30-Mar-19
1106,AB de Villiers,59,35,5,2,PBKS,IS Bindra Stadium,13-Apr-19
1107,Dinesh Karthik,50,35,5,2,DC,Arun Jaitley Stadium,30-Mar-19
1108,Chris Lynn,82,36,7,6,CSK,Eden Gardens,14-Apr-19
1109,Shubman Gill,65,36,5,2,PBKS,IS Bindra Stadium,03-May-19
1110,David Miller,59,36,5,3,KKR,Eden Gardens,27-Mar-19
1111,Suresh Raina,58,36,7,1,KKR,Eden Gardens,14-Apr-19
1112,Shikhar Dhawan,56,36,7,1,PBKS,Arun Jaitley Stadium,20-Apr-19
1113,Parthiv Patel,53,36,2,4,CSK,M. Chinnaswamy Stadium,21-Apr-19
1114,Shikhar Dhawan,50,36,5,2,RCB,Arun Jaitley Stadium,28-Apr-19
1115,Faf du Plessis,96,37,10,4,PBKS,IS Bindra Stadium,05-May-19
1116,Suryakumar Yadav,71,37,10,0,CSK,Chidambaram,07-May-19
1117,Manish Pandey,71,37,8,2,MI,Wankhede Stadium,02-May-19
1118,Shreyas Iyer,67,37,8,2,RCB,M. Chinnaswamy Stadium,07-Apr-19
1119,Rohit Sharma,67,37,6,3,CSK,Chidambaram,26-Apr-19
1120,Virat Kohli,67,37,8,0,PBKS,IS Bindra Stadium,13-Apr-19
1121,Faf du Plessis,50,37,7,1,DC,ACA-VDCA Stadium,10-May-19
1122,David Warner,81,38,7,2,PBKS,Rajiv Gandhi Intl. Cricket Stadium,29-Apr-19
1123,KL Rahul,79,38,4,5,SRH,Rajiv Gandhi Intl. Cricket Stadium,29-Apr-19
1124,Kane Williamson,70,38,5,4,RCB,M. Chinnaswamy Stadium,04-May-19
1125,Ajinkya Rahane,70,38,4,3,SRH,Rajiv Gandhi Intl. Cricket Stadium,29-Mar-19
1126,Jos Buttler,59,38,8,1,RCB,Sawai Mansingh Stadium,02-Apr-19
1127,Suryakumar Yadav,59,38,8,1,CSK,Wankhede Stadium,03-Apr-19
1128,Rishabh Pant,53,38,2,5,RR,Arun Jaitley Stadium,04-May-19
1129,MS Dhoni,75,39,4,4,RR,Chidambaram,31-Mar-19
1130,Gurkeerat Mann Singh,65,39,8,1,SRH,M. Chinnaswamy Stadium,04-May-19
1131,Jonny Bairstow,61,39,3,3,CSK,Rajiv Gandhi Intl. Cricket Stadium,17-Apr-19
1132,MS Dhoni,58,39,2,3,RR,Sawai Mansingh Stadium,11-Apr-19
1133,David Warner,57,39,3,2,CSK,Chidambaram,23-Apr-19
1134,Virat Kohli,100,40,9,4,KKR,Eden Gardens,19-Apr-19
1135,Steve Smith,59,40,5,1,MI,Sawai Mansingh Stadium,20-Apr-19
1136,Mayank Agarwal,55,40,3,3,SRH,IS Bindra Stadium,08-Apr-19
1137,KL Rahul,100,41,6,6,MI,Wankhede Stadium,10-Apr-19
1138,AB de Villiers,75,41,6,4,MI,Wankhede Stadium,15-Apr-19
1139,Robin Uthappa,67,41,6,2,PBKS,Eden Gardens,27-Mar-19
1140,Ambati Rayudu,57,41,2,3,RR,Sawai Mansingh Stadium,11-Apr-19
1141,KL Rahul,55,41,3,1,CSK,Chidambaram,06-Apr-19
1142,Sarfaraz Khan,67,42,4,2,CSK,Chidambaram,06-Apr-19
1143,Shane Watson,80,44,8,4,MI,Rajiv Gandhi Intl. Cricket Stadium,12-May-19
1144,Steve Smith,73,44,7,1,KKR,Sawai Mansingh Stadium,07-Apr-19
1145,Rohit Sharma,55,44,8,0,KKR,Wankhede Stadium,05-May-19
1146,Rahul Tripathi,50,44,4,0,PBKS,IS Bindra Stadium,16-Apr-19
1147,Andre Russell,50,44,5,3,CSK,Chidambaram,09-Apr-19
1148,KL Rahul,71,45,6,1,MI,IS Bindra Stadium,30-Mar-19
1149,Shreyas Iyer,58,45,5,1,PBKS,Arun Jaitley Stadium,20-Apr-19
1150,KL Rahul,52,45,3,2,RR,IS Bindra Stadium,16-Apr-19
1151,Chris Lynn,51,45,4,1,SRH,Rajiv Gandhi Intl. Cricket Stadium,21-Apr-19
1152,Shikhar Dhawan,51,45,7,0,CSK,Arun Jaitley Stadium,26-Mar-19
1153,Kedar Jadhav,58,46,8,1,MI,Wankhede Stadium,03-Apr-19
1154,David Warner,51,46,3,1,DC,Rajiv Gandhi Intl. Cricket Stadium,14-Apr-19
1155,Riyan Parag,50,47,4,2,DC,Arun Jaitley Stadium,04-May-19
1156,Quinton de Kock,69,48,6,2,SRH,Wankhede Stadium,02-May-19
1157,David Warner,70,49,6,1,PBKS,IS Bindra Stadium,08-Apr-19
1158,Nicholas Pooran,77,17,5,7,SRH,Dubai International Stadium,08-Oct-20
1159,Sanju Samson,74,19,1,9,CSK,Sharjah Cricket Stadium,22-Sep-20
1160,Kieron Pollard,60,20,3,5,RCB,Dubai International Stadium,28-Sep-20
1161,Hardik Pandya,60,20,2,7,RR,Zayed Cricket Stadium,25-Oct-20
1162,Marcus Stoinis,53,20,7,3,PBKS,Dubai International Stadium,20-Sep-20
1163,Dinesh Karthik,58,22,8,2,PBKS,Zayed Cricket Stadium,10-Oct-20
1164,AB de Villiers,55,22,1,6,RR,Dubai International Stadium,17-Oct-20
1165,AB de Villiers,73,23,5,6,KKR,Sharjah Cricket Stadium,12-Oct-20
1166,AB de Villiers,55,23,4,4,MI,Dubai International Stadium,28-Sep-20
1167,Priyam Garg,51,23,6,1,CSK,Dubai International Stadium,02-Oct-20
1168,Sunil Narine,64,24,6,4,DC,Zayed Cricket Stadium,24-Oct-20
1169,Marcus Stoinis,53,24,6,2,RCB,Dubai International Stadium,05-Oct-20
1170,Ben Stokes,50,24,6,3,PBKS,Zayed Cricket Stadium,30-Oct-20
1171,Quinton de Kock,78,25,9,3,KKR,Zayed Cricket Stadium,16-Oct-20
1172,David Warner,66,25,8,2,DC,Dubai International Stadium,27-Oct-20
1173,Chris Gayle,51,25,2,5,KKR,Sharjah Cricket Stadium,26-Oct-20
1174,Mayank Agarwal,106,26,10,7,RR,Sharjah Cricket Stadium,27-Sep-20
1175,Shreyas Iyer,88,26,7,6,KKR,Sharjah Cricket Stadium,03-Oct-20
1176,Shikhar Dhawan,78,26,6,2,SRH,Zayed Cricket Stadium,08-Nov-20
1177,Deepak Hooda,62,26,3,4,CSK,Zayed Cricket Stadium,01-Nov-20
1178,Steve Smith,50,26,7,2,PBKS,Sharjah Cricket Stadium,27-Sep-20
1179,Wriddhiman Saha,87,27,12,2,DC,Dubai International Stadium,27-Oct-20
1180,Sanju Samson,85,27,4,7,PBKS,Sharjah Cricket Stadium,27-Sep-20
1181,Sanju Samson,54,27,4,3,MI,Zayed Cricket Stadium,25-Oct-20
1182,Nicholas Pooran,53,27,6,3,DC,Dubai International Stadium,20-Oct-20
1183,Ben Stokes,107,28,14,3,MI,Zayed Cricket Stadium,25-Oct-20
1184,Shikhar Dhawan,106,28,12,3,PBKS,Dubai International Stadium,20-Oct-20
1185,Jonny Bairstow,97,28,7,6,PBKS,Dubai International Stadium,08-Oct-20
1186,Manish Pandey,83,28,4,8,RR,Dubai International Stadium,22-Oct-20
1187,Shikhar Dhawan,101,29,14,1,CSK,Sharjah Cricket Stadium,17-Oct-20
1188,Suryakumar Yadav,79,29,10,3,RCB,Zayed Cricket Stadium,28-Oct-20
1189,Faf du Plessis,72,29,1,7,RR,Sharjah Cricket Stadium,22-Sep-20
1190,Ishan Kishan,68,29,6,5,CSK,Sharjah Cricket Stadium,23-Oct-20
1191,AB de Villiers,51,29,4,2,SRH,Dubai International Stadium,21-Sep-20
1192,Devdutt Padikkal,74,30,12,1,MI,Zayed Cricket Stadium,28-Oct-20
1193,Eoin Morgan,68,30,5,6,RR,Dubai International Stadium,01-Nov-20
1194,Shikhar Dhawan,57,30,6,2,RR,Dubai International Stadium,14-Oct-20
1195,Steve Smith,57,30,6,1,RCB,Dubai International Stadium,17-Oct-20
1196,Ishan Kishan,55,30,4,3,DC,Dubai International Stadium,05-Nov-20
1197,Rahul Tewatia,53,30,0,7,PBKS,Sharjah Cricket Stadium,27-Sep-20
1198,Suryakumar Yadav,53,30,6,1,DC,Zayed Cricket Stadium,11-Oct-20
1199,Shane Watson,83,31,11,3,PBKS,Dubai International Stadium,04-Oct-20
1200,Rahul Tripathi,81,31,8,3,CSK,Zayed Cricket Stadium,07-Oct-20
1201,Aaron Finch,52,31,7,1,MI,Dubai International Stadium,28-Sep-20
1202,Quinton de Kock,67,32,4,4,SRH,Sharjah Cricket Stadium,04-Oct-20
1203,Nitish Rana,58,32,4,4,DC,Sharjah Cricket Stadium,03-Oct-20
1204,Chris Gayle,99,33,6,8,RR,Zayed Cricket Stadium,30-Oct-20
1205,Faf du Plessis,87,33,11,1,PBKS,Dubai International Stadium,04-Oct-20
1206,Suryakumar Yadav,79,33,11,2,RR,Zayed Cricket Stadium,06-Oct-20
1207,Ambati Rayudu,71,33,6,3,MI,Zayed Cricket Stadium,19-Sep-20
1208,Mayank Agarwal,56,33,6,1,KKR,Zayed Cricket Stadium,10-Oct-20
1209,Quinton de Kock,53,33,4,3,DC,Zayed Cricket Stadium,11-Oct-20
1210,Jos Buttler,70,34,4,5,MI,Zayed Cricket Stadium,06-Oct-20
1211,Devdutt Padikkal,63,34,6,1,RR,Zayed Cricket Stadium,03-Oct-20
1212,David Warner,60,34,5,2,MI,Sharjah Cricket Stadium,04-Oct-20
1213,Wriddhiman Saha,58,34,7,1,MI,Sharjah Cricket Stadium,03-Nov-20
1214,Ravindra Jadeja,50,34,5,2,SRH,Dubai International Stadium,02-Oct-20
1215,David Warner,85,35,10,1,MI,Sharjah Cricket Stadium,03-Nov-20
1216,Nitish Rana,81,35,13,1,DC,Zayed Cricket Stadium,24-Oct-20
1217,KL Rahul,77,35,7,3,MI,Dubai International Stadium,18-Oct-20
1218,KL Rahul,69,35,7,1,RR,Sharjah Cricket Stadium,27-Sep-20
1219,Steve Smith,69,35,4,4,CSK,Sharjah Cricket Stadium,22-Sep-20
1220,Kane Williamson,67,35,5,4,DC,Zayed Cricket Stadium,08-Nov-20
1221,Prithvi Shaw,66,35,4,4,KKR,Sharjah Cricket Stadium,03-Oct-20
1222,Prithvi Shaw,64,35,9,1,CSK,Dubai International Stadium,25-Sep-20
1223,Rishabh Pant,56,35,4,2,MI,Dubai International Stadium,10-Nov-20
1224,Tom Curran,54,35,2,3,KKR,Dubai International Stadium,30-Sep-20
1225,Pat Cummins,53,35,5,2,MI,Zayed Cricket Stadium,16-Oct-20
1226,Manish Pandey,51,35,3,2,KKR,Zayed Cricket Stadium,26-Sep-20
1227,KL Rahul,132,36,14,7,RCB,Dubai International Stadium,24-Sep-20
1228,Rohit Sharma,68,36,5,4,DC,Dubai International Stadium,10-Nov-20
1229,Marcus Stoinis,65,36,6,3,MI,Dubai International Stadium,05-Nov-20
1230,Shubman Gill,57,36,3,4,PBKS,Sharjah Cricket Stadium,26-Oct-20
1231,Kane Williamson,57,36,7,0,CSK,Dubai International Stadium,13-Oct-20
1232,Devdutt Padikkal,56,36,8,0,SRH,Dubai International Stadium,21-Sep-20
1233,Chris Gayle,53,36,1,5,RCB,Sharjah Cricket Stadium,15-Oct-20
1234,Suryakumar Yadav,51,36,6,2,DC,Dubai International Stadium,05-Nov-20
1235,Ishan Kishan,72,37,8,3,DC,Dubai International Stadium,31-Oct-20
1236,Ruturaj Gaikwad,72,37,6,2,KKR,Dubai International Stadium,29-Oct-20
1237,Jos Buttler,70,37,7,2,CSK,Zayed Cricket Stadium,19-Oct-20
1238,Jonny Bairstow,61,37,6,2,RCB,Dubai International Stadium,21-Sep-20
1239,KL Rahul,61,37,1,5,RCB,Sharjah Cricket Stadium,15-Oct-20
1240,Ajinkya Rahane,60,37,5,1,RCB,Zayed Cricket Stadium,02-Nov-20
1241,Shikhar Dhawan,54,37,6,0,RCB,Zayed Cricket Stadium,02-Nov-20
1242,Devdutt Padikkal,54,37,5,2,MI,Dubai International Stadium,28-Sep-20
1243,David Warner,52,37,5,1,PBKS,Dubai International Stadium,08-Oct-20
1244,Ruturaj Gaikwad,62,38,6,1,PBKS,Zayed Cricket Stadium,01-Nov-20
1245,Ishan Kishan,99,39,2,9,RCB,Dubai International Stadium,28-Sep-20
1246,Virat Kohli,90,39,4,4,CSK,Dubai International Stadium,10-Oct-20
1247,Rohit Sharma,80,39,3,6,KKR,Zayed Cricket Stadium,23-Sep-20
1248,Shikhar Dhawan,69,39,6,1,MI,Zayed Cricket Stadium,11-Oct-20
1249,Faf du Plessis,58,39,6,2,DC,Sharjah Cricket Stadium,17-Oct-20
1250,AB de Villiers,56,39,5,0,SRH,Zayed Cricket Stadium,06-Nov-20
1251,Quinton de Kock,53,39,3,3,PBKS,Dubai International Stadium,18-Oct-20
1252,Shane Watson,50,39,6,1,KKR,Zayed Cricket Stadium,07-Oct-20
1253,Rohit Sharma,70,40,8,3,PBKS,Zayed Cricket Stadium,01-Oct-20
1254,Shreyas Iyer,65,40,6,2,MI,Dubai International Stadium,10-Nov-20
1255,Manish Pandey,54,40,2,3,RR,Dubai International Stadium,11-Oct-20
1256,Shreyas Iyer,53,40,3,2,RR,Dubai International Stadium,14-Oct-20
1257,Devdutt Padikkal,50,40,5,0,DC,Zayed Cricket Stadium,02-Nov-20
1258,Virat Kohli,72,41,7,2,RR,Zayed Cricket Stadium,03-Oct-20
1259,KL Rahul,74,42,6,0,KKR,Zayed Cricket Stadium,10-Oct-20
1260,Shubman Gill,70,42,5,2,SRH,Zayed Cricket Stadium,26-Sep-20
1261,Ruturaj Gaikwad,65,42,4,3,RCB,Dubai International Stadium,25-Oct-20
1262,Faf du Plessis,58,42,6,0,MI,Zayed Cricket Stadium,19-Sep-20
1263,Shubman Gill,57,42,5,0,PBKS,Zayed Cricket Stadium,10-Oct-20
1264,Virat Kohli,50,42,1,1,CSK,Dubai International Stadium,25-Oct-20
1265,Nitish Rana,87,44,10,4,CSK,Dubai International Stadium,29-Oct-20
1266,Jonny Bairstow,53,44,2,1,DC,Zayed Cricket Stadium,29-Sep-20
1267,Kane Williamson,50,44,2,2,RCB,Zayed Cricket Stadium,06-Nov-20
1268,Mayank Agarwal,89,45,7,4,DC,Dubai International Stadium,20-Sep-20
1269,KL Rahul,63,46,7,1,CSK,Dubai International Stadium,04-Oct-20
1270,Sam Curran,52,46,4,2,MI,Sharjah Cricket Stadium,23-Oct-20
1271,Mandeep Singh,66,49,8,2,KKR,Sharjah Cricket Stadium,26-Oct-20
1272,Vijay Shankar,52,51,6,0,RR,Dubai International Stadium,22-Oct-20
1273,Ishan Kishan,84,16,11,4,SRH,Zayed Cricket Stadium,08-Oct-21
1274,Kieron Pollard,87,17,6,8,CSK,Arun Jaitley Stadium,01-May-21
1275,Prithvi Shaw,82,18,11,3,KKR,Narendra Modi Stadium,29-Apr-21
1276,Yashasvi Jaiswal,50,19,6,3,CSK,Zayed Cricket Stadium,02-Oct-21
1277,Ambati Rayudu,72,20,4,7,MI,Arun Jaitley Stadium,01-May-21
1278,Deepak Hooda,64,20,4,6,RR,Wankhede Stadium,12-Apr-21
1279,Andre Russell,54,21,3,6,CSK,Wankhede Stadium,21-Apr-21
1280,Pat Cummins,66,23,4,6,CSK,Wankhede Stadium,21-Apr-21
1281,Shimron Hetmyer,53,23,2,4,RCB,Narendra Modi Stadium,27-Apr-21
1282,Suryakumar Yadav,82,24,13,3,SRH,Zayed Cricket Stadium,08-Oct-21
1283,KL Rahul,98,25,7,8,CSK,Dubai International Stadium,07-Oct-21
1284,Mayank Agarwal,69,25,7,4,DC,Wankhede Stadium,18-Apr-21
1285,Ravindra Jadeja,62,25,4,5,RCB,Wankhede Stadium,25-Apr-21
1286,Venkatesh Iyer,53,25,4,3,MI,Zayed Cricket Stadium,23-Sep-21
1287,Ishan Kishan,50,25,5,3,RR,Sharjah Cricket Stadium,05-Oct-21
1288,Devdutt Padikkal,101,27,11,6,RR,Wankhede Stadium,22-Apr-21
1289,AB de Villiers,76,27,9,3,KKR,Chidambaram,18-Apr-21
1290,Prithvi Shaw,72,27,9,3,CSK,Wankhede Stadium,10-Apr-21
1291,Prithvi Shaw,60,27,7,3,CSK,Dubai International Stadium,10-Oct-21
1292,Faf du Plessis,50,27,2,4,MI,Arun Jaitley Stadium,01-May-21
1293,Glenn Maxwell,78,28,9,3,KKR,Chidambaram,18-Apr-21
1294,Rahul Tripathi,53,28,5,2,SRH,Chidambaram,11-Apr-21
1295,Rahul Tripathi,74,29,8,3,MI,Zayed Cricket Stadium,23-Sep-21
1296,Glenn Maxwell,57,29,3,4,PBKS,Sharjah Cricket Stadium,03-Oct-21
1297,KL Rahul,91,30,7,5,RR,Wankhede Stadium,12-Apr-21
1298,Manish Pandey,69,30,7,2,MI,Zayed Cricket Stadium,08-Oct-21
1299,Rishabh Pant,51,30,9,0,RR,Wankhede Stadium,15-Apr-21
1300,Glenn Maxwell,50,30,6,1,RR,Dubai International Stadium,29-Sep-21
1301,Shikhar Dhawan,92,31,13,2,PBKS,Wankhede Stadium,18-Apr-21
1302,Shivam Dube,64,31,4,4,CSK,Zayed Cricket Stadium,02-Oct-21
1303,Evin Lewis,58,31,5,3,RCB,Dubai International Stadium,29-Sep-21
1304,David Warner,54,31,7,1,RCB,Chidambaram,14-Apr-21
1305,Venkatesh Iyer,50,31,5,3,CSK,Dubai International Stadium,15-Oct-21
1306,Faf du Plessis,56,32,6,1,SRH,Arun Jaitley Stadium,28-Apr-21
1307,Jonny Bairstow,55,32,5,3,KKR,Chidambaram,11-Apr-21
1308,Suresh Raina,54,32,3,4,DC,Wankhede Stadium,10-Apr-21
1309,Glenn Maxwell,51,32,8,0,DC,Dubai International Stadium,08-Oct-21
1310,Sanju Samson,119,33,12,7,PBKS,Wankhede Stadium,12-Apr-21
1311,Ruturaj Gaikwad,64,33,6,4,KKR,Wankhede Stadium,21-Apr-21
1312,Moeen Ali,58,33,5,5,MI,Arun Jaitley Stadium,01-May-21
1313,Glenn Maxwell,56,33,6,3,MI,Dubai International Stadium,26-Sep-21
1314,Suryakumar Yadav,56,33,7,2,KKR,Chidambaram,13-Apr-21
1315,Virat Kohli,72,34,6,3,RR,Wankhede Stadium,22-Apr-21
1316,Mayank Agarwal,67,34,7,2,RR,Dubai International Stadium,21-Sep-21
1317,Faf du Plessis,95,35,9,4,KKR,Wankhede Stadium,21-Apr-21
1318,KL Rahul,91,35,7,5,RCB,Narendra Modi Stadium,30-Apr-21
1319,Faf du Plessis,86,35,7,3,KKR,Dubai International Stadium,15-Oct-21
1320,Shikhar Dhawan,85,35,10,2,CSK,Wankhede Stadium,10-Apr-21
1321,AB de Villiers,75,35,3,5,DC,Narendra Modi Stadium,27-Apr-21
1322,Quinton de Kock,70,35,6,2,RR,Arun Jaitley Stadium,29-Apr-21
1323,Devdutt Padikkal,70,35,5,3,CSK,Sharjah Cricket Stadium,24-Sep-21
1324,Shikhar Dhawan,69,35,6,2,PBKS,Narendra Modi Stadium,02-May-21
1325,Robin Uthappa,63,35,7,2,DC,Dubai International Stadium,10-Oct-21
1326,Manish Pandey,61,35,5,1,CSK,Arun Jaitley Stadium,28-Apr-21
1327,Prithvi Shaw,53,35,7,1,SRH,Chidambaram,25-Apr-21
1328,Rishabh Pant,51,35,3,2,CSK,Dubai International Stadium,10-Oct-21
1329,Ruturaj Gaikwad,75,36,12,0,SRH,Arun Jaitley Stadium,28-Apr-21
1330,Jason Roy,60,36,8,1,RR,Dubai International Stadium,27-Sep-21
1331,Mayank Agarwal,57,36,6,2,RCB,Sharjah Cricket Stadium,03-Oct-21
1332,Virat Kohli,53,36,6,1,CSK,Sharjah Cricket Stadium,24-Sep-21
1333,Mayank Agarwal,99,37,8,4,DC,Narendra Modi Stadium,02-May-21
1334,Nitish Rana,80,37,9,4,SRH,Chidambaram,11-Apr-21
1335,K.S Bharat,78,37,3,4,DC,Dubai International Stadium,08-Oct-21
1336,Ruturaj Gaikwad,70,37,5,2,DC,Dubai International Stadium,10-Oct-21
1337,Manish Pandey,61,37,2,3,KKR,Chidambaram,11-Apr-21
1338,Quinton de Kock,55,37,4,3,KKR,Zayed Cricket Stadium,23-Sep-21
1339,Glenn Maxwell,59,38,5,3,SRH,Chidambaram,14-Apr-21
1340,Venkatesh Iyer,55,38,4,3,DC,Sharjah Cricket Stadium,13-Oct-21
1341,Jos Buttler,124,39,11,8,SRH,Arun Jaitley Stadium,02-May-21
1342,Sanju Samson,70,39,8,1,DC,Zayed Cricket Stadium,25-Sep-21
1343,Venkatesh Iyer,67,39,9,1,PBKS,Dubai International Stadium,01-Oct-21
1344,Rohit Sharma,63,40,5,2,PBKS,Chidambaram,23-Apr-21
1345,David Miller,62,40,7,2,DC,Wankhede Stadium,15-Apr-21
1346,Nitish Rana,57,40,6,2,MI,Chidambaram,13-Apr-21
1347,Shubman Gill,56,40,4,2,RR,Sharjah Cricket Stadium,07-Oct-21
1348,Ambati Rayudu,55,40,5,2,DC,Dubai International Stadium,04-Oct-21
1349,Virat Kohli,51,40,3,3,MI,Dubai International Stadium,26-Sep-21
1350,Shubman Gill,51,40,6,0,CSK,Dubai International Stadium,15-Oct-21
1351,Saurabh Tiwary,50,40,5,0,CSK,Dubai International Stadium,19-Sep-21
1352,Faf du Plessis,50,40,5,1,RCB,Wankhede Stadium,25-Apr-21
