,Player,Runs,BF,4s,6s,Against,Venue,Match Date
793,Rohit Sharma,85,38,8,3,RPS,Maharashtra Cricket Association's International Stadium,01-May-16
794,Rohit Sharma,84,38,10,2,KKR,Eden Gardens,13-Apr-16
795,Robin Uthappa,70,38,6,2,PBKS,Eden Gardens,04-May-16
796,Ajinkya Rahane,63,38,7,0,DC,Arun Jaitley Stadium,05-May-16
797,Rohit Sharma,62,38,4,3,RCB,Wankhede Stadium,20-Apr-16
798,Quinton de Kock,59,38,9,1,PBKS,Arun Jaitley Stadium,15-Apr-16
799,Wriddhiman Saha,56,38,6,1,MI,ACA-VDCA Stadium,13-May-16
800,David Warner,52,38,5,1,PBKS,IS Bindra Stadium,15-May-16
801,Virat Kohli,109,39,5,8,GL,M. Chinnaswamy Stadium,14-May-16
802,Karun Nair,68,39,9,1,KKR,Arun Jaitley Stadium,30-Apr-16
803,Gautam Gambhir,64,39,4,1,MI,Eden Gardens,13-Apr-16
804,Suryakumar Yadav,60,39,6,2,RPS,Maharashtra Cricket Association's International Stadium,24-Apr-16
805,Gautam Gambhir,59,39,6,1,MI,Wankhede Stadium,28-Apr-16
806,Saurabh Tiwary,57,39,4,2,MI,Maharashtra Cricket Association's International Stadium,01-May-16
807,Dinesh Karthik,50,39,3,0,RCB,Saurashtra Cricket Association Stadium,24-Apr-16
808,Virat Kohli,100,40,11,1,GL,Saurashtra Cricket Association Stadium,24-Apr-16
809,Virat Kohli,75,40,7,3,SRH,M. Chinnaswamy Stadium,12-Apr-16
810,David Warner,73,40,8,1,DC,Shaheed Veer Narayan Singh International Cricket Stadium,20-May-16
811,Sanju Samson,60,40,4,2,MI,Arun Jaitley Stadium,23-Apr-16
812,Shaun Marsh,56,40,5,1,KKR,IS Bindra Stadium,19-Apr-16
813,Virat Kohli,54,40,6,0,DC,Shaheed Veer Narayan Singh International Cricket Stadium,22-May-16
814,Shikhar Dhawan,53,40,5,0,GL,Saurashtra Cricket Association Stadium,21-Apr-16
815,Gautam Gambhir,90,41,13,1,SRH,Rajiv Gandhi Intl. Cricket Stadium,16-Apr-16
816,Parthiv Patel,81,41,10,2,PBKS,IS Bindra Stadium,25-Apr-16
817,Shakib Al Hasan,66,41,4,4,GL,Eden Gardens,08-May-16
818,Rohit Sharma,65,41,7,1,DC,Arun Jaitley Stadium,23-Apr-16
819,Eoin Morgan,51,41,3,2,KKR,Rajiv Gandhi Intl. Cricket Stadium,16-Apr-16
820,David Warner,90,42,7,4,MI,Rajiv Gandhi Intl. Cricket Stadium,18-Apr-16
821,Karun Nair,83,42,8,3,SRH,Shaheed Veer Narayan Singh International Cricket Stadium,20-May-16
822,KL Rahul,68,42,3,4,MI,M. Chinnaswamy Stadium,11-May-16
823,Ajinkya Rahane,67,42,4,3,KKR,Maharashtra Cricket Association's International Stadium,24-Apr-16
824,Faf du Plessis,67,42,8,0,PBKS,IS Bindra Stadium,17-Apr-16
825,Gautam Gambhir,54,42,6,1,PBKS,Eden Gardens,04-May-16
826,Dinesh Karthik,53,42,5,0,DC,Saurashtra Cricket Association Stadium,03-May-16
827,Virat Kohli,52,42,4,0,KKR,M. Chinnaswamy Stadium,02-May-16
828,Marcus Stoinis,52,42,3,2,DC,IS Bindra Stadium,07-May-16
829,Aaron Finch,51,42,3,1,SRH,Rajiv Gandhi Intl. Cricket Stadium,06-May-16
830,Shikhar Dhawan,82,43,10,1,MI,ACA-VDCA Stadium,08-May-16
831,Robin Uthappa,72,43,6,2,DC,Arun Jaitley Stadium,30-Apr-16
832,Quinton de Kock,60,43,5,1,RCB,Shaheed Veer Narayan Singh International Cricket Stadium,22-May-16
833,Ambati Rayudu,54,43,3,2,SRH,Rajiv Gandhi Intl. Cricket Stadium,18-Apr-16
834,Ajinkya Rahane,53,43,5,0,GL,Maharashtra Cricket Association's International Stadium,29-Apr-16
835,Aaron Finch,67,46,7,1,MI,Wankhede Stadium,16-Apr-16
836,Virat Kohli,80,47,7,2,RPS,Maharashtra Cricket Association's International Stadium,22-Apr-16
837,Shikhar Dhawan,56,48,2,1,RPS,Rajiv Gandhi Intl. Cricket Stadium,26-Apr-16
838,Murali Vijay,54,48,5,1,MI,ACA-VDCA Stadium,13-May-16
839,Murali Vijay,53,48,5,2,RPS,IS Bindra Stadium,17-Apr-16
840,Sunil Narine,54,15,6,4,RCB,M. Chinnaswamy Stadium,07-May-17
841,Chris Lynn,93,19,6,8,GL,Saurashtra Cricket Association Stadium,07-Apr-17
842,David Warner,126,20,10,8,KKR,Rajiv Gandhi Intl. Cricket Stadium,30-Apr-17
843,Chris Lynn,50,21,5,4,RCB,M. Chinnaswamy Stadium,07-May-17
