POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Chris Gayle,15,14,2,733,128*,61.08,456,160.74,1,7,46,59
2,Gautam Gambhir,17,17,2,590,93,39.33,411,143.55,0,6,64,17
3,Shikhar Dhawan,15,15,1,569,84,40.64,439,129.61,0,5,58,18
4,Ajinkya Rahane,16,16,2,560,103*,40,433,129.33,1,3,73,10
5,Virender Sehwag,16,16,1,495,87*,33,307,161.23,0,5,57,19
6,Cameron White,13,13,2,479,78,43.54,320,149.68,0,5,41,20
7,Rahul Dravid,16,16,0,462,58,28.87,412,112.13,0,2,63,4
8,Suresh Raina,19,18,1,441,73,25.94,325,135.69,0,1,36,19
9,Rohit Sharma,17,16,2,433,109*,30.92,342,126.6,1,3,39,18
10,Mandeep Singh,16,16,0,432,75,27,342,126.31,0,2,53,7
11,Jacques Kallis,17,17,1,409,79,25.56,384,106.51,0,2,34,10
12,Robin Uthappa,16,16,1,405,69,27,343,118.07,0,2,38,10
13,Faf du Plessis,13,12,0,398,73,33.16,304,130.92,0,3,29,17
14,David Hussey,16,15,3,396,68*,33,305,129.83,0,2,28,17
15,Dwayne Bravo,19,16,8,371,48,46.37,264,140.53,0,0,20,20
16,Virat Kohli,16,15,2,364,73*,28,326,111.65,0,2,33,9
17,Steve Smith,15,14,5,362,47*,40.22,267,135.58,0,0,24,14
18,MS Dhoni,19,17,5,358,51*,29.83,278,128.77,0,1,26,9
19,Owais Shah,13,13,4,340,76,37.77,256,132.81,0,3,24,16
20,Murali Vijay,14,14,1,336,113,25.84,267,125.84,1,0,39,10
21,Shaun Marsh,13,13,2,336,68*,30.54,280,120,0,2,39,7
22,Mahela Jayawardena,16,15,3,335,56*,27.91,298,112.41,0,3,39,3
23,Ambati Rayudu,17,15,6,333,81*,37,252,132.14,0,2,21,14
24,Sachin Tendulkar,13,13,2,324,74,29.45,283,114.48,0,2,39,4
25,AB de Villiers,16,13,5,319,64*,39.87,198,161.11,0,3,26,15
26,Kevin Pietersen,8,8,3,305,103*,61,207,147.34,1,1,22,20
27,Brendon McCullum,12,12,0,289,56,24.08,283,102.12,0,1,37,3
28,Tillakaratne Dilshan,10,9,1,285,76*,35.62,261,109.19,0,3,33,5
29,Sourav Ganguly,15,15,0,268,45,17.86,271,98.89,0,0,30,4
30,Michael Hussey,8,8,0,261,56,32.62,236,110.59,0,2,28,8
31,Manoj Tiwary,16,15,5,260,59,26,246,105.69,0,1,21,3
32,Jesse Ryder,11,11,1,256,86,25.6,212,120.75,0,2,23,8
33,David Warner,8,8,1,256,109*,36.57,156,164.1,1,1,28,14
34,Naman Ojha,18,16,5,255,64*,23.18,224,113.83,0,1,21,13
35,Shane Watson,7,7,1,255,90*,42.5,168,151.78,0,2,26,14
36,Brad Hodge,12,12,4,245,48*,30.62,175,140,0,0,18,9
37,JP Duminy,9,9,6,244,74,81.33,190,128.42,0,2,13,11
38,Dinesh Karthik,17,14,1,238,44,18.3,213,111.73,0,0,30,2
39,Mayank Agarwal,16,12,1,225,64*,20.45,158,142.4,0,1,19,15
40,James Franklin,12,11,2,220,79,24.44,223,98.65,0,1,15,6
41,Kieron Pollard,14,11,2,220,64,24.44,159,138.36,0,2,15,14
42,Ashok Menaria,15,12,1,220,40,20,202,108.91,0,0,14,8
43,Manvinder Bisla,7,7,0,213,89,30.42,160,133.12,0,1,16,10
44,Kumar Sangakkara,12,12,1,200,82,18.18,184,108.69,0,1,21,4
45,Ross Taylor,12,12,2,197,55,19.7,171,115.2,0,1,12,7
46,Subramaniam Badrinath,15,9,2,196,57,28,181,108.28,0,1,23,2
47,Yusuf Pathan,17,16,6,194,40*,19.4,169,114.79,0,0,10,7
48,Parthiv Patel,14,13,2,194,45,17.63,165,117.57,0,0,19,4
49,Ravindra Jadeja,19,14,2,191,48,15.91,151,126.49,0,0,13,9
