POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,David Warner,14,14,1,562,91,43.23,359,156.54,0,7,65,21
2,Lendl Simmons,13,13,1,540,71,45,441,122.44,0,6,56,21
3,Ajinkya Rahane,14,13,2,540,91*,49.09,413,130.75,0,4,53,13
4,AB de Villiers,16,14,3,513,133*,46.63,293,175.08,1,2,60,22
5,Virat Kohli,16,16,5,505,82*,45.9,386,130.82,0,3,35,23
6,Chris Gayle,14,14,2,491,117,40.91,333,147.44,1,2,39,38
7,Rohit Sharma,16,16,2,482,98*,34.42,333,144.74,0,3,41,21
8,Shreyas Iyer,14,14,1,439,83,33.76,342,128.36,0,4,41,21
9,Brendon McCullum,14,14,1,436,100*,33.53,280,155.71,1,2,51,23
10,Kieron Pollard,16,14,3,419,70,38.09,256,163.67,0,2,28,28
11,JP Duminy,14,13,3,414,78*,41.4,315,131.42,0,4,27,20
12,Dwayne Smith,16,16,0,399,62,24.93,335,119.1,0,2,52,16
13,Faf du Plessis,17,15,2,380,55,29.23,304,125,0,1,37,5
14,Suresh Raina,17,17,2,374,62,24.93,304,123.02,0,2,31,16
15,MS Dhoni,17,17,5,372,53,31,305,121.96,0,1,27,17
16,Robin Uthappa,13,13,1,364,80*,30.33,277,131.4,0,1,42,7
17,David Miller,13,13,2,357,89*,32.45,266,134.21,0,2,21,21
18,Shikhar Dhawan,14,14,1,353,54,27.15,286,123.42,0,3,45,6
19,Shane Watson,10,9,1,347,104*,43.37,257,135.01,1,1,37,14
20,Parthiv Patel,14,14,1,339,59,26.07,246,137.8,0,2,47,5
21,Gautam Gambhir,13,13,0,327,60,25.15,278,117.62,0,3,41,4
22,Andre Russell,13,11,2,326,66,36.22,169,192.89,0,3,35,19
23,Yusuf Pathan,13,12,5,312,52,44.57,231,135.06,0,1,29,12
24,Steve Smith,14,12,1,293,79*,26.63,221,132.57,0,2,33,3
25,Moises Henriques,9,9,2,287,74*,41,211,136.01,0,2,19,13
26,Ambati Rayudu,15,14,5,281,53*,31.22,193,145.59,0,1,18,16
27,George Bailey,13,13,2,259,61*,23.54,190,136.31,0,2,22,7
28,Murali Vijay,11,11,0,251,39,22.81,228,110.08,0,0,27,8
29,Wriddhiman Saha,14,13,0,249,42,19.15,197,126.39,0,0,16,10
30,Yuvraj Singh,14,13,0,248,57,19.07,210,118.09,0,2,23,10
31,Manish Pandey,13,12,1,225,40,20.45,184,122.28,0,0,22,7
32,Mayank Agarwal,10,10,1,213,68,23.66,177,120.33,0,2,23,7
33,Axar Patel,14,12,3,206,40*,22.88,174,118.39,0,0,13,8
34,Sanju Samson,14,11,1,204,76,20.4,163,125.15,0,1,16,8
35,Dwayne Bravo,17,14,5,195,62*,21.66,148,131.75,0,1,22,5
36,Kedar Jadhav,14,12,4,189,63*,23.62,140,135,0,1,16,7
37,Eoin Morgan,9,9,1,187,63,23.37,151,123.84,0,1,11,11
38,Karun Nair,14,12,1,181,61,16.45,145,124.82,0,1,18,5
39,Suryakumar Yadav,13,13,4,157,46*,17.44,113,138.93,0,0,12,8
40,Mandeep Singh,14,9,2,157,54*,22.42,100,157,0,1,17,6
41,Deepak Hooda,14,9,0,151,54,16.77,95,158.94,0,1,6,11
42,Ravi Bopara,9,8,3,145,41,29,120,120.83,0,0,6,6
43,Glenn Maxwell,11,11,0,145,43,13.18,112,129.46,0,0,13,8
44,Angelo Mathews,11,10,3,144,28,20.57,104,138.46,0,0,12,6
45,James Faulkner,13,11,3,144,46,18,109,132.11,0,0,12,5
46,KL Rahul,9,8,3,142,44*,28.4,126,112.69,0,0,8,5
47,Dinesh Karthik,16,11,0,141,28,12.81,117,120.51,0,0,15,4
48,Naman Ojha,14,11,1,137,28,13.7,121,113.22,0,0,12,4
49,Ravindra Jadeja,17,12,5,132,24,18.85,126,104.76,0,0,7,3
50,David Wiese,14,7,3,122,47*,30.5,86,141.86,0,0,12,4
51,Quinton de Kock,3,3,0,122,69,40.66,77,158.44,0,2,18,4
52,Harbhajan Singh,15,10,3,117,64,16.71,73,160.27,0,1,9,9
53,Pawan Negi,10,9,1,116,36,14.5,73,158.9,0,0,10,5
54,Corey Anderson,4,4,1,114,55*,38,97,117.52,0,2,11,6
55,Hardik Pandya,9,8,3,112,61*,22.4,62,180.64,0,1,9,8
56,Sarfaraz Khan,13,8,4,111,45*,27.75,71,156.33,0,0,12,2
57,Saurabh Tiwary,7,6,6,109,28*,0,78,139.74,0,0,9,5
58,Karn Sharma,14,9,3,104,32,17.33,85,122.35,0,0,3,6
59,Unmukt Chand,6,5,0,102,58,20.4,83,122.89,0,1,13,2
60,Virender Sehwag,8,8,0,99,47,12.37,84,117.85,0,0,12,3
61,Albie Morkel,4,3,2,86,73*,86,65,132.3,0,1,9,2
62,Manan Vohra,7,7,0,82,39,11.71,81,101.23,0,0,4,5
63,Shaun Marsh,4,4,0,81,65,20.25,58,139.65,0,1,7,3
64,Michael Hussey,4,4,0,77,56,19.25,70,110,0,1,5,3
65,Chris Morris,11,7,5,76,34*,38,46,165.21,0,0,3,5
66,Stuart Binny,13,8,4,74,20,18.5,66,112.12,0,0,7,1
67,Ashish Reddy,6,5,2,73,22*,24.33,46,158.69,0,0,3,5
68,Ryan ten Doeschate,6,5,2,61,38*,20.33,45,135.55,0,0,4,3
69,Manoj Tiwary,5,3,1,57,32,28.5,56,101.78,0,0,8,1
70,Piyush Chawla,13,8,4,54,22,13.5,47,114.89,0,0,5,2
71,Ravichandran Ashwin,14,6,3,52,23,17.33,32,162.5,0,0,6,1
72,Jagadeesha Suchith,13,6,5,48,34*,48,32,150,0,0,4,2
73,Hanuma Vihari,5,4,0,39,16,9.75,35,111.42,0,0,6,0
74,Manvinder Bisla,2,2,0,37,20,18.5,30,123.33,0,0,6,1
75,Shakib Al Hasan,4,3,0,36,23,12,27,133.33,0,0,5,0
76,Rishi Dhawan,5,5,3,36,25*,18,33,109.09,0,0,2,2
77,Gurkeerat Mann Singh,5,5,0,35,15,7,39,89.74,0,0,3,1
78,Kane Williamson,2,2,1,31,26*,31,27,114.81,0,0,1,1
79,Johan Botha,4,3,0,31,17,10.33,15,206.66,0,0,5,1
80,Mitchell Johnson,9,8,4,31,13*,7.75,36,86.11,0,0,1,1
81,Umesh Yadav,12,4,3,29,24*,29,14,207.14,0,0,5,1
82,Mohit Sharma,16,6,3,28,21*,9.33,18,155.55,0,0,1,2
83,Aaron Finch,3,3,1,23,10*,11.5,33,69.69,0,0,4,0
84,Nathan Coulter-Nile,11,5,1,20,6,5,18,111.11,0,0,2,1
85,Dale Steyn,6,3,2,20,19*,20,13,153.84,0,0,3,0
86,Iqbal Abdulla,5,2,0,20,20,10,18,111.11,0,0,4,0
87,Harshal Patel,15,7,2,19,9*,3.8,12,158.33,0,0,0,2
88,Anureet Singh,14,6,3,18,10,6,31,58.06,0,0,0,1
89,Bhuvneshwar Kumar,14,3,2,17,11*,17,10,170,0,0,2,1
90,Praveen Kumar,12,4,1,17,12,5.66,25,68,0,0,1,0
91,Sean Abbott,2,2,0,15,14,7.5,13,115.38,0,0,1,1
92,Aditya Tare,2,2,0,14,7,7,17,82.35,0,0,1,0
93,Rilee Rossouw,2,2,0,14,14,7,10,140,0,0,1,1
94,Darren Sammy,2,2,0,13,7,6.5,18,72.22,0,0,0,0
95,Mitchell McClenaghan,12,3,2,13,12*,13,6,216.66,0,0,0,2
96,Tim Southee,7,3,2,13,7*,13,9,144.44,0,0,1,0
97,Thisara Perera,2,2,0,12,9,6,15,80,0,0,0,1
98,Mitchell Starc,13,3,2,11,9*,11,14,78.57,0,0,1,0
99,Karanveer Singh,4,3,2,11,5*,11,16,68.75,0,0,1,0
100,Abu Nechim,3,3,2,10,5*,10,5,200,0,0,2,0
101,Sandeep Sharma,14,3,2,9,7,9,14,64.28,0,0,1,0
102,Amit Mishra,12,4,2,8,4,4,12,66.66,0,0,0,0
103,Ankit Sharma,4,2,1,7,7*,7,6,116.66,0,0,1,0
104,Brad Hogg,6,2,1,7,5,7,6,116.66,0,0,0,0
105,Shardul Thakur,1,1,1,7,7*,0,6,116.66,0,0,1,0
106,Lasith Malinga,15,1,1,6,6*,0,10,60,0,0,1,0
107,Varun Aaron,6,1,0,6,6,6,3,200,0,0,0,1
108,Azhar Mahmood,1,1,0,6,6,6,7,85.71,0,0,1,0
109,Imran Tahir,10,2,1,5,3*,5,6,83.33,0,0,0,0
110,Morne Morkel,7,1,1,4,4*,0,3,133.33,0,0,0,0
111,Chidhambaram Gautam,1,1,0,4,4,4,5,80,0,0,0,0
112,Nic Maddinson,1,1,0,4,4,4,7,57.14,0,0,1,0
113,Dhawal Kulkarni,11,2,0,4,3,2,11,36.36,0,0,0,0
114,Pravin Tambe,10,2,2,3,2*,0,5,60,0,0,0,0
115,Parveez Rasool,2,1,1,2,2*,0,2,100,0,0,0,0
116,Shahbaz Nadeem,4,1,0,2,2,2,7,28.57,0,0,0,0
117,Ronit More,2,1,1,2,2*,0,2,100,0,0,0,0
118,Domnic Joseph,6,2,1,1,1,1,3,33.33,0,0,0,0
119,Ashish Nehra,16,4,3,1,1*,1,7,14.28,0,0,0,0
120,Yuzvendra Chahal,15,2,2,1,1*,0,1,100,0,0,0,0
121,Shreyas Gopal,1,1,1,1,1*,0,1,100,0,0,0,0
122,Bipul Sharma,4,1,0,1,1,1,2,50,0,0,0,0
123,Juan Theron,1,1,1,1,1*,0,1,100,0,0,0,0
124,Beuran Hendricks,4,2,2,1,1*,0,2,50,0,0,0,0
125,Vinay Kumar,13,3,2,0,0*,0,2,0,0,0,0,0
126,Sunil Narine,8,1,1,0,0*,0,1,0,0,0,0,0
127,Pat Cummins,3,1,0,0,0*,0,2,0,0,0,0,0
128,Rajat Bhatia,2,1,0,0,0*,0,1,0,0,0,0,0
129,Sreenath Aravind,5,1,1,0,0*,0,1,0,0,0,0,0
