POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
67,George Bailey,3,2,0,45,30,22.5,39,115.38,0,0,7,0
68,Luke Pomersbach,4,4,0,41,26,10.25,49,83.67,0,0,3,1
69,Shikhar Dhawan,5,4,0,40,22,10,45,88.88,0,0,3,0
70,Shikhar Dhawan,5,4,0,40,22,10,45,88.88,0,0,3,0
71,Dimitri Mascarenhas,5,4,0,39,27,9.75,39,100,0,0,4,0
72,Moises Henriques,4,3,1,38,30*,19,40,95,0,0,2,1
73,Munaf Patel,11,5,2,33,23*,11,26,126.92,0,0,5,0
74,Piyush Chawla,14,10,5,31,8*,6.2,36,86.11,0,0,3,0
75,Chaminda Vaas,2,2,1,30,20,30,21,142.85,0,0,1,1
76,Wilkin Mota,8,6,1,30,12,6,48,62.5,0,0,0,0
77,Brett Lee,5,4,2,28,14*,14,34,82.35,0,0,2,1
78,Amit Mishra,11,5,2,26,13*,8.66,20,130,0,0,2,2
79,Ramesh Powar,9,4,3,23,10,23,22,104.54,0,0,2,0
80,Murali Kartik,10,2,2,21,11*,0,20,105,0,0,0,0
81,Ryan Harris,8,5,4,21,9*,21,18,116.66,0,0,0,0
82,Joginder Sharma,4,2,1,20,16*,20,18,111.11,0,0,0,1
83,Shadab Jakati,9,2,1,20,13,20,15,133.33,0,0,3,0
84,Rajesh Bishnoi,3,3,0,19,18,6.33,17,111.76,0,0,1,2
85,VVS Laxman,5,5,0,19,10,3.8,33,57.57,0,0,1,1
86,Niraj Patel,4,2,0,18,14,9,38,47.36,0,0,1,0
87,Balachandra Akhil,6,3,1,17,9,8.5,15,113.33,0,0,1,1
88,Angelo Mathews,1,1,0,16,16,16,13,123.07,0,0,2,0
89,Mahesh Rawat,5,3,3,16,8*,0,19,84.21,0,0,1,0
90,Ishant Sharma,11,3,1,16,9,8,13,123.07,0,0,1,1
91,Ishant Sharma,11,3,1,16,9,8,13,123.07,0,0,1,1
92,Anil Kumble,16,7,6,16,7*,16,19,84.21,0,0,2,0
93,Wasim Jaffer,2,2,0,15,8,7.5,17,88.23,0,0,2,0
94,Graham Napier,1,1,0,15,15,15,16,93.75,0,0,1,0
95,Scott Styris,2,1,0,14,14,14,8,175,0,0,0,1
96,Saurabh Tiwary,4,3,2,13,6*,13,12,108.33,0,0,0,0
97,Manpreet Gony,7,3,1,13,7,6.5,7,185.71,0,0,0,2
98,Rohan Raje,4,2,1,12,11*,12,9,133.33,0,0,0,1
99,Tyron Henderson,2,2,0,11,11,5.5,16,68.75,0,0,0,1
100,Aakash Chopra,2,1,0,11,11,11,19,57.89,0,0,2,0
101,Dillon du Preez,2,1,0,10,10,10,13,76.92,0,0,0,0
102,Shane Harwood,3,2,2,9,6*,0,14,64.28,0,0,0,0
103,Siddharth Trivedi,7,3,1,9,6*,4.5,18,50,0,0,0,0
104,Dhawal Kulkarni,8,4,2,9,7*,4.5,17,52.94,0,0,0,0
105,Ravichandran Ashwin,2,1,0,8,8,8,15,53.33,0,0,1,0
106,Zaheer Khan,6,4,3,8,4*,8,11,72.72,0,0,0,0
107,Morne Morkel,2,1,0,8,8,8,8,100,0,0,1,0
108,Muttiah Muralitharan,13,4,2,8,4,4,8,100,0,0,1,0
109,RP Singh,16,6,2,8,4,2,17,47.05,0,0,0,0
110,Arindam Ghosh,2,2,0,7,7,3.5,8,87.5,0,0,1,0
111,Shoaib Shaikh,2,1,0,6,6,6,7,85.71,0,0,1,0
112,Siddharth Chitnis,1,1,0,6,6,6,8,75,0,0,1,0
113,Paul Valthaty,2,2,0,6,5,3,12,50,0,0,1,0
114,Shanthakumaran Sreesanth,7,2,2,5,4*,0,18,27.77,0,0,1,0
115,Lakshmipathy Balaji,13,4,1,4,2*,1.33,10,40,0,0,0,0
116,Kamran Khan,5,1,0,3,3,3,5,60,0,0,0,0
117,Thilan Thushara,2,2,1,2,1*,2,7,28.57,0,0,0,0
118,Mashrafe Mortaza,1,1,1,2,2*,0,2,100,0,0,0,0
119,Ashok Dinda,9,2,0,2,2,1,3,66.66,0,0,0,0
120,Mohammad Ashraful,1,1,0,2,2,2,10,20,0,0,0,0
121,Pankaj Singh,3,2,1,1,1*,1,2,50,0,0,0,0
122,Shoaib Ahmed,7,3,1,1,1*,0.5,6,16.66,0,0,0,0
123,Amit Singh,5,2,1,1,1*,1,3,33.33,0,0,0,0
124,Pragyan Ojha,15,4,1,1,1,0.33,7,14.28,0,0,0,0
125,Taruwar Kohli,2,2,1,1,1,1,4,25,0,0,0,0
126,Ajantha Mendis,4,1,0,0,0*,0,1,0,0,0,0,0
127,Tanmay Srivastava,2,1,1,0,0*,0,1,0,0,0,0,0
128,Chetanya Nanda,3,1,0,0,0*,0,1,0,0,0,0,0
129,Dale Steyn,3,2,1,0,0*,0,3,0,0,0,0,0
130,KP Appanna,5,1,1,0,0*,0,1,0,0,0,0,0
131,Luke Ronchi,1,1,0,0,0*,0,2,0,0,0,0,0
132,Lasith Malinga,13,3,1,0,0*,0,1,0,0,0,0,0
