POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Shaun Marsh,11,11,2,616,115,68.44,441,139.68,1,5,59,26
2,Gautam Gambhir,14,14,1,534,86,41.07,379,140.89,0,5,68,8
3,Sanath Jayasuriya,14,14,2,518,114*,43.16,309,167.63,1,2,58,31
4,Shane Watson,15,15,5,472,76*,47.2,311,151.76,0,4,47,19
5,Graeme Smith,11,11,2,441,91,49,362,121.82,0,3,54,8
6,Adam Gilchrist,14,14,1,436,109*,33.53,318,137.1,1,3,51,19
7,Yusuf Pathan,16,15,1,435,68,31.07,243,179.01,0,4,43,25
8,Suresh Raina,16,14,3,421,55*,38.27,296,142.22,0,3,35,18
9,MS Dhoni,16,14,4,414,65,41.4,310,133.54,0,2,38,15
10,Virender Sehwag,14,14,2,406,94*,33.83,220,184.54,0,3,46,21
11,Rohit Sharma,13,12,1,404,76*,36.72,273,147.98,0,4,38,19
12,Rahul Dravid,14,14,1,371,75*,28.53,298,124.49,0,2,35,11
13,Sourav Ganguly,13,13,1,349,91,29.08,307,113.68,0,3,33,15
14,Shikhar Dhawan,14,14,5,340,68*,37.77,295,115.25,0,4,35,8
15,Robin Uthappa,14,14,5,320,48,35.55,279,114.69,0,0,34,9
16,Kumar Sangakkara,10,9,0,320,94,35.55,198,161.61,0,4,41,8
17,David Hussey,13,13,2,319,71,29,259,123.16,0,2,19,17
18,Swapnil Asnodkar,9,9,0,311,60,34.55,233,133.47,0,2,43,6
19,Parthiv Patel,13,13,2,302,54,27.45,297,101.68,0,2,42,3
20,Yuvraj Singh,15,14,1,299,57,23,184,162.5,0,1,24,19
21,Venugopal Rao,11,10,2,288,71*,36,210,137.14,0,2,22,15
22,Albie Morkel,13,10,3,241,71,34.42,163,147.85,0,1,18,14
23,Mark Boucher,10,10,3,225,50*,32.14,177,127.11,0,1,24,6
24,James Hopes,11,11,0,221,71,20.09,148,149.32,0,2,27,8
25,Abhishek Nayar,14,10,2,206,45*,25.75,138,149.27,0,0,16,9
26,Jacques Kallis,11,11,0,199,54,18.09,183,108.74,0,1,23,4
27,Stephen Fleming,10,10,1,196,45,21.77,164,119.51,0,0,27,3
28,Salman Butt,7,7,0,193,73,27.57,161,119.87,0,1,30,2
