POS,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date
1,Ishant Sharma,4,66,0,0,CSK,Rajiv Gandhi Intl. Cricket Stadium,08 May 2013
2,Umesh Yadav,4,65,0,0,RCB,Arun Jaitley Stadium,10 May 2013
3,Ashok Dinda,4,63,0,0,MI,Wankhede Stadium,13 April 2013
4,Michael Neser,4,62,0,0,RCB,IS Bindra Stadium,06 May 2013
5,Ryan McLaren,4,60,2,12,MI,Wankhede Stadium,07 May 2013
6,Mitchell Marsh,3,56,1,18,RCB,M. Chinnaswamy Stadium,23 April 2013
7,Thisara Perera,3.3,55,0,0,MI,Wankhede Stadium,13 May 2013
8,Umesh Yadav,4,52,1,24,PWI,Maharashtra Cricket Association's International Stadium,19 May 2013
9,Ashok Dinda,4,52,2,12,RCB,Maharashtra Cricket Association's International Stadium,02 May 2013
10,Jacques Kallis,4,50,0,0,CSK,Chidambaram,28 April 2013
11,Dirk Nannes,4,50,0,0,KKR,Chidambaram,28 April 2013
12,Sachithra Senanayake,4,50,1,24,MI,Eden Gardens,24 April 2013
13,Kevon Cooper,4,49,0,0,CSK,Chidambaram,22 April 2013
14,Mitchell Johnson,4,49,2,12,DC,Wankhede Stadium,09 April 2013
15,Ashish Nehra,4,49,2,12,MI,Wankhede Stadium,09 April 2013
16,RP Singh,4,48,0,0,DC,M. Chinnaswamy Stadium,16 April 2013
17,Jacques Kallis,4,48,1,24,PWI,JSCA Stadium,15 May 2013
18,Vinay Kumar,4,48,1,24,PBKS,IS Bindra Stadium,06 May 2013
19,Ashok Dinda,4,48,2,12,RCB,M. Chinnaswamy Stadium,23 April 2013
20,Manpreet Gony,4,47,0,0,RCB,M. Chinnaswamy Stadium,14 May 2013
21,Ben Laughlin,4,46,0,0,MI,Wankhede Stadium,05 May 2013
22,Lasith Malinga,4,45,0,0,CSK,Arun Jaitley Stadium,21 May 2013
23,Lakshmipathy Balaji,4,45,0,0,CSK,Chidambaram,28 April 2013
24,Dale Steyn,4,45,1,24,CSK,Chidambaram,25 April 2013
25,Thisara Perera,4,45,3,8,CSK,Rajiv Gandhi Intl. Cricket Stadium,08 May 2013
26,Ravindra Jadeja,3,45,0,0,RR,Chidambaram,22 April 2013
27,Ali Murtaza,2,45,0,0,RCB,M. Chinnaswamy Stadium,23 April 2013
28,Thisara Perera,4,44,0,0,KKR,Eden Gardens,14 April 2013
29,Muttiah Muralitharan,4,44,1,24,PBKS,M. Chinnaswamy Stadium,14 May 2013
30,Lakshmipathy Balaji,4,44,1,24,PBKS,Eden Gardens,26 April 2013
31,Moises Henriques,4,44,1,24,PWI,Maharashtra Cricket Association's International Stadium,02 May 2013
32,Dwayne Bravo,4,44,2,12,MI,Chidambaram,06 April 2013
33,Piyush Chawla,4,44,2,12,DC,HPCA Stadium,16 May 2013
34,Dhawal Kulkarni,4,44,2,12,PBKS,Wankhede Stadium,29 April 2013
35,Mitchell Johnson,4,43,1,24,SRH,Wankhede Stadium,13 May 2013
36,Vinay Kumar,4,43,1,24,SRH,M. Chinnaswamy Stadium,09 April 2013
37,Syed Mohammad,4,43,1,24,MI,Wankhede Stadium,27 April 2013
38,Lasith Malinga,4,43,1,24,RR,Eden Gardens,24 May 2013
39,Manpreet Gony,4,43,1,24,MI,Wankhede Stadium,29 April 2013
40,Vinay Kumar,4,43,1,24,DC,Arun Jaitley Stadium,10 May 2013
41,Morne Morkel,4,43,1,24,MI,Wankhede Stadium,09 April 2013
42,Amit Mishra,4,42,0,0,RCB,M. Chinnaswamy Stadium,09 April 2013
43,Dirk Nannes,4,42,0,0,PWI,Chidambaram,15 April 2013
44,Dhawal Kulkarni,4,42,0,0,SRH,Wankhede Stadium,13 May 2013
45,Dan Christian,4,42,0,0,MI,M. Chinnaswamy Stadium,04 April 2013
46,James Faulkner,4,42,0,0,RCB,Sawai Mansingh Stadium,29 April 2013
47,Morne Morkel,4,42,1,24,CSK,Arun Jaitley Stadium,18 April 2013
48,Kevon Cooper,4,42,1,24,SRH,Sawai Mansingh Stadium,27 April 2013
49,Azhar Mahmood,4,42,2,12,PWI,IS Bindra Stadium,21 April 2013
50,Dwayne Bravo,4,42,4,6,MI,Eden Gardens,26 May 2013
51,Amit Mishra,4,41,0,0,CSK,Rajiv Gandhi Intl. Cricket Stadium,08 May 2013
52,Mitchell Johnson,4,41,0,0,RR,Sawai Mansingh Stadium,17 April 2013
53,Ashok Dinda,4,41,0,0,CSK,Maharashtra Cricket Association's International Stadium,30 April 2013
54,Lakshmipathy Balaji,4,41,1,24,PWI,JSCA Stadium,15 May 2013
55,Bhuvneshwar Kumar,4,41,1,24,RR,Maharashtra Cricket Association's International Stadium,11 April 2013
56,Manpreet Gony,4,41,2,12,RCB,IS Bindra Stadium,06 May 2013
57,RP Singh,3.5,41,0,0,CSK,Chidambaram,13 April 2013
58,Wayne Parnell,4,40,0,0,KKR,Maharashtra Cricket Association's International Stadium,09 May 2013
59,Mitchell Johnson,4,40,0,0,CSK,Arun Jaitley Stadium,21 May 2013
60,Munaf Patel,4,40,0,0,RCB,M. Chinnaswamy Stadium,04 April 2013
61,Morne Morkel,4,40,0,0,RR,Sawai Mansingh Stadium,07 May 2013
62,Azhar Mahmood,4,40,0,0,DC,HPCA Stadium,16 May 2013
63,Kieron Pollard,4,40,1,24,CSK,Chidambaram,06 April 2013
64,RP Singh,4,40,1,24,MI,Wankhede Stadium,27 April 2013
65,Brett Lee,4,40,2,12,DC,Eden Gardens,03 April 2013
66,Chris Morris,4,40,3,8,RCB,Chidambaram,13 April 2013
67,Siddarth Kaul,4,39,0,0,PBKS,HPCA Stadium,16 May 2013
68,Kevon Cooper,4,39,0,0,SRH,Rajiv Gandhi Intl. Cricket Stadium,17 May 2013
69,Irfan Pathan,4,39,0,0,RCB,M. Chinnaswamy Stadium,16 April 2013
70,Parvinder Awana,4,39,0,0,RR,IS Bindra Stadium,09 May 2013
71,Jason Holder,4,39,0,0,DC,Chidambaram,14 May 2013
72,Ajit Chandila,4,39,0,0,RCB,Sawai Mansingh Stadium,29 April 2013
73,Lasith Malinga,4,39,1,24,PBKS,Wankhede Stadium,29 April 2013
74,Kevon Cooper,4,39,1,24,PWI,Sawai Mansingh Stadium,05 May 2013
75,Harmeet Singh Bansal,4,39,1,24,SRH,IS Bindra Stadium,11 May 2013
76,Lakshmipathy Balaji,4,39,1,24,PBKS,IS Bindra Stadium,16 April 2013
77,Parvinder Awana,4,39,2,12,KKR,IS Bindra Stadium,16 April 2013
78,Sandeep Sharma,4,39,2,12,MI,HPCA Stadium,18 May 2013
