POS,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date
1,Lungi Ngidi,4,62,0,0,MI,Arun Jaitley Stadium,01 May 2021
2,Pat Cummins,4,58,0,0,CSK,Wankhede Stadium,21 April 2021
3,Sam Curran,4,58,1,24,KKR,Wankhede Stadium,21 April 2021
4,Sam Curran,4,56,0,0,KKR,Zayed Cricket Stadium,26 September 2021
5,Lockie Ferguson,4,56,0,0,CSK,Dubai International Stadium,15 October 2021
6,Siddarth Kaul,4,56,0,0,MI,Zayed Cricket Stadium,08 October 2021
7,Shardul Thakur,4,56,1,24,MI,Arun Jaitley Stadium,01 May 2021
8,Jasprit Bumrah,4,56,1,24,CSK,Arun Jaitley Stadium,01 May 2021
9,Sam Curran,4,55,0,0,RR,Zayed Cricket Stadium,02 October 2021
10,Jhye Richardson,4,55,1,24,RR,Wankhede Stadium,12 April 2021
11,Josh Hazlewood,4,54,0,0,RR,Zayed Cricket Stadium,02 October 2021
12,Harshal Patel,4,53,0,0,PBKS,Narendra Modi Stadium,30 April 2021
13,Mohammad Shami,4,53,0,0,DC,Wankhede Stadium,18 April 2021
14,Shardul Thakur,3.4,53,2,11,DC,Wankhede Stadium,10 April 2021
15,Jason Holder,4,52,4,6,MI,Zayed Cricket Stadium,08 October 2021
16,Mustafizur Rahman,4,51,0,0,CSK,Zayed Cricket Stadium,02 October 2021
17,Harshal Patel,4,51,3,8,CSK,Wankhede Stadium,25 April 2021
18,Chris Morris,4,50,0,0,RCB,Dubai International Stadium,29 September 2021
19,Sandeep Sharma,4,50,1,24,RR,Arun Jaitley Stadium,02 May 2021
20,Prasidh Krishna,4,49,0,0,CSK,Wankhede Stadium,21 April 2021
21,Riley Meredith,4,49,1,24,RR,Wankhede Stadium,12 April 2021
22,Dhawal Kulkarni,4,48,0,0,CSK,Arun Jaitley Stadium,01 May 2021
23,Adam Milne,4,48,1,24,RCB,Dubai International Stadium,26 September 2021
24,Umran Malik,4,48,1,24,MI,Zayed Cricket Stadium,08 October 2021
25,Deepak Chahar,4,48,1,24,PBKS,Dubai International Stadium,07 October 2021
26,Shardul Thakur,3.1,48,0,0,KKR,Wankhede Stadium,21 April 2021
27,Chris Morris,4,47,0,0,PBKS,Dubai International Stadium,21 September 2021
28,Avesh Khan,4,47,1,24,CSK,Dubai International Stadium,10 October 2021
29,Ravichandran Ashwin,4,47,1,24,CSK,Wankhede Stadium,10 April 2021
30,Harshal Patel,4,47,3,8,RR,Wankhede Stadium,22 April 2021
31,Nathan Ellis,4,46,0,0,KKR,Dubai International Stadium,01 October 2021
32,Bhuvneshwar Kumar,4,45,0,0,MI,Chidambaram,17 April 2021
33,Mustafizur Rahman,4,45,0,0,PBKS,Wankhede Stadium,12 April 2021
34,Rahul Tewatia,4,45,1,24,SRH,Arun Jaitley Stadium,02 May 2021
35,Bhuvneshwar Kumar,4,45,1,24,KKR,Chidambaram,11 April 2021
36,Jagadeesha Suchith,3,45,0,0,CSK,Arun Jaitley Stadium,28 April 2021
37,Shardul Thakur,4,44,0,0,SRH,Arun Jaitley Stadium,28 April 2021
38,Mohammed Siraj,4,44,1,24,DC,Narendra Modi Stadium,27 April 2021
39,Murugan Ashwin,4,43,0,0,RR,Wankhede Stadium,12 April 2021
40,Rahul Chahar,4,43,0,0,RCB,Chidambaram,09 April 2021
41,Kagiso Rabada,4,43,1,24,PBKS,Wankhede Stadium,18 April 2021
42,Prasidh Krishna,4,43,2,12,MI,Zayed Cricket Stadium,23 September 2021
43,Jasprit Bumrah,4,43,3,8,KKR,Zayed Cricket Stadium,23 September 2021
44,Khaleel Ahmed,4,42,0,0,DC,Chidambaram,25 April 2021
45,Ravi Bishnoi,4,42,0,0,DC,Narendra Modi Stadium,02 May 2021
46,Mohammad Shami,4,42,1,24,MI,Zayed Cricket Stadium,28 September 2021
47,Prasidh Krishna,4,42,1,24,MI,Chidambaram,13 April 2021
48,Chris Woakes,4,42,1,24,PBKS,Wankhede Stadium,18 April 2021
49,Trent Boult,4,42,1,24,CSK,Arun Jaitley Stadium,01 May 2021
50,Arshdeep Singh,3,42,0,0,RCB,Sharjah Cricket Stadium,03 October 2021
51,Vijay Shankar,3,42,1,18,RR,Arun Jaitley Stadium,02 May 2021
52,Khaleel Ahmed,4,41,0,0,RR,Arun Jaitley Stadium,02 May 2021
53,Yuzvendra Chahal,4,41,0,0,MI,Chidambaram,09 April 2021
54,Prasidh Krishna,4,41,1,24,CSK,Zayed Cricket Stadium,26 September 2021
55,Ravichandran Ashwin,4,41,1,24,MI,Sharjah Cricket Stadium,02 October 2021
56,Chris Morris,4,41,2,12,PBKS,Wankhede Stadium,12 April 2021
57,Jhye Richardson,4,41,2,12,DC,Wankhede Stadium,18 April 2021
58,Sunil Narine,4,41,3,8,CSK,Zayed Cricket Stadium,26 September 2021
59,Kyle Jamieson,3,41,3,6,KKR,Chidambaram,18 April 2021
60,Wanindu Hasaranga,4,40,0,0,CSK,Sharjah Cricket Stadium,24 September 2021
61,Tim Southee,4,40,0,0,PBKS,Dubai International Stadium,01 October 2021
62,Jaydev Unadkat,4,40,0,0,CSK,Wankhede Stadium,19 April 2021
63,Kartik Tyagi,4,40,1,24,DC,Zayed Cricket Stadium,25 September 2021
64,Tom Curran,4,40,1,24,CSK,Wankhede Stadium,10 April 2021
65,Rashid Khan,4,40,2,12,MI,Zayed Cricket Stadium,08 October 2021
66,Josh Hazlewood,4,40,2,12,KKR,Zayed Cricket Stadium,26 September 2021
67,Nathan Coulter-Nile,4,40,2,12,SRH,Zayed Cricket Stadium,08 October 2021
68,Shreyas Gopal,3,40,0,0,PBKS,Wankhede Stadium,12 April 2021
69,Akash Singh,4,39,0,0,CSK,Zayed Cricket Stadium,02 October 2021
70,Ishan Porel,4,39,1,24,RR,Dubai International Stadium,21 September 2021
71,Avesh Khan,4,39,1,24,PBKS,Narendra Modi Stadium,02 May 2021
72,Axar Patel,4,39,1,24,RCB,Dubai International Stadium,08 October 2021
73,Rashid Khan,4,39,1,24,RCB,Zayed Cricket Stadium,06 October 2021
74,Varun Chakaravarthy,4,39,2,12,RCB,Chidambaram,18 April 2021
75,Jasprit Bumrah,4,39,2,12,SRH,Zayed Cricket Stadium,08 October 2021
76,Rahul Tewatia,4,39,3,8,CSK,Zayed Cricket Stadium,02 October 2021
77,Mohammad Shami,4,39,3,8,RCB,Sharjah Cricket Stadium,03 October 2021
78,Fabian Allen,4,38,0,0,KKR,Dubai International Stadium,01 October 2021
79,Varun Chakaravarthy,4,38,0,0,CSK,Dubai International Stadium,15 October 2021
80,Chetan Sakariya,4,38,0,0,SRH,Arun Jaitley Stadium,02 May 2021
81,Harbhajan Singh,4,38,0,0,RCB,Chidambaram,18 April 2021
82,Kagiso Rabada,4,38,1,24,RCB,Narendra Modi Stadium,27 April 2021
83,Piyush Chawla,4,38,1,24,SRH,Zayed Cricket Stadium,08 October 2021
84,Shardul Thakur,4,38,3,8,KKR,Dubai International Stadium,15 October 2021
85,Chris Morris,3,38,0,0,RCB,Wankhede Stadium,22 April 2021
86,Andre Russell,2,38,0,0,RCB,Chidambaram,18 April 2021
87,Bhuvneshwar Kumar,4,37,0,0,RR,Arun Jaitley Stadium,02 May 2021
88,Ishant Sharma,4,37,0,0,PBKS,Narendra Modi Stadium,02 May 2021
89,Kagiso Rabada,4,37,0,0,RCB,Dubai International Stadium,08 October 2021
90,Deepak Chahar,4,37,0,0,MI,Arun Jaitley Stadium,01 May 2021
91,Mustafizur Rahman,4,37,1,24,CSK,Wankhede Stadium,19 April 2021
92,Shardul Thakur,4,37,1,24,SRH,Sharjah Cricket Stadium,30 September 2021
93,T Natarajan,4,37,1,24,KKR,Chidambaram,11 April 2021
94,Anrich Nortje,4,37,1,24,CSK,Dubai International Stadium,04 October 2021
95,Trent Boult,4,37,1,24,RR,Arun Jaitley Stadium,29 April 2021
96,Ravindra Jadeja,4,37,2,12,KKR,Dubai International Stadium,15 October 2021
97,Harshal Patel,4,37,2,12,DC,Narendra Modi Stadium,27 April 2021
98,Kagiso Rabada,4,37,3,8,SRH,Dubai International Stadium,22 September 2021
99,Mustafizur Rahman,3.3,37,1,21,MI,Arun Jaitley Stadium,29 April 2021
100,Jayant Yadav,3,37,0,0,RR,Arun Jaitley Stadium,29 April 2021
101,Andre Russell,3,37,0,0,MI,Zayed Cricket Stadium,23 September 2021
102,Mohammad Shami,3,37,0,0,DC,Narendra Modi Stadium,02 May 2021
103,Deepak Hooda,2,37,0,0,RR,Dubai International Stadium,21 September 2021
104,Khaleel Ahmed,4,36,0,0,CSK,Arun Jaitley Stadium,28 April 2021
105,Sunil Narine,4,36,0,0,DC,Narendra Modi Stadium,29 April 2021
106,Shivam Mavi,4,36,0,0,RCB,Sharjah Cricket Stadium,11 October 2021
107,Deepak Chahar,4,36,0,0,DC,Wankhede Stadium,10 April 2021
108,Varun Chakaravarthy,4,36,0,0,SRH,Chidambaram,11 April 2021
109,Trent Boult,4,36,1,24,RCB,Chidambaram,09 April 2021
110,Shahbaz Nadeem,4,36,1,24,RCB,Chidambaram,14 April 2021
111,Siddarth Kaul,4,36,2,12,RR,Dubai International Stadium,27 September 2021
112,Chetan Sakariya,4,36,3,8,CSK,Wankhede Stadium,19 April 2021
113,Jasprit Bumrah,4,36,3,8,RCB,Dubai International Stadium,26 September 2021
114,Rashid Khan,4,36,3,8,CSK,Arun Jaitley Stadium,28 April 2021
115,Kagiso Rabada,4,36,3,8,PBKS,Narendra Modi Stadium,02 May 2021
116,Pat Cummins,3.5,36,0,0,RR,Wankhede Stadium,24 April 2021
117,Prasidh Krishna,3.3,36,0,0,DC,Narendra Modi Stadium,29 April 2021
118,Shardul Thakur,3,36,0,0,DC,Dubai International Stadium,10 October 2021
119,Chetan Sakariya,3,36,1,18,MI,Sharjah Cricket Stadium,05 October 2021
120,Ravi Bishnoi,4,35,0,0,RCB,Sharjah Cricket Stadium,03 October 2021
121,Nathan Coulter-Nile,4,35,0,0,RR,Arun Jaitley Stadium,29 April 2021
122,Jaydev Unadkat,4,35,0,0,KKR,Sharjah Cricket Stadium,07 October 2021
123,Shardul Thakur,4,35,0,0,PBKS,Wankhede Stadium,16 April 2021
124,Chetan Sakariya,4,35,0,0,RCB,Wankhede Stadium,22 April 2021
125,Avesh Khan,4,35,1,24,CSK,Dubai International Stadium,04 October 2021
126,Sam Curran,4,35,1,24,RCB,Wankhede Stadium,25 April 2021
127,Deepak Chahar,4,35,1,24,RCB,Sharjah Cricket Stadium,24 September 2021
128,Prasidh Krishna,4,35,2,12,SRH,Chidambaram,11 April 2021
129,Arshdeep Singh,4,35,2,12,CSK,Dubai International Stadium,07 October 2021
130,Trent Boult,4,35,2,12,CSK,Dubai International Stadium,19 September 2021
131,Lungi Ngidi,4,35,2,12,SRH,Arun Jaitley Stadium,28 April 2021
132,Arshdeep Singh,4,35,3,8,RR,Wankhede Stadium,12 April 2021
133,Tom Curran,3.4,35,0,0,RR,Wankhede Stadium,15 April 2021
134,Riley Meredith,3.4,35,1,22,DC,Narendra Modi Stadium,02 May 2021
135,Sandeep Sharma,3,35,0,0,KKR,Chidambaram,11 April 2021
136,Shreyas Gopal,3,35,0,0,RCB,Wankhede Stadium,22 April 2021
137,Adil Rashid,3,35,0,0,RR,Dubai International Stadium,21 September 2021
138,Lalit Yadav,3,35,1,18,KKR,Sharjah Cricket Stadium,28 September 2021
139,Riley Meredith,2.2,35,1,14,DC,Wankhede Stadium,18 April 2021
