POS,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date
1,RP Singh,4,59,1,24,KKR,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008
2,Palani Amarnath,4,57,1,24,MI,Chidambaram,23 April 2008
3,Vikram Singh,4,56,0,0,MI,Wankhede Stadium,21 May 2008
4,Munaf Patel,4,55,0,0,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008
5,Munaf Patel,4,55,1,24,CSK,Chidambaram,24 May 2008
6,Jacob Oram,4,53,0,0,MI,Chidambaram,23 April 2008
7,James Hopes,4,53,1,24,CSK,IS Bindra Stadium,19 April 2008
8,Mohammad Asif,4,51,0,0,DEC,Arun Jaitley Stadium,15 May 2008
9,Pradeep Sangwan,3,51,0,0,RCB,M. Chinnaswamy Stadium,19 May 2008
10,RP Singh,4,50,0,0,DC,Arun Jaitley Stadium,15 May 2008
11,Brett Geeves,4,50,1,24,MI,Arun Jaitley Stadium,24 May 2008
12,Yo Mahesh,4,50,2,12,RR,Wankhede Stadium,30 May 2008
13,Ishant Sharma,4,49,0,0,PBKS,Eden Gardens,25 May 2008
14,Siddharth Trivedi,4,48,0,0,PBKS,IS Bindra Stadium,28 May 2008
15,Jacques Kallis,4,48,1,24,KKR,M. Chinnaswamy Stadium,18 April 2008
16,Pankaj Singh,3,48,0,0,PBKS,IS Bindra Stadium,28 May 2008
17,Anil Kumble,4,47,0,0,DEC,M. Chinnaswamy Stadium,03 May 2008
18,Shane Warne,4,47,0,0,DC,Sawai Mansingh Stadium,11 May 2008
19,Rajat Bhatia,4,47,0,0,RCB,M. Chinnaswamy Stadium,19 May 2008
20,Joginder Sharma,4,47,1,24,PBKS,IS Bindra Stadium,19 April 2008
21,Pragyan Ojha,4,47,1,24,RR,Sawai Mansingh Stadium,09 May 2008
22,Shane Warne,4,47,2,12,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008
23,Irfan Pathan,4,47,2,12,CSK,IS Bindra Stadium,19 April 2008
24,Zaheer Khan,4,46,0,0,RR,Sawai Mansingh Stadium,17 May 2008
25,Ajit Agarkar,4,46,1,24,RR,Sawai Mansingh Stadium,01 May 2008
26,Mohammad Asif,4,46,1,24,MI,DY Patil Stadium,04 May 2008
27,Andrew Symonds,2.5,46,0,0,RR,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008
28,Anil Kumble,4,45,0,0,MI,M. Chinnaswamy Stadium,28 May 2008
29,Ashish Nehra,4,45,1,24,RCB,Wankhede Stadium,20 April 2008
30,Lakshmipathy Balaji,3,45,0,0,RR,Chidambaram,24 May 2008
31,Joginder Sharma,3,45,0,0,DEC,Chidambaram,06 May 2008
32,RP Singh,4,44,1,24,RR,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008
33,Albie Morkel,3,44,0,0,MI,Wankhede Stadium,14 May 2008
34,Shanthakumaran Sreesanth,3,44,1,18,RR,IS Bindra Stadium,28 May 2008
35,Makhaya Ntini,4,43,0,0,RR,Chidambaram,24 May 2008
36,Vikrant Yeligati,4,43,0,0,PBKS,Wankhede Stadium,21 May 2008
37,Gajendra Singh,4,43,1,24,PBKS,IS Bindra Stadium,03 May 2008
38,Umar Gul,4,43,1,24,DEC,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008
39,Jacques Kallis,3,43,0,0,MI,Wankhede Stadium,20 April 2008
40,Lakshmipathy Balaji,4,42,0,0,RR,DY Patil Stadium,01 June 2008
41,Mohammad Asif,4,42,0,0,RCB,Arun Jaitley Stadium,30 April 2008
42,Chaminda Vaas,4,42,1,24,RR,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008
43,Manpreet Gony,4,42,1,24,PBKS,IS Bindra Stadium,19 April 2008
44,Palani Amarnath,4,42,1,24,PBKS,IS Bindra Stadium,19 April 2008
45,Zaheer Khan,4,42,1,24,DC,Arun Jaitley Stadium,30 April 2008
46,Glenn McGrath,4,42,2,12,DEC,Arun Jaitley Stadium,15 May 2008
47,Praveen Kumar,3,42,1,18,RR,M. Chinnaswamy Stadium,26 April 2008
48,Muttiah Muralitharan,4,41,0,0,KKR,Eden Gardens,18 May 2008
49,Brett Geeves,4,41,0,0,RR,Arun Jaitley Stadium,19 April 2008
50,Ishant Sharma,4,41,0,0,PBKS,IS Bindra Stadium,03 May 2008
51,Vinay Kumar,4,41,0,0,MI,Wankhede Stadium,20 April 2008
52,Dilhara Fernando,4,41,1,24,KKR,Eden Gardens,29 April 2008
53,RP Singh,4,41,3,8,RCB,M. Chinnaswamy Stadium,03 May 2008
54,Dale Steyn,4,40,0,0,CSK,M. Chinnaswamy Stadium,28 April 2008
55,Albie Morkel,4,40,0,0,DC,Chidambaram,02 May 2008
56,Pradeep Sangwan,4,40,0,0,CSK,Chidambaram,02 May 2008
57,Vikram Singh,4,40,1,24,MI,IS Bindra Stadium,25 April 2008
58,Sohail Tanvir,4,40,1,24,CSK,DY Patil Stadium,01 June 2008
59,Shaun Pollock,4,40,1,24,PBKS,IS Bindra Stadium,25 April 2008
60,Ashley Noffke,4,40,1,24,KKR,M. Chinnaswamy Stadium,18 April 2008
61,Vikram Singh,4,40,1,24,DEC,IS Bindra Stadium,23 May 2008
62,Shane Watson,4,40,1,24,PBKS,IS Bindra Stadium,28 May 2008
63,Yo Mahesh,4,40,2,12,CSK,Arun Jaitley Stadium,08 May 2008
64,Manpreet Gony,4,40,2,12,KKR,Chidambaram,26 April 2008
65,Siddharth Chitnis,4,40,2,12,PBKS,Wankhede Stadium,21 May 2008
66,Muttiah Muralitharan,4,40,2,12,MI,Chidambaram,23 April 2008
67,Jacques Kallis,4,39,0,0,RR,Sawai Mansingh Stadium,17 May 2008
68,Glenn McGrath,4,39,0,0,MI,Arun Jaitley Stadium,24 May 2008
69,Sohail Tanvir,4,39,0,0,DEC,Sawai Mansingh Stadium,09 May 2008
