POS,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date
1,Siddharth Trivedi,4,59,0,0,PBKS,IS Bindra Stadium,21 April 2011
2,Zaheer Khan,4,53,0,0,KKR,Eden Gardens,22 April 2011
3,Alfonso Thomas,4,53,1,24,MI,DY Patil Stadium,04 May 2011
4,Amit Mishra,4,53,1,24,DC,Rajiv Gandhi Intl. Cricket Stadium,05 May 2011
5,Lakshmipathy Balaji,3,51,1,18,MI,Eden Gardens,22 May 2011
6,Johan van der Wath,4,50,0,0,PBKS,HPCA Stadium,17 May 2011
7,Shane Warne,4,50,1,24,PBKS,IS Bindra Stadium,21 April 2011
8,Morne Morkel,4,49,1,24,MI,Wankhede Stadium,07 May 2011
9,Ajit Agarkar,4,49,1,24,CSK,Chidambaram,12 May 2011
10,Johan van der Wath,4,49,2,12,CSK,Chidambaram,16 April 2011
11,Vinay Kumar,4,48,0,0,MI,Wankhede Stadium,15 April 2011
12,Piyush Chawla,4,48,0,0,DEC,HPCA Stadium,21 May 2011
13,Ryan Harris,4,48,0,0,DC,Arun Jaitley Stadium,23 April 2011
14,Dan Christian,4,48,0,0,MI,Rajiv Gandhi Intl. Cricket Stadium,24 April 2011
15,Charl Langeveldt,4,48,2,12,PBKS,HPCA Stadium,17 May 2011
16,Shane Watson,4,47,0,0,CSK,Sawai Mansingh Stadium,09 May 2011
17,Ajit Agarkar,4,47,2,12,PBKS,Arun Jaitley Stadium,23 April 2011
18,Kamran Khan,3,47,0,0,RCB,M. Chinnaswamy Stadium,29 April 2011
19,Shalabh Srivastava,4,46,0,0,DC,Arun Jaitley Stadium,23 April 2011
20,James Hopes,4,45,1,24,MI,Wankhede Stadium,07 May 2011
21,Praveen Kumar,4,45,1,24,DC,Arun Jaitley Stadium,23 April 2011
22,RP Singh,4,44,1,24,KKR,Jawaharlal Nehru Stadium,05 May 2011
23,Pragyan Ojha,3.5,44,0,0,RR,Rajiv Gandhi Intl. Cricket Stadium,09 April 2011
24,P Parameswaran,2.1,44,0,0,RCB,M. Chinnaswamy Stadium,08 May 2011
25,James Hopes,4,43,1,24,PBKS,Arun Jaitley Stadium,23 April 2011
26,Lakshmipathy Balaji,4,43,1,24,RCB,Eden Gardens,22 April 2011
27,Kieron Pollard,3,43,0,0,KTK,Wankhede Stadium,15 April 2011
28,Brett Lee,4,42,0,0,KTK,Jawaharlal Nehru Stadium,05 May 2011
29,Johan Botha,4,42,0,0,RCB,Sawai Mansingh Stadium,11 May 2011
30,Lasith Malinga,4,42,0,0,RR,Wankhede Stadium,20 May 2011
31,Morne Morkel,4,42,1,24,KKR,Arun Jaitley Stadium,28 April 2011
32,Ryan Harris,4,42,1,24,KTK,Holkar Cricket Stadium,13 May 2011
33,Ashok Dinda,4,42,2,12,PWI,DY Patil Stadium,17 April 2011
34,Lasith Malinga,4,42,2,12,KTK,Wankhede Stadium,15 April 2011
35,Muttiah Muralitharan,3.5,42,1,23,PWI,DY Patil Stadium,13 April 2011
36,Daniel Vettori,3.4,42,0,0,CSK,Wankhede Stadium,24 May 2011
37,Ishant Sharma,4,41,0,0,CSK,Chidambaram,01 May 2011
38,Murali Kartik,4,41,0,0,RR,Sawai Mansingh Stadium,01 May 2011
39,Roelof van der Merwe,4,41,1,24,RR,Sawai Mansingh Stadium,12 April 2011
40,Amit Mishra,4,41,1,24,RCB,Rajiv Gandhi Intl. Cricket Stadium,14 April 2011
41,Vinay Kumar,4,41,1,24,DC,Jawaharlal Nehru Stadium,30 April 2011
42,Harbhajan Singh,4,40,0,0,RCB,Chidambaram,27 May 2011
43,Albie Morkel,4,40,0,0,RCB,Wankhede Stadium,24 May 2011
44,Ryan McLaren,4,40,1,24,RCB,M. Chinnaswamy Stadium,06 May 2011
45,Irfan Pathan,4,40,1,24,CSK,Chidambaram,12 May 2011
46,Amit Singh,4,40,1,24,CSK,Sawai Mansingh Stadium,09 May 2011
47,Munaf Patel,4,40,1,24,CSK,Wankhede Stadium,22 April 2011
48,Shaun Tait,4,40,2,12,DC,Sawai Mansingh Stadium,12 April 2011
49,Aavishkar Salvi,4,40,2,12,PBKS,HPCA Stadium,15 May 2011
50,Dale Steyn,4,39,0,0,MI,Rajiv Gandhi Intl. Cricket Stadium,24 April 2011
51,Dan Christian,4,39,1,24,KKR,Rajiv Gandhi Intl. Cricket Stadium,03 May 2011
52,Suresh Raina,4,39,1,24,RCB,Chidambaram,28 May 2011
53,Ishant Sharma,4,39,1,24,MI,Rajiv Gandhi Intl. Cricket Stadium,24 April 2011
54,Shalabh Srivastava,4,39,2,12,DC,HPCA Stadium,15 May 2011
55,Shahbaz Nadeem,4,39,2,12,PWI,DY Patil Stadium,17 April 2011
56,Love Ablish,3,39,0,0,RCB,M. Chinnaswamy Stadium,06 May 2011
57,Syed Mohammad,3,39,1,18,CSK,Chidambaram,28 May 2011
58,Sreenath Aravind,3,39,2,9,CSK,Chidambaram,28 May 2011
59,Irfan Pathan,4,38,0,0,KTK,Arun Jaitley Stadium,02 May 2011
60,Thisara Perera,4,38,0,0,MI,Wankhede Stadium,15 April 2011
61,Suresh Raina,4,38,0,0,RCB,M. Chinnaswamy Stadium,22 May 2011
62,Doug Bollinger,4,38,1,24,DC,Chidambaram,12 May 2011
63,Doug Bollinger,4,38,1,24,KTK,Chidambaram,18 May 2011
64,Wayne Parnell,4,38,1,24,DEC,Rajiv Gandhi Intl. Cricket Stadium,10 May 2011
65,Dan Christian,4,38,2,12,DC,Arun Jaitley Stadium,19 April 2011
66,Lakshmipathy Balaji,4,38,2,12,DC,Arun Jaitley Stadium,28 April 2011
67,Ryan Harris,4,38,3,8,RCB,M. Chinnaswamy Stadium,06 May 2011
68,Albie Morkel,4,38,3,8,DEC,Chidambaram,01 May 2011
69,Shanthakumaran Sreesanth,3.5,38,0,0,PBKS,Holkar Cricket Stadium,13 May 2011
70,Shrikant Wagh,3,38,0,0,DC,DY Patil Stadium,17 April 2011
71,Tim Southee,3,38,0,0,KTK,Jawaharlal Nehru Stadium,18 April 2011
72,Albie Morkel,3,38,1,18,PBKS,IS Bindra Stadium,13 April 2011
73,Munaf Patel,4,37,0,0,DEC,Wankhede Stadium,14 May 2011
74,Umesh Yadav,4,37,0,0,RCB,Arun Jaitley Stadium,26 April 2011
75,Ravichandran Ashwin,4,37,0,0,PBKS,IS Bindra Stadium,13 April 2011
76,Morne Morkel,4,37,0,0,DEC,Rajiv Gandhi Intl. Cricket Stadium,05 May 2011
77,Brett Lee,4,37,0,0,MI,Eden Gardens,22 May 2011
78,Ali Murtaza,4,37,0,0,KTK,Wankhede Stadium,15 April 2011
79,Ishant Sharma,4,37,0,0,KKR,Rajiv Gandhi Intl. Cricket Stadium,03 May 2011
80,Praveen Kumar,4,37,0,0,RCB,M. Chinnaswamy Stadium,06 May 2011
81,Shadab Jakati,4,37,1,24,RCB,Wankhede Stadium,24 May 2011
82,Brett Lee,4,37,1,24,MI,Wankhede Stadium,25 May 2011
83,Praveen Kumar,4,37,2,12,CSK,IS Bindra Stadium,13 April 2011
84,Piyush Chawla,4,37,2,12,MI,Wankhede Stadium,02 May 2011
85,Piyush Chawla,4,37,2,12,RCB,M. Chinnaswamy Stadium,06 May 2011
86,Abhimanyu Mithun,4,37,2,12,DC,Arun Jaitley Stadium,26 April 2011
87,Siddharth Trivedi,3.4,37,1,22,CSK,Chidambaram,04 May 2011
88,Sreenath Aravind,3,37,2,9,KKR,Eden Gardens,22 April 2011
89,Bhargav Bhatt,4,36,0,0,KTK,Holkar Cricket Stadium,13 May 2011
90,Zaheer Khan,4,36,0,0,MI,M. Chinnaswamy Stadium,12 April 2011
91,Sreenath Aravind,4,36,0,0,PBKS,HPCA Stadium,17 May 2011
92,Johan Botha,4,36,0,0,DC,Sawai Mansingh Stadium,12 April 2011
93,Umesh Yadav,4,36,0,0,PWI,DY Patil Stadium,17 April 2011
94,Kieron Pollard,4,36,1,24,PWI,DY Patil Stadium,04 May 2011
95,Dwayne Bravo,4,36,1,24,KTK,Chidambaram,18 May 2011
96,Piyush Chawla,4,36,1,24,DC,Arun Jaitley Stadium,23 April 2011
97,James Hopes,4,36,1,24,DEC,Arun Jaitley Stadium,19 April 2011
98,Ravichandran Ashwin,4,36,1,24,RR,Chidambaram,04 May 2011
99,Dwayne Bravo,4,36,1,24,RR,Sawai Mansingh Stadium,09 May 2011
100,Siddharth Trivedi,4,36,1,24,DC,Sawai Mansingh Stadium,12 April 2011
101,Varun Aaron,4,36,1,24,PBKS,Arun Jaitley Stadium,23 April 2011
102,Jaydev Unadkat,4,36,2,12,DEC,Eden Gardens,11 April 2011
103,Ashok Dinda,3.3,36,1,21,RCB,Arun Jaitley Stadium,26 April 2011
104,Shaun Tait,3,36,0,0,KTK,Holkar Cricket Stadium,15 May 2011
105,Shadab Jakati,3,36,1,18,RCB,Chidambaram,16 April 2011
106,Albie Morkel,3,36,1,18,DC,Chidambaram,12 May 2011
107,Zaheer Khan,4,35,0,0,PBKS,M. Chinnaswamy Stadium,06 May 2011
108,Chris Gayle,4,35,0,0,PBKS,HPCA Stadium,17 May 2011
109,Ryan Harris,4,35,1,24,DEC,HPCA Stadium,21 May 2011
110,Abhimanyu Mithun,4,35,1,24,CSK,M. Chinnaswamy Stadium,22 May 2011
111,Bhargav Bhatt,4,35,1,24,PWI,IS Bindra Stadium,08 May 2011
112,Munaf Patel,4,35,1,24,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2011
113,Sreenath Aravind,4,35,1,24,PWI,M. Chinnaswamy Stadium,29 April 2011
114,Pragyan Ojha,4,35,2,12,PWI,DY Patil Stadium,16 May 2011
115,James Franklin,4,35,2,12,KKR,Eden Gardens,22 May 2011
116,Wayne Parnell,4,35,3,8,KTK,DY Patil Stadium,13 April 2011
117,Amit Singh,4,35,3,8,DEC,Rajiv Gandhi Intl. Cricket Stadium,09 April 2011
118,Bhargav Bhatt,3,35,0,0,CSK,IS Bindra Stadium,13 April 2011
119,Manpreet Gony,2,35,0,0,PBKS,Rajiv Gandhi Intl. Cricket Stadium,16 April 2011
120,Shane Warne,4,34,0,0,CSK,Sawai Mansingh Stadium,09 May 2011
121,Doug Bollinger,4,34,0,0,RCB,M. Chinnaswamy Stadium,22 May 2011
122,Siddharth Trivedi,4,34,0,0,KKR,Sawai Mansingh Stadium,15 April 2011
123,Suraj Randiv,4,34,0,0,DEC,Chidambaram,01 May 2011
124,Daniel Vettori,4,34,0,0,CSK,Chidambaram,28 May 2011
125,Ajit Agarkar,4,34,1,24,KKR,Arun Jaitley Stadium,28 April 2011
126,Ryan Harris,4,34,1,24,RR,IS Bindra Stadium,21 April 2011
127,RP Singh,4,34,1,24,CSK,Chidambaram,18 May 2011
128,Shalabh Srivastava,4,34,1,24,KTK,Holkar Cricket Stadium,13 May 2011
129,Paul Valthaty,4,34,1,24,DC,HPCA Stadium,15 May 2011
130,Chris Gayle,4,34,2,12,CSK,Chidambaram,28 May 2011
131,Albie Morkel,4,34,2,12,RCB,Chidambaram,16 April 2011
132,Iqbal Abdulla,4,34,2,12,DEC,Rajiv Gandhi Intl. Cricket Stadium,03 May 2011
133,Sreenath Aravind,4,34,3,8,RR,Sawai Mansingh Stadium,11 May 2011
134,Ashok Dinda,3.3,34,1,21,RR,Sawai Mansingh Stadium,12 April 2011
135,Jesse Ryder,3.2,34,1,20,DC,DY Patil Stadium,17 April 2011
136,Amit Mishra,3,34,0,0,CSK,Chidambaram,01 May 2011
137,Joginder Sharma,3,34,0,0,MI,Wankhede Stadium,22 April 2011
138,Ryan Ninan,3,34,1,18,DEC,Rajiv Gandhi Intl. Cricket Stadium,14 April 2011
139,Jacques Kallis,3,34,2,9,CSK,Chidambaram,08 April 2011
140,Harbhajan Singh,4,33,0,0,KTK,Wankhede Stadium,15 April 2011
141,Dale Steyn,4,33,1,24,KKR,Eden Gardens,11 April 2011
142,Tim Southee,4,33,1,24,PWI,DY Patil Stadium,27 April 2011
143,Zaheer Khan,4,33,1,24,PWI,M. Chinnaswamy Stadium,29 April 2011
144,Brett Lee,4,33,1,24,KTK,Eden Gardens,20 April 2011
145,Tim Southee,4,33,1,24,PBKS,IS Bindra Stadium,13 April 2011
146,Ashok Dinda,4,33,1,24,DEC,Arun Jaitley Stadium,19 April 2011
147,Suraj Randiv,4,33,1,24,KKR,Chidambaram,08 April 2011
148,Ravichandran Ashwin,4,33,1,24,RCB,Wankhede Stadium,24 May 2011
