POS,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date
1,Albie Morkel,4,56,2,12,RR,Chidambaram,03 April 2010
2,Pankaj Singh,4,54,0,0,MI,M. Chinnaswamy Stadium,17 April 2010
3,Shaun Tait,4,53,1,24,DC,Arun Jaitley Stadium,31 March 2010
4,Muttiah Muralitharan,4,52,1,24,RR,Chidambaram,03 April 2010
5,Shanthakumaran Sreesanth,4,51,0,0,DEC,Barabati Stadium,19 March 2010
6,RP Singh,4,51,1,24,PBKS,HPCA Stadium,16 April 2010
7,Rajagopal Sathish,3,51,1,18,RR,Brabourne Stadium,13 March 2010
8,MF Maharoof,4,50,2,12,MI,Arun Jaitley Stadium,17 March 2010
9,Shalabh Srivastava,4,49,1,24,RR,IS Bindra Stadium,24 March 2010
10,Lakshmipathy Balaji,4,49,1,24,RCB,M. Chinnaswamy Stadium,23 March 2010
11,Sumit Narwal,3,49,0,0,CSK,Narendra Modi Stadium,28 March 2010
12,Brett Lee,4,48,0,0,RCB,IS Bindra Stadium,02 April 2010
13,Kemar Roach,4,48,0,0,KKR,Eden Gardens,01 April 2010
14,Albie Morkel,4,48,1,24,PBKS,HPCA Stadium,18 April 2010
15,Lakshmipathy Balaji,4,47,1,24,MI,Brabourne Stadium,25 March 2010
16,Muttiah Muralitharan,4,47,1,24,KKR,Chidambaram,13 April 2010
17,Shane Watson,4,47,2,12,CSK,Chidambaram,03 April 2010
18,Ishant Sharma,4,46,0,0,RCB,M. Chinnaswamy Stadium,10 April 2010
19,Pradeep Sangwan,4,46,0,0,CSK,Arun Jaitley Stadium,19 March 2010
20,Ali Murtaza,4,46,1,24,RR,Brabourne Stadium,13 March 2010
21,Shaun Tait,4,46,1,24,MI,Brabourne Stadium,13 March 2010
22,Albie Morkel,4,46,2,12,RR,Narendra Modi Stadium,28 March 2010
23,Sudeep Tyagi,4,45,0,0,RR,Chidambaram,03 April 2010
24,Zaheer Khan,4,45,0,0,CSK,Brabourne Stadium,25 March 2010
25,Irfan Pathan,4,45,0,0,RR,IS Bindra Stadium,24 March 2010
26,Praveen Kumar,4,45,0,0,DC,M. Chinnaswamy Stadium,25 March 2010
27,Jacques Kallis,4,45,1,24,PBKS,IS Bindra Stadium,02 April 2010
28,Kieron Pollard,4,45,1,24,CSK,DY Patil Stadium,25 April 2010
29,Shaun Tait,4,44,0,0,CSK,Chidambaram,03 April 2010
30,Yusuf Pathan,4,44,0,0,CSK,Chidambaram,03 April 2010
31,Ajantha Mendis,4,44,0,0,RCB,M. Chinnaswamy Stadium,10 April 2010
32,Amit Mishra,4,44,1,24,MI,Arun Jaitley Stadium,17 March 2010
33,Sarabjit Ladda,4,44,2,12,MI,Arun Jaitley Stadium,17 March 2010
34,Shadab Jakati,4,44,2,12,DEC,DY Patil Stadium,22 April 2010
35,Harbhajan Singh,4,44,2,12,RCB,DY Patil Stadium,21 April 2010
36,Ishant Sharma,4,44,2,12,MI,Brabourne Stadium,22 March 2010
37,Irfan Pathan,3.4,44,0,0,CSK,HPCA Stadium,18 April 2010
38,Ryan McLaren,4,43,0,0,RR,Brabourne Stadium,13 March 2010
39,Joginder Sharma,4,43,1,24,DC,Arun Jaitley Stadium,19 March 2010
40,Juan Theron,4,43,1,24,CSK,HPCA Stadium,18 April 2010
41,Praveen Kumar,4,43,1,24,PBKS,M. Chinnaswamy Stadium,16 March 2010
42,RP Singh,4,43,1,24,PBKS,Barabati Stadium,19 March 2010
43,Munaf Patel,4,43,1,24,PBKS,IS Bindra Stadium,24 March 2010
44,Dale Steyn,4,43,2,12,MI,DY Patil Stadium,21 April 2010
45,Angelo Mathews,3,43,0,0,DC,Eden Gardens,07 April 2010
46,Ravi Bopara,3,43,1,18,KKR,Eden Gardens,04 April 2010
47,Dwayne Bravo,4,42,0,0,CSK,Brabourne Stadium,25 March 2010
48,Andrew McDonald,4,42,1,24,MI,Brabourne Stadium,13 April 2010
49,Dale Steyn,4,42,1,24,DC,M. Chinnaswamy Stadium,25 March 2010
50,Rahul Sharma,4,42,2,12,DC,Barabati Stadium,21 March 2010
51,Aditya Dole,4,42,2,12,DEC,Vidarbha Cricket Association Stadium,05 April 2010
52,Irfan Pathan,4,42,2,12,KKR,IS Bindra Stadium,27 March 2010
53,Andrew McDonald,4,42,2,12,RCB,M. Chinnaswamy Stadium,25 March 2010
54,Praveen Kumar,3,42,0,0,CSK,Chidambaram,31 March 2010
55,Shane Warne,3,42,0,0,PBKS,Sawai Mansingh Stadium,07 April 2010
56,Shanthakumaran Sreesanth,3,42,0,0,RCB,M. Chinnaswamy Stadium,16 March 2010
57,Albie Morkel,4,41,0,0,DEC,Chidambaram,14 March 2010
58,Amit Mishra,4,41,0,0,KKR,Eden Gardens,07 April 2010
59,Lasith Malinga,4,41,0,0,CSK,Brabourne Stadium,25 March 2010
60,Murali Kartik,4,41,1,24,PBKS,Eden Gardens,04 April 2010
61,Pradeep Sangwan,4,41,1,24,MI,Arun Jaitley Stadium,17 March 2010
62,Amit Uniyal,4,41,2,12,MI,Brabourne Stadium,13 March 2010
63,Harmeet Singh Bansal,4,41,2,12,DC,Arun Jaitley Stadium,18 April 2010
64,Jacques Kallis,4,41,2,12,MI,M. Chinnaswamy Stadium,17 April 2010
65,Sumit Narwal,2,41,0,0,CSK,Chidambaram,03 April 2010
66,Andrew Symonds,4,40,0,0,MI,DY Patil Stadium,28 March 2010
67,Albie Morkel,4,40,0,0,RCB,Chidambaram,31 March 2010
68,Anil Kumble,4,40,0,0,PBKS,M. Chinnaswamy Stadium,16 March 2010
69,Jacques Kallis,4,40,0,0,DEC,Vidarbha Cricket Association Stadium,12 April 2010
70,Ravichandran Ashwin,4,40,0,0,RCB,M. Chinnaswamy Stadium,23 March 2010
71,Daniel Vettori,4,40,1,24,RCB,Arun Jaitley Stadium,04 April 2010
72,Dhawal Kulkarni,4,40,1,24,RR,Sawai Mansingh Stadium,11 April 2010
73,Ravichandran Ashwin,4,40,1,24,DC,Arun Jaitley Stadium,19 March 2010
74,Ryan Harris,4,40,1,24,MI,Brabourne Stadium,03 April 2010
75,Vinay Kumar,4,40,4,6,CSK,M. Chinnaswamy Stadium,23 March 2010
76,Shanthakumaran Sreesanth,3,40,0,0,RR,Sawai Mansingh Stadium,07 April 2010
77,Shane Watson,3,40,0,0,DEC,Vidarbha Cricket Association Stadium,05 April 2010
78,Pragyan Ojha,3,40,1,18,RR,Narendra Modi Stadium,26 March 2010
79,Doug Bollinger,4,39,0,0,PBKS,HPCA Stadium,18 April 2010
80,Brett Lee,4,39,0,0,KKR,IS Bindra Stadium,27 March 2010
81,Doug Bollinger,4,39,1,24,MI,Chidambaram,06 April 2010
82,Jacques Kallis,4,39,1,24,PBKS,M. Chinnaswamy Stadium,16 March 2010
83,Shane Warne,4,39,1,24,PBKS,IS Bindra Stadium,24 March 2010
84,Shalabh Srivastava,4,39,1,24,DEC,Barabati Stadium,19 March 2010
85,Dirk Nannes,4,39,1,24,DEC,Barabati Stadium,21 March 2010
86,Vinay Kumar,3.2,39,1,20,DEC,M. Chinnaswamy Stadium,08 April 2010
87,Manpreet Gony,3,39,0,0,RCB,Chidambaram,31 March 2010
88,Abhimanyu Mithun,3,39,1,18,DC,Arun Jaitley Stadium,04 April 2010
89,Sudeep Tyagi,1.5,39,0,0,DEC,Chidambaram,14 March 2010
