POS,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date
1,Siddarth Kaul,4,64,2,12,MI,Sharjah Cricket Stadium,04 October 2020
2,Ankit Rajpoot,4,60,0,0,MI,Zayed Cricket Stadium,25 October 2020
3,Dale Steyn,4,57,0,0,PBKS,Dubai International Stadium,24 September 2020
4,Chris Jordan,4,56,0,0,DC,Dubai International Stadium,20 September 2020
5,Lungi Ngidi,4,56,1,24,RR,Sharjah Cricket Stadium,22 September 2020
6,Piyush Chawla,4,55,1,24,RR,Sharjah Cricket Stadium,22 September 2020
7,Lockie Ferguson,4,54,0,0,CSK,Dubai International Stadium,29 October 2020
8,Kagiso Rabada,4,54,0,0,SRH,Dubai International Stadium,27 October 2020
9,Tom Curran,4,54,1,24,CSK,Sharjah Cricket Stadium,22 September 2020
10,Adam Zampa,4,53,1,24,MI,Dubai International Stadium,28 September 2020
11,Mohammad Shami,4,53,3,8,RR,Sharjah Cricket Stadium,27 September 2020
12,Jimmy Neesham,4,52,0,0,MI,Zayed Cricket Stadium,01 October 2020
13,Sheldon Cottrell,3,52,1,18,RR,Sharjah Cricket Stadium,27 September 2020
14,James Pattinson,4,51,0,0,RCB,Dubai International Stadium,28 September 2020
15,Nathan Coulter-Nile,4,51,1,24,KKR,Zayed Cricket Stadium,16 October 2020
16,Kagiso Rabada,4,51,1,24,KKR,Sharjah Cricket Stadium,03 October 2020
17,Andre Russell,4,51,1,24,RCB,Sharjah Cricket Stadium,12 October 2020
18,Jason Holder,4,50,1,24,DC,Zayed Cricket Stadium,08 November 2020
19,Anrich Nortje,4,50,1,24,MI,Dubai International Stadium,05 November 2020
20,Andrew Tye,4,50,1,24,DC,Sharjah Cricket Stadium,09 October 2020
21,Pat Cummins,4,49,0,0,DC,Sharjah Cricket Stadium,03 October 2020
22,Varun Chakaravarthy,4,49,1,24,DC,Sharjah Cricket Stadium,03 October 2020
23,Pat Cummins,3,49,0,0,MI,Zayed Cricket Stadium,23 September 2020
24,Umesh Yadav,4,48,0,0,SRH,Dubai International Stadium,21 September 2020
25,Trent Boult,4,48,0,0,PBKS,Dubai International Stadium,18 October 2020
26,Shahbaz Nadeem,4,48,0,0,DC,Zayed Cricket Stadium,08 November 2020
27,Yuzvendra Chahal,4,48,1,24,MI,Dubai International Stadium,28 September 2020
28,Sam Curran,4,48,1,24,RCB,Dubai International Stadium,10 October 2020
29,Navdeep Saini,3,48,0,0,DC,Dubai International Stadium,05 October 2020
30,Varun Aaron,4,47,0,0,PBKS,Zayed Cricket Stadium,30 October 2020
31,Deepak Chahar,4,47,0,0,KKR,Zayed Cricket Stadium,07 October 2020
32,Kartik Tyagi,4,47,0,0,PBKS,Zayed Cricket Stadium,30 October 2020
33,Jofra Archer,4,46,0,0,PBKS,Sharjah Cricket Stadium,27 September 2020
34,T Natarajan,4,46,0,0,RR,Dubai International Stadium,22 October 2020
35,Jaydev Unadkat,4,46,0,0,RCB,Dubai International Stadium,17 October 2020
36,Marcus Stoinis,4,46,1,24,KKR,Sharjah Cricket Stadium,03 October 2020
37,Jason Holder,4,46,1,24,DC,Dubai International Stadium,27 October 2020
38,Basil Thampi,4,46,1,24,KKR,Zayed Cricket Stadium,18 October 2020
39,Krishnappa Gowtham,4,45,1,24,MI,Zayed Cricket Stadium,01 October 2020
40,Kartik Tyagi,4,45,1,24,MI,Zayed Cricket Stadium,25 October 2020
41,Mohit Sharma,4,45,1,24,PBKS,Dubai International Stadium,20 September 2020
42,Mohammad Shami,4,45,2,12,RCB,Sharjah Cricket Stadium,15 October 2020
43,Khaleel Ahmed,4,45,2,12,CSK,Dubai International Stadium,13 October 2020
44,Isuru Udana,4,45,2,12,MI,Dubai International Stadium,28 September 2020
45,Ravichandran Ashwin,3,45,0,0,KKR,Zayed Cricket Stadium,24 October 2020
46,Shreyas Gopal,4,44,0,0,PBKS,Sharjah Cricket Stadium,27 September 2020
47,Jaydev Unadkat,4,44,0,0,CSK,Sharjah Cricket Stadium,22 September 2020
48,Mujeeb Ur Rahman,4,44,0,0,KKR,Zayed Cricket Stadium,10 October 2020
49,Daniel Sams,4,44,0,0,MI,Dubai International Stadium,05 November 2020
50,Ravindra Jadeja,4,44,0,0,DC,Dubai International Stadium,25 September 2020
51,Tom Curran,4,44,1,24,PBKS,Sharjah Cricket Stadium,27 September 2020
52,Anrich Nortje,4,44,2,12,CSK,Sharjah Cricket Stadium,17 October 2020
53,Chris Jordan,3.3,44,1,21,RR,Zayed Cricket Stadium,30 October 2020
54,Mohammed Siraj,3,44,0,0,PBKS,Sharjah Cricket Stadium,15 October 2020
55,Shreyas Gopal,3,44,1,18,KKR,Dubai International Stadium,01 November 2020
56,Navdeep Saini,4,43,0,0,MI,Dubai International Stadium,28 September 2020
57,Dale Steyn,4,43,0,0,MI,Zayed Cricket Stadium,28 October 2020
58,Shreyas Gopal,4,43,0,0,KKR,Dubai International Stadium,30 September 2020
59,Harshal Patel,4,43,0,0,RCB,Dubai International Stadium,05 October 2020
60,Jasprit Bumrah,4,43,1,24,CSK,Zayed Cricket Stadium,19 September 2020
61,Rahul Chahar,4,43,1,24,RCB,Zayed Cricket Stadium,28 October 2020
62,Murugan Ashwin,4,43,1,24,RR,Zayed Cricket Stadium,30 October 2020
63,Khaleel Ahmed,4,43,1,24,DC,Zayed Cricket Stadium,29 September 2020
64,T Natarajan,4,43,2,12,CSK,Dubai International Stadium,02 October 2020
65,Isuru Udana,3,43,0,0,RR,Dubai International Stadium,17 October 2020
66,Jasprit Bumrah,4,42,0,0,RCB,Dubai International Stadium,28 September 2020
67,Avesh Khan,4,42,0,0,CSK,Dubai International Stadium,25 September 2020
68,Kagiso Rabada,4,42,0,0,MI,Dubai International Stadium,05 November 2020
69,Trent Boult,4,42,1,24,PBKS,Zayed Cricket Stadium,01 October 2020
70,Prasidh Krishna,4,42,1,24,RCB,Sharjah Cricket Stadium,12 October 2020
71,Ravindra Jadeja,4,42,2,12,MI,Zayed Cricket Stadium,19 September 2020
72,Kartik Tyagi,3.1,42,0,0,SRH,Dubai International Stadium,22 October 2020
73,Ankit Rajpoot,3,42,0,0,MI,Zayed Cricket Stadium,06 October 2020
74,Chris Jordan,3,42,0,0,CSK,Dubai International Stadium,04 October 2020
75,Harpreet Brar,4,41,0,0,CSK,Dubai International Stadium,04 October 2020
76,Abdul Samad,4,41,1,24,CSK,Dubai International Stadium,02 October 2020
77,Isuru Udana,4,41,2,12,RR,Zayed Cricket Stadium,03 October 2020
78,Jasprit Bumrah,4,41,2,12,SRH,Sharjah Cricket Stadium,04 October 2020
79,T Natarajan,4,41,2,12,CSK,Dubai International Stadium,13 October 2020
80,Marcus Stoinis,4,41,2,12,KKR,Zayed Cricket Stadium,24 October 2020
81,Sandeep Sharma,4,41,2,12,MI,Sharjah Cricket Stadium,04 October 2020
82,Tushar Deshpande,2,41,0,0,PBKS,Dubai International Stadium,20 October 2020
83,Ravindra Jadeja,4,40,0,0,RR,Sharjah Cricket Stadium,22 September 2020
84,Tushar Deshpande,4,40,0,0,KKR,Zayed Cricket Stadium,24 October 2020
85,Trent Boult,4,40,0,0,RR,Zayed Cricket Stadium,25 October 2020
86,Anrich Nortje,4,40,0,0,SRH,Zayed Cricket Stadium,29 September 2020
87,Daniel Sams,4,40,0,0,RCB,Zayed Cricket Stadium,02 November 2020
88,Sunil Narine,4,40,1,24,RR,Dubai International Stadium,30 September 2020
89,Mohammad Shami,4,40,1,24,SRH,Dubai International Stadium,08 October 2020
90,Trent Boult,4,40,1,24,RCB,Zayed Cricket Stadium,28 October 2020
91,Jimmy Neesham,4,40,1,24,RR,Sharjah Cricket Stadium,27 September 2020
92,Isuru Udana,4,40,1,24,DC,Dubai International Stadium,05 October 2020
93,Shardul Thakur,4,40,2,12,RCB,Dubai International Stadium,10 October 2020
94,T Natarajan,4,40,2,12,KKR,Zayed Cricket Stadium,18 October 2020
95,James Pattinson,3.2,40,2,10,RR,Zayed Cricket Stadium,25 October 2020
96,Tom Curran,3.1,40,0,0,RCB,Zayed Cricket Stadium,03 October 2020
97,Ben Stokes,3,40,0,0,KKR,Dubai International Stadium,01 November 2020
98,Shivam Mavi,3,40,0,0,DC,Sharjah Cricket Stadium,03 October 2020
99,Kamlesh Nagarkoti,3,40,0,0,PBKS,Zayed Cricket Stadium,10 October 2020
100,Mujeeb Ur Rahman,4,39,0,0,SRH,Dubai International Stadium,08 October 2020
101,Krishnappa Gowtham,4,39,0,0,DC,Dubai International Stadium,20 September 2020
102,Kuldeep Yadav,4,39,0,0,MI,Zayed Cricket Stadium,23 September 2020
103,Ravi Bishnoi,4,39,0,0,CSK,Zayed Cricket Stadium,01 November 2020
104,Ankit Rajpoot,4,39,1,24,KKR,Dubai International Stadium,30 September 2020
105,Tushar Deshpande,4,39,1,24,CSK,Sharjah Cricket Stadium,17 October 2020
106,Shardul Thakur,4,39,1,24,DC,Sharjah Cricket Stadium,17 October 2020
107,Ankit Rajpoot,4,39,1,24,PBKS,Sharjah Cricket Stadium,27 September 2020
108,Shardul Thakur,4,39,2,12,PBKS,Dubai International Stadium,04 October 2020
109,Lungi Ngidi,4,39,3,8,PBKS,Zayed Cricket Stadium,01 November 2020
110,Deepak Chahar,4,38,0,0,DC,Dubai International Stadium,25 September 2020
111,Jasprit Bumrah,4,38,0,0,RR,Zayed Cricket Stadium,25 October 2020
112,Pat Cummins,4,38,0,0,RCB,Sharjah Cricket Stadium,12 October 2020
113,Washington Sundar,4,38,0,0,PBKS,Sharjah Cricket Stadium,15 October 2020
114,T Natarajan,4,38,0,0,MI,Sharjah Cricket Stadium,03 November 2020
115,Dwayne Bravo,4,38,0,0,PBKS,Dubai International Stadium,04 October 2020
116,Shreyas Gopal,4,38,1,24,CSK,Sharjah Cricket Stadium,22 September 2020
117,Lungi Ngidi,4,38,3,8,MI,Zayed Cricket Stadium,19 September 2020
118,Jofra Archer,3.4,38,0,0,RCB,Dubai International Stadium,17 October 2020
119,Chris Jordan,4,37,0,0,KKR,Zayed Cricket Stadium,10 October 2020
120,Navdeep Saini,4,37,0,0,PBKS,Dubai International Stadium,24 September 2020
