POS,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date
1,Shane Watson,4,61,0,0,SRH,M. Chinnaswamy Stadium,29 May 2016
2,Imran Tahir,4,59,0,0,MI,ACA-VDCA Stadium,15 May 2016
3,Karn Sharma,4,57,0,0,RCB,M. Chinnaswamy Stadium,12 April 2016
4,Umesh Yadav,4,56,1,24,RCB,M. Chinnaswamy Stadium,02 May 2016
5,Bhuvneshwar Kumar,4,55,2,12,RCB,M. Chinnaswamy Stadium,12 April 2016
6,KC Cariappa,3,55,0,0,RCB,M. Chinnaswamy Stadium,18 May 2016
7,Kane Richardson,4,53,1,24,GL,Saurashtra Cricket Association Stadium,24 April 2016
8,Chris Jordan,4,52,0,0,PBKS,IS Bindra Stadium,09 May 2016
9,Andre Russell,4,52,1,24,MI,Eden Gardens,13 April 2016
10,Tabraiz Shamsi,4,51,0,0,KKR,M. Chinnaswamy Stadium,02 May 2016
11,Zaheer Khan,4,50,1,24,RCB,M. Chinnaswamy Stadium,17 April 2016
12,Mohammad Shami,3.1,50,0,0,RPS,Arun Jaitley Stadium,05 May 2016
13,Shivil Kaushik,3,50,0,0,RCB,M. Chinnaswamy Stadium,14 May 2016
14,David Wiese,4,49,0,0,DC,M. Chinnaswamy Stadium,17 April 2016
15,Sandeep Sharma,4,49,2,12,RCB,IS Bindra Stadium,09 May 2016
16,Jaydev Unadkat,3,49,0,0,MI,Wankhede Stadium,28 April 2016
17,Zaheer Khan,4,48,0,0,GL,Arun Jaitley Stadium,27 April 2016
18,Kyle Abbott,3,48,1,18,RCB,M. Chinnaswamy Stadium,18 May 2016
19,Ishant Sharma,4,47,0,0,RCB,Maharashtra Cricket Association's International Stadium,22 April 2016
20,Shane Watson,4,46,0,0,KKR,Eden Gardens,16 May 2016
21,Mitchell McClenaghan,4,46,1,24,RCB,Wankhede Stadium,20 April 2016
22,Harshal Patel,4,46,1,24,RPS,Maharashtra Cricket Association's International Stadium,22 April 2016
23,Dwayne Bravo,3,46,0,0,RCB,M. Chinnaswamy Stadium,14 May 2016
24,Axar Patel,3,46,1,18,RCB,M. Chinnaswamy Stadium,18 May 2016
25,Sunil Narine,4,45,0,0,RCB,M. Chinnaswamy Stadium,02 May 2016
26,Rajat Bhatia,4,45,0,0,RCB,M. Chinnaswamy Stadium,07 May 2016
27,Kane Richardson,4,45,2,12,SRH,Rajiv Gandhi Intl. Cricket Stadium,30 April 2016
28,Praveen Kumar,4,45,2,12,RCB,M. Chinnaswamy Stadium,14 May 2016
29,Chris Jordan,4,45,3,8,SRH,M. Chinnaswamy Stadium,29 May 2016
30,Shadab Jakati,3,45,0,0,RCB,M. Chinnaswamy Stadium,24 May 2016
31,Dwayne Bravo,4,43,0,0,RCB,Saurashtra Cricket Association Stadium,24 April 2016
32,Tim Southee,4,43,0,0,KKR,Eden Gardens,13 April 2016
33,Axar Patel,4,43,1,24,RPS,ACA-VDCA Stadium,21 May 2016
34,Dwayne Bravo,4,43,1,24,RPS,Saurashtra Cricket Association Stadium,14 April 2016
35,Mitchell Johnson,4,43,1,24,MI,IS Bindra Stadium,25 April 2016
36,Chris Jordan,4,43,1,24,RPS,M. Chinnaswamy Stadium,07 May 2016
37,Adam Milne,4,43,1,24,SRH,M. Chinnaswamy Stadium,12 April 2016
38,Yuzvendra Chahal,4,43,2,12,SRH,M. Chinnaswamy Stadium,12 April 2016
39,Carlos Brathwaite,4,43,3,8,KKR,Arun Jaitley Stadium,30 April 2016
40,Jasprit Bumrah,4,42,0,0,DC,Arun Jaitley Stadium,23 April 2016
41,Shahbaz Nadeem,4,42,0,0,MI,ACA-VDCA Stadium,15 May 2016
42,Jasprit Bumrah,4,42,1,24,GL,Green Park,21 May 2016
43,Amit Mishra,4,42,1,24,MI,ACA-VDCA Stadium,15 May 2016
44,Yuzvendra Chahal,4,42,1,24,GL,M. Chinnaswamy Stadium,24 May 2016
45,Iqbal Abdulla,4,41,0,0,GL,Saurashtra Cricket Association Stadium,24 April 2016
46,Moises Henriques,4,41,0,0,RCB,M. Chinnaswamy Stadium,12 April 2016
47,Axar Patel,4,41,1,24,MI,IS Bindra Stadium,25 April 2016
48,Thisara Perera,4,41,2,12,GL,Maharashtra Cricket Association's International Stadium,29 April 2016
49,Sreenath Aravind,4,41,2,12,KKR,Eden Gardens,16 May 2016
50,Dhawal Kulkarni,4,41,2,12,MI,Green Park,21 May 2016
51,Barinder Sran,3,41,1,18,RCB,M. Chinnaswamy Stadium,29 May 2016
52,Bipul Sharma,4,40,0,0,MI,Rajiv Gandhi Intl. Cricket Stadium,18 April 2016
53,Shane Watson,4,40,0,0,MI,Wankhede Stadium,20 April 2016
54,Shadab Jakati,4,40,0,0,RPS,Saurashtra Cricket Association Stadium,14 April 2016
55,Moises Henriques,4,40,1,24,RCB,Rajiv Gandhi Intl. Cricket Stadium,30 April 2016
56,James Faulkner,4,40,1,24,MI,Wankhede Stadium,16 April 2016
57,Dwayne Bravo,4,40,1,24,DC,Arun Jaitley Stadium,27 April 2016
58,Dwayne Bravo,4,40,1,24,RPS,Maharashtra Cricket Association's International Stadium,29 April 2016
59,Ashok Dinda,4,40,2,12,GL,Maharashtra Cricket Association's International Stadium,29 April 2016
60,Iqbal Abdulla,4,40,3,8,MI,Wankhede Stadium,20 April 2016
61,Marcus Stoinis,4,40,3,8,DC,IS Bindra Stadium,07 May 2016
62,Mohit Sharma,3.4,40,0,0,SRH,IS Bindra Stadium,15 May 2016
63,Moises Henriques,3,40,0,0,RCB,M. Chinnaswamy Stadium,29 May 2016
64,Thisara Perera,3,40,0,0,RCB,M. Chinnaswamy Stadium,07 May 2016
65,Dwayne Bravo,4,39,0,0,KKR,Eden Gardens,08 May 2016
66,Mustafizur Rahman,4,39,0,0,DC,Rajiv Gandhi Intl. Cricket Stadium,12 May 2016
67,Brad Hogg,4,39,0,0,DC,Arun Jaitley Stadium,30 April 2016
68,Shakib Al Hasan,4,39,0,0,RCB,Eden Gardens,16 May 2016
69,Mohit Sharma,4,39,0,0,KKR,Eden Gardens,04 May 2016
70,James Faulkner,4,39,0,0,PBKS,IS Bindra Stadium,11 April 2016
71,Mohit Sharma,4,39,1,24,RPS,ACA-VDCA Stadium,21 May 2016
72,Ishant Sharma,4,39,1,24,GL,Saurashtra Cricket Association Stadium,14 April 2016
73,Tabraiz Shamsi,4,39,1,24,SRH,Rajiv Gandhi Intl. Cricket Stadium,30 April 2016
74,Trent Boult,4,39,1,24,GL,Arun Jaitley Stadium,27 May 2016
75,Dwayne Bravo,4,39,1,24,MI,Wankhede Stadium,16 April 2016
76,Dhawal Kulkarni,4,39,1,24,RCB,Saurashtra Cricket Association Stadium,24 April 2016
77,Morne Morkel,3.3,39,1,21,GL,Green Park,19 May 2016
78,Karn Sharma,3,39,0,0,KKR,Eden Gardens,22 May 2016
79,Harbhajan Singh,4,38,0,0,SRH,Rajiv Gandhi Intl. Cricket Stadium,18 April 2016
80,Morne Morkel,4,38,0,0,GL,Eden Gardens,08 May 2016
81,Mitchell McClenaghan,4,38,1,24,SRH,ACA-VDCA Stadium,08 May 2016
82,Yuzvendra Chahal,4,38,1,24,KKR,Eden Gardens,16 May 2016
83,Kyle Abbott,4,38,1,24,RPS,IS Bindra Stadium,17 April 2016
84,Yuzvendra Chahal,4,38,1,24,RPS,M. Chinnaswamy Stadium,07 May 2016
85,Iqbal Abdulla,4,38,2,12,GL,M. Chinnaswamy Stadium,24 May 2016
86,Tim Southee,4,38,2,12,KKR,Wankhede Stadium,28 April 2016
87,Mohit Sharma,4,38,3,8,MI,IS Bindra Stadium,25 April 2016
88,Mitchell McClenaghan,3.5,38,0,0,GL,Green Park,21 May 2016
89,Shane Watson,3,38,0,0,MI,M. Chinnaswamy Stadium,11 May 2016
90,Shane Watson,3,38,1,18,KKR,M. Chinnaswamy Stadium,02 May 2016
91,Shakib Al Hasan,3,38,1,18,GL,Eden Gardens,08 May 2016
