POS,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date
1,Mujeeb Ur Rahman,4,66,0,0,SRH,Rajiv Gandhi Intl. Cricket Stadium,29 April 2019
2,Tim Southee,4,61,0,0,KKR,M. Chinnaswamy Stadium,05 April 2019
3,Kuldeep Yadav,4,59,1,24,RCB,Eden Gardens,19 April 2019
4,Piyush Chawla,4,57,1,24,MI,Eden Gardens,28 April 2019
5,Hardik Pandya,4,57,2,12,PBKS,Wankhede Stadium,10 April 2019
6,Harbhajan Singh,4,57,3,8,PBKS,IS Bindra Stadium,05 May 2019
7,Prayas Ray Barman,4,56,0,0,SRH,Rajiv Gandhi Intl. Cricket Stadium,31 March 2019
8,Bhuvneshwar Kumar,4,55,0,0,RR,Rajiv Gandhi Intl. Cricket Stadium,29 March 2019
9,Rahul Chahar,4,54,1,24,KKR,Eden Gardens,28 April 2019
10,Sam Curran,4,54,1,24,MI,Wankhede Stadium,10 April 2019
11,Mohammed Siraj,4,54,1,24,PBKS,IS Bindra Stadium,13 April 2019
12,Jaydev Unadkat,4,54,1,24,CSK,Chidambaram,31 March 2019
13,Sandeep Sharma,3.5,54,1,23,CSK,Chidambaram,23 April 2019
14,Mohammad Shami,4,53,1,24,RCB,M. Chinnaswamy Stadium,24 April 2019
15,Alzarri Joseph,3,53,0,0,RR,Wankhede Stadium,13 April 2019
16,Prasidh Krishna,4,52,0,0,RCB,Eden Gardens,19 April 2019
17,Ankit Rajpoot,4,52,1,24,MI,Wankhede Stadium,10 April 2019
18,Sam Curran,4,52,2,12,RR,Sawai Mansingh Stadium,25 March 2019
19,Hardus Viljoen,4,51,1,24,RCB,M. Chinnaswamy Stadium,24 April 2019
20,Dhawal Kulkarni,4,51,1,24,DC,Sawai Mansingh Stadium,22 April 2019
21,Jaydev Unadkat,4,50,1,24,KKR,Eden Gardens,25 April 2019
22,Ravindra Jadeja,4,49,0,0,KKR,Eden Gardens,14 April 2019
23,Lasith Malinga,4,49,1,24,CSK,Rajiv Gandhi Intl. Cricket Stadium,12 May 2019
24,Dwayne Bravo,4,49,1,24,MI,Wankhede Stadium,03 April 2019
25,Jason Behrendorff,4,49,1,24,RCB,Wankhede Stadium,15 April 2019
26,Keemo Paul,3,49,0,0,CSK,ACA-VDCA Stadium,10 May 2019
27,Siddarth Kaul,4,48,0,0,RR,Sawai Mansingh Stadium,27 April 2019
28,Lasith Malinga,4,48,0,0,KKR,Eden Gardens,28 April 2019
29,Jaydev Unadkat,4,48,1,24,PBKS,IS Bindra Stadium,16 April 2019
30,Ben Stokes,4,48,2,12,PBKS,Sawai Mansingh Stadium,25 March 2019
31,Umesh Yadav,4,47,0,0,SRH,Rajiv Gandhi Intl. Cricket Stadium,31 March 2019
32,Ravichandran Ashwin,4,47,0,0,KKR,Eden Gardens,27 March 2019
33,Lasith Malinga,4,47,0,0,RCB,M. Chinnaswamy Stadium,28 March 2019
