POS,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date
87,Sandeep Sharma,3,39,0,0,MI,Holkar Cricket Stadium,20 April 2017
88,Moises Henriques,3,39,0,0,PBKS,IS Bindra Stadium,28 April 2017
89,Chris Morris,3,39,0,0,KKR,Eden Gardens,28 April 2017
90,Corey Anderson,4,38,0,0,RCB,Arun Jaitley Stadium,14 May 2017
91,Zaheer Khan,4,38,0,0,PBKS,Arun Jaitley Stadium,15 April 2017
92,Carlos Brathwaite,4,38,1,24,GL,Green Park,10 May 2017
93,Rashid Khan,4,38,1,24,KKR,Rajiv Gandhi Intl. Cricket Stadium,30 April 2017
94,KC Cariappa,4,38,1,24,SRH,Rajiv Gandhi Intl. Cricket Stadium,17 April 2017
95,Umesh Yadav,4,38,1,24,DC,Eden Gardens,28 April 2017
96,Siddarth Kaul,4,38,1,24,DC,Arun Jaitley Stadium,02 May 2017
97,Pat Cummins,4,38,1,24,GL,Green Park,10 May 2017
98,James Faulkner,4,38,1,24,KKR,Eden Gardens,21 April 2017
99,Pradeep Sangwan,4,38,2,12,RPS,Maharashtra Cricket Association's International Stadium,01 May 2017
100,Chris Woakes,3,38,0,0,RPS,Maharashtra Cricket Association's International Stadium,26 April 2017
101,Colin de Grandhomme,4,37,0,0,PBKS,IS Bindra Stadium,09 May 2017
102,Zaheer Khan,4,37,0,0,SRH,Rajiv Gandhi Intl. Cricket Stadium,19 April 2017
103,Pradeep Sangwan,4,37,0,0,SRH,Green Park,13 May 2017
104,Sunil Narine,4,37,0,0,MI,Eden Gardens,13 May 2017
105,Pat Cummins,4,37,0,0,SRH,Rajiv Gandhi Intl. Cricket Stadium,19 April 2017
106,Mohit Sharma,4,37,1,24,DC,Arun Jaitley Stadium,15 April 2017
107,Amit Mishra,4,37,1,24,MI,Arun Jaitley Stadium,06 May 2017
108,Dhawal Kulkarni,4,37,1,24,RCB,Saurashtra Cricket Association Stadium,18 April 2017
109,Mohammad Shami,4,37,2,12,RPS,Arun Jaitley Stadium,12 May 2017
110,Shardul Thakur,4,37,3,8,MI,Wankhede Stadium,16 May 2017
111,Ankit Rajpoot,4,37,3,8,MI,Wankhede Stadium,09 April 2017
112,Sunil Narine,3,37,0,0,SRH,Rajiv Gandhi Intl. Cricket Stadium,30 April 2017
113,Zaheer Khan,4,36,0,0,MI,Wankhede Stadium,22 April 2017
114,Ben Stokes,4,36,0,0,GL,Maharashtra Cricket Association's International Stadium,01 May 2017
115,Chris Morris,4,36,0,0,SRH,Arun Jaitley Stadium,02 May 2017
116,Mitchell McClenaghan,4,36,0,0,RPS,Wankhede Stadium,24 April 2017
117,Trent Boult,4,36,0,0,PBKS,Eden Gardens,13 April 2017
118,Ben Stokes,4,36,1,24,MI,Maharashtra Cricket Association's International Stadium,06 April 2017
119,Yuzvendra Chahal,4,36,1,24,MI,Wankhede Stadium,01 May 2017
120,Hardik Pandya,4,36,1,24,RPS,Maharashtra Cricket Association's International Stadium,06 April 2017
121,Axar Patel,4,36,1,24,KKR,Eden Gardens,13 April 2017
122,Imran Tahir,4,36,1,24,KKR,Eden Gardens,03 May 2017
123,Mitchell McClenaghan,4,36,1,24,RPS,Maharashtra Cricket Association's International Stadium,06 April 2017
124,Piyush Chawla,4,36,1,24,RPS,Maharashtra Cricket Association's International Stadium,26 April 2017
125,Mohammad Shami,4,36,1,24,GL,Green Park,10 May 2017
126,Lasith Malinga,4,36,2,12,KKR,Wankhede Stadium,09 April 2017
127,Axar Patel,4,36,2,12,GL,Saurashtra Cricket Association Stadium,23 April 2017
128,Rashid Khan,4,36,2,12,RCB,Rajiv Gandhi Intl. Cricket Stadium,05 April 2017
129,Mohammad Shami,4,36,2,12,SRH,Arun Jaitley Stadium,02 May 2017
130,Siddarth Kaul,4,36,3,8,PBKS,IS Bindra Stadium,28 April 2017
131,Umesh Yadav,4,36,3,8,RCB,M. Chinnaswamy Stadium,07 May 2017
132,Tymal Mills,3.5,36,0,0,MI,M. Chinnaswamy Stadium,14 April 2017
133,Amit Mishra,3,36,0,0,KKR,Eden Gardens,28 April 2017
134,Ashok Dinda,3,36,0,0,DC,Maharashtra Cricket Association's International Stadium,11 April 2017
135,Sreenath Aravind,3,36,0,0,SRH,Rajiv Gandhi Intl. Cricket Stadium,05 April 2017
136,Corey Anderson,3,36,1,18,GL,Arun Jaitley Stadium,04 May 2017
137,Piyush Chawla,3,36,1,18,PBKS,Eden Gardens,13 April 2017
138,Iqbal Abdulla,3,36,2,9,DC,M. Chinnaswamy Stadium,08 April 2017
139,Moises Henriques,2.1,36,0,0,DC,Arun Jaitley Stadium,02 May 2017
140,Mohit Sharma,4,35,0,0,GL,IS Bindra Stadium,07 May 2017
141,Adam Milne,4,35,0,0,RPS,Maharashtra Cricket Association's International Stadium,29 April 2017
142,Kuldeep Yadav,4,35,1,24,MI,Wankhede Stadium,09 April 2017
143,Munaf Patel,4,35,1,24,MI,Wankhede Stadium,16 April 2017
144,Ashish Nehra,4,35,1,24,KKR,Eden Gardens,15 April 2017
145,Kuldeep Yadav,4,35,1,24,RPS,Eden Gardens,03 May 2017
146,Sandeep Sharma,4,35,1,24,SRH,Rajiv Gandhi Intl. Cricket Stadium,17 April 2017
147,Basil Thampi,4,35,2,12,RPS,Maharashtra Cricket Association's International Stadium,01 May 2017
148,Andrew Tye,4,35,2,12,PBKS,Saurashtra Cricket Association Stadium,23 April 2017
149,Shardul Thakur,4,35,3,8,RCB,M. Chinnaswamy Stadium,16 April 2017
150,Ben Cutting,3.4,35,0,0,RCB,Rajiv Gandhi Intl. Cricket Stadium,05 April 2017
