POS,Player,Runs,BF,4s,6s,Against,Venue,Match Date
1,Chris Gayle,175,17,13,17,PWI,M. Chinnaswamy Stadium,23 April 2013
2,Kieron Pollard,66,20,2,8,SRH,Wankhede Stadium,13 May 2013
3,Dwayne Smith,68,21,6,5,CSK,Arun Jaitley Stadium,21 May 2013
4,AB de Villiers,50,23,6,2,PWI,Maharashtra Cricket Association's International Stadium,02 May 2013
5,David Miller,101,24,8,7,RCB,IS Bindra Stadium,06 May 2013
6,MS Dhoni,51,24,5,3,MI,Chidambaram,06 April 2013
7,David Warner,51,24,4,4,PWI,Shaheed Veer Narayan Singh International Cricket Stadium,28 April 2013
8,Shane Watson,70,25,6,6,CSK,Sawai Mansingh Stadium,12 May 2013
9,David Miller,51,25,5,2,CSK,Chidambaram,02 May 2013
10,AB de Villiers,64,26,8,1,CSK,Chidambaram,13 April 2013
11,Azhar Mahmood,80,27,8,4,MI,HPCA Stadium,18 May 2013
12,Chris Gayle,61,27,6,3,PBKS,IS Bindra Stadium,06 May 2013
13,Rohit Sharma,79,28,6,6,PBKS,Wankhede Stadium,29 April 2013
14,Virat Kohli,56,28,6,4,CSK,M. Chinnaswamy Stadium,18 May 2013
15,Shane Watson,101,29,6,6,CSK,Chidambaram,22 April 2013
16,Dinesh Karthik,86,29,14,2,DC,Wankhede Stadium,09 April 2013
17,Suresh Raina,82,29,5,5,MI,Arun Jaitley Stadium,21 May 2013
18,David Miller,80,29,5,5,PWI,IS Bindra Stadium,21 April 2013
19,Brad Hodge,54,29,2,5,SRH,Arun Jaitley Stadium,22 May 2013
20,Rohit Sharma,62,30,3,5,PWI,Wankhede Stadium,13 April 2013
21,Aditya Tare,59,30,8,1,RR,Wankhede Stadium,15 May 2013
22,MS Dhoni,58,30,2,4,DC,Chidambaram,14 May 2013
23,Michael Hussey,95,31,11,2,KKR,Chidambaram,28 April 2013
24,Virender Sehwag,95,31,13,2,MI,Arun Jaitley Stadium,21 April 2013
25,Virat Kohli,93,31,11,4,SRH,M. Chinnaswamy Stadium,09 April 2013
26,Michael Hussey,88,31,13,1,RR,Chidambaram,22 April 2013
27,Rohit Sharma,73,31,5,5,DC,Arun Jaitley Stadium,21 April 2013
28,Gautam Gambhir,60,31,9,0,PBKS,IS Bindra Stadium,16 April 2013
29,Dinesh Karthik,60,31,3,4,RCB,M. Chinnaswamy Stadium,04 April 2013
30,Kieron Pollard,60,31,7,3,CSK,Eden Gardens,26 May 2013
31,Aaron Finch,52,31,3,4,DC,Maharashtra Cricket Association's International Stadium,19 May 2013
32,Suresh Raina,100,32,7,6,PBKS,Chidambaram,02 May 2013
33,Chris Gayle,85,32,4,9,KKR,M. Chinnaswamy Stadium,11 April 2013
34,Yusuf Pathan,72,32,8,2,PWI,JSCA Stadium,15 May 2013
35,Aaron Finch,67,32,10,2,CSK,Chidambaram,15 April 2013
36,Michael Hussey,67,32,5,4,SRH,Rajiv Gandhi Intl. Cricket Stadium,08 May 2013
37,MS Dhoni,67,32,7,4,SRH,Chidambaram,25 April 2013
38,Virat Kohli,65,32,7,1,DC,M. Chinnaswamy Stadium,16 April 2013
39,Sanju Samson,63,32,7,2,RCB,Sawai Mansingh Stadium,29 April 2013
40,David Miller,56,32,1,5,MI,Wankhede Stadium,29 April 2013
41,Cameron White,52,32,3,3,RCB,M. Chinnaswamy Stadium,09 April 2013
42,Aaron Finch,64,33,8,2,PBKS,IS Bindra Stadium,21 April 2013
43,Suresh Raina,51,33,4,2,RR,Chidambaram,22 April 2013
44,Robin Uthappa,75,34,5,5,RCB,Maharashtra Cricket Association's International Stadium,02 May 2013
45,Shaun Marsh,73,34,8,2,CSK,Chidambaram,02 May 2013
46,Dwayne Smith,62,34,3,5,KKR,Eden Gardens,24 April 2013
47,David Warner,61,34,5,4,MI,Wankhede Stadium,09 April 2013
48,Mahela Jayawardena,59,34,8,1,MI,Arun Jaitley Stadium,21 April 2013
49,Suresh Raina,99,35,11,3,SRH,Rajiv Gandhi Intl. Cricket Stadium,08 May 2013
50,David Warner,66,35,6,3,KKR,Shaheed Veer Narayan Singh International Cricket Stadium,01 May 2013
51,Kieron Pollard,57,35,4,5,CSK,Chidambaram,06 April 2013
52,Eoin Morgan,51,35,3,3,RR,Sawai Mansingh Stadium,08 April 2013
53,Dwayne Smith,50,35,4,3,RCB,Wankhede Stadium,27 April 2013
54,Michael Hussey,86,36,11,2,PBKS,IS Bindra Stadium,10 April 2013
55,Aaron Finch,64,36,6,3,RR,Maharashtra Cricket Association's International Stadium,11 April 2013
56,Ben Rohrer,64,36,9,1,RR,Sawai Mansingh Stadium,07 May 2013
57,Azhar Mahmood,61,36,8,1,RCB,M. Chinnaswamy Stadium,14 May 2013
58,Shikhar Dhawan,59,36,6,2,MI,Wankhede Stadium,13 May 2013
59,Rahul Dravid,58,36,9,1,PWI,Sawai Mansingh Stadium,05 May 2013
60,Ajinkya Rahane,67,37,6,2,PWI,Sawai Mansingh Stadium,05 May 2013
61,Ajinkya Rahane,63,37,5,1,DC,Sawai Mansingh Stadium,07 May 2013
62,Darren Sammy,60,37,8,1,RR,Sawai Mansingh Stadium,27 April 2013
63,Chris Gayle,92,38,11,5,MI,M. Chinnaswamy Stadium,04 April 2013
64,Dwayne Smith,62,38,6,2,RR,Eden Gardens,24 May 2013
65,Shane Watson,98,39,13,4,SRH,Sawai Mansingh Stadium,27 April 2013
66,Mandeep Singh,77,39,7,0,PWI,IS Bindra Stadium,21 April 2013
67,Shaun Marsh,63,39,11,0,MI,HPCA Stadium,18 May 2013
68,Gautam Gambhir,59,39,7,1,RCB,M. Chinnaswamy Stadium,11 April 2013
69,Virat Kohli,57,39,6,2,PBKS,M. Chinnaswamy Stadium,14 May 2013
70,Gautam Gambhir,53,39,6,1,SRH,Eden Gardens,14 April 2013
71,Michael Hussey,86,40,10,2,MI,Arun Jaitley Stadium,21 May 2013
72,Chris Gayle,77,40,4,6,PBKS,M. Chinnaswamy Stadium,14 May 2013
73,Shikhar Dhawan,73,40,9,1,MI,Rajiv Gandhi Intl. Cricket Stadium,01 May 2013
74,Manish Pandey,66,40,8,1,KKR,JSCA Stadium,15 May 2013
75,Rahul Dravid,65,40,6,2,DC,Arun Jaitley Stadium,06 April 2013
76,Robin Uthappa,54,40,8,1,RR,Sawai Mansingh Stadium,05 May 2013
77,Adam Gilchrist,85,41,10,3,RCB,M. Chinnaswamy Stadium,14 May 2013
78,David Warner,77,41,9,1,RR,Arun Jaitley Stadium,06 April 2013
79,Michael Hussey,65,41,6,2,DC,Arun Jaitley Stadium,18 April 2013
80,MS Dhoni,63,41,3,5,MI,Eden Gardens,26 May 2013
81,Shikhar Dhawan,63,41,10,0,CSK,Chidambaram,25 April 2013
82,Rohit Sharma,74,42,4,5,DC,Wankhede Stadium,09 April 2013
83,Suresh Raina,63,42,5,1,PWI,Maharashtra Cricket Association's International Stadium,30 April 2013
84,Saurabh Tiwary,52,42,2,2,PWI,Maharashtra Cricket Association's International Stadium,02 May 2013
85,Manvinder Bisla,51,42,3,3,PBKS,Eden Gardens,26 April 2013
86,Manvinder Bisla,92,43,14,2,CSK,Chidambaram,28 April 2013
87,Ajinkya Rahane,59,43,3,3,PBKS,IS Bindra Stadium,09 May 2013
88,Virat Kohli,58,43,2,2,CSK,Chidambaram,13 April 2013
89,Biplap Samantray,55,43,6,1,RR,Rajiv Gandhi Intl. Cricket Stadium,17 May 2013
90,Sachin Tendulkar,54,43,3,2,DC,Arun Jaitley Stadium,21 April 2013
91,Rahul Dravid,54,43,8,0,PWI,Maharashtra Cricket Association's International Stadium,11 April 2013
92,Gautam Gambhir,50,43,6,0,PWI,Maharashtra Cricket Association's International Stadium,09 May 2013
93,Virat Kohli,99,44,10,4,DC,Arun Jaitley Stadium,10 May 2013
94,Shaun Marsh,77,44,6,2,RR,IS Bindra Stadium,09 May 2013
95,Parthiv Patel,61,44,5,2,PBKS,IS Bindra Stadium,11 May 2013
96,Rahul Dravid,53,45,7,0,DC,Sawai Mansingh Stadium,07 May 2013
97,Cheteshwar Pujara,51,45,8,0,PBKS,IS Bindra Stadium,06 May 2013
98,Ajinkya Rahane,68,46,8,1,MI,Sawai Mansingh Stadium,17 April 2013
99,Mahela Jayawardena,66,46,8,1,KKR,Eden Gardens,03 April 2013
100,Murali Vijay,55,49,6,0,RR,Sawai Mansingh Stadium,12 May 2013
101,Murali Vijay,50,50,3,1,PBKS,IS Bindra Stadium,10 April 2013
