POS,Player,Runs,BF,4s,6s,Against,Venue,Match Date
1,Nicholas Pooran,77,17,5,7,SRH,Dubai International Stadium,08 October 2020
2,Sanju Samson,74,19,1,9,CSK,Sharjah Cricket Stadium,22 September 2020
3,Kieron Pollard,60,20,3,5,RCB,Dubai International Stadium,28 September 2020
4,Hardik Pandya,60,20,2,7,RR,Zayed Cricket Stadium,25 October 2020
5,Marcus Stoinis,53,20,7,3,PBKS,Dubai International Stadium,20 September 2020
6,Dinesh Karthik,58,22,8,2,PBKS,Zayed Cricket Stadium,10 October 2020
7,AB de Villiers,55,22,1,6,RR,Dubai International Stadium,17 October 2020
8,AB de Villiers,73,23,5,6,KKR,Sharjah Cricket Stadium,12 October 2020
9,AB de Villiers,55,23,4,4,MI,Dubai International Stadium,28 September 2020
10,Priyam Garg,51,23,6,1,CSK,Dubai International Stadium,02 October 2020
11,Sunil Narine,64,24,6,4,DC,Zayed Cricket Stadium,24 October 2020
12,Marcus Stoinis,53,24,6,2,RCB,Dubai International Stadium,05 October 2020
13,Ben Stokes,50,24,6,3,PBKS,Zayed Cricket Stadium,30 October 2020
14,Quinton de Kock,78,25,9,3,KKR,Zayed Cricket Stadium,16 October 2020
15,David Warner,66,25,8,2,DC,Dubai International Stadium,27 October 2020
16,Chris Gayle,51,25,2,5,KKR,Sharjah Cricket Stadium,26 October 2020
17,Mayank Agarwal,106,26,10,7,RR,Sharjah Cricket Stadium,27 September 2020
18,Shreyas Iyer,88,26,7,6,KKR,Sharjah Cricket Stadium,03 October 2020
19,Shikhar Dhawan,78,26,6,2,SRH,Zayed Cricket Stadium,08 November 2020
20,Deepak Hooda,62,26,3,4,CSK,Zayed Cricket Stadium,01 November 2020
21,Steve Smith,50,26,7,2,PBKS,Sharjah Cricket Stadium,27 September 2020
22,Wriddhiman Saha,87,27,12,2,DC,Dubai International Stadium,27 October 2020
23,Sanju Samson,85,27,4,7,PBKS,Sharjah Cricket Stadium,27 September 2020
24,Sanju Samson,54,27,4,3,MI,Zayed Cricket Stadium,25 October 2020
25,Nicholas Pooran,53,27,6,3,DC,Dubai International Stadium,20 October 2020
26,Ben Stokes,107,28,14,3,MI,Zayed Cricket Stadium,25 October 2020
27,Shikhar Dhawan,106,28,12,3,PBKS,Dubai International Stadium,20 October 2020
28,Jonny Bairstow,97,28,7,6,PBKS,Dubai International Stadium,08 October 2020
29,Manish Pandey,83,28,4,8,RR,Dubai International Stadium,22 October 2020
30,Shikhar Dhawan,101,29,14,1,CSK,Sharjah Cricket Stadium,17 October 2020
31,Suryakumar Yadav,79,29,10,3,RCB,Zayed Cricket Stadium,28 October 2020
32,Faf du Plessis,72,29,1,7,RR,Sharjah Cricket Stadium,22 September 2020
33,Ishan Kishan,68,29,6,5,CSK,Sharjah Cricket Stadium,23 October 2020
34,AB de Villiers,51,29,4,2,SRH,Dubai International Stadium,21 September 2020
35,Devdutt Padikkal,74,30,12,1,MI,Zayed Cricket Stadium,28 October 2020
36,Eoin Morgan,68,30,5,6,RR,Dubai International Stadium,01 November 2020
37,Shikhar Dhawan,57,30,6,2,RR,Dubai International Stadium,14 October 2020
38,Steve Smith,57,30,6,1,RCB,Dubai International Stadium,17 October 2020
39,Ishan Kishan,55,30,4,3,DC,Dubai International Stadium,05 November 2020
40,Rahul Tewatia,53,30,0,7,PBKS,Sharjah Cricket Stadium,27 September 2020
41,Suryakumar Yadav,53,30,6,1,DC,Zayed Cricket Stadium,11 October 2020
42,Shane Watson,83,31,11,3,PBKS,Dubai International Stadium,04 October 2020
43,Rahul Tripathi,81,31,8,3,CSK,Zayed Cricket Stadium,07 October 2020
44,Aaron Finch,52,31,7,1,MI,Dubai International Stadium,28 September 2020
45,Quinton de Kock,67,32,4,4,SRH,Sharjah Cricket Stadium,04 October 2020
46,Nitish Rana,58,32,4,4,DC,Sharjah Cricket Stadium,03 October 2020
47,Chris Gayle,99,33,6,8,RR,Zayed Cricket Stadium,30 October 2020
48,Faf du Plessis,87,33,11,1,PBKS,Dubai International Stadium,04 October 2020
