POS,Player,Runs,BF,4s,6s,Against,Venue,Match Date
1,Chris Morris,82,17,4,8,GL,Arun Jaitley Stadium,27 April 2016
2,Kieron Pollard,51,17,2,6,KKR,Wankhede Stadium,28 April 2016
3,David Warner,58,21,4,5,RCB,M. Chinnaswamy Stadium,12 April 2016
4,Quinton de Kock,108,22,15,3,RCB,M. Chinnaswamy Stadium,17 April 2016
5,Krunal Pandya,86,22,7,6,DC,ACA-VDCA Stadium,15 May 2016
6,David Warner,59,23,7,3,PBKS,Rajiv Gandhi Intl. Cricket Stadium,23 April 2016
7,David Warner,69,24,8,3,RCB,M. Chinnaswamy Stadium,29 May 2016
8,Robin Uthappa,53,24,9,0,PBKS,IS Bindra Stadium,19 April 2016
9,AB de Villiers,129,25,10,12,GL,M. Chinnaswamy Stadium,14 May 2016
10,AB de Villiers,83,25,6,4,RPS,Maharashtra Cricket Association's International Stadium,22 April 2016
11,Chris Gayle,76,25,4,8,SRH,M. Chinnaswamy Stadium,29 May 2016
12,Rishabh Pant,69,25,9,2,GL,Saurashtra Cricket Association Stadium,03 May 2016
13,AB de Villiers,55,25,9,1,DC,M. Chinnaswamy Stadium,17 April 2016
14,AB de Villiers,82,26,7,6,SRH,M. Chinnaswamy Stadium,12 April 2016
15,Chris Gayle,73,26,4,8,PBKS,M. Chinnaswamy Stadium,18 May 2016
16,Dwayne Smith,53,26,5,3,DC,Arun Jaitley Stadium,27 April 2016
17,Manish Pandey,52,26,3,3,MI,Eden Gardens,13 April 2016
18,KL Rahul,51,26,6,1,SRH,Rajiv Gandhi Intl. Cricket Stadium,30 April 2016
19,Yusuf Pathan,60,27,6,3,RCB,M. Chinnaswamy Stadium,02 May 2016
20,Brendon McCullum,60,27,6,3,DC,Arun Jaitley Stadium,27 April 2016
21,Quinton de Kock,52,27,6,2,PBKS,IS Bindra Stadium,07 May 2016
22,Dinesh Karthik,51,27,8,1,KKR,Eden Gardens,08 May 2016
23,Virat Kohli,113,28,12,8,PBKS,M. Chinnaswamy Stadium,18 May 2016
24,Nitish Rana,70,28,7,4,GL,Green Park,21 May 2016
25,Dwayne Smith,63,28,9,1,RPS,Maharashtra Cricket Association's International Stadium,29 April 2016
26,Shikhar Dhawan,51,28,4,3,KKR,Eden Gardens,22 May 2016
27,Steve Smith,101,29,8,5,GL,Maharashtra Cricket Association's International Stadium,29 April 2016
28,David Warner,74,29,9,0,GL,Saurashtra Cricket Association Stadium,21 April 2016
29,Glenn Maxwell,68,29,6,4,KKR,Eden Gardens,04 May 2016
30,AB de Villiers,59,29,5,3,KKR,Eden Gardens,16 May 2016
31,Wriddhiman Saha,52,29,7,0,DC,IS Bindra Stadium,07 May 2016
32,KL Rahul,52,29,6,2,KKR,M. Chinnaswamy Stadium,02 May 2016
33,Gurkeerat Mann Singh,51,29,3,3,RPS,ACA-VDCA Stadium,21 May 2016
34,Hashim Amla,96,30,14,2,SRH,IS Bindra Stadium,15 May 2016
35,AB de Villiers,64,30,5,2,PBKS,IS Bindra Stadium,09 May 2016
36,MS Dhoni,64,30,4,5,PBKS,ACA-VDCA Stadium,21 May 2016
37,Suresh Raina,58,30,8,2,MI,Green Park,21 May 2016
38,Yusuf Pathan,52,30,3,2,SRH,Eden Gardens,22 May 2016
39,Virat Kohli,108,31,8,7,RPS,M. Chinnaswamy Stadium,07 May 2016
40,Dwayne Smith,73,31,5,6,RCB,M. Chinnaswamy Stadium,24 May 2016
41,Ambati Rayudu,65,31,4,4,PBKS,IS Bindra Stadium,25 April 2016
42,Yusuf Pathan,63,31,7,1,GL,Eden Gardens,08 May 2016
43,Manan Vohra,51,31,7,0,RPS,IS Bindra Stadium,17 April 2016
44,Aaron Finch,50,31,7,2,SRH,Arun Jaitley Stadium,27 May 2016
45,David Warner,92,32,9,5,RCB,Rajiv Gandhi Intl. Cricket Stadium,30 April 2016
46,Aaron Finch,74,32,12,0,PBKS,IS Bindra Stadium,11 April 2016
47,Ajinkya Rahane,66,32,7,3,MI,Wankhede Stadium,09 April 2016
48,Virat Kohli,54,32,5,2,SRH,M. Chinnaswamy Stadium,29 May 2016
49,Gautam Gambhir,51,32,7,0,RCB,Eden Gardens,16 May 2016
50,AB de Villiers,79,33,5,5,GL,M. Chinnaswamy Stadium,24 May 2016
51,Faf du Plessis,69,33,5,4,GL,Saurashtra Cricket Association Stadium,14 April 2016
52,Glenn Maxwell,56,33,5,1,MI,IS Bindra Stadium,25 April 2016
53,Sam Billings,54,33,3,2,KKR,Arun Jaitley Stadium,30 April 2016
54,Suresh Raina,53,33,7,1,KKR,Green Park,19 May 2016
55,Aaron Finch,50,33,7,2,RPS,Saurashtra Cricket Association Stadium,14 April 2016
56,Suresh Raina,75,34,9,0,SRH,Saurashtra Cricket Association Stadium,21 April 2016
57,Ajinkya Rahane,74,34,8,2,RCB,M. Chinnaswamy Stadium,07 May 2016
58,KL Rahul,51,34,4,3,GL,Saurashtra Cricket Association Stadium,24 April 2016
