POS,Player,Runs,BF,4s,6s,Against,Venue,Match Date
1,Robin Uthappa,51,19,4,4,PBKS,M. Chinnaswamy Stadium,16 March 2010
2,Yusuf Pathan,100,21,9,8,MI,Brabourne Stadium,13 March 2010
3,Virender Sehwag,75,21,8,5,RR,Narendra Modi Stadium,15 March 2010
4,Shane Watson,60,21,5,5,CSK,Chidambaram,03 April 2010
5,Virender Sehwag,74,22,10,3,CSK,Arun Jaitley Stadium,19 March 2010
6,Robin Uthappa,50,22,4,4,KKR,M. Chinnaswamy Stadium,10 April 2010
7,Yusuf Pathan,73,23,2,8,DEC,Narendra Modi Stadium,26 March 2010
8,Sachin Tendulkar,63,23,11,0,DC,Arun Jaitley Stadium,17 March 2010
9,Matthew Hayden,93,24,9,7,DC,Arun Jaitley Stadium,19 March 2010
10,Suresh Raina,78,24,11,3,KKR,Chidambaram,13 April 2010
11,Kevin Pietersen,62,24,10,2,RR,Sawai Mansingh Stadium,14 April 2010
12,Suresh Raina,57,24,3,3,MI,DY Patil Stadium,25 April 2010
13,Andrew Symonds,53,24,5,3,RCB,M. Chinnaswamy Stadium,08 April 2010
14,Irfan Pathan,60,25,3,5,DEC,Barabati Stadium,19 March 2010
15,David Warner,57,25,4,4,DEC,Barabati Stadium,21 March 2010
16,Mahela Jayawardena,110,26,14,3,KKR,Eden Gardens,04 April 2010
17,Albie Morkel,62,26,3,5,RR,Chidambaram,03 April 2010
18,Andrew Symonds,54,26,3,5,DC,Arun Jaitley Stadium,18 April 2010
19,Michael Lumb,83,28,16,2,PBKS,Sawai Mansingh Stadium,07 April 2010
20,MS Dhoni,66,28,6,3,KKR,Eden Gardens,16 March 2010
21,Ambati Rayudu,55,28,6,2,DEC,Brabourne Stadium,03 April 2010
22,Manoj Tiwary,50,28,6,2,RCB,Eden Gardens,14 March 2010
23,David Warner,107,29,9,5,KKR,Arun Jaitley Stadium,29 March 2010
24,Murali Vijay,78,29,4,6,RCB,Chidambaram,31 March 2010
25,Shane Watson,58,29,3,3,DEC,Vidarbha Cricket Association Stadium,05 April 2010
26,MS Dhoni,54,29,5,2,PBKS,HPCA Stadium,18 April 2010
27,Kedar Jadhav,50,29,5,2,RCB,M. Chinnaswamy Stadium,25 March 2010
28,Murali Vijay,127,30,8,11,RR,Chidambaram,03 April 2010
29,Naman Ojha,94,30,8,6,CSK,Chidambaram,03 April 2010
30,Chris Gayle,88,30,6,8,PBKS,Eden Gardens,04 April 2010
31,Dinesh Karthik,69,30,6,4,RR,Arun Jaitley Stadium,31 March 2010
32,Ambati Rayudu,55,30,6,2,RR,Brabourne Stadium,13 March 2010
33,Adam Gilchrist,54,30,3,3,KKR,DY Patil Stadium,12 March 2010
34,Saurabh Tiwary,53,30,4,2,RR,Brabourne Stadium,13 March 2010
35,Rohit Sharma,68,31,6,3,PBKS,HPCA Stadium,16 April 2010
36,Saurabh Tiwary,61,31,4,3,DC,Arun Jaitley Stadium,17 March 2010
37,Virat Kohli,58,31,4,4,DEC,M. Chinnaswamy Stadium,08 April 2010
38,Shikhar Dhawan,56,31,5,3,CSK,Brabourne Stadium,25 March 2010
39,Saurabh Tiwary,52,31,3,4,RCB,DY Patil Stadium,21 April 2010
40,Suresh Raina,83,32,7,3,MI,Brabourne Stadium,25 March 2010
41,Naman Ojha,80,32,6,5,CSK,Narendra Modi Stadium,28 March 2010
42,Rohit Sharma,73,33,8,2,RR,Vidarbha Cricket Association Stadium,05 April 2010
43,Robin Uthappa,68,33,3,6,CSK,M. Chinnaswamy Stadium,23 March 2010
44,Rahul Dravid,52,33,5,2,KKR,M. Chinnaswamy Stadium,10 April 2010
45,Virender Sehwag,64,34,6,3,KKR,Eden Gardens,07 April 2010
46,Andrew Symonds,53,34,3,3,PBKS,Barabati Stadium,19 March 2010
47,Sachin Tendulkar,71,35,10,0,KKR,Brabourne Stadium,22 March 2010
48,Jacques Kallis,68,35,9,1,DEC,M. Chinnaswamy Stadium,08 April 2010
49,Subramaniam Badrinath,53,35,7,2,PBKS,HPCA Stadium,18 April 2010
50,Manvinder Bisla,75,36,7,4,RCB,M. Chinnaswamy Stadium,16 March 2010
51,Kumar Sangakkara,52,36,9,1,DEC,HPCA Stadium,16 April 2010
52,Manoj Tiwary,75,37,8,2,PBKS,IS Bindra Stadium,27 March 2010
53,Paul Collingwood,75,37,3,7,RCB,Arun Jaitley Stadium,04 April 2010
54,Kevin Pietersen,66,37,7,1,PBKS,IS Bindra Stadium,02 April 2010
55,Tirumalasetti Suman,55,37,4,2,CSK,Vidarbha Cricket Association Stadium,10 April 2010
56,Shikhar Dhawan,50,37,6,0,PBKS,Brabourne Stadium,30 March 2010
57,Sourav Ganguly,50,37,6,1,PBKS,IS Bindra Stadium,27 March 2010
58,Angelo Mathews,65,38,5,4,DEC,DY Patil Stadium,12 March 2010
59,Jacques Kallis,54,38,5,1,DC,Arun Jaitley Stadium,04 April 2010
60,Suresh Raina,52,38,4,2,DEC,Vidarbha Cricket Association Stadium,10 April 2010
61,Paul Collingwood,51,38,1,3,DEC,Arun Jaitley Stadium,18 April 2010
62,Sourav Ganguly,88,39,9,5,DEC,Eden Gardens,01 April 2010
63,Sourav Ganguly,75,39,11,2,RR,Eden Gardens,17 April 2010
64,Kumar Sangakkara,56,39,6,1,MI,IS Bindra Stadium,09 April 2010
65,Gautam Gambhir,72,40,9,1,PBKS,IS Bindra Stadium,13 March 2010
66,Sachin Tendulkar,72,40,8,1,CSK,Brabourne Stadium,25 March 2010
67,Murali Vijay,50,40,4,2,KKR,Chidambaram,13 April 2010
68,Shaun Marsh,88,41,8,5,CSK,HPCA Stadium,18 April 2010
69,Ravi Bopara,56,41,7,1,DC,IS Bindra Stadium,13 March 2010
70,Sachin Tendulkar,55,41,9,0,DEC,DY Patil Stadium,28 March 2010
71,Subramaniam Badrinath,55,41,6,0,MI,Brabourne Stadium,25 March 2010
72,Jacques Kallis,52,41,7,0,CSK,Chidambaram,31 March 2010
73,Jacques Kallis,89,42,8,5,PBKS,M. Chinnaswamy Stadium,16 March 2010
74,Ravi Bopara,77,42,9,2,RCB,M. Chinnaswamy Stadium,16 March 2010
75,Shaun Marsh,57,42,6,1,MI,Brabourne Stadium,30 March 2010
76,Sourav Ganguly,56,42,8,1,DC,Eden Gardens,07 April 2010
77,Tirumalasetti Suman,78,43,6,3,RCB,M. Chinnaswamy Stadium,08 April 2010
78,Jacques Kallis,66,43,10,0,MI,Brabourne Stadium,20 March 2010
79,Owais Shah,58,43,3,3,DEC,DY Patil Stadium,12 March 2010
80,Paul Collingwood,53,43,3,2,KKR,Arun Jaitley Stadium,29 March 2010
81,Andrew Symonds,50,43,3,3,CSK,Chidambaram,14 March 2010
82,Herschelle Gibbs,50,43,5,1,KKR,Eden Gardens,01 April 2010
83,Rohit Sharma,51,44,7,0,RCB,Vidarbha Cricket Association Stadium,12 April 2010
84,Brad Hodge,50,44,7,0,RCB,Eden Gardens,14 March 2010
85,Sachin Tendulkar,89,45,10,2,RR,Sawai Mansingh Stadium,11 April 2010
86,Abhishek Jhunjhunwala,53,45,5,1,DC,Narendra Modi Stadium,15 March 2010
87,Chris Gayle,75,47,7,2,MI,Brabourne Stadium,22 March 2010
88,Jacques Kallis,65,47,7,1,KKR,Eden Gardens,14 March 2010
89,Mahela Jayawardena,93,49,13,2,DEC,HPCA Stadium,16 April 2010
90,Gautam Gambhir,57,51,5,0,CSK,Chidambaram,15 April 2010
91,Brendon McCullum,57,52,8,0,MI,Eden Gardens,19 April 2010
92,Parthiv Patel,57,53,4,2,PBKS,Chidambaram,21 March 2010
