POS,Player,Runs,BF,4s,6s,Against,Venue,Match Date
1,Adam Gilchrist,85,17,10,5,DC,Supersport Park,22 May 2009
2,Brendon McCullum,81,21,11,3,CSK,Supersport Park,18 May 2009
3,Matthew Hayden,65,22,9,2,RCB,St George's Park,20 April 2009
4,Matthew Hayden,57,22,5,3,DC,Kingsmead,23 April 2009
5,Ross Taylor,81,24,7,5,KKR,Supersport Park,12 May 2009
6,Adam Gilchrist,64,24,5,5,DC,Kingsmead,13 May 2009
7,MS Dhoni,56,24,7,2,PBKS,Supersport Park,07 May 2009
8,Simon Katich,50,24,3,4,CSK,Supersport Park,07 May 2009
9,Suresh Raina,98,26,10,5,RR,Supersport Park,30 April 2009
10,Graeme Smith,77,26,12,1,PBKS,Kingsmead,05 May 2009
11,Yusuf Pathan,62,26,3,6,DC,Supersport Park,28 April 2009
12,Sanath Jayasuriya,52,26,2,4,KKR,St George's Park,27 April 2009
13,Andrew Symonds,60,28,2,4,PBKS,De Beers Diamond Oval,09 May 2009
14,Yuvraj Singh,58,28,5,2,CSK,Supersport Park,07 May 2009
15,Rohit Sharma,52,28,1,5,RCB,Newlands,22 April 2009
16,Adam Gilchrist,71,31,6,5,RCB,Newlands,22 April 2009
17,Virat Kohli,50,31,7,0,DEC,Newlands,22 April 2009
18,Herschelle Gibbs,60,32,3,4,RCB,Supersport Park,21 May 2009
19,Yuvraj Singh,50,33,3,4,RCB,Kingsmead,01 May 2009
20,Sachin Tendulkar,68,34,6,4,KKR,St George's Park,27 April 2009
21,Matthew Hayden,60,34,5,3,RCB,Kingsmead,14 May 2009
22,Brad Hodge,71,35,4,4,CSK,Supersport Park,18 May 2009
23,Dwayne Bravo,70,35,7,3,PBKS,Supersport Park,12 May 2009
24,MS Dhoni,58,35,6,1,DEC,Buffalo Park,04 May 2009
25,Suresh Raina,52,35,3,3,KKR,Supersport Park,18 May 2009
26,Manish Pandey,114,36,10,4,DEC,Supersport Park,21 May 2009
27,Brad Hodge,70,36,10,1,PBKS,St George's Park,03 May 2009
28,Robin Uthappa,66,36,8,2,MI,New Wanderers Stadium,03 May 2009
29,JP Duminy,59,37,2,3,RCB,St George's Park,10 May 2009
30,Ajinkya Rahane,56,37,5,2,DC,Supersport Park,21 May 2009
31,JP Duminy,52,37,1,4,KKR,Buffalo Park,01 May 2009
32,Rob Quiney,51,37,5,2,MI,Kingsmead,14 May 2009
33,Jacques Kallis,62,38,5,2,PBKS,Kingsmead,24 April 2009
34,Subramaniam Badrinath,59,38,9,1,RR,De Beers Diamond Oval,09 May 2009
35,Herschelle Gibbs,58,38,6,2,MI,Kingsmead,25 April 2009
36,Kumar Sangakkara,56,38,4,1,DEC,New Wanderers Stadium,17 May 2009
37,Naman Ojha,52,38,3,3,RCB,Supersport Park,07 May 2009
38,Jacques Kallis,69,39,5,2,MI,New Wanderers Stadium,03 May 2009
39,Mahela Jayawardena,52,39,7,0,KKR,St George's Park,03 May 2009
40,Sanath Jayasuriya,52,39,6,1,RCB,New Wanderers Stadium,03 May 2009
41,Dwayne Bravo,50,40,1,2,RCB,New Wanderers Stadium,03 May 2009
42,Naman Ojha,68,41,5,5,PBKS,Kingsmead,05 May 2009
43,Rahul Dravid,66,42,8,1,RR,Newlands,18 April 2009
44,Ajinkya Rahane,62,43,4,1,RCB,St George's Park,10 May 2009
45,Matthew Hayden,89,44,8,6,PBKS,Supersport Park,07 May 2009
46,Brad Hodge,73,44,5,3,MI,Buffalo Park,01 May 2009
47,Sachin Tendulkar,59,45,7,0,CSK,Newlands,18 April 2009
48,JP Duminy,52,45,7,0,DEC,Supersport Park,06 May 2009
49,Ravi Bopara,84,46,4,5,RCB,Kingsmead,24 April 2009
50,Herschelle Gibbs,69,46,6,2,CSK,Kingsmead,27 April 2009
51,JP Duminy,62,46,4,2,CSK,St George's Park,16 May 2009
52,Kumar Sangakkara,60,47,7,1,RR,Newlands,26 April 2009
53,Herschelle Gibbs,53,47,3,2,RCB,New Wanderers Stadium,24 May 2009
54,Brendon McCullum,84,48,10,2,RCB,Supersport Park,12 May 2009
55,Matthew Hayden,60,51,4,1,MI,St George's Park,16 May 2009
56,Jacques Kallis,58,51,2,2,DC,New Wanderers Stadium,19 May 2009
57,JP Duminy,59,55,4,0,PBKS,Kingsmead,29 April 2009
