POS,Player,Runs,BF,4s,6s,Against,Venue,Match Date
1,Sunil Narine,54,15,6,4,RCB,M. Chinnaswamy Stadium,07 May 2017
2,Chris Lynn,93,19,6,8,GL,Saurashtra Cricket Association Stadium,07 April 2017
3,David Warner,126,20,10,8,KKR,Rajiv Gandhi Intl. Cricket Stadium,30 April 2017
4,Chris Lynn,50,21,5,4,RCB,M. Chinnaswamy Stadium,07 May 2017
5,Aaron Finch,72,22,5,6,RCB,M. Chinnaswamy Stadium,27 April 2017
6,Rahul Tripathi,93,23,9,7,KKR,Eden Gardens,03 May 2017
7,Chris Gayle,77,23,5,7,GL,Saurashtra Cricket Association Stadium,18 April 2017
8,Yuvraj Singh,62,23,7,3,RCB,Rajiv Gandhi Intl. Cricket Stadium,05 April 2017
9,Jos Buttler,77,24,7,5,PBKS,Holkar Cricket Stadium,20 April 2017
10,Sanju Samson,61,24,0,7,GL,Arun Jaitley Stadium,04 May 2017
11,Robin Uthappa,59,24,5,4,DC,Eden Gardens,28 April 2017
12,Kieron Pollard,50,24,1,5,PBKS,Wankhede Stadium,11 May 2017
13,Robin Uthappa,53,25,4,4,SRH,Rajiv Gandhi Intl. Cricket Stadium,30 April 2017
14,David Warner,51,25,4,4,PBKS,IS Bindra Stadium,28 April 2017
15,Robin Uthappa,87,26,7,6,RPS,Maharashtra Cricket Association's International Stadium,26 April 2017
16,Kedar Jadhav,69,26,5,5,DC,M. Chinnaswamy Stadium,08 April 2017
17,Moises Henriques,55,26,6,2,RPS,Maharashtra Cricket Association's International Stadium,22 April 2017
18,Kane Williamson,54,26,4,2,PBKS,IS Bindra Stadium,28 April 2017
19,Rishabh Pant,97,27,6,9,GL,Arun Jaitley Stadium,04 May 2017
20,Robin Uthappa,68,27,5,4,SRH,Eden Gardens,15 April 2017
21,Ishan Kishan,61,27,5,4,SRH,Green Park,13 May 2017
22,Ajinkya Rahane,60,27,6,3,MI,Maharashtra Cricket Association's International Stadium,06 April 2017
23,Lendl Simmons,59,27,5,4,PBKS,Wankhede Stadium,11 May 2017
24,Martin Guptill,50,27,6,3,DC,IS Bindra Stadium,30 April 2017
25,Dwayne Smith,74,28,8,4,PBKS,IS Bindra Stadium,07 May 2017
26,Dinesh Karthik,65,28,5,5,DC,Arun Jaitley Stadium,04 May 2017
27,Nitish Rana,50,28,5,3,KKR,Wankhede Stadium,09 April 2017
28,Chris Lynn,84,29,8,3,PBKS,IS Bindra Stadium,09 May 2017
29,Kieron Pollard,63,29,5,4,DC,Arun Jaitley Stadium,06 May 2017
30,Nitish Rana,62,29,0,7,PBKS,Holkar Cricket Stadium,20 April 2017
31,MS Dhoni,61,29,5,3,SRH,Maharashtra Cricket Association's International Stadium,22 April 2017
32,Brendon McCullum,72,30,2,7,RCB,Saurashtra Cricket Association Stadium,18 April 2017
33,Hashim Amla,65,30,9,2,GL,Saurashtra Cricket Association Stadium,23 April 2017
34,Ben Stokes,50,30,2,3,PBKS,Holkar Cricket Stadium,08 April 2017
35,Wriddhiman Saha,93,31,11,3,MI,Wankhede Stadium,11 May 2017
36,Shikhar Dhawan,77,31,9,1,PBKS,IS Bindra Stadium,28 April 2017
37,David Warner,76,31,6,4,GL,Rajiv Gandhi Intl. Cricket Stadium,09 April 2017
38,Dwayne Smith,54,31,7,2,SRH,Green Park,13 May 2017
39,Shreyas Iyer,50,31,5,2,SRH,Rajiv Gandhi Intl. Cricket Stadium,19 April 2017
40,Suresh Raina,84,32,9,4,KKR,Eden Gardens,21 April 2017
41,Suresh Raina,77,32,5,4,DC,Arun Jaitley Stadium,04 May 2017
42,Parthiv Patel,70,32,9,1,GL,Saurashtra Cricket Association Stadium,29 April 2017
43,Aaron Finch,69,32,6,4,DC,Green Park,10 May 2017
44,Ambati Rayudu,63,32,6,3,KKR,Eden Gardens,13 May 2017
45,Sanju Samson,60,32,4,3,KKR,Eden Gardens,28 April 2017
46,Rahul Tripathi,59,32,6,3,SRH,Maharashtra Cricket Association's International Stadium,22 April 2017
47,Hashim Amla,58,32,4,3,RCB,Holkar Cricket Stadium,10 April 2017
48,Nitish Rana,53,32,4,2,GL,Wankhede Stadium,16 April 2017
49,Shreyas Iyer,96,33,15,2,GL,Green Park,10 May 2017
50,Kane Williamson,89,33,6,5,DC,Rajiv Gandhi Intl. Cricket Stadium,19 April 2017
51,Gautam Gambhir,76,33,12,0,GL,Saurashtra Cricket Association Stadium,07 April 2017
52,Rohit Sharma,58,33,6,3,RPS,Wankhede Stadium,24 April 2017
53,Rishabh Pant,57,33,3,4,RCB,M. Chinnaswamy Stadium,08 April 2017
54,Hashim Amla,104,34,8,6,MI,Holkar Cricket Stadium,20 April 2017
55,AB de Villiers,89,34,3,9,PBKS,Holkar Cricket Stadium,10 April 2017
56,Gautam Gambhir,72,34,11,0,PBKS,Eden Gardens,13 April 2017
57,Yuvraj Singh,70,34,11,1,DC,Arun Jaitley Stadium,02 May 2017
58,Rohit Sharma,67,34,6,2,SRH,Rajiv Gandhi Intl. Cricket Stadium,08 May 2017
59,Yusuf Pathan,59,34,6,2,DC,Arun Jaitley Stadium,17 April 2017
60,Rohit Sharma,56,34,6,1,RCB,Wankhede Stadium,01 May 2017
61,Moises Henriques,52,34,3,2,RCB,Rajiv Gandhi Intl. Cricket Stadium,05 April 2017
62,Hashim Amla,104,35,8,5,GL,IS Bindra Stadium,07 May 2017
63,Manan Vohra,95,35,9,5,SRH,Rajiv Gandhi Intl. Cricket Stadium,17 April 2017
64,Robin Uthappa,72,35,8,2,GL,Eden Gardens,21 April 2017
65,Vijay Shankar,63,35,9,0,GL,Green Park,13 May 2017
66,Gautam Gambhir,62,35,6,1,RPS,Maharashtra Cricket Association's International Stadium,26 April 2017
67,Dinesh Karthik,58,35,6,0,PBKS,Saurashtra Cricket Association Stadium,23 April 2017
68,Steve Smith,51,35,4,1,KKR,Maharashtra Cricket Association's International Stadium,26 April 2017
69,Shaun Marsh,84,36,14,2,SRH,IS Bindra Stadium,28 April 2017
70,Brendon McCullum,64,36,6,3,MI,Wankhede Stadium,16 April 2017
71,Shikhar Dhawan,62,36,4,2,MI,Rajiv Gandhi Intl. Cricket Stadium,08 May 2017
72,Sam Billings,55,36,9,0,PBKS,Arun Jaitley Stadium,15 April 2017
73,Steve Smith,84,37,7,3,MI,Maharashtra Cricket Association's International Stadium,06 April 2017
74,Manish Pandey,81,37,5,5,MI,Wankhede Stadium,09 April 2017
75,Manish Pandey,69,37,4,3,DC,Arun Jaitley Stadium,17 April 2017
76,Lendl Simmons,66,37,5,4,DC,Arun Jaitley Stadium,06 May 2017
77,Karun Nair,64,37,9,0,RPS,Arun Jaitley Stadium,12 May 2017
78,Shaun Marsh,58,37,6,0,GL,IS Bindra Stadium,07 May 2017
79,Parthiv Patel,52,37,3,3,RPS,Wankhede Stadium,16 May 2017
80,Ben Stokes,103,38,7,6,GL,Maharashtra Cricket Association's International Stadium,01 May 2017
81,Moises Henriques,52,38,6,0,GL,Rajiv Gandhi Intl. Cricket Stadium,09 April 2017
82,Gautam Gambhir,71,39,11,0,DC,Eden Gardens,28 April 2017
83,Virat Kohli,62,39,5,2,MI,M. Chinnaswamy Stadium,14 April 2017
84,Virat Kohli,58,39,3,3,DC,Arun Jaitley Stadium,14 May 2017
85,Ajinkya Rahane,56,39,5,1,MI,Wankhede Stadium,16 May 2017
86,Shikhar Dhawan,70,40,7,1,DC,Rajiv Gandhi Intl. Cricket Stadium,19 April 2017
87,Manoj Tiwary,60,40,5,3,DC,Arun Jaitley Stadium,12 May 2017
88,Chris Morris,52,40,5,1,MI,Wankhede Stadium,22 April 2017
89,Sanju Samson,102,41,8,5,RPS,Maharashtra Cricket Association's International Stadium,11 April 2017
90,Travis Head,75,41,3,5,KKR,M. Chinnaswamy Stadium,07 May 2017
91,Kieron Pollard,70,41,3,5,RCB,M. Chinnaswamy Stadium,14 April 2017
92,David Warner,69,41,9,0,GL,Green Park,13 May 2017
93,Suresh Raina,68,41,7,0,KKR,Saurashtra Cricket Association Stadium,07 April 2017
94,Mandeep Singh,52,41,4,1,KKR,M. Chinnaswamy Stadium,07 May 2017
95,Virat Kohli,55,42,4,1,RPS,Maharashtra Cricket Association's International Stadium,29 April 2017
96,Saurabh Tiwary,52,42,9,0,KKR,Eden Gardens,13 May 2017
97,Virat Kohli,64,43,7,1,GL,Saurashtra Cricket Association Stadium,18 April 2017
98,David Warner,70,45,7,2,PBKS,Rajiv Gandhi Intl. Cricket Stadium,17 April 2017
99,Manoj Tiwary,58,45,4,2,MI,Wankhede Stadium,16 May 2017
100,Steve Smith,51,49,2,2,MI,Rajiv Gandhi Intl. Cricket Stadium,21 May 2017
