POS,Player,Runs,BF,4s,6s,Against,Venue,Match Date
1,Yusuf Pathan,72,15,5,7,SRH,Eden Gardens,24 May 2014
2,Suresh Raina,87,16,12,6,PBKS,Wankhede Stadium,30 May 2014
3,David Miller,51,19,0,6,RR,Sharjah Cricket Stadium,20 April 2014
4,Virender Sehwag,122,21,12,8,CSK,Wankhede Stadium,30 May 2014
5,Glenn Maxwell,95,21,5,9,SRH,Sharjah Cricket Stadium,22 April 2014
6,Glenn Maxwell,90,22,6,8,CSK,Barabati Stadium,07 May 2014
7,Wriddhiman Saha,54,22,8,2,SRH,Rajiv Gandhi Intl. Cricket Stadium,14 May 2014
8,Faf du Plessis,52,22,7,1,PBKS,Barabati Stadium,07 May 2014
9,AB de Villiers,89,23,6,8,SRH,M. Chinnaswamy Stadium,04 May 2014
10,David Miller,66,23,8,3,RCB,M. Chinnaswamy Stadium,09 May 2014
11,Yuvraj Singh,83,24,7,7,RR,M. Chinnaswamy Stadium,11 May 2014
12,Yuvraj Singh,68,24,1,9,DC,M. Chinnaswamy Stadium,13 May 2014
13,Glenn Maxwell,95,25,15,2,CSK,Zayed Cricket Stadium,18 April 2014
14,Corey Anderson,95,25,9,6,RR,Wankhede Stadium,25 May 2014
15,David Warner,90,25,12,3,CSK,JSCA Stadium,22 May 2014
16,AB de Villiers,53,25,1,5,PBKS,M. Chinnaswamy Stadium,09 May 2014
17,Karun Nair,50,26,7,2,MI,Wankhede Stadium,25 May 2014
18,Lendl Simmons,100,27,14,2,PBKS,IS Bindra Stadium,21 May 2014
19,Dwayne Smith,50,27,6,3,RR,Dubai International Stadium,23 April 2014
20,Glenn Maxwell,89,28,8,6,RR,Sharjah Cricket Stadium,20 April 2014
21,Michael Hussey,56,28,7,2,DC,Wankhede Stadium,23 May 2014
22,Yuvraj Singh,52,28,3,5,DC,Sharjah Cricket Stadium,17 April 2014
23,Shane Watson,50,28,5,3,PBKS,Sharjah Cricket Stadium,20 April 2014
24,Wriddhiman Saha,115,29,10,8,KKR,M. Chinnaswamy Stadium,01 June 2014
25,Naman Ojha,79,29,4,7,PBKS,Rajiv Gandhi Intl. Cricket Stadium,14 May 2014
26,Robin Uthappa,67,29,10,1,CSK,Eden Gardens,20 May 2014
27,Suresh Raina,54,29,4,2,MI,Brabourne Stadium,28 May 2014
28,Brendon McCullum,67,30,4,5,PBKS,Zayed Cricket Stadium,18 April 2014
29,AB de Villiers,58,30,1,5,RR,M. Chinnaswamy Stadium,11 May 2014
30,David Warner,55,30,6,2,MI,Rajiv Gandhi Intl. Cricket Stadium,12 May 2014
31,Manish Pandey,94,31,7,6,PBKS,M. Chinnaswamy Stadium,01 June 2014
32,Rohit Sharma,59,31,3,4,RCB,Wankhede Stadium,06 May 2014
33,Shakib Al Hasan,60,32,5,3,RCB,Eden Gardens,22 May 2014
34,Michael Hussey,56,32,3,2,RR,Narendra Modi Stadium,19 May 2014
35,Brendon McCullum,56,32,5,2,KKR,JSCA Stadium,02 May 2014
36,David Miller,54,32,3,3,CSK,Zayed Cricket Stadium,18 April 2014
37,Gautam Gambhir,54,32,6,1,RR,Narendra Modi Stadium,05 May 2014
38,Sanju Samson,52,32,3,4,PBKS,Sharjah Cricket Stadium,20 April 2014
39,David Hussey,50,33,5,2,SRH,JSCA Stadium,22 May 2014
40,Robin Uthappa,83,34,10,1,RCB,Eden Gardens,22 May 2014
41,Robin Uthappa,80,34,9,3,MI,Barabati Stadium,14 May 2014
42,Ambati Rayudu,68,34,7,2,SRH,Rajiv Gandhi Intl. Cricket Stadium,12 May 2014
43,Virat Kohli,67,34,4,4,SRH,Rajiv Gandhi Intl. Cricket Stadium,20 May 2014
44,Kevin Pietersen,58,34,9,0,PBKS,IS Bindra Stadium,25 May 2014
45,Karun Nair,56,34,8,0,RCB,M. Chinnaswamy Stadium,11 May 2014
46,Virender Sehwag,72,35,11,1,KKR,Barabati Stadium,11 May 2014
47,Dinesh Karthik,69,35,7,3,PBKS,Arun Jaitley Stadium,19 May 2014
48,Suresh Raina,62,35,6,1,RCB,JSCA Stadium,18 May 2014
49,JP Duminy,52,35,3,3,KKR,Dubai International Stadium,19 April 2014
50,Shane Watson,51,35,3,4,CSK,JSCA Stadium,13 May 2014
51,Dinesh Karthik,51,35,4,3,CSK,Arun Jaitley Stadium,05 May 2014
52,Sanju Samson,74,36,7,3,MI,Wankhede Stadium,25 May 2014
53,Brendon McCullum,71,36,8,2,MI,Dubai International Stadium,25 April 2014
54,Lendl Simmons,67,36,5,4,CSK,Brabourne Stadium,28 May 2014
55,Dinesh Karthik,56,36,5,2,KKR,Dubai International Stadium,19 April 2014
56,Suresh Raina,56,36,5,1,DC,Zayed Cricket Stadium,21 April 2014
57,Aaron Finch,88,37,8,4,DC,Dubai International Stadium,25 April 2014
58,Kieron Pollard,78,37,3,6,SRH,Dubai International Stadium,30 April 2014
59,Jacques Kallis,72,37,5,3,MI,Zayed Cricket Stadium,16 April 2014
60,Dwayne Smith,66,37,4,5,SRH,Sharjah Cricket Stadium,27 April 2014
61,Dwayne Smith,66,37,6,3,PBKS,Zayed Cricket Stadium,18 April 2014
62,Dwayne Smith,79,38,4,8,DC,Arun Jaitley Stadium,05 May 2014
63,Gautam Gambhir,63,38,7,0,PBKS,Barabati Stadium,11 May 2014
64,Ambati Rayudu,59,38,2,4,CSK,Wankhede Stadium,10 May 2014
65,Robin Uthappa,55,38,6,1,DC,Dubai International Stadium,19 April 2014
