POS,Player,Runs,BF,4s,6s,Against,Venue,Match Date
1,Owais Shah,60,19,5,5,RCB,M. Chinnaswamy Stadium,15 April 2012
2,Virender Sehwag,73,20,12,1,RR,Sawai Mansingh Stadium,01 May 2012
3,MS Dhoni,51,20,6,2,MI,M. Chinnaswamy Stadium,23 May 2012
4,AB de Villiers,59,21,3,5,RR,Sawai Mansingh Stadium,23 April 2012
5,Ross Taylor,55,22,7,2,RCB,Arun Jaitley Stadium,17 May 2012
6,JP Duminy,58,24,3,5,RR,Sawai Mansingh Stadium,17 April 2012
7,Chris Gayle,57,24,3,6,PWI,Maharashtra Cricket Association's International Stadium,11 May 2012
8,David Warner,79,25,10,4,PBKS,HPCA Stadium,19 May 2012
9,Kevin Pietersen,50,25,6,3,MI,Arun Jaitley Stadium,27 April 2012
10,David Warner,109,26,10,7,DEC,Rajiv Gandhi Intl. Cricket Stadium,10 May 2012
11,Mayank Agarwal,64,26,6,4,MI,M. Chinnaswamy Stadium,14 May 2012
12,Shane Watson,58,26,6,4,PWI,Sawai Mansingh Stadium,13 May 2012
13,Shane Watson,90,27,10,4,PWI,Maharashtra Cricket Association's International Stadium,08 May 2012
14,Manvinder Bisla,89,27,8,5,CSK,Chidambaram,27 May 2012
15,Suresh Raina,73,27,3,5,KKR,Chidambaram,27 May 2012
16,Chris Gayle,68,27,2,6,CSK,Chidambaram,12 April 2012
17,David Hussey,65,27,4,5,DEC,IS Bindra Stadium,13 May 2012
18,Virender Sehwag,57,27,5,4,PWI,Arun Jaitley Stadium,21 April 2012
19,Murali Vijay,113,28,15,4,DC,Chidambaram,25 May 2012
20,Gautam Gambhir,93,28,9,5,RCB,Eden Gardens,28 April 2012
21,Virender Sehwag,87,28,10,3,PWI,Maharashtra Cricket Association's International Stadium,24 April 2012
22,Gautam Gambhir,64,28,9,1,RCB,M. Chinnaswamy Stadium,10 April 2012
23,Rohit Sharma,109,29,12,5,KKR,Eden Gardens,12 May 2012
24,Tillakaratne Dilshan,71,29,8,2,DEC,M. Chinnaswamy Stadium,06 May 2012
25,Kieron Pollard,64,29,6,4,RR,Wankhede Stadium,11 April 2012
26,Ambati Rayudu,62,29,5,3,DC,Arun Jaitley Stadium,27 April 2012
27,Rohit Sharma,50,29,3,3,PBKS,IS Bindra Stadium,25 April 2012
28,Virender Sehwag,73,30,8,4,MI,Arun Jaitley Stadium,27 April 2012
29,David Hussey,68,30,4,4,MI,IS Bindra Stadium,25 April 2012
30,Gautam Gambhir,56,30,4,2,PWI,Eden Gardens,05 May 2012
31,Mandeep Singh,75,31,8,3,DEC,Rajiv Gandhi Intl. Cricket Stadium,08 May 2012
32,Gautam Gambhir,62,31,6,3,CSK,Eden Gardens,14 May 2012
33,Mahela Jayawardena,55,31,4,2,CSK,Chidambaram,25 May 2012
34,Kieron Pollard,52,31,5,3,RCB,M. Chinnaswamy Stadium,14 May 2012
35,Owais Shah,76,32,5,5,MI,Wankhede Stadium,11 April 2012
36,Sachin Tendulkar,74,32,11,1,CSK,Wankhede Stadium,06 May 2012
37,Chris Gayle,71,32,6,4,PBKS,M. Chinnaswamy Stadium,02 May 2012
38,Faf du Plessis,71,32,5,4,RCB,Chidambaram,12 April 2012
39,Jesse Ryder,86,33,7,4,DC,Arun Jaitley Stadium,21 April 2012
40,Robin Uthappa,69,33,9,2,RCB,M. Chinnaswamy Stadium,17 April 2012
41,Shaun Marsh,68,33,5,3,MI,Wankhede Stadium,22 April 2012
42,Cameron White,65,33,7,2,DC,Rajiv Gandhi Intl. Cricket Stadium,10 May 2012
43,Virender Sehwag,63,33,8,2,RR,Arun Jaitley Stadium,29 April 2012
44,Dwayne Smith,87,34,10,3,RR,Sawai Mansingh Stadium,20 May 2012
45,Faf du Plessis,73,34,6,2,RR,Chidambaram,21 April 2012
46,Rahul Dravid,58,34,8,0,RCB,Sawai Mansingh Stadium,23 April 2012
47,Richard Levi,50,34,6,3,CSK,Chidambaram,04 April 2012
48,Nitin Saini,50,34,5,0,RCB,M. Chinnaswamy Stadium,02 May 2012
49,Cameron White,78,35,6,5,PWI,Maharashtra Cricket Association's International Stadium,26 April 2012
50,Cameron White,67,35,8,1,PBKS,IS Bindra Stadium,13 May 2012
51,Rahul Dravid,57,35,7,0,DC,Sawai Mansingh Stadium,01 May 2012
52,Michael Hussey,56,35,4,4,KKR,Eden Gardens,14 May 2012
53,Chris Gayle,82,36,5,6,MI,Wankhede Stadium,09 May 2012
54,Jesse Ryder,73,36,7,1,CSK,Maharashtra Cricket Association's International Stadium,14 April 2012
55,Shikhar Dhawan,71,36,4,3,PBKS,IS Bindra Stadium,13 May 2012
56,Gautam Gambhir,66,36,7,1,PBKS,IS Bindra Stadium,18 April 2012
57,AB de Villiers,52,36,6,0,PBKS,IS Bindra Stadium,20 April 2012
58,Chris Gayle,128,37,7,13,DC,Arun Jaitley Stadium,17 May 2012
59,Ajinkya Rahane,98,37,16,1,PBKS,Sawai Mansingh Stadium,06 April 2012
60,Shikhar Dhawan,84,37,9,5,DC,Rajiv Gandhi Intl. Cricket Stadium,10 May 2012
61,AB de Villiers,64,37,6,2,DC,M. Chinnaswamy Stadium,07 April 2012
62,Rohit Sharma,60,37,6,2,CSK,Wankhede Stadium,06 May 2012
63,Shikhar Dhawan,52,37,8,0,RR,Sawai Mansingh Stadium,17 April 2012
64,Kumar Sangakkara,82,38,10,2,PWI,Barabati Stadium,01 May 2012
65,Chris Gayle,81,38,4,8,PWI,M. Chinnaswamy Stadium,17 April 2012
66,James Franklin,79,38,6,4,PBKS,Wankhede Stadium,22 April 2012
67,Cameron White,74,38,4,4,PWI,Barabati Stadium,01 May 2012
68,Naman Ojha,64,38,2,5,DEC,Rajiv Gandhi Intl. Cricket Stadium,10 May 2012
69,Michael Hussey,54,38,4,2,KKR,Chidambaram,27 May 2012
70,Cameron White,77,39,9,2,CSK,Chidambaram,04 May 2012
71,Shikhar Dhawan,73,39,10,1,RCB,M. Chinnaswamy Stadium,06 May 2012
72,Jacques Kallis,69,39,7,1,CSK,Chidambaram,27 May 2012
73,Mahela Jayawardena,55,39,8,0,MI,Arun Jaitley Stadium,27 April 2012
74,Ajinkya Rahane,84,40,9,1,DC,Arun Jaitley Stadium,29 April 2012
75,Manish Pandey,80,40,7,3,DC,Maharashtra Cricket Association's International Stadium,24 April 2012
76,Ajinkya Rahane,61,40,7,0,PWI,Sawai Mansingh Stadium,13 May 2012
77,Brendon McCullum,56,40,7,0,DC,Arun Jaitley Stadium,07 May 2012
78,Tillakaratne Dilshan,53,40,6,1,PWI,Maharashtra Cricket Association's International Stadium,11 May 2012
79,Owais Shah,52,40,4,3,CSK,Chidambaram,21 April 2012
80,Ajinkya Rahane,103,41,12,5,RCB,M. Chinnaswamy Stadium,15 April 2012
81,Chris Gayle,87,41,8,4,PBKS,IS Bindra Stadium,20 April 2012
82,Ambati Rayudu,81,41,6,4,RCB,M. Chinnaswamy Stadium,14 May 2012
83,Rohit Sharma,73,41,4,5,DEC,ACA-VDCA Stadium,09 April 2012
84,Virat Kohli,73,41,9,1,DC,Arun Jaitley Stadium,17 May 2012
85,Kevin Pietersen,103,42,6,9,DEC,Arun Jaitley Stadium,19 April 2012
86,Chris Gayle,86,42,7,6,KKR,Eden Gardens,28 April 2012
87,Adam Gilchrist,64,42,9,2,CSK,HPCA Stadium,17 May 2012
88,Manoj Tiwary,59,42,7,0,RR,Sawai Mansingh Stadium,08 April 2012
89,Faf du Plessis,58,42,4,2,PWI,Chidambaram,19 April 2012
90,Subramaniam Badrinath,57,42,8,0,PWI,Chidambaram,19 April 2012
91,Tillakaratne Dilshan,76,43,10,1,RR,Sawai Mansingh Stadium,23 April 2012
92,JP Duminy,74,43,4,5,RCB,Rajiv Gandhi Intl. Cricket Stadium,20 May 2012
93,Gautam Gambhir,63,43,6,1,CSK,Chidambaram,30 April 2012
94,Virat Kohli,57,43,5,2,CSK,Chidambaram,12 April 2012
95,Sachin Tendulkar,58,44,6,0,RR,Sawai Mansingh Stadium,20 May 2012
96,Mandeep Singh,56,44,5,1,CSK,Chidambaram,28 April 2012
97,Jacques Kallis,79,45,7,3,MI,Eden Gardens,12 May 2012
98,Herschelle Gibbs,66,48,7,2,KKR,Eden Gardens,12 May 2012
99,Mahela Jayawardena,56,48,8,0,PBKS,Arun Jaitley Stadium,15 May 2012
100,Shaun Marsh,64,49,7,1,PWI,IS Bindra Stadium,12 April 2012
101,Shikhar Dhawan,50,49,4,1,KKR,Barabati Stadium,22 April 2012
102,Robin Uthappa,60,52,6,0,DC,Maharashtra Cricket Association's International Stadium,24 April 2012
