POS,Player,Runs,BF,4s,6s,Against,Venue,Match Date
1,KL Rahul,51,14,6,4,DC,IS Bindra Stadium,08 April 2018
2,Ishan Kishan,62,17,5,6,KKR,Eden Gardens,09 May 2018
3,Sunil Narine,50,17,4,5,RCB,Eden Gardens,08 April 2018
4,Jos Buttler,67,18,4,7,DC,Arun Jaitley Stadium,02 May 2018
5,Sam Billings,56,21,2,5,KKR,Chidambaram,10 April 2018
6,KL Rahul,66,22,2,7,KKR,Holkar Cricket Stadium,12 May 2018
7,Chris Gayle,63,22,7,4,CSK,IS Bindra Stadium,15 April 2018
8,MS Dhoni,51,22,2,5,DC,Maharashtra Cricket Association's International Stadium,30 April 2018
9,Kieron Pollard,50,22,5,3,PBKS,Wankhede Stadium,16 May 2018
10,Dinesh Karthik,50,22,5,3,PBKS,Holkar Cricket Stadium,12 May 2018
11,Rishabh Pant,69,23,7,5,RR,Arun Jaitley Stadium,02 May 2018
12,AB de Villiers,68,23,2,8,CSK,M. Chinnaswamy Stadium,25 April 2018
13,AB de Villiers,90,24,10,5,DC,M. Chinnaswamy Stadium,21 April 2018
14,KL Rahul,60,24,9,2,KKR,Eden Gardens,21 April 2018
15,Shane Watson,78,25,4,7,DC,Maharashtra Cricket Association's International Stadium,30 April 2018
16,Dwayne Bravo,68,25,3,7,MI,Wankhede Stadium,07 April 2018
17,Moeen Ali,65,25,2,6,SRH,M. Chinnaswamy Stadium,17 May 2018
18,Prithvi Shaw,65,25,6,3,SRH,Rajiv Gandhi Intl. Cricket Stadium,05 May 2018
19,Karun Nair,54,25,3,5,CSK,Maharashtra Cricket Association's International Stadium,20 May 2018
20,Jos Buttler,95,26,11,2,CSK,Sawai Mansingh Stadium,11 May 2018
21,Andre Russell,88,26,1,11,CSK,Chidambaram,10 April 2018
22,Sunil Narine,75,26,9,4,PBKS,Holkar Cricket Stadium,12 May 2018
23,Virat Kohli,70,26,7,3,DC,Arun Jaitley Stadium,12 May 2018
24,Virat Kohli,57,26,7,2,RR,M. Chinnaswamy Stadium,15 April 2018
25,Jason Roy,91,27,6,6,MI,Wankhede Stadium,14 April 2018
26,Jos Buttler,82,27,9,1,PBKS,Sawai Mansingh Stadium,08 May 2018
27,Ambati Rayudu,79,27,9,4,SRH,Rajiv Gandhi Intl. Cricket Stadium,22 April 2018
28,Rishabh Pant,61,27,5,4,RCB,Arun Jaitley Stadium,12 May 2018
29,Shane Watson,106,28,9,6,RR,Maharashtra Cricket Association's International Stadium,20 April 2018
30,Kane Williamson,81,28,7,5,RCB,M. Chinnaswamy Stadium,17 May 2018
31,AB de Villiers,72,28,4,6,DC,Arun Jaitley Stadium,12 May 2018
32,Chris Gayle,62,28,5,6,KKR,Eden Gardens,21 April 2018
33,Vijay Shankar,54,28,1,5,CSK,Maharashtra Cricket Association's International Stadium,30 April 2018
34,Ambati Rayudu,50,28,4,4,DC,Arun Jaitley Stadium,18 May 2018
35,Shreyas Iyer,93,29,3,10,KKR,Arun Jaitley Stadium,27 April 2018
36,Suryakumar Yadav,72,29,6,3,RR,Sawai Mansingh Stadium,22 April 2018
37,MS Dhoni,70,29,1,7,RCB,M. Chinnaswamy Stadium,25 April 2018
38,Suryakumar Yadav,53,29,7,1,DC,Wankhede Stadium,14 April 2018
39,Shreyas Iyer,52,29,4,3,RCB,M. Chinnaswamy Stadium,21 April 2018
40,Shikhar Dhawan,92,30,9,4,DC,Arun Jaitley Stadium,10 May 2018
