POS,Player,Runs,BF,4s,6s,Against,Venue,Match Date
1,Paul Valthaty,120,23,19,2,CSK,IS Bindra Stadium,13 April 2011
2,Dinesh Karthik,69,24,7,5,KTK,Holkar Cricket Stadium,13 May 2011
3,Jesse Ryder,60,24,5,5,DC,DY Patil Stadium,17 April 2011
4,Sunny Sohal,56,24,6,4,CSK,Chidambaram,01 May 2011
5,Adam Gilchrist,106,25,8,9,RCB,HPCA Stadium,17 May 2011
6,Virender Sehwag,119,27,13,6,DEC,Rajiv Gandhi Intl. Cricket Stadium,05 May 2011
7,Shaun Marsh,95,27,9,6,DC,Arun Jaitley Stadium,23 April 2011
8,Chris Gayle,89,27,9,5,MI,Chidambaram,27 May 2011
9,Chris Gayle,107,28,10,9,PBKS,M. Chinnaswamy Stadium,06 May 2011
10,Virender Sehwag,77,28,8,4,PBKS,Arun Jaitley Stadium,23 April 2011
11,Gautam Gambhir,75,28,11,1,RR,Sawai Mansingh Stadium,15 April 2011
12,MS Dhoni,63,28,5,4,DC,Chidambaram,12 May 2011
13,Chris Gayle,102,29,10,7,KKR,Eden Gardens,22 April 2011
14,Murali Vijay,95,29,4,6,RCB,Chidambaram,28 May 2011
15,David Warner,77,29,7,4,PBKS,Arun Jaitley Stadium,23 April 2011
16,Shaun Marsh,71,29,6,3,RR,IS Bindra Stadium,21 April 2011
17,Bharat Chipli,61,29,5,3,RCB,Rajiv Gandhi Intl. Cricket Stadium,14 April 2011
18,Ambati Rayudu,53,29,3,4,KTK,Wankhede Stadium,15 April 2011
19,Aiden Blizzard,51,29,7,2,KKR,Wankhede Stadium,25 May 2011
20,Shane Watson,89,30,9,6,MI,Wankhede Stadium,20 May 2011
21,Mahela Jayawardena,76,30,8,2,PBKS,Holkar Cricket Stadium,13 May 2011
22,Yuvraj Singh,66,30,4,5,DC,DY Patil Stadium,17 April 2011
23,Adam Gilchrist,61,30,5,3,DEC,Rajiv Gandhi Intl. Cricket Stadium,16 April 2011
24,Mahela Jayawardena,56,30,9,0,MI,Wankhede Stadium,15 April 2011
25,JP Duminy,55,30,2,4,DC,Rajiv Gandhi Intl. Cricket Stadium,05 May 2011
26,Tillakaratne Dilshan,52,30,8,1,KTK,M. Chinnaswamy Stadium,08 May 2011
