POS,Player,Runs,BF,4s,6s,Against,Venue,Match Date
1,Hardik Pandya,91,17,6,9,KKR,Eden Gardens,28 April 2019
2,Rishabh Pant,78,18,7,7,MI,Wankhede Stadium,24 March 2019
3,KL Rahul,71,19,7,5,CSK,IS Bindra Stadium,05 May 2019
4,Andre Russell,65,21,2,9,RCB,Eden Gardens,19 April 2019
5,Kieron Pollard,83,22,3,10,PBKS,Wankhede Stadium,10 April 2019
6,Andre Russell,62,23,4,6,DC,Arun Jaitley Stadium,30 March 2019
7,Sam Curran,55,23,7,2,KKR,IS Bindra Stadium,03 May 2019
8,Moeen Ali,66,24,5,6,KKR,Eden Gardens,19 April 2019
9,David Warner,50,24,10,0,CSK,Rajiv Gandhi Intl. Cricket Stadium,17 April 2019
10,Manish Pandey,83,25,7,3,CSK,Chidambaram,23 April 2019
11,Chris Gayle,69,25,6,5,DC,Arun Jaitley Stadium,20 April 2019
12,Shikhar Dhawan,54,25,8,2,RR,Sawai Mansingh Stadium,22 April 2019
13,Rishabh Pant,78,26,6,4,RR,Sawai Mansingh Stadium,22 April 2019
14,David Warner,69,26,9,2,RR,Rajiv Gandhi Intl. Cricket Stadium,29 March 2019
15,Manish Pandey,61,27,9,0,RR,Sawai Mansingh Stadium,27 April 2019
16,Chris Lynn,54,27,8,2,MI,Eden Gardens,28 April 2019
17,Jonny Bairstow,114,28,12,7,RCB,Rajiv Gandhi Intl. Cricket Stadium,31 March 2019
18,Chris Gayle,99,28,10,5,RCB,IS Bindra Stadium,13 April 2019
19,Jonny Bairstow,80,28,7,4,KKR,Rajiv Gandhi Intl. Cricket Stadium,21 April 2019
20,David Warner,67,28,3,5,KKR,Rajiv Gandhi Intl. Cricket Stadium,21 April 2019
21,AB de Villiers,63,28,5,4,KKR,M. Chinnaswamy Stadium,05 April 2019
22,Nitish Rana,63,28,2,7,PBKS,Eden Gardens,27 March 2019
23,Mayank Agarwal,58,28,6,1,KKR,Eden Gardens,27 March 2019
24,Jos Buttler,89,29,8,7,MI,Wankhede Stadium,13 April 2019
25,Jos Buttler,69,29,10,2,PBKS,Sawai Mansingh Stadium,25 March 2019
26,Parthiv Patel,67,29,9,1,RR,Sawai Mansingh Stadium,02 April 2019
27,Prithvi Shaw,99,30,12,3,KKR,Arun Jaitley Stadium,30 March 2019
28,Andre Russell,80,30,6,8,MI,Eden Gardens,28 April 2019
29,David Warner,85,31,9,3,KKR,Eden Gardens,24 March 2019
30,Virat Kohli,84,31,9,2,KKR,M. Chinnaswamy Stadium,05 April 2019
31,AB de Villiers,70,31,4,6,MI,M. Chinnaswamy Stadium,28 March 2019
32,Chris Gayle,63,31,3,7,MI,Wankhede Stadium,10 April 2019
33,Prithvi Shaw,56,31,6,2,SRH,ACA-VDCA Stadium,08 May 2019
34,Shane Watson,50,31,3,4,DC,ACA-VDCA Stadium,10 May 2019
35,Chris Lynn,50,31,6,3,RR,Sawai Mansingh Stadium,07 April 2019
36,Moeen Ali,50,31,1,5,MI,Wankhede Stadium,15 April 2019
37,Steve Smith,50,31,8,0,DC,Sawai Mansingh Stadium,22 April 2019
38,Ajinkya Rahane,105,32,11,3,DC,Sawai Mansingh Stadium,22 April 2019
39,David Warner,100,32,5,5,RCB,Rajiv Gandhi Intl. Cricket Stadium,31 March 2019
40,Shikhar Dhawan,97,32,11,2,KKR,Eden Gardens,12 April 2019
41,Shubman Gill,76,32,6,4,MI,Eden Gardens,28 April 2019
42,Shimron Hetmyer,75,32,4,6,SRH,M. Chinnaswamy Stadium,04 May 2019
43,Nitish Rana,85,33,9,5,RCB,Eden Gardens,19 April 2019
44,Chris Gayle,79,33,8,4,RR,Sawai Mansingh Stadium,25 March 2019
45,Faf du Plessis,54,33,2,4,PBKS,Chidambaram,06 April 2019
46,Yuvraj Singh,53,33,5,3,DC,Wankhede Stadium,24 March 2019
47,Sanju Samson,102,34,10,4,SRH,Rajiv Gandhi Intl. Cricket Stadium,29 March 2019
48,Quinton de Kock,81,34,6,4,RR,Wankhede Stadium,13 April 2019
49,KL Rahul,71,34,7,1,SRH,IS Bindra Stadium,08 April 2019
50,Quinton de Kock,65,34,6,2,RR,Sawai Mansingh Stadium,20 April 2019
51,Shubman Gill,65,34,7,2,DC,Eden Gardens,12 April 2019
52,Suresh Raina,59,34,8,1,DC,Chidambaram,01 May 2019
53,Suresh Raina,53,34,5,2,PBKS,IS Bindra Stadium,05 May 2019
54,Shreyas Iyer,52,34,2,3,RCB,Arun Jaitley Stadium,28 April 2019
55,Dinesh Karthik,97,35,7,9,RR,Eden Gardens,25 April 2019
56,Shane Watson,96,35,9,6,SRH,Chidambaram,23 April 2019
57,MS Dhoni,84,35,5,7,RCB,M. Chinnaswamy Stadium,21 April 2019
58,AB de Villiers,82,35,3,7,PBKS,M. Chinnaswamy Stadium,24 April 2019
59,Nitish Rana,68,35,8,3,SRH,Eden Gardens,24 March 2019
60,Quinton de Kock,60,35,6,2,PBKS,IS Bindra Stadium,30 March 2019
61,AB de Villiers,59,35,5,2,PBKS,IS Bindra Stadium,13 April 2019
62,Dinesh Karthik,50,35,5,2,DC,Arun Jaitley Stadium,30 March 2019
63,Chris Lynn,82,36,7,6,CSK,Eden Gardens,14 April 2019
64,Shubman Gill,65,36,5,2,PBKS,IS Bindra Stadium,03 May 2019
65,David Miller,59,36,5,3,KKR,Eden Gardens,27 March 2019
66,Suresh Raina,58,36,7,1,KKR,Eden Gardens,14 April 2019
67,Shikhar Dhawan,56,36,7,1,PBKS,Arun Jaitley Stadium,20 April 2019
68,Parthiv Patel,53,36,2,4,CSK,M. Chinnaswamy Stadium,21 April 2019
69,Shikhar Dhawan,50,36,5,2,RCB,Arun Jaitley Stadium,28 April 2019
70,Faf du Plessis,96,37,10,4,PBKS,IS Bindra Stadium,05 May 2019
71,Suryakumar Yadav,71,37,10,0,CSK,Chidambaram,07 May 2019
72,Manish Pandey,71,37,8,2,MI,Wankhede Stadium,02 May 2019
73,Shreyas Iyer,67,37,8,2,RCB,M. Chinnaswamy Stadium,07 April 2019
74,Rohit Sharma,67,37,6,3,CSK,Chidambaram,26 April 2019
75,Virat Kohli,67,37,8,0,PBKS,IS Bindra Stadium,13 April 2019
76,Faf du Plessis,50,37,7,1,DC,ACA-VDCA Stadium,10 May 2019
77,David Warner,81,38,7,2,PBKS,Rajiv Gandhi Intl. Cricket Stadium,29 April 2019
78,KL Rahul,79,38,4,5,SRH,Rajiv Gandhi Intl. Cricket Stadium,29 April 2019
79,Kane Williamson,70,38,5,4,RCB,M. Chinnaswamy Stadium,04 May 2019
80,Ajinkya Rahane,70,38,4,3,SRH,Rajiv Gandhi Intl. Cricket Stadium,29 March 2019
81,Jos Buttler,59,38,8,1,RCB,Sawai Mansingh Stadium,02 April 2019
82,Suryakumar Yadav,59,38,8,1,CSK,Wankhede Stadium,03 April 2019
83,Rishabh Pant,53,38,2,5,RR,Arun Jaitley Stadium,04 May 2019
84,MS Dhoni,75,39,4,4,RR,Chidambaram,31 March 2019
85,Gurkeerat Mann Singh,65,39,8,1,SRH,M. Chinnaswamy Stadium,04 May 2019
86,Jonny Bairstow,61,39,3,3,CSK,Rajiv Gandhi Intl. Cricket Stadium,17 April 2019
87,MS Dhoni,58,39,2,3,RR,Sawai Mansingh Stadium,11 April 2019
88,David Warner,57,39,3,2,CSK,Chidambaram,23 April 2019
89,Virat Kohli,100,40,9,4,KKR,Eden Gardens,19 April 2019
90,Steve Smith,59,40,5,1,MI,Sawai Mansingh Stadium,20 April 2019
91,Mayank Agarwal,55,40,3,3,SRH,IS Bindra Stadium,08 April 2019
92,KL Rahul,100,41,6,6,MI,Wankhede Stadium,10 April 2019
93,AB de Villiers,75,41,6,4,MI,Wankhede Stadium,15 April 2019
94,Robin Uthappa,67,41,6,2,PBKS,Eden Gardens,27 March 2019
95,Ambati Rayudu,57,41,2,3,RR,Sawai Mansingh Stadium,11 April 2019
96,KL Rahul,55,41,3,1,CSK,Chidambaram,06 April 2019
97,Sarfaraz Khan,67,42,4,2,CSK,Chidambaram,06 April 2019
98,Shane Watson,80,44,8,4,MI,Rajiv Gandhi Intl. Cricket Stadium,12 May 2019
99,Steve Smith,73,44,7,1,KKR,Sawai Mansingh Stadium,07 April 2019
100,Rohit Sharma,55,44,8,0,KKR,Wankhede Stadium,05 May 2019
101,Rahul Tripathi,50,44,4,0,PBKS,IS Bindra Stadium,16 April 2019
102,Andre Russell,50,44,5,3,CSK,Chidambaram,09 April 2019
103,KL Rahul,71,45,6,1,MI,IS Bindra Stadium,30 March 2019
104,Shreyas Iyer,58,45,5,1,PBKS,Arun Jaitley Stadium,20 April 2019
105,KL Rahul,52,45,3,2,RR,IS Bindra Stadium,16 April 2019
106,Chris Lynn,51,45,4,1,SRH,Rajiv Gandhi Intl. Cricket Stadium,21 April 2019
107,Shikhar Dhawan,51,45,7,0,CSK,Arun Jaitley Stadium,26 March 2019
108,Kedar Jadhav,58,46,8,1,MI,Wankhede Stadium,03 April 2019
109,David Warner,51,46,3,1,DC,Rajiv Gandhi Intl. Cricket Stadium,14 April 2019
110,Riyan Parag,50,47,4,2,DC,Arun Jaitley Stadium,04 May 2019
111,Quinton de Kock,69,48,6,2,SRH,Wankhede Stadium,02 May 2019
112,David Warner,70,49,6,1,PBKS,IS Bindra Stadium,08 April 2019
