POS,Player,Runs,BF,4s,6s,Against,Venue,Match Date
1,Ishan Kishan,84,16,11,4,SRH,Zayed Cricket Stadium,08 October 2021
2,Kieron Pollard,87,17,6,8,CSK,Arun Jaitley Stadium,01 May 2021
3,Prithvi Shaw,82,18,11,3,KKR,Narendra Modi Stadium,29 April 2021
4,Yashasvi Jaiswal,50,19,6,3,CSK,Zayed Cricket Stadium,02 October 2021
5,Ambati Rayudu,72,20,4,7,MI,Arun Jaitley Stadium,01 May 2021
6,Deepak Hooda,64,20,4,6,RR,Wankhede Stadium,12 April 2021
7,Andre Russell,54,21,3,6,CSK,Wankhede Stadium,21 April 2021
8,Pat Cummins,66,23,4,6,CSK,Wankhede Stadium,21 April 2021
9,Shimron Hetmyer,53,23,2,4,RCB,Narendra Modi Stadium,27 April 2021
10,Suryakumar Yadav,82,24,13,3,SRH,Zayed Cricket Stadium,08 October 2021
11,KL Rahul,98,25,7,8,CSK,Dubai International Stadium,07 October 2021
12,Mayank Agarwal,69,25,7,4,DC,Wankhede Stadium,18 April 2021
13,Ravindra Jadeja,62,25,4,5,RCB,Wankhede Stadium,25 April 2021
14,Venkatesh Iyer,53,25,4,3,MI,Zayed Cricket Stadium,23 September 2021
15,Ishan Kishan,50,25,5,3,RR,Sharjah Cricket Stadium,05 October 2021
16,Devdutt Padikkal,101,27,11,6,RR,Wankhede Stadium,22 April 2021
17,AB de Villiers,76,27,9,3,KKR,Chidambaram,18 April 2021
18,Prithvi Shaw,72,27,9,3,CSK,Wankhede Stadium,10 April 2021
19,Prithvi Shaw,60,27,7,3,CSK,Dubai International Stadium,10 October 2021
20,Faf du Plessis,50,27,2,4,MI,Arun Jaitley Stadium,01 May 2021
21,Glenn Maxwell,78,28,9,3,KKR,Chidambaram,18 April 2021
22,Rahul Tripathi,53,28,5,2,SRH,Chidambaram,11 April 2021
23,Rahul Tripathi,74,29,8,3,MI,Zayed Cricket Stadium,23 September 2021
24,Glenn Maxwell,57,29,3,4,PBKS,Sharjah Cricket Stadium,03 October 2021
25,KL Rahul,91,30,7,5,RR,Wankhede Stadium,12 April 2021
26,Manish Pandey,69,30,7,2,MI,Zayed Cricket Stadium,08 October 2021
27,Rishabh Pant,51,30,9,0,RR,Wankhede Stadium,15 April 2021
28,Glenn Maxwell,50,30,6,1,RR,Dubai International Stadium,29 September 2021
29,Shikhar Dhawan,92,31,13,2,PBKS,Wankhede Stadium,18 April 2021
30,Shivam Dube,64,31,4,4,CSK,Zayed Cricket Stadium,02 October 2021
31,Evin Lewis,58,31,5,3,RCB,Dubai International Stadium,29 September 2021
32,David Warner,54,31,7,1,RCB,Chidambaram,14 April 2021
33,Venkatesh Iyer,50,31,5,3,CSK,Dubai International Stadium,15 October 2021
34,Faf du Plessis,56,32,6,1,SRH,Arun Jaitley Stadium,28 April 2021
35,Jonny Bairstow,55,32,5,3,KKR,Chidambaram,11 April 2021
36,Suresh Raina,54,32,3,4,DC,Wankhede Stadium,10 April 2021
37,Glenn Maxwell,51,32,8,0,DC,Dubai International Stadium,08 October 2021
38,Sanju Samson,119,33,12,7,PBKS,Wankhede Stadium,12 April 2021
39,Ruturaj Gaikwad,64,33,6,4,KKR,Wankhede Stadium,21 April 2021
40,Moeen Ali,58,33,5,5,MI,Arun Jaitley Stadium,01 May 2021
41,Glenn Maxwell,56,33,6,3,MI,Dubai International Stadium,26 September 2021
42,Suryakumar Yadav,56,33,7,2,KKR,Chidambaram,13 April 2021
43,Virat Kohli,72,34,6,3,RR,Wankhede Stadium,22 April 2021
44,Mayank Agarwal,67,34,7,2,RR,Dubai International Stadium,21 September 2021
45,Faf du Plessis,95,35,9,4,KKR,Wankhede Stadium,21 April 2021
46,KL Rahul,91,35,7,5,RCB,Narendra Modi Stadium,30 April 2021
47,Faf du Plessis,86,35,7,3,KKR,Dubai International Stadium,15 October 2021
48,Shikhar Dhawan,85,35,10,2,CSK,Wankhede Stadium,10 April 2021
49,AB de Villiers,75,35,3,5,DC,Narendra Modi Stadium,27 April 2021
50,Quinton de Kock,70,35,6,2,RR,Arun Jaitley Stadium,29 April 2021
51,Devdutt Padikkal,70,35,5,3,CSK,Sharjah Cricket Stadium,24 September 2021
52,Shikhar Dhawan,69,35,6,2,PBKS,Narendra Modi Stadium,02 May 2021
53,Robin Uthappa,63,35,7,2,DC,Dubai International Stadium,10 October 2021
54,Manish Pandey,61,35,5,1,CSK,Arun Jaitley Stadium,28 April 2021
55,Prithvi Shaw,53,35,7,1,SRH,Chidambaram,25 April 2021
56,Rishabh Pant,51,35,3,2,CSK,Dubai International Stadium,10 October 2021
57,Ruturaj Gaikwad,75,36,12,0,SRH,Arun Jaitley Stadium,28 April 2021
58,Jason Roy,60,36,8,1,RR,Dubai International Stadium,27 September 2021
59,Mayank Agarwal,57,36,6,2,RCB,Sharjah Cricket Stadium,03 October 2021
60,Virat Kohli,53,36,6,1,CSK,Sharjah Cricket Stadium,24 September 2021
61,Mayank Agarwal,99,37,8,4,DC,Narendra Modi Stadium,02 May 2021
62,Nitish Rana,80,37,9,4,SRH,Chidambaram,11 April 2021
63,K.S Bharat,78,37,3,4,DC,Dubai International Stadium,08 October 2021
64,Ruturaj Gaikwad,70,37,5,2,DC,Dubai International Stadium,10 October 2021
65,Manish Pandey,61,37,2,3,KKR,Chidambaram,11 April 2021
66,Quinton de Kock,55,37,4,3,KKR,Zayed Cricket Stadium,23 September 2021
67,Glenn Maxwell,59,38,5,3,SRH,Chidambaram,14 April 2021
68,Venkatesh Iyer,55,38,4,3,DC,Sharjah Cricket Stadium,13 October 2021
69,Jos Buttler,124,39,11,8,SRH,Arun Jaitley Stadium,02 May 2021
70,Sanju Samson,70,39,8,1,DC,Zayed Cricket Stadium,25 September 2021
71,Venkatesh Iyer,67,39,9,1,PBKS,Dubai International Stadium,01 October 2021
72,Rohit Sharma,63,40,5,2,PBKS,Chidambaram,23 April 2021
73,David Miller,62,40,7,2,DC,Wankhede Stadium,15 April 2021
74,Nitish Rana,57,40,6,2,MI,Chidambaram,13 April 2021
75,Shubman Gill,56,40,4,2,RR,Sharjah Cricket Stadium,07 October 2021
76,Ambati Rayudu,55,40,5,2,DC,Dubai International Stadium,04 October 2021
77,Virat Kohli,51,40,3,3,MI,Dubai International Stadium,26 September 2021
78,Shubman Gill,51,40,6,0,CSK,Dubai International Stadium,15 October 2021
79,Saurabh Tiwary,50,40,5,0,CSK,Dubai International Stadium,19 September 2021
80,Faf du Plessis,50,40,5,1,RCB,Wankhede Stadium,25 April 2021
81,Ruturaj Gaikwad,88,41,9,4,MI,Dubai International Stadium,19 September 2021
82,Sanju Samson,82,41,7,3,SRH,Dubai International Stadium,27 September 2021
83,Kane Williamson,51,41,5,1,RR,Dubai International Stadium,27 September 2021
84,Kane Williamson,66,42,8,0,DC,Chidambaram,25 April 2021
85,Ruturaj Gaikwad,101,43,9,5,RR,Zayed Cricket Stadium,02 October 2021
86,KL Rahul,67,43,4,2,KKR,Dubai International Stadium,01 October 2021
87,Shubman Gill,57,44,10,0,SRH,Dubai International Stadium,03 October 2021
88,KL Rahul,61,45,7,2,DC,Wankhede Stadium,18 April 2021
89,Faf du Plessis,76,46,8,2,PBKS,Dubai International Stadium,07 October 2021
90,Rishabh Pant,58,46,6,0,RCB,Narendra Modi Stadium,27 April 2021
91,Jonny Bairstow,63,48,3,3,PBKS,Chidambaram,21 April 2021
92,KL Rahul,60,50,3,3,MI,Chidambaram,23 April 2021
93,David Warner,57,50,3,2,CSK,Arun Jaitley Stadium,28 April 2021
