POS,Player,Runs,BF,4s,6s,Against,Venue,Match Date
1,Harbhajan Singh,64,19,5,6,PBKS,Wankhede Stadium,12 April 2015
2,Andre Russell,51,19,5,4,PBKS,Eden Gardens,09 May 2015
3,David Warner,61,20,11,1,CSK,Rajiv Gandhi Intl. Cricket Stadium,02 May 2015
4,Moises Henriques,57,20,5,4,RCB,Rajiv Gandhi Intl. Cricket Stadium,15 May 2015
5,Kieron Pollard,64,21,4,5,CSK,Wankhede Stadium,17 April 2015
6,Chris Gayle,117,22,7,12,PBKS,M. Chinnaswamy Stadium,06 May 2015
7,Dwayne Smith,62,22,8,4,MI,Wankhede Stadium,17 April 2015
8,Deepak Hooda,54,22,3,4,DC,Arun Jaitley Stadium,12 April 2015
9,Eoin Morgan,63,23,4,5,RR,Brabourne Stadium,07 May 2015
10,Kedar Jadhav,63,24,8,2,SRH,Shaheed Veer Narayan Singh International Cricket Stadium,09 May 2015
11,David Warner,57,24,6,4,RCB,M. Chinnaswamy Stadium,13 April 2015
12,Hardik Pandya,61,25,8,2,KKR,Wankhede Stadium,14 May 2015
13,Andre Russell,55,25,4,4,CSK,Eden Gardens,30 April 2015
14,Rohit Sharma,50,25,6,2,CSK,Eden Gardens,24 May 2015
15,George Bailey,61,27,4,3,MI,Wankhede Stadium,12 April 2015
16,Ambati Rayudu,53,27,4,3,RR,Wankhede Stadium,01 May 2015
17,Kieron Pollard,70,28,7,5,RR,Narendra Modi Stadium,14 April 2015
18,Andre Russell,66,28,9,2,PBKS,Maharashtra Cricket Association's International Stadium,18 April 2015
19,MS Dhoni,53,28,4,4,SRH,Chidambaram,11 April 2015
20,AB de Villiers,133,29,19,4,MI,Wankhede Stadium,10 May 2015
21,Dwayne Bravo,62,29,8,1,RR,Narendra Modi Stadium,19 April 2015
22,Suresh Raina,62,29,4,6,RCB,M. Chinnaswamy Stadium,22 April 2015
23,Chris Gayle,62,29,6,4,DC,Arun Jaitley Stadium,26 April 2015
24,David Miller,54,29,1,5,RR,Narendra Modi Stadium,21 April 2015
25,Quinton de Kock,50,29,9,1,SRH,Shaheed Veer Narayan Singh International Cricket Stadium,09 May 2015
26,Quinton de Kock,69,30,9,3,RCB,M. Chinnaswamy Stadium,17 May 2015
27,David Warner,52,30,5,1,RCB,Rajiv Gandhi Intl. Cricket Stadium,15 May 2015
28,Rohit Sharma,50,30,5,1,CSK,Wankhede Stadium,17 April 2015
29,Shane Watson,104,31,9,5,KKR,Brabourne Stadium,16 May 2015
30,David Miller,89,31,2,9,SRH,Rajiv Gandhi Intl. Cricket Stadium,11 May 2015
31,Steve Smith,68,32,9,2,SRH,Brabourne Stadium,07 May 2015
32,Brendon McCullum,66,32,8,3,PBKS,Chidambaram,25 April 2015
33,Shaun Marsh,65,32,5,3,RR,Narendra Modi Stadium,21 April 2015
34,Shreyas Iyer,60,32,3,5,SRH,ACA-VDCA Stadium,18 April 2015
35,Parthiv Patel,59,32,5,3,PBKS,IS Bindra Stadium,03 May 2015
36,Mandeep Singh,54,32,7,2,RR,Maharashtra Cricket Association's International Stadium,20 May 2015
37,Karun Nair,61,33,6,2,DC,Brabourne Stadium,03 May 2015
38,Unmukt Chand,58,33,8,2,RCB,M. Chinnaswamy Stadium,19 April 2015
39,Shikhar Dhawan,54,33,6,2,RR,Brabourne Stadium,07 May 2015
40,Yuvraj Singh,54,33,5,3,PBKS,Maharashtra Cricket Association's International Stadium,15 April 2015
41,AB de Villiers,66,34,4,4,RR,Maharashtra Cricket Association's International Stadium,20 May 2015
42,JP Duminy,56,34,3,3,RR,Brabourne Stadium,03 May 2015
43,Ajinkya Rahane,76,35,6,2,CSK,Narendra Modi Stadium,19 April 2015
44,Sanju Samson,76,35,7,3,MI,Wankhede Stadium,01 May 2015
45,Shane Watson,73,35,6,4,CSK,Narendra Modi Stadium,19 April 2015
46,Lendl Simmons,68,35,8,3,CSK,Eden Gardens,24 May 2015
47,JP Duminy,67,35,4,3,RCB,M. Chinnaswamy Stadium,17 May 2015
48,David Warner,58,35,10,1,PBKS,IS Bindra Stadium,27 April 2015
49,Yusuf Pathan,52,35,5,2,MI,Wankhede Stadium,14 May 2015
50,David Warner,91,36,9,4,KKR,ACA-VDCA Stadium,22 April 2015
51,Ajinkya Rahane,91,36,9,3,DC,Brabourne Stadium,03 May 2015
52,David Warner,81,36,6,5,PBKS,Rajiv Gandhi Intl. Cricket Stadium,11 May 2015
53,JP Duminy,78,36,3,6,MI,Arun Jaitley Stadium,23 April 2015
54,Shreyas Iyer,70,36,10,1,CSK,Shaheed Veer Narayan Singh International Cricket Stadium,12 May 2015
55,Lendl Simmons,59,36,9,2,RCB,M. Chinnaswamy Stadium,19 April 2015
56,Faf du Plessis,55,36,5,1,PBKS,IS Bindra Stadium,16 May 2015
57,Parthiv Patel,51,36,9,0,SRH,Rajiv Gandhi Intl. Cricket Stadium,17 May 2015
58,Chris Gayle,96,37,7,7,KKR,Eden Gardens,11 April 2015
59,Shreyas Iyer,83,37,7,5,MI,Arun Jaitley Stadium,23 April 2015
60,Mayank Agarwal,68,37,7,2,PBKS,Maharashtra Cricket Association's International Stadium,15 April 2015
61,Corey Anderson,50,37,5,3,RR,Narendra Modi Stadium,14 April 2015
62,Brendon McCullum,100,38,7,9,SRH,Chidambaram,11 April 2015
63,Lendl Simmons,71,38,9,1,PBKS,IS Bindra Stadium,03 May 2015
64,Lendl Simmons,65,38,3,5,CSK,Wankhede Stadium,19 May 2015
65,Gautam Gambhir,60,38,8,0,DC,Arun Jaitley Stadium,20 April 2015
66,Shreyas Iyer,54,38,4,3,PBKS,Arun Jaitley Stadium,01 May 2015
67,Virat Kohli,82,39,6,4,MI,Wankhede Stadium,10 May 2015
68,Moises Henriques,74,39,1,5,DC,Shaheed Veer Narayan Singh International Cricket Stadium,09 May 2015
69,Virat Kohli,62,39,1,3,RR,Narendra Modi Stadium,24 April 2015
70,Gautam Gambhir,57,39,7,1,MI,Eden Gardens,08 April 2015
71,JP Duminy,54,39,5,2,SRH,ACA-VDCA Stadium,18 April 2015
72,Mayank Agarwal,52,39,6,1,PBKS,Arun Jaitley Stadium,01 May 2015
73,Robin Uthappa,80,40,7,1,CSK,Eden Gardens,30 April 2015
74,Steve Smith,79,40,8,1,MI,Narendra Modi Stadium,14 April 2015
75,Ajinkya Rahane,74,40,6,2,PBKS,Narendra Modi Stadium,21 April 2015
76,George Bailey,60,40,5,2,KKR,Maharashtra Cricket Association's International Stadium,18 April 2015
77,Yuvraj Singh,57,40,7,2,MI,Wankhede Stadium,05 May 2015
78,Virat Kohli,51,40,4,2,CSK,M. Chinnaswamy Stadium,22 April 2015
79,Gautam Gambhir,58,41,7,1,RCB,Eden Gardens,11 April 2015
80,AB de Villiers,57,41,9,1,RR,M. Chinnaswamy Stadium,29 April 2015
81,Corey Anderson,55,41,4,3,KKR,Eden Gardens,08 April 2015
82,David Warner,53,41,1,3,CSK,Chidambaram,11 April 2015
83,Lendl Simmons,51,41,6,1,SRH,Wankhede Stadium,25 April 2015
84,Shikhar Dhawan,50,41,4,2,RCB,M. Chinnaswamy Stadium,13 April 2015
85,Albie Morkel,73,43,8,1,CSK,Chidambaram,09 April 2015
86,Lendl Simmons,68,43,5,3,RCB,Wankhede Stadium,10 May 2015
87,Michael Hussey,56,43,3,2,RCB,JSCA Stadium,22 May 2015
88,Shikhar Dhawan,54,43,4,1,KKR,ACA-VDCA Stadium,22 April 2015
89,Brendon McCullum,81,44,7,4,RR,Chidambaram,10 May 2015
90,Suresh Raina,52,44,5,1,RCB,Chidambaram,04 May 2015
91,Dwayne Smith,57,45,9,1,MI,Eden Gardens,24 May 2015
92,Rohit Sharma,98,46,12,4,KKR,Eden Gardens,08 April 2015
93,Ajinkya Rahane,62,46,9,0,SRH,ACA-VDCA Stadium,16 April 2015
