POS,Player,Runs,BF,4s,6s,Against,Venue,Match Date
1,Wriddhiman Saha,115,49,10,8,KKR,M. Chinnaswamy Stadium,01 June 2014
2,Virender Sehwag,122,50,12,8,CSK,Wankhede Stadium,30 May 2014
3,Lendl Simmons,100,61,14,2,PBKS,IS Bindra Stadium,21 May 2014
