POS,Player,Runs,BF,4s,6s,Against,Venue,Match Date
1,Yusuf Pathan,100,37,9,8,MI,Brabourne Stadium,13 March 2010
2,Murali Vijay,127,46,8,11,RR,Chidambaram,03 April 2010
3,Mahela Jayawardena,110,55,14,3,KKR,Eden Gardens,04 April 2010
4,David Warner,107,66,9,5,KKR,Arun Jaitley Stadium,29 March 2010
