POS,Player,Runs,BF,4s,6s,Against,Venue,Match Date
1,Chris Gayle,175,30,13,17,PWI,M. Chinnaswamy Stadium,23 April 2013
2,David Miller,101,38,8,7,RCB,IS Bindra Stadium,06 May 2013
3,Suresh Raina,100,53,7,6,PBKS,Chidambaram,02 May 2013
4,Shane Watson,101,60,6,6,CSK,Chidambaram,22 April 2013
