POS,Player,Runs,BF,4s,6s,Against,Venue,Match Date
1,AB de Villiers,129,43,10,12,GL,M. Chinnaswamy Stadium,14 May 2016
2,Virat Kohli,113,47,12,8,PBKS,M. Chinnaswamy Stadium,18 May 2016
3,Quinton de Kock,108,48,15,3,RCB,M. Chinnaswamy Stadium,17 April 2016
4,Virat Kohli,109,53,5,8,GL,M. Chinnaswamy Stadium,14 May 2016
5,Steve Smith,101,53,8,5,GL,Maharashtra Cricket Association's International Stadium,29 April 2016
6,Virat Kohli,108,56,8,7,RPS,M. Chinnaswamy Stadium,07 May 2016
7,Virat Kohli,100,63,11,1,GL,Saurashtra Cricket Association Stadium,24 April 2016
