POS,Player,Runs,BF,4s,6s,Against,Venue,Match Date
1,Shane Watson,117,51,11,8,SRH,Wankhede Stadium,27 May 2018
2,Shane Watson,106,51,9,6,RR,Maharashtra Cricket Association's International Stadium,20 April 2018
3,Rishabh Pant,128,56,15,7,SRH,Arun Jaitley Stadium,10 May 2018
4,Chris Gayle,104,58,1,11,SRH,IS Bindra Stadium,19 April 2018
5,Ambati Rayudu,100,62,7,7,SRH,Maharashtra Cricket Association's International Stadium,13 May 2018
